"symbol","date","open","high","low","close","volume","adjusted"
"AAPL",1996-01-02,0.287946,0.287946,0.283482,0.28683,139294400,0.245245
"AAPL",1996-01-03,0.285714,0.293527,0.284598,0.28683,429833600,0.245245
"AAPL",1996-01-04,0.289063,0.289063,0.280134,0.281808,300182400,0.240951
"AAPL",1996-01-05,0.282366,0.305804,0.280134,0.305804,445928000,0.261468
"AAPL",1996-01-08,0.308036,0.316964,0.303571,0.309152,121340800,0.26433
"AAPL",1996-01-09,0.309152,0.309152,0.292411,0.292411,251216000,0.250017
"AAPL",1996-01-10,0.290179,0.310268,0.287946,0.305804,365433600,0.261468
"AAPL",1996-01-11,0.291295,0.3125,0.289063,0.3125,756739200,0.267193
"AAPL",1996-01-12,0.310268,0.310268,0.296875,0.302455,401856000,0.258605
"AAPL",1996-01-15,0.301339,0.308036,0.297991,0.304688,363081600,0.260514
"AAPL",1996-01-16,0.30692,0.310268,0.300223,0.308594,352912000,0.263853
"AAPL",1996-01-17,0.30692,0.30692,0.301339,0.303571,236409600,0.259559
"AAPL",1996-01-18,0.293527,0.297991,0.271205,0.285156,698387200,0.243813
"AAPL",1996-01-19,0.276786,0.283482,0.262277,0.266741,829225600,0.228068
"AAPL",1996-01-22,0.265625,0.276786,0.261161,0.272321,499744000,0.232839
"AAPL",1996-01-23,0.301339,0.303571,0.276786,0.282366,988288000,0.241428
"AAPL",1996-01-24,0.28683,0.287946,0.283482,0.287946,655894400,0.246199
"AAPL",1996-01-25,0.283482,0.285714,0.268973,0.270089,445200000,0.230931
"AAPL",1996-01-26,0.271205,0.279018,0.25558,0.273438,735750400,0.233794
"AAPL",1996-01-29,0.258929,0.265625,0.256696,0.260045,332595200,0.222343
"AAPL",1996-01-30,0.241071,0.251116,0.239816,0.243862,622843200,0.208506
"AAPL",1996-01-31,0.247768,0.25,0.24442,0.246652,328059200,0.210892
"AAPL",1996-02-01,0.245536,0.253348,0.245536,0.253348,333043200,0.216617
"AAPL",1996-02-02,0.257813,0.264509,0.256696,0.261161,555979200,0.223297
"AAPL",1996-02-05,0.265067,0.265625,0.258929,0.261161,318729600,0.223297
"AAPL",1996-02-06,0.261161,0.267857,0.261161,0.264509,226217600,0.22616
"AAPL",1996-02-07,0.265625,0.265625,0.247768,0.252232,360326400,0.215663
"AAPL",1996-02-08,0.245536,0.251116,0.245536,0.248884,263166400,0.2128
"AAPL",1996-02-09,0.248884,0.254464,0.246652,0.247768,205688000,0.211846
"AAPL",1996-02-12,0.251116,0.254464,0.25,0.253348,194275200,0.216617
"AAPL",1996-02-13,0.25,0.257813,0.248884,0.251116,228502400,0.214709
"AAPL",1996-02-14,0.252232,0.252232,0.244978,0.246652,163184000,0.210892
"AAPL",1996-02-15,0.246652,0.251116,0.24442,0.25,122080000,0.213754
"AAPL",1996-02-16,0.251116,0.253348,0.245536,0.245536,156441600,0.209938
"AAPL",1996-02-20,0.25,0.263393,0.25,0.258929,376913600,0.221389
"AAPL",1996-02-21,0.262277,0.265625,0.260045,0.264509,221838400,0.22616
"AAPL",1996-02-22,0.267857,0.268973,0.264509,0.266741,184184000,0.228068
"AAPL",1996-02-23,0.266741,0.270089,0.264509,0.266741,173286400,0.228068
"AAPL",1996-02-26,0.267857,0.268973,0.263393,0.263393,118283200,0.225206
"AAPL",1996-02-27,0.266741,0.266741,0.254464,0.25558,149161600,0.218525
"AAPL",1996-02-28,0.257813,0.257813,0.246652,0.247768,187913600,0.211846
"AAPL",1996-02-29,0.245536,0.247768,0.243304,0.245536,112884800,0.209938
"AAPL",1996-03-01,0.246652,0.246652,0.237723,0.239955,231134400,0.205166
"AAPL",1996-03-04,0.243304,0.24442,0.234375,0.234375,187555200,0.200395
"AAPL",1996-03-05,0.236607,0.238839,0.234375,0.237723,118440000,0.203257
"AAPL",1996-03-06,0.238839,0.239955,0.233259,0.233817,99052800,0.199918
"AAPL",1996-03-07,0.234375,0.235491,0.226563,0.230469,260064000,0.197055
"AAPL",1996-03-08,0.229911,0.234375,0.223214,0.232143,149004800,0.198486
"AAPL",1996-03-11,0.234375,0.235491,0.229911,0.231027,127008000,0.197532
"AAPL",1996-03-12,0.232143,0.235491,0.228795,0.230469,96152000,0.197055
"AAPL",1996-03-13,0.231027,0.233259,0.228795,0.229911,99680000,0.196578
"AAPL",1996-03-14,0.231027,0.231027,0.227679,0.228795,93363200,0.195624
"AAPL",1996-03-15,0.232143,0.232143,0.227679,0.231027,101382400,0.197532
"AAPL",1996-03-18,0.231585,0.233259,0.229911,0.233259,109132800,0.199441
"AAPL",1996-03-19,0.235491,0.236607,0.228795,0.229911,124364800,0.196578
"AAPL",1996-03-20,0.229911,0.229911,0.22433,0.225446,115987200,0.19276
"AAPL",1996-03-21,0.227679,0.227679,0.223214,0.22433,109984000,0.191806
"AAPL",1996-03-22,0.225446,0.226563,0.222098,0.226563,107564800,0.193715
"AAPL",1996-03-25,0.227679,0.229911,0.214286,0.214286,164371200,0.183218
"AAPL",1996-03-26,0.214286,0.21875,0.210938,0.21317,160798400,0.182264
"AAPL",1996-03-27,0.207589,0.225446,0.205357,0.225446,429296000,0.19276
"AAPL",1996-03-28,0.220982,0.228795,0.215402,0.21596,295892800,0.18465
"AAPL",1996-03-29,0.216518,0.220982,0.212054,0.219308,166521600,0.187512
"AAPL",1996-04-01,0.22433,0.231027,0.21889,0.227679,158636800,0.19467
"AAPL",1996-04-02,0.228795,0.228795,0.222098,0.223214,101438400,0.190852
"AAPL",1996-04-03,0.22433,0.22433,0.217215,0.219308,72240000,0.187512
