"symbol","date","open","high","low","close","volume","adjusted"
"AIV",2003-03-14,4.864643,4.865976,4.785987,4.799318,26490011,1.184706
"AIV",2003-03-17,4.800652,4.832647,4.768656,4.797985,11561391,1.184377
"AIV",2003-03-18,4.76599,4.817983,4.753992,4.785987,6210882,1.181415
"AIV",2003-03-19,4.797985,4.821982,4.779321,4.81265,7531819,1.187997
"AIV",2003-03-20,4.81265,4.877974,4.74466,4.865976,4478886,1.20116
"AIV",2003-03-21,4.912636,5.047283,4.879307,5.047283,5619048,1.245916
"AIV",2003-03-24,4.985959,4.985959,4.67267,4.805984,4426378,1.186351
"AIV",2003-03-25,4.805984,4.895305,4.805984,4.895305,3724279,1.208401
"AIV",2003-03-26,4.915302,4.917968,4.841979,4.917968,2431845,1.213995
"AIV",2003-03-27,4.912636,4.943298,4.851311,4.915302,2470851,1.213337
"AIV",2003-03-28,4.90597,4.925967,4.865976,4.920635,2853405,1.214654
"AIV",2003-03-31,4.852644,4.911303,4.808651,4.863309,3849547,1.200503
"AIV",2003-04-01,4.863309,4.993958,4.857977,4.985959,3335724,1.230779
"AIV",2003-04-02,5.039284,5.120606,5.005956,5.027286,2818150,1.24098
"AIV",2003-04-03,5.037951,5.04995,4.961962,4.97396,2383838,1.227817
"AIV",2003-04-04,4.97396,4.989958,4.885973,4.888639,3424986,1.206755
"AIV",2003-04-07,4.889972,4.968628,4.849978,4.940632,5337008,1.21959
"AIV",2003-04-08,4.967295,4.968628,4.879307,4.928633,1746248,1.216628
"AIV",2003-04-09,4.9313,4.956629,4.88064,4.916635,3054434,1.213666
"AIV",2003-04-10,4.917968,4.932633,4.839313,4.928633,3526251,1.216628
"AIV",2003-04-11,4.939299,5.027286,4.865976,4.885973,2171558,1.206097
"AIV",2003-04-14,4.90597,4.932633,4.879307,4.929967,2355334,1.216957
"AIV",2003-04-15,4.925967,4.967295,4.897971,4.967295,3924557,1.226171
"AIV",2003-04-16,4.95263,4.959296,4.891305,4.909969,3701776,1.212021
"AIV",2003-04-17,4.919301,4.956629,4.885973,4.956629,2836153,1.223539
"AIV",2003-04-21,4.965962,5.015288,4.965962,5.015288,3003426,1.238019
"AIV",2003-04-22,5.019287,5.124606,4.987292,5.107275,5571791,1.260725
"AIV",2003-04-23,5.112607,5.1646,5.065947,5.153935,3427237,1.272243
"AIV",2003-04-24,5.153935,5.153935,5.087278,5.115274,3136945,1.2627
"AIV",2003-04-25,5.105942,5.151269,5.040618,5.075279,3022929,1.252828
"AIV",2003-04-28,5.085944,5.097943,5.025953,5.04595,2817400,1.245588
"AIV",2003-04-29,5.052616,5.179265,5.035285,5.09261,2768643,1.257105
"AIV",2003-04-30,5.085944,5.135271,5.033952,5.033952,3608762,1.242626
"AIV",2003-05-01,5.04595,5.112607,5.004623,5.097943,3960562,1.258422
"AIV",2003-05-02,5.097943,5.18593,5.097943,5.168599,3064935,1.275863
"AIV",2003-05-05,5.159267,5.229924,5.149935,5.227258,2542861,1.290343
"AIV",2003-05-06,5.227258,5.307246,5.223258,5.256587,3383730,1.297583
"AIV",2003-05-07,4.99929,5.099276,4.832647,4.877974,17771523,1.204123
"AIV",2003-05-08,4.865976,4.879307,4.823315,4.851311,10847290,1.197541
"AIV",2003-05-09,4.85931,4.923301,4.85931,4.885973,4950703,1.206097
"AIV",2003-05-12,4.885973,4.885973,4.779321,4.825981,14104253,1.191288
"AIV",2003-05-13,4.71933,4.74066,4.652673,4.680669,5920591,1.182198
"AIV",2003-05-14,4.699333,4.71533,4.643341,4.690001,3174451,1.184554
"AIV",2003-05-15,4.705998,4.712664,4.640674,4.67267,3385981,1.180177
"AIV",2003-05-16,4.652673,4.712664,4.619344,4.712664,4117335,1.190278
"AIV",2003-05-19,4.705998,4.705998,4.631342,4.639341,2088296,1.171759
"AIV",2003-05-20,4.643341,4.701999,4.642008,4.691334,3710777,1.18489
"AIV",2003-05-21,4.680669,4.713997,4.650006,4.712664,2174559,1.190278
"AIV",2003-05-22,4.71933,4.781988,4.708665,4.777988,2940417,1.206777
"AIV",2003-05-23,4.768656,4.781988,4.739327,4.759324,1678738,1.202063
"AIV",2003-05-27,4.745993,4.792653,4.713997,4.752658,4377622,1.200379
"AIV",2003-05-28,4.76599,4.777988,4.66867,4.679336,3253962,1.18186
"AIV",2003-05-29,4.67267,4.701999,4.488696,4.551354,6142622,1.149536
"AIV",2003-05-30,4.584682,4.698,4.552687,4.696666,10166193,1.186237
"AIV",2003-06-02,4.690001,4.71933,4.667337,4.680669,4970206,1.182198
"AIV",2003-06-03,4.692667,4.723329,4.655339,4.723329,3067185,1.192972
"AIV",2003-06-04,4.727329,4.855311,4.701999,4.840646,4586901,1.222603
"AIV",2003-06-05,4.807317,4.848645,4.757991,4.820649,3290717,1.217552
"AIV",2003-06-06,4.839313,4.928633,4.836647,4.853977,3407734,1.22597
"AIV",2003-06-09,4.85931,4.864643,4.732661,4.747326,3608012,1.199033
"AIV",2003-06-10,4.748659,4.809984,4.748659,4.809984,1630732,1.214858
"AIV",2003-06-11,4.832647,4.901971,4.779321,4.895305,2085296,1.236408
"AIV",2003-06-12,4.872641,4.88064,4.767323,4.785987,3364228,1.208797
"AIV",2003-06-13,4.795319,4.799318,4.686001,4.692667,3811291,1.185228
"AIV",2003-06-16,4.712664,4.788653,4.712664,4.788653,4475135,1.20947
"AIV",2003-06-17,4.78732,4.797985,4.727329,4.76599,2024537,1.203747
"AIV",2003-06-18,4.732661,4.732661,4.662005,4.666004,4016070,1.178493
"AIV",2003-06-19,4.686001,4.699333,4.627343,4.632675,3106941,1.170075
"AIV",2003-06-20,4.646007,4.666004,4.62601,4.627343,3344725,1.168729
"AIV",2003-06-23,4.627343,4.627343,4.542022,4.563352,2475351,1.152566
"AIV",2003-06-24,4.566018,4.586015,4.519358,4.567351,2932166,1.153576
"AIV",2003-06-25,4.570018,4.619344,4.559353,4.574017,2197812,1.15526
"AIV",2003-06-26,4.566018,4.618011,4.552687,4.615345,2427345,1.165698
"AIV",2003-06-27,4.616678,4.639341,4.57935,4.584682,1630732,1.157954
"AIV",2003-06-30,4.60068,4.62201,4.552687,4.612678,4446631,1.165024
"AIV",2003-07-01,4.606013,4.631342,4.547354,4.630009,3981565,1.169402
"AIV",2003-07-02,4.623343,4.725996,4.608679,4.725996,3108441,1.193645
"AIV",2003-07-03,4.71933,4.725996,4.667337,4.705998,1078653,1.188595
"AIV",2003-07-07,4.736661,4.781988,4.704665,4.704665,2674880,1.188258
"AIV",2003-07-08,4.705998,4.721996,4.674003,4.713997,3029680,1.190615
"AIV",2003-07-09,4.725996,4.735328,4.619344,4.663338,2875158,1.17782
"AIV",2003-07-10,4.655339,4.655339,4.55402,4.584682,3253962,1.157954
"AIV",2003-07-11,4.592681,4.634009,4.586015,4.632675,4115084,1.170075
"AIV",2003-07-14,4.666004,4.799318,4.652673,4.784654,9800892,1.208461
"AIV",2003-07-15,4.797985,4.865976,4.771322,4.835313,4165341,1.221256
"AIV",2003-07-16,4.845979,4.85931,4.792653,4.840646,2707884,1.222603
"AIV",2003-07-17,4.840646,4.852644,4.817983,4.836647,5523034,1.221593
"AIV",2003-07-18,4.849978,4.90597,4.831314,4.873975,3232959,1.23102
"AIV",2003-07-21,4.892639,4.916635,4.839313,4.856644,1886518,1.226643
"AIV",2003-07-22,4.860643,4.932633,4.85931,4.908636,2603620,1.239775
"AIV",2003-07-23,4.908636,4.912636,4.845979,4.891305,1820508,1.235397
"AIV",2003-07-24,4.90597,5.000623,4.893972,4.989958,4698667,1.260314
"AIV",2003-07-25,5.025953,5.052616,4.996624,5.032619,4373871,1.271089
"AIV",2003-07-28,5.039284,5.060615,5.007289,5.017954,4254604,1.267385
"AIV",2003-07-29,5.025953,5.13927,4.993958,5.120606,5649052,1.293312
"AIV",2003-07-30,5.119273,5.225925,5.116607,5.220592,6456917,1.318565
"AIV",2003-07-31,5.239256,5.273918,5.212593,5.253921,7761352,1.326983
"AIV",2003-08-01,5.252587,5.309913,5.231257,5.27925,4073078,1.333381
"AIV",2003-08-04,5.265919,5.312579,5.183264,5.303247,5134479,1.339442
"AIV",2003-08-05,5.285916,5.312579,5.241922,5.272585,4737673,1.331698
"AIV",2003-08-06,5.245922,5.252587,5.18993,5.235257,5958846,1.32227
"AIV",2003-08-07,5.165933,5.192596,5.109941,5.180598,12371507,1.308464
"AIV",2003-08-08,5.181931,5.18993,5.144603,5.152602,4657411,1.301393
"AIV",2003-08-11,5.152602,5.195262,5.145936,5.152602,5747316,1.301393
"AIV",2003-08-12,5.052616,5.053949,4.965962,5.015288,8137905,1.29417
"AIV",2003-08-13,5.015288,5.019287,4.945964,4.947297,5755567,1.276625
"AIV",2003-08-14,4.959296,4.99929,4.943298,4.984626,3915556,1.286256
"AIV",2003-08-15,4.985959,4.985959,4.879307,4.879307,2175309,1.25908
"AIV",2003-08-18,4.879307,4.957963,4.879307,4.9313,2872908,1.272496
"AIV",2003-08-19,4.95263,4.97796,4.919301,4.972627,4056576,1.283161
"AIV",2003-08-20,4.985959,5.017954,4.95263,5.000623,1998284,1.290385
"AIV",2003-08-21,5.012622,5.060615,4.985959,5.033952,3851047,1.298986
"AIV",2003-08-22,5.04595,5.04595,5.001956,5.005956,3571257,1.291762
"AIV",2003-08-25,4.992624,5.016621,4.941965,5.011288,4019071,1.293136
"AIV",2003-08-26,4.992624,5.073946,4.945964,5.063281,2172308,1.306553
"AIV",2003-08-27,5.019287,5.131271,5.015288,5.125939,2160307,1.322722
"AIV",2003-08-28,5.119273,5.129938,5.065947,5.116607,2657627,1.320314
"AIV",2003-08-29,5.112607,5.157934,5.085944,5.13927,1875266,1.326162
"AIV",2003-09-02,5.159267,5.176598,5.125939,5.172599,2371837,1.334762
"AIV",2003-09-03,5.18593,5.192596,5.168599,5.18593,2380838,1.338202
"AIV",2003-09-04,5.176598,5.197929,5.137937,5.140603,2401841,1.326506
"AIV",2003-09-05,5.119273,5.135271,5.075279,5.099276,2134803,1.315842
"AIV",2003-09-08,5.099276,5.123272,5.065947,5.116607,5135229,1.320314
"AIV",2003-09-09,5.123272,5.144603,5.076612,5.112607,2421344,1.319282
"AIV",2003-09-10,5.107275,5.11794,5.044617,5.065947,2795647,1.307241
"AIV",2003-09-11,5.068614,5.128605,5.068614,5.123272,1966029,1.322034
"AIV",2003-09-12,5.127272,5.18593,5.065947,5.180598,1714743,1.336826
"AIV",2003-09-15,5.160601,5.177931,5.115274,5.135271,1528717,1.32513
"AIV",2003-09-16,5.125939,5.167266,5.104608,5.140603,1880517,1.326506
"AIV",2003-09-17,5.125939,5.125939,5.072613,5.09261,1356193,1.314122
"AIV",2003-09-18,5.112607,5.171266,5.083278,5.165933,2522608,1.333042
"AIV",2003-09-19,5.165933,5.217926,5.151269,5.199262,4663412,1.341643
"AIV",2003-09-22,5.200595,5.200595,5.155268,5.184597,1600727,1.337858
"AIV",2003-09-23,5.167266,5.23259,5.165933,5.225925,2195562,1.348523
"AIV",2003-09-24,5.225925,5.255254,5.173932,5.195262,1765751,1.34061
"AIV",2003-09-25,5.18593,5.205927,5.135271,5.14327,1759000,1.327194
"AIV",2003-09-26,5.13927,5.163267,5.11794,5.152602,1297684,1.329602
"AIV",2003-09-29,5.147269,5.18993,5.120606,5.18993,1137161,1.339235
"AIV",2003-09-30,5.172599,5.264586,5.136604,5.247255,3783537,1.354027
"AIV",2003-10-01,5.225925,5.268585,5.192596,5.260586,2828652,1.357467
"AIV",2003-10-02,5.27925,5.328577,5.265919,5.30858,2359835,1.369851
"AIV",2003-10-03,5.339242,5.427229,5.339242,5.416564,2835403,1.397717
"AIV",2003-10-06,5.416564,5.497886,5.416564,5.497886,2391340,1.4187
"AIV",2003-10-07,5.479222,5.511217,5.421897,5.505885,2595368,1.420765
"AIV",2003-10-08,5.499219,5.515217,5.468557,5.512551,1469459,1.422485
"AIV",2003-10-09,5.539213,5.585873,5.535214,5.572542,2065043,1.437965
"AIV",2003-10-10,5.572542,5.579208,5.53788,5.564543,1653985,1.435901
"AIV",2003-10-13,5.565876,5.599205,5.560544,5.592539,1854263,1.443126
"AIV",2003-10-14,5.585873,5.601871,5.579208,5.596539,1791254,1.444159
"AIV",2003-10-15,5.596539,5.605871,5.553878,5.556544,2161807,1.433837
"AIV",2003-10-16,5.559211,5.591206,5.548545,5.585873,1410200,1.441406
"AIV",2003-10-17,5.597872,5.599205,5.525882,5.535214,2929916,1.428334
"AIV",2003-10-20,5.561877,5.593872,5.545879,5.565876,4097082,1.436245
"AIV",2003-10-21,5.565876,5.58454,5.539213,5.545879,1314937,1.431085
"AIV",2003-10-22,5.545879,5.569876,5.475223,5.477889,3163949,1.413541
"AIV",2003-10-23,5.481888,5.481888,5.404566,5.432562,3328973,1.401845
"AIV",2003-10-24,5.432562,5.451226,5.359239,5.41923,2655377,1.398404
"AIV",2003-10-27,5.420564,5.56321,5.41923,5.465891,5136729,1.410445
"AIV",2003-10-28,5.472556,5.492553,5.320578,5.452559,2762642,1.407004
"AIV",2003-10-29,5.455225,5.512551,5.447226,5.460558,2108549,1.409069
"AIV",2003-10-30,5.460558,5.499219,5.453892,5.459225,2565364,1.408725
"AIV",2003-10-31,5.479222,5.517883,5.424563,5.452559,1990783,1.407004
"AIV",2003-11-03,5.436561,5.519216,5.41923,5.503219,2565364,1.420077
"AIV",2003-11-04,5.492553,5.492553,4.913969,4.945964,35385524,1.27628
"AIV",2003-11-05,4.883307,4.90597,4.816649,4.829981,12574785,1.246352
"AIV",2003-11-06,4.803318,4.900637,4.757991,4.871308,6209382,1.257016
"AIV",2003-11-07,4.897971,4.935299,4.825981,4.832647,6467418,1.247039
"AIV",2003-11-10,4.76599,4.767323,4.514026,4.606013,26922822,1.188558
"AIV",2003-11-11,4.623343,4.732661,4.598014,4.663338,5975348,1.203351
"AIV",2003-11-12,4.67267,4.711331,4.587349,4.599347,8908265,1.186838
"AIV",2003-11-13,4.599347,4.690001,4.580683,4.679336,4074579,1.207478
"AIV",2003-11-14,4.666004,4.731328,4.666004,4.692667,4598903,1.210919
"AIV",2003-11-17,4.699333,4.699333,4.659338,4.679336,6936985,1.207478
"AIV",2003-11-18,4.639341,4.652673,4.57935,4.580683,5176485,1.202579
"AIV",2003-11-19,4.606013,4.606013,4.560686,4.566018,3139196,1.198729
"AIV",2003-11-20,4.55402,4.556686,4.495362,4.523358,3234459,1.187529
"AIV",2003-11-21,4.53269,4.548687,4.400708,4.400708,6142622,1.155329
"AIV",2003-11-24,4.402042,4.500694,4.399375,4.476698,8082398,1.175279
"AIV",2003-11-25,4.496695,4.556686,4.483363,4.547354,3159449,1.193829
"AIV",2003-11-26,4.552687,4.592681,4.523358,4.574017,4271857,1.200829
"AIV",2003-11-28,4.559353,4.598014,4.536689,4.539355,1776252,1.191729
"AIV",2003-12-01,4.559353,4.586015,4.547354,4.556686,5491530,1.196278
"AIV",2003-12-02,4.559353,4.566018,4.522025,4.540689,3370229,1.192078
"AIV",2003-12-03,4.567351,4.57935,4.535356,4.543355,2584117,1.192779
"AIV",2003-12-04,4.559353,4.566018,4.534023,4.556686,3378480,1.196278
"AIV",2003-12-05,4.558019,4.607346,4.53269,4.534023,2144554,1.190329
"AIV",2003-12-08,4.526024,4.559353,4.515359,4.53269,1639733,1.189979
"AIV",2003-12-09,4.560686,4.560686,4.491362,4.539355,1662986,1.191729
"AIV",2003-12-10,4.527357,4.547354,4.50736,4.539355,1650234,1.191729
"AIV",2003-12-11,4.538022,4.62601,4.538022,4.590015,2455849,1.205029
"AIV",2003-12-12,4.583349,4.644674,4.583349,4.638008,3789538,1.217628
"AIV",2003-12-15,4.659338,4.664671,4.586015,4.599347,1871516,1.207478
"AIV",2003-12-16,4.612678,4.640674,4.57535,4.640674,1858014,1.218328
"AIV",2003-12-17,4.62601,4.62601,4.603346,4.611345,2397340,1.210628
"AIV",2003-12-18,4.632675,4.632675,4.611345,4.618011,3435488,1.212378
"AIV",2003-12-19,4.616678,4.655339,4.592681,4.632675,5081221,1.216228
"AIV",2003-12-22,4.639341,4.670004,4.606013,4.646007,2012536,1.219728
"AIV",2003-12-23,4.632675,4.67267,4.620677,4.632675,1479960,1.216228
"AIV",2003-12-24,4.632675,4.638008,4.614011,4.623343,953385,1.213778
"AIV",2003-12-26,4.623343,4.664671,4.598014,4.604679,1011144,1.208879
"AIV",2003-12-29,4.630009,4.644674,4.598014,4.619344,3667271,1.212729
"AIV",2003-12-30,4.619344,4.663338,4.608679,4.62601,2779145,1.214478
"AIV",2003-12-31,4.646007,4.666004,4.584682,4.599347,4066327,1.207478
"AIV",2004-01-02,4.62601,4.627343,4.574017,4.594014,2548112,1.206079
"AIV",2004-01-05,4.612678,4.650006,4.587349,4.608679,3766285,1.209929
"AIV",2004-01-06,4.652673,4.663338,4.587349,4.659338,5006961,1.223228
"AIV",2004-01-07,4.652673,4.652673,4.526024,4.536689,6513175,1.191028
"AIV",2004-01-08,4.552687,4.616678,4.540689,4.616678,4215599,1.212028
"AIV",2004-01-09,4.612678,4.612678,4.555353,4.572684,2784395,1.200478
"AIV",2004-01-12,4.568685,4.57935,4.538022,4.562019,3119693,1.197678
"AIV",2004-01-13,4.562019,4.591348,4.531357,4.571351,3090439,1.200129
"AIV",2004-01-14,4.555353,4.596681,4.544688,4.592681,2463350,1.205729
"AIV",2004-01-15,4.586015,4.586015,4.534023,4.566018,3286217,1.198729
