"symbol","date","open","high","low","close","volume","adjusted"
"ALLE",2013-12-02,43.080002,43.669998,41.52,43.139999,5130700,39.864281
"ALLE",2013-12-03,42.799999,44.849998,42.700001,42.900002,3239300,39.642506
"ALLE",2013-12-04,42.43,42.610001,41.650002,41.830002,2777700,38.653755
"ALLE",2013-12-05,42.279999,42.279999,40.630001,41.049999,3380500,37.932972
"ALLE",2013-12-06,40.75,41.060001,40.639999,40.700001,4662300,37.60955
"ALLE",2013-12-09,40.700001,41.27,40.240002,41.18,3074000,38.053104
"ALLE",2013-12-10,41.07,42.84,41.040001,42.560001,3289400,39.328316
"ALLE",2013-12-11,42.32,43.02,42,42.459999,3367300,39.235909
"ALLE",2013-12-12,42.009998,43.099998,42,42.970001,1770500,39.707188
"ALLE",2013-12-13,42.919998,43.799999,42.919998,43.25,683800,39.965935
"ALLE",2013-12-16,43.009998,43.990002,42.110001,43.689999,1953900,40.372517
"ALLE",2013-12-17,43.43,44,43.16,43.75,1396700,40.427967
"ALLE",2013-12-18,43.650002,44.5,43.099998,44.27,1225200,40.908478
"ALLE",2013-12-19,43.959999,44.5,43.82,44.450001,593000,41.074814
"ALLE",2013-12-20,44.299999,44.450001,43.91,44.259998,2878600,40.899231
"ALLE",2013-12-23,44.169998,44.849998,43.549999,44.650002,773600,41.259621
"ALLE",2013-12-24,44.759998,45.02,44.25,44.580002,304700,41.194942
"ALLE",2013-12-26,44.860001,45.009998,44.439999,44.700001,513200,41.305828
"ALLE",2013-12-27,44.77,44.970001,44.09,44.639999,393300,41.250374
"ALLE",2013-12-30,44.450001,44.880001,44,44.119999,381500,40.769863
"ALLE",2013-12-31,44.23,44.5,43.759998,44.189999,874200,40.834538
"ALLE",2014-01-02,44.080002,44.18,43.27,43.650002,992900,40.335552
"ALLE",2014-01-03,43.57,44.32,43.169998,43.959999,378400,40.622005
"ALLE",2014-01-06,43.970001,43.98,43.369999,43.68,597800,40.363285
"ALLE",2014-01-07,42.16,43.98,42.16,43.869999,1371300,40.538841
"ALLE",2014-01-08,44.02,44.360001,43.400002,43.880001,1407100,40.548084
"ALLE",2014-01-09,43.889999,44.25,43.84,44.130001,1093500,40.779106
"ALLE",2014-01-10,44.169998,46.080002,44.02,45.73,2008600,42.257614
"ALLE",2014-01-13,45.700001,47.439999,45.200001,47.040001,2278500,43.468147
"ALLE",2014-01-14,47.16,47.889999,46.91,47.799999,2338200,44.170433
"ALLE",2014-01-15,47.970001,49.189999,47.259998,47.5,1733000,43.893204
"ALLE",2014-01-16,47.279999,47.68,47.040001,47.400002,1178700,43.800823
"ALLE",2014-01-17,47.52,48.240002,47,48,1572100,44.355247
"ALLE",2014-01-21,49.380001,49.380001,47.939999,48.169998,1570400,44.512333
"ALLE",2014-01-22,48.110001,49.16,48.080002,48.509998,682200,44.826511
"ALLE",2014-01-23,48.68,48.68,47.580002,47.720001,867600,44.096508
"ALLE",2014-01-24,47.619999,47.709999,45.830002,46.84,1417500,43.283321
"ALLE",2014-01-27,45.200001,48,45.200001,46.599998,717800,43.061546
"ALLE",2014-01-28,46.77,47.880001,46.77,47.73,721700,44.105751
"ALLE",2014-01-29,47.349998,48.48,47.130001,47.779999,800900,44.151958
"ALLE",2014-01-30,47.91,49.630001,47.830002,49.419998,1247100,45.667431
"ALLE",2014-01-31,49.25,49.959999,49.029999,49.349998,2011100,45.602722
"ALLE",2014-02-03,49.349998,49.939999,47.200001,47.439999,1184800,43.837765
"ALLE",2014-02-04,47.439999,48.48,47.32,48.049999,891300,44.401447
"ALLE",2014-02-05,47.84,48.650002,47.150002,47.599998,823100,43.985619
"ALLE",2014-02-06,47.5,49.27,47.5,49.240002,1168400,45.501091
"ALLE",2014-02-07,49.330002,50.27,49.330002,49.939999,1837500,46.147945
"ALLE",2014-02-10,49.990002,50.119999,49.450001,49.84,763400,46.055527
"ALLE",2014-02-11,49.73,50.41,49.330002,49.889999,1446100,46.101738
"ALLE",2014-02-12,49.919998,51,49.73,50,1405300,46.203369
"ALLE",2014-02-13,49.98,50.439999,49.59,50.119999,695000,46.314262
"ALLE",2014-02-14,50.150002,50.25,49.59,49.630001,891700,45.861481
"ALLE",2014-02-18,49.720001,50.860001,49.720001,50.110001,2748500,46.305035
"ALLE",2014-02-19,49.84,50.34,49.029999,49.16,1076100,45.427162
"ALLE",2014-02-20,50.23,52.779999,49.099998,51.52,2623600,47.607983
"ALLE",2014-02-21,51.75,52.790001,51.75,52.369999,2198700,48.393417
"ALLE",2014-02-24,52.360001,53.110001,52.360001,52.860001,667900,48.846222
"ALLE",2014-02-25,53,54.580002,52.93,54.560001,1117600,50.417137
"ALLE",2014-02-26,54.830002,55.779999,54.18,54.66,1880100,50.509544
"ALLE",2014-02-27,54.689999,55.529999,54.209999,55.349998,1139900,51.147144
"ALLE",2014-02-28,55.09,55.32,53.82,54.349998,1198500,50.223064
"ALLE",2014-03-03,54.669998,54.93,53.080002,53.490002,659600,49.428383
"ALLE",2014-03-04,53.709999,55,53.48,54,1189900,49.899647
"ALLE",2014-03-05,53.900002,54.310001,53.380001,53.950001,395000,49.853451
"ALLE",2014-03-06,53.990002,54.099998,53.040001,53.189999,617400,49.151169
"ALLE",2014-03-07,53.439999,53.779999,52.59,53.389999,776100,49.335979
"ALLE",2014-03-10,53.200001,53.669998,52.240002,53.290001,1155300,49.243568
"ALLE",2014-03-11,53.490002,54.799999,53.450001,54.5,874700,50.361698
"ALLE",2014-03-12,54.419998,54.740002,52.77,54.279999,1255500,50.158386
"ALLE",2014-03-13,54.459999,54.709999,53.130001,53.599998,946400,49.603123
"ALLE",2014-03-14,53.619999,53.950001,53.25,53.299999,1071800,49.325497
"ALLE",2014-03-17,53.439999,53.830002,52.93,52.959999,1011700,49.01086
"ALLE",2014-03-18,52.950001,53.490002,52.709999,53.279999,880800,49.306995
"ALLE",2014-03-19,53.18,54,52.919998,53.279999,645000,49.306995
"ALLE",2014-03-20,53.41,54.220001,52.82,54.169998,628100,50.130634
"ALLE",2014-03-21,54.380001,54.810001,53.740002,53.810001,1356800,49.797474
"ALLE",2014-03-24,54,54.23,53.040001,53.470001,895600,49.482826
"ALLE",2014-03-25,53.700001,53.900002,53.169998,53.209999,708000,49.242214
"ALLE",2014-03-26,53.32,53.5,52.009998,52.040001,691100,48.15947
"ALLE",2014-03-27,51.869999,51.970001,51.189999,51.450001,492900,47.613445
"ALLE",2014-03-28,51.619999,52.439999,51.540001,52.16,346100,48.270515
"ALLE",2014-03-31,52.380001,52.580002,51.91,52.169998,334600,48.279751
"ALLE",2014-04-01,52.439999,54.060001,52.290001,53.919998,593600,49.899265
"ALLE",2014-04-02,53.919998,54.810001,53.59,54.669998,500500,50.59333
"ALLE",2014-04-03,54.77,55,54.580002,54.950001,427900,50.852467
"ALLE",2014-04-04,54.82,55.349998,53,53.73,492000,49.723438
"ALLE",2014-04-07,53.709999,54,51.529999,51.619999,1054200,47.770782
"ALLE",2014-04-08,51.34,51.779999,50.810001,51.41,1213700,47.576435
"ALLE",2014-04-09,51.459999,51.59,51.23,51.5,1212800,47.659721
"ALLE",2014-04-10,51.52,51.790001,50.119999,50.68,1488500,46.900864
"ALLE",2014-04-11,50.529999,50.900002,49.860001,50.009998,1184600,46.280838
"ALLE",2014-04-14,50.279999,50.610001,49.18,49.77,605900,46.058723
"ALLE",2014-04-15,49.880001,50.43,48.93,49.959999,419300,46.234558
"ALLE",2014-04-16,50.16,50.720001,49.84,50.23,254000,46.484425
"ALLE",2014-04-17,50.07,50.540001,49.43,50.150002,427200,46.4104
"ALLE",2014-04-21,49.98,50.650002,49.599998,50.630001,225700,46.854595
"ALLE",2014-04-22,50.709999,51.150002,50.360001,51,422500,47.197014
"ALLE",2014-04-23,50.889999,50.959999,49.98,50.400002,507800,46.64175
"ALLE",2014-04-24,50.619999,50.779999,49.720001,50.240002,659800,46.493683
"ALLE",2014-04-25,49.950001,50.389999,49.369999,49.540001,290300,45.845882
"ALLE",2014-04-28,49.84,50.080002,48.450001,48.82,605400,45.179569
"ALLE",2014-04-29,48.959999,49.43,48.459999,48.900002,442000,45.253609
"ALLE",2014-04-30,49,49.459999,48.439999,49.349998,481100,45.670036
"ALLE",2014-05-01,51,51.860001,49.48,51.25,722100,47.428368
"ALLE",2014-05-02,51.18,51.740002,50.25,50.700001,479000,46.919384
"ALLE",2014-05-05,50.279999,50.52,49.57,50.060001,413800,46.327099
"ALLE",2014-05-06,49.950001,50.16,49.549999,49.889999,596000,46.1698
"ALLE",2014-05-07,49.889999,50.32,49.34,49.93,598000,46.206806
"ALLE",2014-05-08,49.599998,50.400002,49.110001,49.360001,530600,45.679295
"ALLE",2014-05-09,49.200001,50.16,48.669998,50,489100,46.271576
"ALLE",2014-05-12,50.049999,50.84,50.049999,50.48,586100,46.715771
