"symbol","date","open","high","low","close","volume","adjusted"
"BAC",1996-01-02,17.34375,17.4375,17.25,17.34375,1892400,8.776755
"BAC",1996-01-03,17.4375,17.59375,17.1875,17.1875,3606800,8.697678
"BAC",1996-01-04,17.125,17.25,16.75,16.78125,5502000,8.492101
"BAC",1996-01-05,16.5,16.59375,16.1875,16.4375,8226800,8.318146
"BAC",1996-01-08,16.40625,16.65625,16.375,16.65625,1634400,8.428844
"BAC",1996-01-09,16.71875,16.71875,16.46875,16.550781,6674400,8.375475
"BAC",1996-01-10,16.5,16.625,16.28125,16.3125,6672000,8.254891
"BAC",1996-01-11,16.46875,16.46875,16.28125,16.40625,2596000,8.302328
"BAC",1996-01-12,16.4375,16.65625,16.25,16.53125,4012800,8.36559
"BAC",1996-01-15,16.5625,16.65625,16.375,16.40625,3866400,8.302328
"BAC",1996-01-16,16.5,16.5625,16.09375,16.5,8422400,8.349769
"BAC",1996-01-17,16.5625,16.625,16.4375,16.59375,5702400,8.397219
"BAC",1996-01-18,16.75,16.75,16.3125,16.46875,3342400,8.333964
"BAC",1996-01-19,16.46875,16.75,16.3125,16.6875,4556000,8.444659
"BAC",1996-01-22,16.5625,16.875,16.53125,16.75,2461600,8.47629
"BAC",1996-01-23,16.71875,16.78125,16.59375,16.78125,2012800,8.492101
"BAC",1996-01-24,16.75,16.78125,16.625,16.75,2700000,8.47629
"BAC",1996-01-25,16.75,16.96875,16.6875,16.75,4171600,8.47629
"BAC",1996-01-26,16.75,16.8125,16.5625,16.75,1996400,8.47629
"BAC",1996-01-29,16.78125,17.125,16.625,17.125,2331200,8.666052
"BAC",1996-01-30,17.21875,17.34375,17.15625,17.25,3321200,8.729309
"BAC",1996-01-31,17.3125,17.5,17.21875,17.46875,5628000,8.840006
"BAC",1996-02-01,17.5,17.5,17.09375,17.1875,9975200,8.697678
"BAC",1996-02-02,17.15625,17.375,17,17.1875,4112000,8.697678
"BAC",1996-02-05,17.125,17.40625,17.03125,17.28125,2597600,8.745124
"BAC",1996-02-06,17.34375,17.5625,17.3125,17.375,4653600,8.792566
"BAC",1996-02-07,17.5,17.6875,17.40625,17.625,5961200,8.919075
"BAC",1996-02-08,17.6875,18.5625,17.65625,18.375,5296800,9.298614
"BAC",1996-02-09,18.34375,18.625,18.28125,18.375,4092400,9.298614
"BAC",1996-02-12,18.4375,18.53125,18.3125,18.40625,2722000,9.314425
"BAC",1996-02-13,18.34375,18.59375,18.34375,18.46875,3000400,9.346054
"BAC",1996-02-14,18.46875,18.625,18.25,18.28125,3085600,9.251168
"BAC",1996-02-15,18.34375,18.59375,18.28125,18.5,2256400,9.361866
"BAC",1996-02-16,18.5,18.5,18.15625,18.3125,3780000,9.266977
"BAC",1996-02-20,18.125,18.1875,17.875,18,5360800,9.108841
"BAC",1996-02-21,18,18.4375,17.96875,18.40625,3210400,9.314425
"BAC",1996-02-22,18.5625,18.875,18.46875,18.59375,5047200,9.409307
"BAC",1996-02-23,18.65625,18.8125,18.5,18.65625,3513200,9.440936
"BAC",1996-02-26,18.6875,19.0625,18.625,18.90625,4487200,9.567447
"BAC",1996-02-27,18.90625,18.9375,18.65625,18.75,3268800,9.488383
"BAC",1996-02-28,18.71875,18.96875,18.53125,18.6875,2328000,9.530451
"BAC",1996-02-29,18.625,18.6875,18.375,18.4375,2911600,9.402961
"BAC",1996-03-01,18.625,18.90625,18.375,18.8125,4333200,9.594199
"BAC",1996-03-04,19,19.15625,18.875,19.15625,2962400,9.769511
"BAC",1996-03-05,19.03125,19.71875,19,19.625,3048400,10.008575
"BAC",1996-03-06,19.6875,19.75,19.40625,19.46875,3397200,9.928882
"BAC",1996-03-07,19.40625,19.6875,19.25,19.34375,3363200,9.865131
"BAC",1996-03-08,18.90625,19.0625,18.53125,18.59375,4671600,9.482639
"BAC",1996-03-11,18.5625,18.78125,18.3125,18.5625,3638400,9.466704
"BAC",1996-03-12,18.3125,18.46875,17.75,18.40625,6066800,9.387016
"BAC",1996-03-13,18.53125,18.65625,18.28125,18.34375,2426400,9.355142
"BAC",1996-03-14,18.40625,18.5625,18.34375,18.40625,2471600,9.387016
"BAC",1996-03-15,18.375,18.53125,18.25,18.5,3344800,9.434829
"BAC",1996-03-18,18.59375,19.15625,18.59375,18.96875,2135200,9.673892
"BAC",1996-03-19,19.03125,19.15625,18.6875,18.78125,2240000,9.578268
"BAC",1996-03-20,18.84375,18.875,18.59375,18.78125,2155200,9.578268
"BAC",1996-03-21,18.75,18.8125,18.46875,18.5,2416800,9.434829
"BAC",1996-03-22,18.625,18.84375,18.59375,18.8125,2048800,9.594199
"BAC",1996-03-25,19.1875,19.28125,18.90625,18.96875,3526000,9.673892
"BAC",1996-03-26,18.9375,19.3125,18.9375,19.25,2311600,9.817322
"BAC",1996-03-27,19.25,19.78125,19.21875,19.625,7557600,10.008575
"BAC",1996-03-28,19.5625,19.84375,19.5,19.71875,4535600,10.056382
"BAC",1996-03-29,19.96875,20.34375,19.8125,20.03125,6886000,10.215752
"BAC",1996-04-01,20.21875,20.6875,20.21875,20.6875,3926400,10.550439
"BAC",1996-04-02,20.625,20.65625,20.40625,20.5625,2405200,10.486685
"BAC",1996-04-03,20.5,20.53125,20.375,20.5,1822000,10.454807
"BAC",1996-04-04,20.5625,20.6875,20.46875,20.5625,3050000,10.486685
"BAC",1996-04-08,20.1875,20.1875,19.78125,20.15625,5518400,10.279499
"BAC",1996-04-09,20.1875,20.21875,19.6875,19.84375,3462800,10.120134
"BAC",1996-04-10,19.84375,19.84375,18.96875,19.0625,3372000,9.721698
"BAC",1996-04-11,19.1875,19.21875,18.6875,18.875,4760800,9.626078
"BAC",1996-04-12,18.90625,19.3125,18.875,19.25,5092800,9.817322
"BAC",1996-04-15,19.46875,19.875,19.4375,19.75,4693200,10.072322
"BAC",1996-04-16,19.75,19.75,19.25,19.28125,3621200,9.83326
"BAC",1996-04-17,19.25,19.3125,19.0625,19.3125,4141600,9.849194
"BAC",1996-04-18,19.25,19.4375,19.15625,19.3125,2326000,9.849194
"BAC",1996-04-19,19.3125,19.375,19.09375,19.25,2258800,9.817322
"BAC",1996-04-22,19.375,19.53125,19.3125,19.5,2270000,9.944817
"BAC",1996-04-23,19.40625,19.625,19.34375,19.53125,2406800,9.960753
"BAC",1996-04-24,19.5625,19.625,19.40625,19.5,1858800,9.944817
"BAC",1996-04-25,19.5,19.8125,19.375,19.75,3059600,10.072322
"BAC",1996-04-26,19.75,19.96875,19.71875,19.9375,1800400,10.167943
"BAC",1996-04-29,19.875,19.875,19.6875,19.75,2267200,10.072322
"BAC",1996-04-30,19.6875,19.96875,19.65625,19.96875,1458000,10.183881
"BAC",1996-05-01,19.875,20.03125,19.875,20,2012800,10.199817
"BAC",1996-05-02,19.875,19.90625,19.34375,19.375,3254400,9.881073
"BAC",1996-05-03,19.5,19.78125,19.40625,19.46875,4564000,9.928882
"BAC",1996-05-06,19.4375,19.5,19.03125,19.1875,2584000,9.785448
"BAC",1996-05-07,19.09375,19.375,18.9375,19.3125,3818000,9.849194
"BAC",1996-05-08,19.25,19.875,19,19.78125,4213600,10.088257
"BAC",1996-05-09,19.71875,19.96875,19.625,19.75,2355200,10.072322
"BAC",1996-05-10,19.96875,20.21875,19.90625,20.09375,2516400,10.247622
"BAC",1996-05-13,20.09375,20.125,20,20.125,2582000,10.263567
"BAC",1996-05-14,20.1875,20.34375,20.125,20.3125,2158400,10.359184
"BAC",1996-05-15,20.25,20.40625,20.09375,20.125,1818800,10.263567
"BAC",1996-05-16,20.03125,20.21875,19.96875,20.15625,3027600,10.279499
"BAC",1996-05-17,20.25,20.375,20.21875,20.3125,1872800,10.359184
"BAC",1996-05-20,20.28125,20.5,20.28125,20.4375,1418000,10.422935
"BAC",1996-05-21,20.375,20.5,20.34375,20.46875,1775200,10.438876
"BAC",1996-05-22,20.5,20.65625,20.375,20.65625,2592000,10.534499
"BAC",1996-05-23,20.6875,20.6875,20.3125,20.375,3066400,10.391064
"BAC",1996-05-24,20.4375,20.5,20.21875,20.375,1744000,10.391064
"BAC",1996-05-28,20.4375,20.4375,20.15625,20.1875,2655200,10.295444
"BAC",1996-05-29,20.15625,20.375,20.03125,20.09375,1917200,10.247622
"BAC",1996-05-30,20.09375,20.34375,20.03125,20.28125,4456000,10.343253
"BAC",1996-05-31,20.25,20.375,20.15625,20.28125,2973200,10.343253
"BAC",1996-06-03,20.1875,20.40625,20.09375,20.40625,2251200,10.407001
"BAC",1996-06-04,20.5625,21,20.53125,21,4228800,10.709805
"BAC",1996-06-05,20.84375,21.09375,20.65625,21.09375,2955200,10.832413
"BAC",1996-06-06,21.125,21.15625,20.90625,20.96875,3373200,10.768228
"BAC",1996-06-07,20.3125,20.59375,20.25,20.59375,6977600,10.575644
"BAC",1996-06-10,20.5,20.5625,20.453125,20.53125,1996800,10.543555
"BAC",1996-06-11,20.625,20.78125,20.5,20.65625,2626000,10.60774
"BAC",1996-06-12,20.6875,20.96875,20.6875,20.8125,4768000,10.687983
"BAC",1996-06-13,20.8125,20.96875,20.6875,20.96875,2204800,10.768228
"BAC",1996-06-14,20.9375,20.96875,20.78125,20.8125,1555200,10.687983
"BAC",1996-06-17,20.75,20.8125,20.5,20.75,2302400,10.65589
"BAC",1996-06-18,20.625,20.71875,20.5,20.53125,2327600,10.543555
"BAC",1996-06-19,20.5,20.53125,20.1875,20.21875,2454800,10.383072
"BAC",1996-06-20,20.125,20.15625,19.8125,19.96875,3526400,10.254684
"BAC",1996-06-21,20.03125,20.03125,19.5625,19.71875,4143600,10.126297
"BAC",1996-06-24,19.84375,20.3125,19.84375,20.03125,3008400,10.286782
"BAC",1996-06-25,20.09375,20.375,20.0625,20.25,2251200,10.399116
"BAC",1996-06-26,20.28125,20.40625,20.03125,20.0625,1988800,10.302833
"BAC",1996-06-27,20.03125,20.40625,19.90625,20.375,2594400,10.46331
"BAC",1996-06-28,20.4375,20.78125,20.375,20.65625,4197200,10.60774
"BAC",1996-07-01,20.6875,21.09375,20.6875,21.0625,2188000,10.816373
"BAC",1996-07-02,21.09375,21.09375,20.90625,21,1866800,10.784268
"BAC",1996-07-03,20.96875,21.28125,20.8125,21.15625,1824000,10.864516
"BAC",1996-07-05,20.75,20.84375,20.5,20.5,1720000,10.527501
"BAC",1996-07-08,20.3125,20.4375,20.0625,20.09375,3484800,10.318879
"BAC",1996-07-09,20.15625,20.34375,20,20,3072400,10.270733
"BAC",1996-07-10,20.21875,20.34375,20.03125,20.34375,1881200,10.44726
"BAC",1996-07-11,20.34375,20.34375,19.75,20.09375,3864400,10.318879
"BAC",1996-07-12,20.03125,20.21875,19.96875,20.078125,3093200,10.310851
"BAC",1996-07-15,20,20.1875,19.75,19.8125,2567200,10.174443
"BAC",1996-07-16,19.875,20.03125,19.09375,19.78125,6756400,10.1584
"BAC",1996-07-17,20,20.25,19.8125,20.15625,3342000,10.350965
"BAC",1996-07-18,20.375,20.71875,20.1875,20.46875,7129600,10.511456
"BAC",1996-07-19,20.5,20.53125,20.375,20.4375,4401600,10.495403
"BAC",1996-07-22,20.40625,20.59375,20.3125,20.4375,4303200,10.495403
"BAC",1996-07-23,20.5,20.65625,20.4375,20.59375,2740800,10.575644
"BAC",1996-07-24,20.46875,20.8125,20.4375,20.78125,2715200,10.671932
"BAC",1996-07-25,20.9375,21.03125,20.875,20.90625,2650800,10.73612
"BAC",1996-07-26,20.90625,20.96875,20.75,20.875,2096800,10.720076
"BAC",1996-07-29,20.84375,20.96875,20.78125,20.84375,1907200,10.70403
"BAC",1996-07-30,21.0625,21.3125,20.96875,21.21875,3648000,10.896604
"BAC",1996-07-31,21.21875,21.5,21.1875,21.5,3324400,11.041037
"BAC",1996-08-01,21.46875,21.78125,21.4375,21.5,5290400,11.041037
"BAC",1996-08-02,21.6875,22.3125,21.6875,22.125,9468000,11.362
"BAC",1996-08-05,22.125,22.28125,22.03125,22.03125,4068800,11.313857
"BAC",1996-08-06,22,22.3125,21.96875,22.125,4169200,11.362
"BAC",1996-08-07,22.1875,22.3125,22.125,22.21875,3346000,11.410144
"BAC",1996-08-08,22.1875,22.4375,22.1875,22.4375,4276400,11.522479
"BAC",1996-08-09,22.5,22.8125,22.46875,22.75,6396400,11.682961
"BAC",1996-08-12,22.71875,22.84375,22.6875,22.8125,7053200,11.715053
"BAC",1996-08-13,22.75,22.84375,22.65625,22.6875,2966400,11.650864
"BAC",1996-08-14,22.625,22.8125,22.5625,22.65625,3787200,11.634819
"BAC",1996-08-15,22.59375,22.78125,22.59375,22.71875,2778000,11.666915
"BAC",1996-08-16,22.78125,23.03125,22.75,22.90625,3881200,11.763198
"BAC",1996-08-19,22.9375,23.21875,22.9375,23.125,2698400,11.875534
"BAC",1996-08-20,23.0625,23.375,23.0625,23.09375,3812000,11.859488
"BAC",1996-08-21,23.03125,23.09375,22.9375,23.09375,6178000,11.859488
"BAC",1996-08-22,23.03125,23.53125,23.03125,23.46875,2970000,12.052068
"BAC",1996-08-23,23.40625,23.4375,23.21875,23.34375,4301600,11.987871
"BAC",1996-08-26,23.34375,23.46875,23.21875,23.4375,3154000,12.036016
"BAC",1996-08-27,23.5,23.53125,23.34375,23.40625,3085600,12.01997
"BAC",1996-08-28,23.34375,23.40625,23.28125,23.3125,4416800,11.971823
"BAC",1996-08-29,23.25,23.34375,23.09375,23.09375,9281200,11.859488
"BAC",1996-08-30,22.15625,22.1875,21.15625,21.28125,26468800,10.928703
"BAC",1996-09-03,21,21.0625,20.53125,21,18928000,10.784268
"BAC",1996-09-04,21.0625,21.0625,20.8125,20.9375,10714400,10.826932
"BAC",1996-09-05,20.8125,20.9375,20.5,20.5,6977600,10.600696
"BAC",1996-09-06,20.53125,20.96875,20.5,20.90625,8519600,10.810767
"BAC",1996-09-09,21.125,21.28125,21.03125,21.21875,6361200,10.972367
"BAC",1996-09-10,21.15625,21.21875,20.90625,21.0625,4745200,10.891576
"BAC",1996-09-11,21,21.125,20.96875,21.03125,4179200,10.875408
"BAC",1996-09-12,21.09375,21.21875,21.03125,21.21875,4412000,10.972367
"BAC",1996-09-13,21.65625,21.65625,21.375,21.40625,4991200,11.069324
"BAC",1996-09-16,21.375,21.59375,21.375,21.53125,3854800,11.133959
"BAC",1996-09-17,21.46875,21.5,21.21875,21.46875,4850800,11.101648
"BAC",1996-09-18,21.4375,21.5,21.3125,21.40625,2496800,11.069324
"BAC",1996-09-19,21.28125,21.3125,21.15625,21.15625,3938000,10.940053
"BAC",1996-09-20,21.1875,21.28125,20.875,20.875,7082800,10.794612
"BAC",1996-09-23,20.90625,21.09375,20.75,21.03125,6540000,10.875408
"BAC",1996-09-24,21.0625,21.1875,20.84375,21,6555200,10.859249
"BAC",1996-09-25,21.03125,21.375,20.96875,21.34375,8125200,11.037004
"BAC",1996-09-26,21.375,21.75,21.34375,21.53125,9789600,11.133959
"BAC",1996-09-27,21.5,21.6875,21.5,21.65625,6377600,11.198601
"BAC",1996-09-30,21.65625,21.78125,21.65625,21.71875,5025200,11.230925
"BAC",1996-10-01,21.84375,21.84375,21.5625,21.59375,2920000,11.16628
"BAC",1996-10-02,21.71875,21.875,21.65625,21.84375,4462000,11.295561
"BAC",1996-10-03,21.78125,21.90625,21.78125,21.90625,2749600,11.327879
"BAC",1996-10-04,21.9375,22.3125,21.9375,22.15625,3464800,11.457156
"BAC",1996-10-07,22.1875,22.21875,22.0625,22.21875,2131200,11.489475
"BAC",1996-10-08,22.15625,22.34375,22.125,22.21875,2659200,11.489475
"BAC",1996-10-09,22.25,22.28125,21.78125,22.09375,2364800,11.424836
"BAC",1996-10-10,22.09375,22.09375,21.84375,21.875,1377200,11.311716
"BAC",1996-10-11,22,22.15625,21.9375,22.0625,2300800,11.408678
"BAC",1996-10-14,22.09375,22.3125,22.0625,22.3125,2958400,11.537957
"BAC",1996-10-15,22.4375,22.5,22.15625,22.21875,3034400,11.489475
"BAC",1996-10-16,22.15625,22.15625,21.9375,22.0625,2327600,11.408678
"BAC",1996-10-17,22.125,22.234375,22.0625,22.15625,2232800,11.457156
"BAC",1996-10-18,22.21875,22.46875,22.125,22.46875,2526000,11.618748
"BAC",1996-10-21,22.4375,22.84375,22.40625,22.84375,2390400,11.812668
"BAC",1996-10-22,22.84375,22.84375,22.625,22.71875,2559600,11.748034
"BAC",1996-10-23,22.625,22.78125,22.5625,22.625,3214000,11.699549
"BAC",1996-10-24,22.6875,22.8125,22.59375,22.65625,2445600,11.715713
"BAC",1996-10-25,22.625,22.78125,22.625,22.625,1858000,11.699549
"BAC",1996-10-28,22.6875,22.78125,22.65625,22.65625,3199200,11.715713
"BAC",1996-10-29,22.78125,23.125,22.71875,23.125,4595200,11.958104
"BAC",1996-10-30,23.0625,23.5625,23.0625,23.53125,4648000,12.168175
"BAC",1996-10-31,23.625,23.6875,23.53125,23.5625,3310400,12.184334
"BAC",1996-11-01,23.59375,23.65625,23.1875,23.21875,2667600,12.006585
"BAC",1996-11-04,23.1875,23.40625,23.1875,23.375,2764000,12.087379
"BAC",1996-11-05,23.375,23.84375,23.375,23.78125,6004400,12.297454
"BAC",1996-11-06,23.8125,23.96875,23.71875,23.78125,3733200,12.297454
"BAC",1996-11-07,23.5625,23.78125,23.4375,23.65625,5466400,12.232817
"BAC",1996-11-08,23.5,23.53125,23.3125,23.53125,3613200,12.168175
"BAC",1996-11-11,23.4375,23.4375,23.25,23.40625,2082400,12.103541
"BAC",1996-11-12,23.5,23.5,23.25,23.25,3524400,12.022743
"BAC",1996-11-13,23.25,23.46875,23.1875,23.46875,4545600,12.135861
"BAC",1996-11-14,23.375,23.84375,23.34375,23.78125,3779200,12.297454
"BAC",1996-11-15,23.84375,24.28125,23.71875,24.03125,4089200,12.426734
"BAC",1996-11-18,24.03125,24.3125,24.03125,24.28125,2974000,12.556011
"BAC",1996-11-19,24.15625,24.75,24.15625,24.75,5015200,12.798406
"BAC",1996-11-20,24.75,25.15625,24.71875,25.0625,4542800,12.959996
"BAC",1996-11-21,24.96875,25.0625,24.875,24.875,5170000,12.86304
"BAC",1996-11-22,25,25.53125,24.9375,25.53125,3404000,13.202395
"BAC",1996-11-25,25.59375,26.15625,25.5625,26.0625,4559200,13.477104
"BAC",1996-11-26,26.125,26.3125,25.75,25.78125,4864800,13.331672
"BAC",1996-11-27,25.8125,25.96875,25.78125,25.875,2154800,13.38015
"BAC",1996-11-29,25.875,26,25.84375,25.90625,1583600,13.396306
"BAC",1996-12-02,25.84375,25.84375,25.625,25.6875,2044000,13.28319
"BAC",1996-12-03,25.625,25.78125,25,25,3668800,12.927678
"BAC",1996-12-04,24.875,24.90625,24.03125,24.472656,4847600,12.739062
"BAC",1996-12-05,24.1875,24.1875,23.84375,23.96875,3233200,12.476756
"BAC",1996-12-06,23.75,24.46875,23.40625,24.40625,5075200,12.704496
"BAC",1996-12-09,24.46875,24.75,24.40625,24.59375,4332800,12.802101
"BAC",1996-12-10,24.625,24.625,24.3125,24.375,2829600,12.688231
"BAC",1996-12-11,24,24.125,23.6875,24.03125,4258000,12.509292
"BAC",1996-12-12,24.25,24.28125,23.15625,23.21875,4306400,12.086352
"BAC",1996-12-13,23.15625,23.59375,22.90625,23.34375,5834000,12.151424
"BAC",1996-12-16,23.5,23.71875,23.0625,23.0625,4871600,12.005023
"BAC",1996-12-17,23,23.875,22.875,23.8125,5175600,12.395425
"BAC",1996-12-18,23.875,24,23.5,23.53125,3616400,12.249017
"BAC",1996-12-19,24.125,24.65625,24.125,24.625,4903200,12.818363
"BAC",1996-12-20,25.0625,25.09375,24.59375,24.71875,6423600,12.867167
"BAC",1996-12-23,24.6875,24.71875,24.53125,24.625,2135600,12.818363
"BAC",1996-12-24,24.625,24.75,24.34375,24.53125,918400,12.769568
"BAC",1996-12-26,24.53125,24.78125,24.53125,24.71875,2467200,12.867167
"BAC",1996-12-27,24.875,24.90625,24.71875,24.84375,1447200,12.932235
"BAC",1996-12-30,25.1875,25.375,25.125,25.28125,2798800,13.15997
"BAC",1996-12-31,25.25,25.25,24.4375,24.4375,2826000,12.720763
"BAC",1997-01-02,24.5,24.625,24,24.34375,4902800,12.671966
"BAC",1997-01-03,24.5,24.71875,24.4375,24.65625,2872000,12.834631
"BAC",1997-01-06,24.875,24.90625,24.59375,24.6875,3716000,12.850904
"BAC",1997-01-07,24.625,24.71875,24.40625,24.71875,4605200,12.867167
"BAC",1997-01-08,25.625,25.9375,25.25,25.3125,10745200,13.176237
"BAC",1997-01-09,25.375,25.84375,25.375,25.46875,4949600,13.257573
"BAC",1997-01-10,25.1875,25.8125,25.09375,25.8125,5528800,13.436509
"BAC",1997-01-13,25.9375,26.09375,25.34375,25.71875,5543600,13.387709
"BAC",1997-01-14,25.96875,26.8125,25.9375,26.65625,7183200,13.875722
"BAC",1997-01-15,26.5,26.625,26.125,26.28125,6616800,13.680513
"BAC",1997-01-16,26.25,26.5625,26.21875,26.40625,5207600,13.745585
"BAC",1997-01-17,26.4375,26.65625,26.375,26.5625,7210800,13.826914
"BAC",1997-01-20,26.4375,26.84375,26.40625,26.6875,4394400,13.891986
"BAC",1997-01-21,26.5,26.8125,26.40625,26.6875,4275200,13.891986
"BAC",1997-01-22,26.625,27.53125,26.53125,27.40625,6024000,14.266124
"BAC",1997-01-23,27.375,27.53125,26.75,26.75,8204800,13.92452
"BAC",1997-01-24,26.71875,26.875,26.3125,26.5,7267600,13.794381
"BAC",1997-01-27,26.4375,26.6875,26.34375,26.5,5878400,13.794381
"BAC",1997-01-28,26.78125,27.03125,26.03125,26.21875,4940400,13.647984
"BAC",1997-01-29,26.1875,26.90625,26.1875,26.875,4435200,13.989583
"BAC",1997-01-30,26.90625,27.09375,26.875,27,5276400,14.054655
"BAC",1997-01-31,27,27.4375,26.9375,27.03125,4762000,14.070912
"BAC",1997-02-03,27,27.5,26.75,27.5,4922000,14.314919
"BAC",1997-02-04,27.46875,27.875,27.375,27.84375,6627600,14.493862
"BAC",1997-02-05,27.84375,28,27.5625,27.59375,7671200,14.363722
"BAC",1997-02-06,27.5,27.875,27.46875,27.8125,5312800,14.477596
"BAC",1997-02-07,28.03125,28.4375,28,28.40625,5999600,14.786673
"BAC",1997-02-10,27.8125,28.4375,27.8125,28.0625,5070800,14.607728
"BAC",1997-02-11,28.125,28.34375,28.125,28.34375,5020800,14.754134
"BAC",1997-02-12,28.375,28.875,28.3125,28.8125,5364000,14.998139
"BAC",1997-02-13,28.8125,29.5625,28.8125,29.4375,5998000,15.323479
"BAC",1997-02-14,29.6875,30.125,29.625,29.9375,7969200,15.583749
"BAC",1997-02-18,30.03125,30.65625,30,30.59375,6509600,15.925356
"BAC",1997-02-19,30.53125,31.03125,30.375,30.625,7406400,15.941621
"BAC",1997-02-20,30.5,30.875,30.28125,30.4375,10401600,15.844015
"BAC",1997-02-21,30.4375,30.5,30,30.0625,12503200,15.64882
