"symbol","date","open","high","low","close","volume","adjusted"
"BBI",1996-01-02,37012.5,39571.875,37012.5,38587.5,49,38587.5
"BBI",1996-01-03,39768.75,39768.75,37406.25,37603.125,26,37603.125
"BBI",1996-01-04,38193.75,38587.5,37406.25,38193.75,21,38193.75
"BBI",1996-01-05,37406.25,38587.5,36225,38193.75,40,38193.75
"BBI",1996-01-08,38587.5,42918.75,38193.75,42525,44,42525
"BBI",1996-01-09,43312.5,45281.25,40556.25,40950,91,40950
"BBI",1996-01-10,39768.75,40950,37800,39375,45,39375
"BBI",1996-01-11,39768.75,42525,39768.75,42525,55,42525
"BBI",1996-01-12,43312.5,43312.5,40950,41737.5,54,41737.5
"BBI",1996-01-15,42131.25,44100,41737.5,43706.25,123,43706.25
"BBI",1996-01-16,44100,44100,42525,43312.5,42,43312.5
"BBI",1996-01-17,43706.25,44100,42525,44100,49,44100
"BBI",1996-01-18,44100,44100,42525,43312.5,23,43312.5
"BBI",1996-01-19,42525,43312.5,42525,42918.75,17,42918.75
"BBI",1996-01-22,43706.25,47250,43312.5,46462.5,139,46462.5
"BBI",1996-01-23,46462.5,47643.75,45675,46856.25,71,46856.25
"BBI",1996-01-24,47643.75,50793.75,46856.25,49612.5,143,49612.5
"BBI",1996-01-25,50006.25,52762.5,48825,52762.5,145,52762.5
"BBI",1996-01-26,52762.5,58668.75,52368.75,58275,274,58275
"BBI",1996-01-29,59456.25,63000,56306.25,56306.25,163,56306.25
"BBI",1996-01-30,56306.25,56306.25,49218.75,51187.5,145,51187.5
"BBI",1996-01-31,52762.5,53550,51187.5,53550,43,53550
"BBI",1996-02-01,53943.75,53943.75,50793.75,51975,60,51975
"BBI",1996-02-02,52762.5,53943.75,51187.5,51581.25,42,51581.25
"BBI",1996-02-05,51975,52762.5,51187.5,51581.25,21,51581.25
"BBI",1996-02-06,51975,52368.75,50793.75,51975,19,51975
"BBI",1996-02-07,51975,51975,48431.25,49218.75,34,49218.75
"BBI",1996-02-08,49218.75,49218.75,44493.75,46068.75,79,46068.75
"BBI",1996-02-09,45281.25,46068.75,45281.25,46068.75,17,46068.75
"BBI",1996-02-12,45675,51975,45675,51581.25,123,51581.25
"BBI",1996-02-13,50400,51581.25,48431.25,50400,81,50400
"BBI",1996-02-14,50793.75,51581.25,48431.25,48825,19,48825
"BBI",1996-02-15,49218.75,51581.25,49218.75,50006.25,53,50006.25
"BBI",1996-02-16,50400,50400,48825,49612.5,21,49612.5
"BBI",1996-02-20,50793.75,52762.5,50006.25,50006.25,93,50006.25
"BBI",1996-02-21,51187.5,52368.75,50006.25,51581.25,31,51581.25
"BBI",1996-02-22,51581.25,52368.75,50006.25,51187.5,33,51187.5
"BBI",1996-02-23,50400,51975,50400,51975,83,51975
"BBI",1996-02-26,51581.25,52368.75,50400,50400,19,50400
"BBI",1996-02-27,50400,52368.75,50400,51975,19,51975
"BBI",1996-02-28,52368.75,55912.5,51975,53943.75,85,53943.75
"BBI",1996-02-29,54731.25,55518.75,53550,54337.5,34,54337.5
"BBI",1996-03-01,54731.25,54731.25,51187.5,51187.5,36,51187.5
"BBI",1996-03-04,51581.25,51975,48825,50006.25,48,50006.25
"BBI",1996-03-05,50400,51975,49612.5,51975,21,51975
"BBI",1996-03-06,51975,51975,50400,50400,11,50400
"BBI",1996-03-07,50006.25,51581.25,50006.25,50400,21,50400
"BBI",1996-03-08,50006.25,50006.25,47250,47299.21875,63,47299.21875
"BBI",1996-03-11,48037.5,48037.5,46462.5,47250,59,47250
"BBI",1996-03-12,47643.75,47643.75,44493.75,45281.25,41,45281.25
"BBI",1996-03-13,45675,45675,43312.5,44493.75,38,44493.75
"BBI",1996-03-14,44887.5,47643.75,44887.5,45675,53,45675
"BBI",1996-03-15,46462.5,46856.25,44887.5,45281.25,26,45281.25
"BBI",1996-03-18,45281.25,46856.25,44887.5,46462.5,44,46462.5
"BBI",1996-03-19,47250,48037.5,45675,45675,22,45675
"BBI",1996-03-20,46068.75,48825,46068.75,48825,36,48825
"BBI",1996-03-21,47643.75,50006.25,47250,48037.5,24,48037.5
"BBI",1996-03-22,48431.25,48825,45675,46413.28125,24,46413.28125
"BBI",1996-03-25,46462.5,47250,44887.5,44887.5,21,44887.5
"BBI",1996-03-26,45281.25,45281.25,44100,44493.75,12,44493.75
"BBI",1996-03-27,44493.75,45675,42918.75,43706.25,24,43706.25
"BBI",1996-03-28,44493.75,45675,43706.25,44296.875,26,44296.875
"BBI",1996-03-29,44887.5,47643.75,43312.5,45675,53,45675
"BBI",1996-04-01,46856.25,47250,45675,46462.5,22,46462.5
"BBI",1996-04-02,45675,46856.25,44100,44887.5,21,44887.5
"BBI",1996-04-03,44887.5,44887.5,43312.5,43706.25,18,43706.25
"BBI",1996-04-04,43706.25,44887.5,43312.5,44100,19,44100
"BBI",1996-04-08,43312.5,44100,43312.5,44100,10,44100
"BBI",1996-04-09,44100,46068.75,43706.25,46068.75,16,46068.75
"BBI",1996-04-10,46068.75,46462.5,43312.5,43312.5,33,43312.5
"BBI",1996-04-11,43312.5,44493.75,40950,41343.75,39,41343.75
"BBI",1996-04-12,40950,43706.25,40950,43312.5,15,43312.5
