"symbol","date","open","high","low","close","volume","adjusted"
"BHF",2017-08-07,62.75,62.849998,60.580002,61.720001,11208100,61.720001
"BHF",2017-08-08,61.060001,61.5,56.59,56.900002,4124500,56.900002
"BHF",2017-08-09,56.009998,57.119999,54.939999,56.720001,4513900,56.720001
"BHF",2017-08-10,56.549999,59.490002,56,58.5,3231800,58.5
"BHF",2017-08-11,58.099998,58.484001,57.040001,57.970001,1751500,57.970001
"BHF",2017-08-14,57.419998,58.529999,57,57.360001,2391800,57.360001
"BHF",2017-08-15,57.48,59,57.110001,58.009998,1816000,58.009998
"BHF",2017-08-16,57.509998,58.720001,56.970001,57.5,3090600,57.5
"BHF",2017-08-17,57.049999,57.580002,55.16,55.970001,1922700,55.970001
"BHF",2017-08-18,55.689999,57.919998,55.18,57.450001,2680900,57.450001
"BHF",2017-08-21,57,57.939999,56.619999,56.860001,1482000,56.860001
"BHF",2017-08-22,56.919998,57.799999,56.57,57.209999,1202400,57.209999
"BHF",2017-08-23,56.759998,57.290001,56.240002,56.650002,1272300,56.650002
"BHF",2017-08-24,56.389999,56.639999,55.110001,55.32,1312200,55.32
"BHF",2017-08-25,55.529999,56.630001,54.900002,55.540001,1080300,55.540001
"BHF",2017-08-28,55.779999,55.974998,55.16,55.34,720400,55.34
"BHF",2017-08-29,55.25,55.869999,54.77,55.759998,1221200,55.759998
"BHF",2017-08-30,55.48,57.470001,55.349998,57.099998,1200400,57.099998
"BHF",2017-08-31,57.060001,57.400002,56.209999,57.07,1722800,57.07
"BHF",2017-09-01,56.900002,57.98,56.360001,57.490002,945900,57.490002
"BHF",2017-09-05,57.189999,57.189999,53.689999,54.080002,2853100,54.080002
"BHF",2017-09-06,54.330002,54.59,52.939999,53.18,1781400,53.18
"BHF",2017-09-07,53.360001,53.68,52.750999,53,1359600,53
"BHF",2017-09-08,53,54.591999,52.950001,54.540001,1039400,54.540001
"BHF",2017-09-11,55.080002,56,54.830002,55.110001,1126000,55.110001
"BHF",2017-09-12,55.110001,55.98,54.529999,55.189999,1339400,55.189999
"BHF",2017-09-13,54.91,55.400002,54.77,55.349998,848900,55.349998
"BHF",2017-09-14,55.119999,55.689999,54.950001,55.619999,1115200,55.619999
"BHF",2017-09-15,55.5,56.59,55.240002,56.560001,1680100,56.560001
"BHF",2017-09-18,56.75,57.400002,56.405998,57.209999,1085900,57.209999
"BHF",2017-09-19,57.09,57.310001,56.77,56.93,989400,56.93
"BHF",2017-09-20,56.549999,57.540001,56.5,57.490002,723300,57.490002
"BHF",2017-09-21,57.279999,58.063999,57.150002,57.68,655900,57.68
"BHF",2017-09-22,57.060001,58.549999,56.810001,58.349998,903300,58.349998
"BHF",2017-09-25,57.799999,58.939999,57.450001,58.68,924900,58.68
"BHF",2017-09-26,58.990002,60.84,58.500999,60.639999,946400,60.639999
"BHF",2017-09-27,60.68,61.919998,60.279999,61.290001,1262900,61.290001
"BHF",2017-09-28,61.200001,61.200001,59.34,60.43,1218600,60.43
"BHF",2017-09-29,60.16,61.130001,60.16,60.799999,628100,60.799999
"BHF",2017-10-02,60.75,61.049999,59.919998,60.990002,896400,60.990002
"BHF",2017-10-03,60.709999,60.814999,59.330002,60.220001,999200,60.220001
"BHF",2017-10-04,60.259998,60.439999,59.41,59.48,745400,59.48
"BHF",2017-10-05,59.450001,60.700001,59.419998,60.57,557400,60.57
"BHF",2017-10-06,60.700001,61.299999,60.48,61.02,784100,61.02
"BHF",2017-10-09,60.849998,60.98,60.060001,60.119999,582800,60.119999
"BHF",2017-10-10,60.310001,60.490002,59.400002,60.099998,1434900,60.099998
"BHF",2017-10-11,60.200001,60.779999,59.360001,60.669998,637000,60.669998
"BHF",2017-10-12,60.330002,60.75,60.081001,60.43,457600,60.43
"BHF",2017-10-13,60.349998,60.419998,59.779999,60.400002,489200,60.400002
"BHF",2017-10-16,60.299999,60.84,59.810001,60.240002,607300,60.240002
"BHF",2017-10-17,60.32,60.66,60,60.630001,520400,60.630001
"BHF",2017-10-18,60.57,60.830002,60.240002,60.709999,402600,60.709999
"BHF",2017-10-19,60.349998,61.209999,60.040001,61.200001,654700,61.200001
"BHF",2017-10-20,61.25,62.549999,61.139999,62.119999,755900,62.119999
"BHF",2017-10-23,62.060001,62.349998,61.549999,61.73,473300,61.73
"BHF",2017-10-24,62.110001,62.900002,61.713001,62.540001,849300,62.540001
"BHF",2017-10-25,62.310001,63,61.819,62.060001,1028600,62.060001
"BHF",2017-10-26,61.950001,63.240002,61.610001,63.189999,550600,63.189999
"BHF",2017-10-27,62.950001,63.66,62.849998,63.630001,482500,63.630001
"BHF",2017-10-30,63.200001,63.470001,62.43,62.459999,825600,62.459999
"BHF",2017-10-31,62.93,62.950001,61.779999,62.18,973200,62.18
"BHF",2017-11-01,62.150002,62.84,61.610001,62.049999,645400,62.049999
"BHF",2017-11-02,57.490002,60.189999,57.150002,59.23,2230400,59.23
"BHF",2017-11-03,59.34,59.450001,57.400002,57.82,1463300,57.82
"BHF",2017-11-06,57.490002,58.279999,55.93,56.66,1140700,56.66
"BHF",2017-11-07,56.32,57.02,55.799999,56.950001,1265900,56.950001
"BHF",2017-11-08,56.580002,56.810001,55.880001,56.290001,590000,56.290001
"BHF",2017-11-09,56.139999,56.790001,56.02,56.5,711800,56.5
"BHF",2017-11-10,56.16,56.720001,56.080002,56.580002,531000,56.580002
"BHF",2017-11-13,56.040001,56.52,55.709999,55.990002,937000,55.990002
"BHF",2017-11-14,55.68,55.880001,55.110001,55.380001,1077900,55.380001
"BHF",2017-11-15,55.310001,56.224998,54.66,54.970001,1611000,54.970001
"BHF",2017-11-16,55.029999,55.580002,54.605,55.419998,1076300,55.419998
"BHF",2017-11-17,55.07,55.900002,54.970001,55.669998,518500,55.669998
"BHF",2017-11-20,55.59,55.650002,54.779999,55.459999,457900,55.459999
"BHF",2017-11-21,55.32,57.200001,55.32,56.91,1395500,56.91
"BHF",2017-11-22,56.970001,57.599998,56.616001,57.450001,555700,57.450001
"BHF",2017-11-24,57.599998,57.720001,56.869999,57.290001,314000,57.290001
"BHF",2017-11-27,57.25,57.66,56.790001,57.610001,601400,57.610001
"BHF",2017-11-28,57.459999,58.459999,57.459999,58.009998,858100,58.009998
