"symbol","date","open","high","low","close","volume","adjusted"
"BOL",1998-07-29,3,3.25,3,3.25,1000,3.25
"BOL",1998-07-30,NA,NA,NA,NA,NA,NA
"BOL",1998-07-31,3,3.5,3,3.25,1000,3.25
"BOL",1998-08-03,NA,NA,NA,NA,NA,NA
"BOL",1998-08-04,NA,NA,NA,NA,NA,NA
"BOL",1998-08-05,3,3.5,2.75,2.75,1000,2.75
"BOL",1998-08-06,3,3.5,2.5,2.5,1000,2.5
"BOL",1998-08-07,NA,NA,NA,NA,NA,NA
"BOL",1998-08-10,NA,NA,NA,NA,NA,NA
"BOL",1998-08-11,NA,NA,NA,NA,NA,NA
"BOL",1998-08-12,2,3,2,2.5,1000,2.5
"BOL",1998-08-13,NA,NA,NA,NA,NA,NA
"BOL",1998-08-14,NA,NA,NA,NA,NA,NA
"BOL",1998-08-17,2,2.5,2,2.5,1000,2.5
"BOL",1998-08-18,2,2.5,2,2.5,1000,2.5
"BOL",1998-08-19,NA,NA,NA,NA,NA,NA
"BOL",1998-08-20,NA,NA,NA,NA,NA,NA
"BOL",1998-08-21,2.75,2.75,2.5,2.5,1000,2.5
"BOL",1998-08-24,NA,NA,NA,NA,NA,NA
"BOL",1998-08-25,NA,NA,NA,NA,NA,NA
"BOL",1998-08-26,NA,NA,NA,NA,NA,NA
"BOL",1998-08-27,2,2.5,2,2.5,1000,2.5
"BOL",1998-08-28,NA,NA,NA,NA,NA,NA
"BOL",1998-08-31,NA,NA,NA,NA,NA,NA
"BOL",1998-09-01,NA,NA,NA,NA,NA,NA
"BOL",1998-09-02,NA,NA,NA,NA,NA,NA
"BOL",1998-09-03,NA,NA,NA,NA,NA,NA
"BOL",1998-09-04,NA,NA,NA,NA,NA,NA
"BOL",1998-09-08,NA,NA,NA,NA,NA,NA
"BOL",1998-09-09,NA,NA,NA,NA,NA,NA
"BOL",1998-09-10,2,2.5,2,2.5,1000,2.5
"BOL",1998-09-11,NA,NA,NA,NA,NA,NA
"BOL",1998-09-14,2,2.5,2,2.5,1000,2.5
"BOL",1998-09-15,NA,NA,NA,NA,NA,NA
"BOL",1998-09-16,NA,NA,NA,NA,NA,NA
"BOL",1998-09-17,NA,NA,NA,NA,NA,NA
"BOL",1998-09-18,NA,NA,NA,NA,NA,NA
"BOL",1998-09-21,2,2.5,2,2.5,1000,2.5
"BOL",1998-09-22,NA,NA,NA,NA,NA,NA
"BOL",1998-09-23,NA,NA,NA,NA,NA,NA
"BOL",1998-09-24,2,2.5,2,2.5,1000,2.5
"BOL",1998-09-25,NA,NA,NA,NA,NA,NA
"BOL",1998-09-28,NA,NA,NA,NA,NA,NA
"BOL",1998-09-29,NA,NA,NA,NA,NA,NA
"BOL",1998-09-30,NA,NA,NA,NA,NA,NA
"BOL",1998-10-01,2,2,2,2,1000,2
"BOL",1998-10-02,2,2,1.5,2,1000,2
"BOL",1998-10-05,NA,NA,NA,NA,NA,NA
"BOL",1998-10-06,NA,NA,NA,NA,NA,NA
"BOL",1998-10-07,NA,NA,NA,NA,NA,NA
"BOL",1998-10-08,1.5,2,1.5,2,1000,2
"BOL",1998-10-09,NA,NA,NA,NA,NA,NA
"BOL",1998-10-12,1.5,2,1.5,2,1000,2
"BOL",1998-10-13,1.5,2,1.5,2,1000,2
"BOL",1998-10-14,NA,NA,NA,NA,NA,NA
"BOL",1998-10-15,NA,NA,NA,NA,NA,NA
"BOL",1998-10-16,NA,NA,NA,NA,NA,NA
"BOL",1998-10-19,1.5,2.5,1.5,2,1000,2
"BOL",1998-10-20,NA,NA,NA,NA,NA,NA
"BOL",1998-10-21,NA,NA,NA,NA,NA,NA
"BOL",1998-10-22,NA,NA,NA,NA,NA,NA
"BOL",1998-10-23,1.5,2,1.5,2,1000,2
"BOL",1998-10-26,1.5,2,1.5,2,1000,2
"BOL",1998-10-27,NA,NA,NA,NA,NA,NA
"BOL",1998-10-28,1.5,2,1.5,2,1000,2
"BOL",1998-10-29,NA,NA,NA,NA,NA,NA
"BOL",1998-10-30,NA,NA,NA,NA,NA,NA
"BOL",1998-11-02,NA,NA,NA,NA,NA,NA
"BOL",1998-11-03,NA,NA,NA,NA,NA,NA
"BOL",1998-11-04,NA,NA,NA,NA,NA,NA
"BOL",1998-11-05,1.5,2,1.5,2,1000,2
"BOL",1998-11-06,NA,NA,NA,NA,NA,NA
