"symbol","date","open","high","low","close","volume","adjusted"
"BXP",2006-04-03,93.150002,93.150002,91.089996,91.550003,2935300,48.403786
"BXP",2006-04-04,91.5,91.550003,89.07,89.940002,2372700,47.552559
"BXP",2006-04-05,90,90.75,90,90.379997,1137100,47.785175
"BXP",2006-04-06,90.129997,90.400002,89.400002,89.93,887400,47.547253
"BXP",2006-04-07,89.760002,90,88.169998,88.410004,751300,46.743618
"BXP",2006-04-10,87.099998,88.730003,86.040001,88.269997,1010000,46.669605
"BXP",2006-04-11,88.019997,88.260002,86.860001,87.120003,768900,46.061581
"BXP",2006-04-12,86.849998,87.779999,86.510002,87,545400,45.998154
"BXP",2006-04-13,86.57,86.800003,85.529999,85.989998,721400,45.464142
"BXP",2006-04-17,85.970001,86.440002,85.690002,85.830002,419600,45.379536
"BXP",2006-04-18,85.900002,88.68,85.75,87.879997,841800,46.463398
"BXP",2006-04-19,87.989998,89.769997,87.699997,89.540001,768200,47.341076
"BXP",2006-04-20,89.349998,89.370003,88.25,89.120003,413400,47.119003
"BXP",2006-04-21,89.300003,89.709999,88.949997,89.519997,477600,47.330502
"BXP",2006-04-24,89.519997,89.589996,88.779999,88.919998,403000,47.013294
"BXP",2006-04-25,88.900002,88.900002,87.339996,87.769997,493700,46.405247
"BXP",2006-04-26,87.769997,87.779999,85.379997,85.900002,949200,45.416569
"BXP",2006-04-27,86.75,88.449997,86.050003,87.790001,1092200,46.415829
"BXP",2006-04-28,87.790001,89.209999,87.529999,88.269997,495600,46.669605
"BXP",2006-05-01,88.5,89.019997,86.660004,87.010002,628900,46.003422
"BXP",2006-05-02,86.989998,87.010002,85.370003,85.809998,1053800,45.368977
"BXP",2006-05-03,85.860001,86.650002,85.129997,85.309998,717000,45.10461
"BXP",2006-05-04,85.209999,86.769997,85.209999,86.089996,664800,45.516998
"BXP",2006-05-05,86.489998,87.900002,86.43,87.599998,541300,46.31538
"BXP",2006-05-08,87.599998,88.419998,87.400002,88.239998,329600,46.653744
"BXP",2006-05-09,88.300003,89.360001,87.650002,89.32,576300,47.224743
"BXP",2006-05-10,89.330002,90.75,89.300003,90.360001,754600,47.774624
"BXP",2006-05-11,90.349998,90.519997,87.860001,88.080002,698100,46.569153
"BXP",2006-05-12,87.699997,87.699997,86.519997,87.019997,550300,46.008724
"BXP",2006-05-15,87,87.730003,86.110001,87.309998,858900,46.16206
"BXP",2006-05-16,87.230003,87.779999,86.919998,87.07,439500,46.035145
"BXP",2006-05-17,85.790001,86.699997,85.730003,86,819400,45.469425
"BXP",2006-05-18,86.370003,87.690002,85.760002,85.779999,574600,45.3531
"BXP",2006-05-19,85.900002,86.360001,83.870003,86.040001,1023200,45.490574
