"symbol","date","open","high","low","close","volume","adjusted"
"CCEP",2016-01-04,48.279999,48.669998,47.790001,48.650002,3344200,29.524746
"CCEP",2016-01-05,48.709999,48.880001,47.299999,47.950001,3823700,29.099926
"CCEP",2016-01-06,47.459999,47.91,47.09,47.889999,3944900,29.063511
"CCEP",2016-01-07,47.41,47.669998,46.639999,46.970001,3253400,28.505186
"CCEP",2016-01-08,47.119999,47.400002,46.369999,46.48,2989000,28.207811
"CCEP",2016-01-11,46.549999,46.900002,46.080002,46.450001,1291900,28.189606
"CCEP",2016-01-12,46.599998,47.049999,46.330002,46.880001,1278100,28.450562
"CCEP",2016-01-13,46.849998,47.099998,46.16,46.25,2806400,28.068226
"CCEP",2016-01-14,46.209999,46.490002,45.970001,46.18,2185300,28.025749
"CCEP",2016-01-15,45.290001,46.18,45.259998,45.900002,3426300,27.855822
"CCEP",2016-01-19,46.299999,46.52,46.049999,46.290001,2298800,28.092505
"CCEP",2016-01-20,45.720001,46.169998,44.5,45.82,3127900,27.807266
"CCEP",2016-01-21,45.75,45.93,44.959999,45.16,2862100,27.406731
"CCEP",2016-01-22,45.66,45.720001,45.16,45.34,2321800,27.515968
"CCEP",2016-01-25,45.419998,45.919998,45.18,45.619999,2054800,27.685896
"CCEP",2016-01-26,45.650002,46.220001,45.639999,45.889999,1690300,27.849752
"CCEP",2016-01-27,45.91,46.080002,45.16,45.470001,1397900,27.594866
"CCEP",2016-01-28,45.68,46.220001,45.439999,46.040001,1401800,27.940786
"CCEP",2016-01-29,46.27,46.610001,46.02,46.419998,2167200,28.171396
"CCEP",2016-02-01,46.540001,47.5,46.419998,47.169998,2789600,28.626558
"CCEP",2016-02-02,46.720001,46.880001,46.259998,46.34,1289300,28.122852
"CCEP",2016-02-03,46.419998,46.580002,45.610001,46.34,1323900,28.122852
"CCEP",2016-02-04,46.119999,46.759998,46.02,46.720001,2342800,28.353466
"CCEP",2016-02-05,47.419998,47.419998,46.52,46.720001,2470700,28.353466
"CCEP",2016-02-08,46.330002,46.900002,46.110001,46.66,2872400,28.317049
"CCEP",2016-02-09,46.139999,47.900002,46.119999,47.619999,2292200,28.899652
"CCEP",2016-02-10,47.73,47.98,47.52,47.57,1623600,28.86931
"CCEP",2016-02-11,46.790001,47.959999,46.41,47.209999,2171200,28.650833
"CCEP",2016-02-12,47.490002,48.240002,46.919998,48.189999,1346000,29.245581
"CCEP",2016-02-16,48.599998,49.07,48.220001,48.77,1485600,29.597572
"CCEP",2016-02-17,49.029999,49.5,48.75,49.060001,1937700,29.773565
"CCEP",2016-02-18,48.990002,48.990002,48.490002,48.599998,1453200,29.494398
"CCEP",2016-02-19,48.66,49.209999,48.490002,48.93,1437700,29.69467
"CCEP",2016-02-22,49.209999,49.580002,49.169998,49.380001,1511600,29.967764
"CCEP",2016-02-23,49.169998,49.529999,48.860001,49.029999,1117300,29.755365
"CCEP",2016-02-24,48.869999,49.5,48.540001,49.470001,883300,30.022387
"CCEP",2016-02-25,49.34,50.130001,49.049999,50.099998,1293200,30.40472
"CCEP",2016-02-26,50.029999,50.18,48.68,49.09,1595600,29.791769
"CCEP",2016-02-29,49.029999,49.099998,48.509998,48.509998,1867800,29.439779
"CCEP",2016-03-01,48.77,49.25,48.57,49.02,1567100,29.749289
"CCEP",2016-03-02,48.599998,48.75,48.360001,48.459999,1390400,29.590525
"CCEP",2016-03-03,48.389999,49.330002,48.009998,49.23,1238100,30.060705
"CCEP",2016-03-04,49.130001,49.490002,48.91,49.43,801400,30.182831
"CCEP",2016-03-07,49.279999,49.490002,48.98,49.09,1971100,29.975218
"CCEP",2016-03-08,49.029999,49.209999,48.650002,48.959999,1237100,29.895838
"CCEP",2016-03-09,49.119999,49.709999,48.959999,49.639999,884700,30.31106
"CCEP",2016-03-10,49.77,50.490002,49.580002,50.060001,888000,30.567516
"CCEP",2016-03-11,50.349998,50.599998,50.150002,50.349998,1204300,30.744598
"CCEP",2016-03-14,50.150002,50.75,50.080002,50.68,1634800,30.9461
"CCEP",2016-03-15,50.279999,50.889999,50.080002,50.240002,1465400,30.677433
"CCEP",2016-03-16,49.869999,50.040001,48.799999,49.689999,2155100,30.341591
"CCEP",2016-03-17,49.830002,50.41,49.57,50.209999,2285000,30.659109
"CCEP",2016-03-18,50.23,50.23,49.02,49.549999,2956300,30.256105
"CCEP",2016-03-21,49.419998,50.060001,49.259998,49.68,1938900,30.335484
"CCEP",2016-03-22,49.639999,49.82,49.41,49.52,838200,30.237785
"CCEP",2016-03-23,49.380001,50.060001,49.139999,49.799999,2286600,30.40876
"CCEP",2016-03-24,49.639999,49.939999,49.419998,49.59,3504000,30.280533
"CCEP",2016-03-28,49.779999,50.540001,49.68,50.049999,3116300,30.561413
"CCEP",2016-03-29,50.049999,50.41,49.970001,50.330002,1228100,30.732384
"CCEP",2016-03-30,50.57,51.130001,50.41,51.09,1071100,31.196457
"CCEP",2016-03-31,51.209999,51.82,50.689999,50.740002,2792600,30.982737
"CCEP",2016-04-01,50.419998,51.580002,50.380001,51.48,2404500,31.434599
"CCEP",2016-04-04,51.59,52.16,51.509998,52.150002,3175200,31.843718
"CCEP",2016-04-05,52.02,52.490002,51.91,52.02,3508700,31.76433
"CCEP",2016-04-06,51.84,52.779999,51.84,52.68,2312600,32.167339
"CCEP",2016-04-07,52.52,52.619999,52.150002,52.400002,2371700,31.996361
"CCEP",2016-04-08,52.630001,52.860001,52.41,52.540001,1392800,32.081856
"CCEP",2016-04-11,52.790001,53.200001,52.549999,52.630001,2298600,32.13681
"CCEP",2016-04-12,52.799999,53.049999,52.580002,52.82,2817400,32.252823
"CCEP",2016-04-13,53.09,53.09,52.639999,52.970001,2267500,32.344418
"CCEP",2016-04-14,53.939999,54.540001,53.360001,53.470001,4124600,32.649719
"CCEP",2016-04-15,53.529999,53.779999,53.310001,53.669998,1519900,32.771843
