"symbol","date","open","high","low","close","volume","adjusted"
"CF",2008-08-27,30.158001,30.532,29.879999,30.032,14062500,22.56525
"CF",2008-08-28,30.368,30.368,29.365999,30.120001,14443500,22.631369
"CF",2008-08-29,30.002001,30.794001,30.002001,30.48,9832000,22.901861
"CF",2008-09-02,29.386,29.386,27.51,27.604,18506000,20.740919
"CF",2008-09-03,27.518,28.091999,25.700001,26.868,24910000,20.187906
"CF",2008-09-04,26.368,27.108,24.26,24.686001,25309000,18.548409
"CF",2008-09-05,24.788,26.336,23.782,26.24,24464000,19.71604
"CF",2008-09-08,27.106001,27.158001,23.106001,23.896,25167000,17.954824
"CF",2008-09-09,23.458,23.458,20.906,21.016001,37160500,15.790872
"CF",2008-09-10,21.106001,22.854,21.028,21.922001,29167000,16.471615
"CF",2008-09-11,21.358,23.292,20.747999,23.25,27200500,17.469439
"CF",2008-09-12,23.222,24.950001,23.222,24.552,23623500,18.447725
"CF",2008-09-15,23.08,23.92,21.584,22.044001,22738000,16.563269
"CF",2008-09-16,21.16,23.924,21.002001,23.902,25977000,17.959333
"CF",2008-09-17,23.33,24.143999,21.572001,21.940001,24917500,16.485136
"CF",2008-09-18,22.122,23.5,20.91,22.068001,22566500,16.58131
"CF",2008-09-19,23.562,24.148001,22.462,23.886,17907500,17.947309
"CF",2008-09-22,23.91,25.176001,23.870001,24.358,17865500,18.30195
"CF",2008-09-23,24.274,24.412001,21.85,22.722,22772500,17.072708
"CF",2008-09-24,23.191999,23.700001,22.298,22.993999,15294000,17.277077
"CF",2008-09-25,22.982,22.982,21.261999,22.040001,23034500,16.560276
"CF",2008-09-26,19.827999,19.827999,17.532,18.356001,36195500,13.792219
"CF",2008-09-29,17.372,18.288,16.226,16.785999,28443500,12.612556
"CF",2008-09-30,17.059999,18.492001,16.638,18.292,26130000,13.744126
"CF",2008-10-01,18.365999,18.726,17.24,17.728001,21577000,13.320354
"CF",2008-10-02,15.598,15.662,10.824,11.6,76177000,8.715931
"CF",2008-10-03,12.124,12.7,11.072,11.296,34816500,8.487517
"CF",2008-10-06,10.26,10.964,9.422,10.816,41498500,8.126856
"CF",2008-10-07,11.398,11.716,10.246,10.278,39870500,7.72262
"CF",2008-10-08,9.598,12.31,9.478,11.462,47404000,8.612247
"CF",2008-10-09,12.058,13.566,10.832,11.166,37330500,8.389838
"CF",2008-10-10,10.29,12.388,9.902,11.534,35624000,8.666344
"CF",2008-10-13,12.76,12.93,11.64,12.93,24331500,9.715262
"CF",2008-10-14,13.402,13.898,12.138,12.834,27274000,9.64313
"CF",2008-10-15,12.24,12.24,11.086,11.192,24369500,8.409372
"CF",2008-10-16,11.498,12.052,10.32,11.61,34826000,8.723447
"CF",2008-10-17,11.178,12.192,10.622,11.07,23806500,8.317706
"CF",2008-10-20,11.606,12.218,11.36,12.194,20981500,9.162251
"CF",2008-10-21,11.83,11.946,11.106,11.186,21211500,8.404864
"CF",2008-10-22,10.492,10.73,9.486,9.976,27271000,7.495702
"CF",2008-10-23,10.138,10.238,8.52,8.91,40641000,6.694739
"CF",2008-10-24,7.6,9.176,7.542,8.878,26969500,6.670696
"CF",2008-10-27,8.852,9.5,8.716,9.05,28808000,6.799932
"CF",2008-10-28,9.702,10.834,9.216,10.832,34557000,8.138875
"CF",2008-10-29,10.824,11.486,10.39,10.756,25600500,8.081776
"CF",2008-10-30,11.35,12.314,11.282,12.026,30011000,9.036015
"CF",2008-10-31,11.728,13.092,11.728,12.838,25864500,9.646135
"CF",2008-11-03,12.81,13.138,12.314,12.534,22552000,9.417712
"CF",2008-11-04,13.162,13.566,12.768,12.978,29476000,9.751324
"CF",2008-11-05,12.742,12.84,11.8,11.896,27435500,8.93834
"CF",2008-11-06,11.532,11.674,10.732,11.044,28563500,8.298171
"CF",2008-11-07,11.238,12.196,10.956,12.168,23986500,9.142714
"CF",2008-11-10,12.694,13.286,12.204,12.458,22107500,9.360613
"CF",2008-11-11,12.032,12.308,11.438,11.782,24649500,8.852685
"CF",2008-11-12,11.376,11.376,10.43,10.446,27310500,7.862195
"CF",2008-11-13,10.558,12.102,10.06,12.09,46147500,9.099554
"CF",2008-11-14,11.704,12.166,10.99,10.994,29188500,8.274646
"CF",2008-11-17,10.312,10.736,10.042,10.088,28657000,7.592744
"CF",2008-11-18,10.256,10.5,9.606,10.078,18307500,7.585218
"CF",2008-11-19,9.988,10.074,8.888,8.898,21282500,6.697092
"CF",2008-11-20,8.53,8.826,7.828,7.876,30549000,5.92788
"CF",2008-11-21,8.2,9.394,8.2,9.328,30255500,7.020731
"CF",2008-11-24,9.59,9.888,9.08,9.232,19165000,6.948473
"CF",2008-11-25,9.748,10.062,9.356,9.74,21743000,7.330823
"CF",2008-11-26,9.436,10.704,9.232,10.626,14242000,7.997676
"CF",2008-11-28,10.618,10.722,10.346,10.526,4738000,7.922404
"CF",2008-12-01,10.178,10.178,8.796,8.844,15681500,6.656449
"CF",2008-12-02,8.528,9.244,8.484,9.19,20072000,6.916865
"CF",2008-12-03,8.798,9.488,8.714,9.264,12419500,6.972562
"CF",2008-12-04,9.1,9.574,8.764,8.92,9971000,6.71365
"CF",2008-12-05,8.704,9.432,8.302,9.41,13550500,7.082446
"CF",2008-12-08,9.848,10.432,9.848,10.146,12856000,7.6364
"CF",2008-12-09,10,10.858,9.786,10.132,8849500,7.625859
"CF",2008-12-10,10.52,10.73,10.202,10.46,8186500,7.872731
"CF",2008-12-11,10.202,10.782,9.532,9.728,11674000,7.321788
"CF",2008-12-12,9.4,10.124,9.174,9.826,7713000,7.395551
"CF",2008-12-15,10.008,10.27,9.38,9.566,9070000,7.199862
"CF",2008-12-16,9.846,10.8,9.846,10.754,14062000,8.09401
"CF",2008-12-17,10.68,11.42,10.452,11.1,14410500,8.354429
"CF",2008-12-18,11.18,11.18,10.062,10.12,8945000,7.61683
"CF",2008-12-19,9.908,10.19,9.25,9.584,10459000,7.21341
"CF",2008-12-22,9.572,9.58,8.9,9.102,7122000,6.85063
"CF",2008-12-23,9.106,9.512,9.106,9.3,9943500,6.999655
"CF",2008-12-24,9.162,9.456,9.11,9.222,2610500,6.940951
"CF",2008-12-26,9.352,9.42,9.024,9.36,3855500,7.044815
"CF",2008-12-29,9.404,9.664,9.104,9.34,6251000,7.029764
"CF",2008-12-30,9.184,9.56,9.1,9.526,7739500,7.169754
"CF",2008-12-31,9.514,9.95,9.364,9.832,6492500,7.400064
"CF",2009-01-02,9.876,10.82,9.82,10.726,9227000,8.072937
"CF",2009-01-05,10.604,11.528,10.604,11.32,13389000,8.520014
"CF",2009-01-06,11.44,11.52,10.52,11.054,18941500,8.319807
"CF",2009-01-07,11.2,11.5,10.608,10.656,12895000,8.020251
"CF",2009-01-08,10.31,11.162,10.306,10.934,16941000,8.229486
"CF",2009-01-09,10.966,11.138,10.57,10.782,12395000,8.115087
"CF",2009-01-12,10.718,10.718,9.31,9.386,17041000,7.064382
"CF",2009-01-13,9.33,9.786,9.26,9.536,12997500,7.177282
"CF",2009-01-14,9.104,9.24,8.584,8.85,14583500,6.660964
"CF",2009-01-15,8.92,9.594,8.624,9.446,14312500,7.109543
"CF",2009-01-16,9.21,9.94,9.042,9.704,25468000,7.303727
"CF",2009-01-20,9.454,9.602,9.02,9.148,15628500,6.885255
"CF",2009-01-21,9.502,9.502,8.61,9.128,19742500,6.8702
"CF",2009-01-22,8.89,9.314,8.672,8.91,20409500,6.706121
"CF",2009-01-23,8.6,9.582,8.46,9.356,16627500,7.041806
"CF",2009-01-26,9.462,10,9.216,9.442,17269500,7.106531
"CF",2009-01-27,9.552,9.636,9.146,9.262,17992000,6.971054
"CF",2009-01-28,9.508,9.96,9.414,9.828,18946500,7.397056
"CF",2009-01-29,9.624,9.8,9.48,9.656,16874500,7.267601
"CF",2009-01-30,9.7,9.936,9.318,9.4,18135500,7.074919
"CF",2009-02-02,9.204,9.78,9.11,9.516,14484500,7.162228
"CF",2009-02-03,9.594,9.986,9.376,9.758,14196000,7.344369
"CF",2009-02-04,9.898,10.604,9.898,10.178,20481500,7.660482
"CF",2009-02-05,10.078,10.6,9.908,10.488,22172500,7.893807
"CF",2009-02-06,10.606,11.26,10.526,10.926,24157500,8.223468
"CF",2009-02-09,10.962,11.344,10.434,10.688,17965500,8.044339
"CF",2009-02-10,10.86,11.376,10.528,10.72,35354000,8.068422
"CF",2009-02-11,11.356,11.39,10.112,10.442,29442500,7.859183
"CF",2009-02-12,10.126,11.04,10.042,11.01,25262500,8.302594
"CF",2009-02-13,10.808,11.228,10.808,10.936,16148000,8.246785
"CF",2009-02-17,10.332,10.516,10.042,10.164,20758000,7.664624
"CF",2009-02-18,10.178,10.654,10.148,10.536,24588000,7.945148
"CF",2009-02-19,10.668,11.254,10.61,10.908,21606000,8.225674
"CF",2009-02-20,10.642,11.232,10.51,11.144,25583000,8.403639
"CF",2009-02-23,11.298,11.524,9.94,10,36054500,7.540957
