"symbol","date","open","high","low","close","volume","adjusted"
"CHRW",2007-03-02,50.650002,51.57,49.970001,49.970001,2650700,35.667385
"CHRW",2007-03-05,49.900002,50.580002,48.75,49.970001,1692200,35.667385
"CHRW",2007-03-06,50.27,50.599998,49.57,50.459999,2143900,36.017124
"CHRW",2007-03-07,50.02,50.740002,49.93,50.57,1828200,36.224861
"CHRW",2007-03-08,51,51.330002,50.509998,51.09,1408100,36.59734
"CHRW",2007-03-09,50.099998,50.25,48,48.619999,3401200,34.828026
"CHRW",2007-03-12,48.599998,49.119999,48.200001,48.439999,1282800,34.699062
"CHRW",2007-03-13,48.18,48.43,46.509998,46.740002,2391900,33.481316
"CHRW",2007-03-14,46.869999,47.220001,46.130001,47.110001,2389000,33.746357
"CHRW",2007-03-15,47.209999,47.759998,47.09,47.540001,1410100,34.054379
"CHRW",2007-03-16,47.299999,47.75,46.98,47.48,1954000,34.01141
"CHRW",2007-03-19,47.57,47.830002,47.099998,47.599998,1384600,34.097347
"CHRW",2007-03-20,47.599998,48.23,47.299999,47.700001,1122500,34.168995
"CHRW",2007-03-21,47.810001,49.16,47.110001,49.150002,1425300,35.207684
"CHRW",2007-03-22,49.349998,49.689999,48.27,48.580002,1419600,34.799351
"CHRW",2007-03-23,48.759998,49.669998,48.759998,49.369999,972300,35.365273
"CHRW",2007-03-26,49.549999,49.549999,48.150002,48.959999,937200,35.071564
"CHRW",2007-03-27,48.650002,48.900002,48.16,48.369999,990100,34.648945
"CHRW",2007-03-28,48.049999,48.439999,47.310001,47.66,1137500,34.140335
"CHRW",2007-03-29,47.57,47.830002,46.849998,47.580002,1442000,34.083035
"CHRW",2007-03-30,47.490002,48.400002,47.23,48.049999,1071200,34.419716
"CHRW",2007-04-02,48,48,47.389999,47.5,1444200,34.02573
"CHRW",2007-04-03,47.650002,49.240002,47.610001,49.119999,1383900,35.186172
"CHRW",2007-04-04,49.240002,49.34,48.560001,49,996600,35.100216
"CHRW",2007-04-05,48.700001,48.889999,48.41,48.84,578400,34.985592
"CHRW",2007-04-09,49,49.669998,48.709999,48.75,945900,34.921146
"CHRW",2007-04-10,48.52,49,48.349998,48.689999,959900,34.878159
"CHRW",2007-04-11,48.560001,48.919998,47.799999,47.849998,975600,34.276428
"CHRW",2007-04-12,47.869999,49.119999,47.389999,49.099998,1204800,35.171856
"CHRW",2007-04-13,49.200001,49.869999,49.110001,49.830002,864500,35.694759
"CHRW",2007-04-16,49.84,51.529999,49.759998,51.5,1353200,36.891052
"CHRW",2007-04-17,51.509998,51.560001,50.580002,50.82,1067000,36.403957
"CHRW",2007-04-18,50.790001,51.57,50.66,51.110001,1302700,36.611675
"CHRW",2007-04-19,50.400002,51.360001,49.869999,51.310001,1018800,36.754959
"CHRW",2007-04-20,52.98,53.98,51.610001,51.849998,2006000,37.141762
"CHRW",2007-04-23,51.700001,52.84,51.419998,51.759998,1484700,37.077293
"CHRW",2007-04-24,51.799999,51.860001,50.299999,51.150002,1421100,36.640335
"CHRW",2007-04-25,56.490002,58.189999,56.360001,56.759998,5327800,40.658947
"CHRW",2007-04-26,57.200001,57.200001,55.27,55.52,2238700,39.770683
"CHRW",2007-04-27,55.34,55.669998,54.860001,55.209999,1643100,39.54863
"CHRW",2007-04-30,55.060001,55.299999,53.34,53.459999,1366300,38.295055
"CHRW",2007-05-01,53.639999,54.540001,53.349998,53.900002,1540600,38.610249
"CHRW",2007-05-02,55,55.84,54.080002,55.259998,1457700,39.584438
"CHRW",2007-05-03,55.599998,56.16,55.119999,55.57,1033200,39.806515
"CHRW",2007-05-04,55.91,56,54.860001,55.310001,674700,39.620266
"CHRW",2007-05-07,55.939999,56.360001,55.310001,55.75,878200,39.935455
