"symbol","date","open","high","low","close","volume","adjusted"
"CLX",1996-01-02,17.84375,18,17.8125,17.9375,3e+05,9.22825
"CLX",1996-01-03,17.96875,18.1875,17.96875,18.1875,1034400,9.356874
"CLX",1996-01-04,18.25,18.5625,18.15625,18.53125,1220000,9.533723
"CLX",1996-01-05,18.46875,18.46875,18.125,18.15625,814400,9.340796
"CLX",1996-01-08,18.15625,18.15625,18.09375,18.125,30800,9.324719
"CLX",1996-01-09,18.0625,18.125,17.9375,17.96875,378000,9.244335
"CLX",1996-01-10,17.875,18.3125,17.8125,17.9375,751600,9.22825
"CLX",1996-01-11,17.9375,17.9375,17.59375,17.625,382400,9.067484
"CLX",1996-01-12,17.78125,17.78125,17.5,17.75,704000,9.131793
"CLX",1996-01-15,17.8125,17.875,17.5625,17.75,323200,9.131793
"CLX",1996-01-16,17.75,18.09375,17.59375,18.09375,504800,9.308643
"CLX",1996-01-17,18,18.125,17.875,17.875,258400,9.196099
"CLX",1996-01-18,18.03125,18.6875,18.03125,18.5625,832800,9.549798
"CLX",1996-01-19,18.875,19.21875,18.75,19.21875,1113600,9.887417
"CLX",1996-01-22,19.15625,19.34375,19.15625,19.34375,611200,9.951725
"CLX",1996-01-23,19.5,19.875,19.5,19.8125,805600,10.192882
"CLX",1996-01-24,19.65625,20.78125,19.65625,20.59375,3532800,10.666137
"CLX",1996-01-25,20.53125,20.8125,20.40625,20.78125,1447200,10.763254
"CLX",1996-01-26,20.78125,21.125,20.65625,21.03125,1145200,10.89273
"CLX",1996-01-29,21,21.28125,20.90625,21.25,560000,11.006036
"CLX",1996-01-30,21.34375,21.34375,20.875,20.90625,843200,10.827989
"CLX",1996-01-31,20.875,20.90625,20.375,20.59375,882000,10.666137
"CLX",1996-02-01,20.59375,20.9375,20.34375,20.90625,527600,10.827989
"CLX",1996-02-02,20.875,20.875,20.59375,20.65625,444000,10.698513
"CLX",1996-02-05,20.59375,20.6875,20.5625,20.6875,504000,10.714698
"CLX",1996-02-06,20.6875,21.40625,20.65625,21.34375,851200,11.054588
"CLX",1996-02-07,21.375,21.40625,21.25,21.40625,912400,11.086961
"CLX",1996-02-08,21.40625,21.78125,21.40625,21.71875,685600,11.248814
"CLX",1996-02-09,21.6875,22.34375,21.6875,21.90625,913600,11.345926
"CLX",1996-02-12,21.90625,21.9375,21.8125,21.84375,516000,11.313551
"CLX",1996-02-13,21.75,21.875,21.59375,21.625,519200,11.200259
"CLX",1996-02-14,21.53125,21.59375,21.40625,21.4375,508000,11.103143
"CLX",1996-02-15,21.4375,21.59375,21.40625,21.40625,639600,11.086961
"CLX",1996-02-16,21.40625,21.40625,21.15625,21.34375,633600,11.054588
"CLX",1996-02-20,21.34375,21.5625,21.125,21.3125,449200,11.0384
"CLX",1996-02-21,21.3125,21.75,21.3125,21.625,523200,11.200259
"CLX",1996-02-22,21.625,21.71875,21.40625,21.6875,512000,11.232632
"CLX",1996-02-23,21.6875,21.6875,21.40625,21.5,533600,11.135518
