"symbol","date","open","high","low","close","volume","adjusted"
"CR",1996-01-02,16.333332,16.444445,16.277779,16.444445,174375,9.400923
"CR",1996-01-03,16.388889,16.611111,16.388889,16.555555,70650,9.464443
"CR",1996-01-04,16.555555,16.722221,16.444445,16.611111,51300,9.496205
"CR",1996-01-05,16.611111,16.833332,16.555555,16.833332,190800,9.623242
"CR",1996-01-08,16.777779,16.888889,16.611111,16.666668,32850,9.527966
"CR",1996-01-09,16.722221,16.777779,16.555555,16.722221,172800,9.559719
"CR",1996-01-10,16.666668,16.666668,16.222221,16.388889,277875,9.369165
"CR",1996-01-11,16.388889,16.555555,16.277779,16.555555,131400,9.464443
"CR",1996-01-12,16.555555,16.555555,16,16.222221,87300,9.273881
"CR",1996-01-15,16.222221,16.555555,16.222221,16.444445,144450,9.400923
"CR",1996-01-16,16.5,16.5,16.055555,16.222221,325350,9.273881
"CR",1996-01-17,16.222221,16.444445,16.111111,16.444445,125100,9.400923
"CR",1996-01-18,16.5,16.5,16.055555,16.388889,120600,9.369165
"CR",1996-01-19,16.277779,16.444445,16.222221,16.444445,153450,9.400923
"CR",1996-01-22,16.555555,17.166668,16.555555,17.166668,256500,9.813803
"CR",1996-01-23,17.166668,17.666668,17.111111,17.611111,387900,10.067883
"CR",1996-01-24,17.722221,17.888889,17.666668,17.833332,142200,10.194921
"CR",1996-01-25,17.833332,17.888889,17.777779,17.777779,87750,10.163164
"CR",1996-01-26,17.777779,17.888889,17.555555,17.555555,104175,10.036122
"CR",1996-01-29,17.555555,17.944445,17.555555,17.944445,183375,10.258442
"CR",1996-01-30,18,18.166668,18,18.166668,126450,10.385479
"CR",1996-01-31,18.166668,18.222221,17.611111,17.611111,206550,10.067883
"CR",1996-02-01,17.611111,17.833332,17.611111,17.833332,241425,10.194921
"CR",1996-02-02,18,18,17.722221,17.944445,55800,10.258442
"CR",1996-02-05,17.888889,17.944445,17.666668,17.944445,96750,10.258442
"CR",1996-02-06,17.944445,18,17.833332,17.833332,110475,10.194921
"CR",1996-02-07,17.666668,18,17.666668,18,86175,10.290205
"CR",1996-02-08,17.944445,18.388889,17.944445,18.388889,71325,10.512513
"CR",1996-02-09,18.388889,18.666668,18.388889,18.611111,117900,10.639562
"CR",1996-02-12,18.611111,18.944445,18.555555,18.611111,93600,10.639562
"CR",1996-02-13,18.555555,18.666668,18.5,18.666668,77625,10.671323
"CR",1996-02-14,18.666668,18.833332,18.611111,18.777779,130275,10.73484
"CR",1996-02-15,18.833332,18.833332,18.333332,18.388889,46125,10.512513
"CR",1996-02-16,18.333332,18.388889,18.111111,18.388889,146925,10.512513
"CR",1996-02-20,18.333332,18.333332,18,18.055555,104850,10.321957
"CR",1996-02-21,18.111111,18.222221,18.111111,18.222221,139725,10.417236
"CR",1996-02-22,18.333332,18.5,18.277779,18.5,157275,10.576038
"CR",1996-02-23,18.555555,19,18.5,19,164700,10.861876
"CR",1996-02-26,18.944445,18.944445,18.555555,18.666668,80775,10.671323
