"symbol","date","open","high","low","close","volume","adjusted"
"CTAS",2001-03-01,35.875,38.9375,35.8125,37.125,6786600,28.400381
"CTAS",2001-03-02,37.1875,37.390625,36.25,36.6875,2171300,28.065697
"CTAS",2001-03-05,36.25,36.625,35.375,36.4375,1600700,27.874449
"CTAS",2001-03-06,36.40625,38.25,36,37.5,1505800,28.68725
"CTAS",2001-03-07,37.5,37.5,36.875,37.25,1058700,28.496004
"CTAS",2001-03-08,37.671875,38.25,36.875,37.0625,1374700,28.352566
"CTAS",2001-03-09,36.75,37.3125,35.953125,37,1315200,28.304745
"CTAS",2001-03-12,35.4375,36.875,35.0625,35.625,1884300,27.25289
"CTAS",2001-03-13,36.0625,36.5,34.75,35.0625,2101500,26.822582
"CTAS",2001-03-14,34.5625,35,33.75,34,2008500,26.009773
"CTAS",2001-03-15,35.21875,36.625,34.0625,35.625,1808700,27.25289
"CTAS",2001-03-16,35.3125,37.1875,35.1875,36.0625,2881100,27.58757
"CTAS",2001-03-19,36.1875,38.75,36.125,38.0625,1614600,29.117552
"CTAS",2001-03-20,38.125,38.5,35.375,35.375,1008200,27.061638
"CTAS",2001-03-21,35.4375,37.75,35.0625,37.25,1947100,28.496004
"CTAS",2001-03-22,37.1875,38.625,36.875,38.5625,2004300,29.500059
"CTAS",2001-03-23,39.1875,40.5,39.125,39.625,2436300,30.312864
"CTAS",2001-03-26,40.150002,41,39.700001,39.990002,2690900,30.592089
"CTAS",2001-03-27,40.25,40.25,39.25,39.650002,1113800,30.331984
"CTAS",2001-03-28,39.48,40.119999,38.599998,39.299999,913200,30.064236
"CTAS",2001-03-29,39.119999,39.990002,38.040001,38.75,1025500,29.643496
"CTAS",2001-03-30,39.060001,39.799999,38.48,39.419998,1056200,30.15604
"CTAS",2001-04-02,39.470001,39.73,37.740002,38.48,1160200,29.436935
"CTAS",2001-04-03,38.419998,38.43,36.5,36.549999,1054300,27.960506
"CTAS",2001-04-04,36.810001,37.709999,36.349998,37.299999,1237100,28.534256
"CTAS",2001-04-05,37.419998,38.41,36.68,38.400002,1138000,29.375742
"CTAS",2001-04-06,37.759998,38.200001,36.509998,37.799999,1245400,28.916752
"CTAS",2001-04-09,37.799999,38.599998,37.48,37.860001,858100,28.962643
"CTAS",2001-04-10,38.220001,40.43,38.220001,39.580002,2061400,30.27844
"CTAS",2001-04-11,39.400002,40.209999,38.66,40.200001,1412900,30.752731
"CTAS",2001-04-12,39.740002,40.669998,39,40.299999,693500,30.829231
"CTAS",2001-04-16,40.25,40.91,38.790001,39.349998,866300,30.10248
"CTAS",2001-04-17,39,40.650002,38.790001,40.580002,1079600,31.043442
"CTAS",2001-04-18,40.060001,44.849998,40,43.41,2442100,33.208366
"CTAS",2001-04-19,43.049999,43.220001,42.209999,42.82,1940600,32.757019
