"symbol","date","open","high","low","close","volume","adjusted"
"CVG",2000-06-13,3.968254,3.968254,3.968254,3.968254,0,2.916766
"CVG",2000-06-14,3.869048,3.869048,3.869048,3.869048,202,2.843847
"CVG",2000-06-15,3.819444,3.819444,3.720238,3.720238,6955,2.734468
"CVG",2000-06-16,3.819444,3.819444,3.720238,3.720238,1512,2.734468
"CVG",2000-06-19,3.720238,3.720238,3.720238,3.720238,0,2.734468
"CVG",2000-06-20,3.720238,3.720238,3.670635,3.670635,14112,2.698009
"CVG",2000-06-21,3.670635,3.670635,3.670635,3.670635,0,2.698009
"CVG",2000-06-22,4.21627,4.464286,4.21627,4.464286,6854,3.281362
"CVG",2000-06-23,4.464286,4.464286,4.464286,4.464286,0,3.281362
"CVG",2000-06-26,4.464286,4.464286,4.464286,4.464286,0,3.281362
"CVG",2000-06-27,4.464286,4.464286,4.464286,4.464286,0,3.281362
"CVG",2000-06-28,4.464286,4.464286,4.22619,4.22619,2016,3.106356
"CVG",2000-06-29,4.22619,4.22619,4.22619,4.22619,706,3.106356
"CVG",2000-06-30,4.22619,4.22619,4.22619,4.22619,0,3.106356
"CVG",2000-07-03,NA,NA,NA,NA,NA,NA
"CVG",2000-07-05,4.22619,4.22619,4.22619,4.22619,0,3.106356
"CVG",2000-07-06,4.563492,4.563492,4.563492,4.563492,2016,3.354281
"CVG",2000-07-07,4.712302,4.712302,4.712302,4.712302,286877,3.54063
"CVG",2000-07-10,4.712302,4.712302,4.712302,4.712302,0,3.54063
"CVG",2000-07-11,4.265873,4.265873,4.22619,4.22619,3024,3.175386
"CVG",2000-07-12,4.21627,4.21627,3.968254,3.968254,4435,2.981583
"CVG",2000-07-13,3.968254,3.968254,3.968254,3.968254,0,2.981583
"CVG",2000-07-14,4.21627,4.464286,4.21627,4.464286,4334,3.354281
"CVG",2000-07-17,4.712302,4.712302,4.315476,4.315476,8870,3.242471
"CVG",2000-07-18,4.117063,4.117063,4.117063,4.117063,5040,3.093392
"CVG",2000-07-19,4.117063,4.117063,4.117063,4.117063,302,3.093392
"CVG",2000-07-20,4.117063,4.117063,4.117063,4.117063,0,3.093392
"CVG",2000-07-21,4.06746,4.117063,4.06746,4.06746,7258,3.056122
"CVG",2000-07-24,3.968254,3.968254,3.968254,3.968254,1008,2.981583
"CVG",2000-07-25,3.968254,3.968254,3.968254,3.968254,0,2.981583
"CVG",2000-07-26,4.017857,4.017857,3.968254,3.968254,6754,2.981583
"CVG",2000-07-27,3.968254,3.968254,3.968254,3.968254,0,2.981583
"CVG",2000-07-28,3.968254,3.968254,3.968254,3.968254,504,2.981583
"CVG",2000-07-31,3.968254,3.968254,3.968254,3.968254,1411,2.981583
"CVG",2000-08-01,4.117063,4.117063,4.117063,4.117063,1008,3.093392
"CVG",2000-08-02,4.117063,4.117063,4.117063,4.117063,2318,3.093392
"CVG",2000-08-03,3.968254,3.968254,3.968254,3.968254,1310,2.981583
"CVG",2000-08-04,3.968254,3.968254,3.968254,3.968254,0,2.981583
"CVG",2000-08-07,NA,NA,NA,NA,NA,NA
"CVG",2000-08-08,3.968254,3.968254,3.968254,3.968254,0,2.981583
"CVG",2000-08-09,3.968254,3.968254,3.968254,3.968254,0,2.981583
"CVG",2000-08-10,3.968254,3.968254,3.968254,3.968254,2218,2.981583
"CVG",2000-08-11,3.968254,3.968254,3.968254,3.968254,0,2.981583
"CVG",2000-08-14,3.968254,3.968254,3.968254,3.968254,202,2.981583
"CVG",2000-08-15,3.928571,3.928571,3.928571,3.928571,1613,2.951767
"CVG",2000-08-16,3.968254,3.968254,3.968254,3.968254,3326,2.981583
"CVG",2000-08-17,3.968254,3.968254,3.968254,3.968254,1613,2.981583
"CVG",2000-08-18,3.968254,3.968254,3.968254,3.968254,2016,2.981583
"CVG",2000-08-21,3.968254,3.968254,3.968254,3.968254,0,2.981583
"CVG",2000-08-22,3.928571,3.928571,3.928571,3.928571,1008,2.951767
"CVG",2000-08-23,3.869048,3.869048,3.869048,3.869048,3629,2.907043
"CVG",2000-08-24,3.968254,3.968254,3.968254,3.968254,7056,2.981583
"CVG",2000-08-25,3.968254,3.968254,3.968254,3.968254,0,2.981583
"CVG",2000-08-28,3.968254,3.968254,3.968254,3.968254,0,2.981583
"CVG",2000-08-29,3.968254,3.968254,3.968254,3.968254,3326,2.981583
"CVG",2000-08-30,4.712302,4.712302,3.968254,4.06746,23486,3.056122
"CVG",2000-08-31,4.166667,4.166667,4.06746,4.06746,4234,3.056122
"CVG",2000-09-01,4.06746,4.06746,4.06746,4.06746,0,3.056122
"CVG",2000-09-05,4.464286,4.464286,4.464286,4.464286,1008,3.354281
"CVG",2000-09-06,4.166667,4.166667,4.166667,4.166667,1008,3.130663
"CVG",2000-09-07,4.06746,4.06746,4.06746,4.06746,504,3.056122
"CVG",2000-09-08,4.06746,4.06746,4.06746,4.06746,1512,3.056122
"CVG",2000-09-11,4.06746,4.06746,3.968254,3.968254,16834,2.981583
"CVG",2000-09-12,3.968254,3.968254,3.968254,3.968254,0,2.981583
"CVG",2000-09-13,3.869048,3.869048,3.869048,3.869048,1310,2.907043
"CVG",2000-09-14,3.968254,3.968254,3.869048,3.869048,3730,2.907043
"CVG",2000-09-15,3.869048,3.869048,3.869048,3.869048,0,2.907043
"CVG",2000-09-18,3.869048,3.869048,3.869048,3.869048,0,2.907043
"CVG",2000-09-19,3.869048,3.869048,3.869048,3.869048,0,2.907043
"CVG",2000-09-20,3.869048,3.869048,3.869048,3.869048,0,2.907043
"CVG",2000-09-21,3.869048,3.869048,3.869048,3.869048,0,2.907043
"CVG",2000-09-22,3.869048,3.968254,3.869048,3.968254,1714,2.981583
"CVG",2000-09-25,3.968254,3.968254,3.968254,3.968254,0,2.981583
"CVG",2000-09-26,3.819444,3.819444,3.819444,3.819444,1008,2.869773
"CVG",2000-09-27,3.769841,3.819444,3.769841,3.819444,1814,2.869773
"CVG",2000-09-28,3.819444,3.968254,3.769841,3.769841,2218,2.832503
