"symbol","date","open","high","low","close","volume","adjusted"
"D",1996-01-02,20.5,21,20.5,20.9375,630800,6.510193
"D",1996-01-03,20.9375,21.1875,20.875,21.1875,307800,6.587931
"D",1996-01-04,21.0625,21.1875,20.9375,21,619400,6.529627
"D",1996-01-05,20.875,21.125,20.6875,21.125,662000,6.568495
"D",1996-01-08,21.0625,21.25,21.0625,21.1875,85400,6.587931
"D",1996-01-09,21.1875,21.4375,21.1875,21.4375,655000,6.665659
"D",1996-01-10,21.25,21.375,21.125,21.25,777600,6.607359
"D",1996-01-11,21.3125,21.3125,20.9375,21.125,974400,6.568495
"D",1996-01-12,21.1875,21.1875,21,21.0625,248800,6.549062
"D",1996-01-15,21.0625,21.125,21,21,111200,6.529627
"D",1996-01-16,21.0625,21.375,21,21.3125,361200,6.626795
"D",1996-01-17,21.3125,21.375,21.1875,21.3125,390400,6.626795
"D",1996-01-18,21.25,21.28125,21.125,21.25,341600,6.607359
"D",1996-01-19,21.1875,21.25,21,21.1875,365600,6.587931
"D",1996-01-22,21.125,21.1875,21.0625,21.125,222400,6.568495
"D",1996-01-23,21.125,21.25,21.0625,21.1875,286000,6.587931
"D",1996-01-24,21.25,21.375,21.1875,21.375,298600,6.646225
"D",1996-01-25,21.3125,21.3125,21.0625,21.125,261800,6.568495
"D",1996-01-26,21.125,21.1875,21,21.1875,338800,6.587931
"D",1996-01-29,21.25,21.3125,21.125,21.25,327200,6.607359
"D",1996-01-30,21.375,21.375,21.25,21.25,245200,6.607359
"D",1996-01-31,21.25,21.4375,21.25,21.4375,299000,6.665659
"D",1996-02-01,21.3125,21.375,21.125,21.25,199200,6.607359
"D",1996-02-02,21.1875,21.1875,21,21,364600,6.529627
"D",1996-02-05,21,21.0625,20.8125,21.0625,299000,6.549062
"D",1996-02-06,21,21.25,21,21.25,454000,6.607359
"D",1996-02-07,21.3125,21.4375,21.25,21.4375,207600,6.665659
"D",1996-02-08,21.375,21.5,21.3125,21.4375,220800,6.665659
"D",1996-02-09,21.4375,21.625,21.375,21.5625,525000,6.70453
"D",1996-02-12,21.5625,21.8125,21.5,21.8125,442800,6.782261
"D",1996-02-13,21.8125,22.1875,21.8125,21.9375,536400,6.821124
"D",1996-02-14,21.9375,21.9375,21.625,21.75,363800,6.762826
"D",1996-02-15,21.6875,21.75,21.5,21.6875,341000,6.743395
"D",1996-02-16,21.625,21.625,21.4375,21.5625,614000,6.70453
"D",1996-02-20,21.4375,21.5625,21.0625,21.1875,890200,6.587931
"D",1996-02-21,21.1875,21.25,21.0625,21.1875,340600,6.587931
"D",1996-02-22,21.1875,21.375,21.1875,21.1875,636000,6.587931
"D",1996-02-23,21.25,21.3125,21,21.0625,440600,6.549062
"D",1996-02-26,21.0625,21.3125,20.625,20.6875,395000,6.432459
"D",1996-02-27,20.6875,20.875,20.5625,20.6875,3929000,6.432459
"D",1996-02-28,20.4375,20.5,20.1875,20.25,2132800,6.396135
"D",1996-02-29,20.125,20.25,19.75,19.75,1262800,6.23821
"D",1996-03-01,19.9375,20.0625,19.875,20,1436600,6.317173
"D",1996-03-04,20,20.3125,20,20.3125,783600,6.415881
"D",1996-03-05,20.1875,20.25,20.0625,20.25,295200,6.396135
"D",1996-03-06,20.1875,20.25,19.9375,20,320800,6.317173
"D",1996-03-07,20,20.1875,19.875,20.125,443000,6.356658
"D",1996-03-08,19.9375,19.9375,19.4375,19.625,764000,6.198725
"D",1996-03-11,19.5,19.75,19.375,19.6875,614800,6.218465
"D",1996-03-12,19.5625,19.625,19.125,19.4375,727600,6.139501
"D",1996-03-13,19.5625,19.625,19.4375,19.5,451800,6.159244
"D",1996-03-14,19.5,19.5,19.1875,19.1875,568600,6.060537
"D",1996-03-15,19.1875,19.1875,18.8125,19.125,1050600,6.040798
"D",1996-03-18,19.25,19.625,19.25,19.5625,788400,6.178981
"D",1996-03-19,19.6875,19.875,19.4375,19.5,615000,6.159244
"D",1996-03-20,19.625,19.75,19.5625,19.75,764400,6.23821
"D",1996-03-21,19.75,20.125,19.75,20.125,2604000,6.356658
"D",1996-03-22,20.1875,20.25,20.0625,20.125,199000,6.356658
"D",1996-03-25,20.25,20.4375,20.1875,20.4375,319400,6.455356
"D",1996-03-26,20.375,20.4375,20.3125,20.375,258200,6.435616
"D",1996-03-27,20.375,20.625,20.3125,20.5,2649400,6.475101
"D",1996-03-28,20.4375,20.4375,20,20,487400,6.317173
"D",1996-03-29,20.125,20.125,19.75,19.75,419400,6.23821
"D",1996-04-01,19.875,20,19.8125,20,434400,6.317173
"D",1996-04-02,20,20.0625,19.875,20,353400,6.317173
"D",1996-04-03,19.9375,19.9375,19.8125,19.875,243800,6.277692
"D",1996-04-04,19.875,20,19.8125,19.875,491200,6.277692
"D",1996-04-08,19.6875,19.6875,19.3125,19.4375,585200,6.139501
"D",1996-04-09,19.4375,19.5,19.3125,19.5,456600,6.159244
"D",1996-04-10,19.5,19.9375,19.3125,19.4375,877000,6.139501
"D",1996-04-11,19.4375,19.4375,18.875,19.0625,568400,6.021055
"D",1996-04-12,19.0625,19.25,19.0625,19.1875,361000,6.060537
"D",1996-04-15,19.3125,19.3125,19.125,19.3125,207200,6.100019
"D",1996-04-16,19.375,19.375,19.0625,19.125,528800,6.040798
"D",1996-04-17,19,19.0625,18.9375,19.0625,394800,6.021055
"D",1996-04-18,19.0625,19.125,18.875,18.875,267000,5.961833
"D",1996-04-19,18.9375,19.0625,18.9375,18.9375,623800,5.981575
"D",1996-04-22,19.125,19.1875,19,19.125,322800,6.040798
"D",1996-04-23,19.0625,19.125,18.875,19,245800,6.001314
"D",1996-04-24,19.125,19.1875,19.0625,19.125,380000,6.040798
"D",1996-04-25,19.125,19.1875,18.9375,19.125,526800,6.040798
"D",1996-04-26,19.125,19.3125,19.0625,19.1875,197400,6.060537
"D",1996-04-29,19.1875,19.1875,19.0625,19.125,134800,6.040798
"D",1996-04-30,19.0625,19.25,18.9375,19.25,242200,6.08028
"D",1996-05-01,19.1875,19.4375,19.1875,19.1875,274800,6.060537
"D",1996-05-02,19.0625,19.1875,19,19.1875,1104800,6.060537
"D",1996-05-03,19.125,19.25,19.0625,19.0625,940600,6.021055
"D",1996-05-06,19.125,19.125,18.9375,19.0625,463400,6.021055
"D",1996-05-07,19,19.125,19,19.0625,204200,6.021055
"D",1996-05-08,19.0625,19.5625,19,19.5625,494200,6.178981
"D",1996-05-09,19.5625,19.6875,19.5,19.625,889400,6.198725
"D",1996-05-10,19.875,19.9375,19.75,19.8125,334200,6.257946
"D",1996-05-13,19.8125,20.0625,19.8125,20.0625,256800,6.336915
"D",1996-05-14,20,20.0625,19.9375,20.0625,397200,6.336915
"D",1996-05-15,20,20.0625,19.8125,19.875,444400,6.277692
"D",1996-05-16,19.75,19.8125,19.6875,19.75,514000,6.23821
"D",1996-05-17,19.6875,19.75,19.625,19.75,356600,6.23821
"D",1996-05-20,19.875,19.875,19.6875,19.75,214800,6.23821
"D",1996-05-21,19.8125,19.875,19.75,19.8125,371800,6.257946
"D",1996-05-22,19.8125,20.0625,19.8125,20,671600,6.317173
"D",1996-05-23,20.0625,20.125,19.875,19.9375,958800,6.297431
"D",1996-05-24,20,20.125,19.9375,20.0625,997000,6.336915
"D",1996-05-28,20.0625,20.0625,19.8125,19.875,2622200,6.277692
"D",1996-05-29,19.5,19.5625,19.1875,19.3125,2794800,6.200634
"D",1996-05-30,19.25,19.3125,19.0625,19.125,1251600,6.140433
"D",1996-05-31,19.1875,19.1875,18.8125,18.9375,426000,6.080233
"D",1996-06-03,18.8125,18.875,18.6875,18.8125,513600,6.040096
"D",1996-06-04,18.8125,19,18.75,18.8125,430200,6.040096
