"symbol","date","open","high","low","close","volume","adjusted"
"DLR",2016-05-18,94.980003,95.080002,92.849998,93.559998,5544200,75.558624
"DLR",2016-05-19,92.849998,93.139999,90.889999,92.690002,2593000,74.856003
"DLR",2016-05-20,93.370003,94.169998,92.889999,93.75,1858500,75.712051
"DLR",2016-05-23,93.959999,94.25,93.279999,94.220001,1323300,76.091644
"DLR",2016-05-24,94.669998,95.349998,93.639999,94.169998,1641600,76.051254
"DLR",2016-05-25,94.230003,95.410004,93.330002,95.080002,1512500,76.786163
"DLR",2016-05-26,94.959999,95.050003,94.419998,94.800003,1137900,76.560051
"DLR",2016-05-27,94.779999,95.57,94.519997,94.660004,1637500,76.446983
"DLR",2016-05-31,94.870003,95.809998,94.309998,95.449997,2718900,77.084984
"DLR",2016-06-01,95.400002,95.720001,94.339996,95.589996,2136000,77.198036
"DLR",2016-06-02,95.400002,97.239998,95.230003,97.129997,1785600,78.441734
"DLR",2016-06-03,97.5,98.639999,96.93,98.440002,1507100,79.499687
"DLR",2016-06-06,98.349998,99.879997,98.269997,99.669998,2850300,80.493027
"DLR",2016-06-07,99.669998,102.540001,99.669998,102.059998,2440100,82.42318
"DLR",2016-06-08,101.779999,102.68,101.019997,102.599998,1380000,82.859283
"DLR",2016-06-09,102.580002,103.080002,102.139999,102.839996,1218600,83.053108
"DLR",2016-06-10,102.410004,102.989998,101.68,102.32,1509100,82.633133
"DLR",2016-06-13,101.989998,101.989998,100.07,100.239998,1936800,81.65564
"DLR",2016-06-14,100.209999,100.839996,99.470001,100.360001,1761500,81.753387
"DLR",2016-06-15,100.529999,100.75,100,100.339996,1739600,81.737083
"DLR",2016-06-16,100.220001,101.739998,100.07,101.669998,1596100,82.820511
"DLR",2016-06-17,101.599998,102.510002,100.330002,102.110001,3924500,83.178955
"DLR",2016-06-20,102.82,103.620003,102.360001,102.400002,1595300,83.415161
"DLR",2016-06-21,102.440002,104.25,102.440002,104.010002,1337900,84.726677
"DLR",2016-06-22,104,104.620003,103.739998,104.470001,1212300,85.101418
"DLR",2016-06-23,104.800003,105.370003,104,104.82,1344400,85.386513
"DLR",2016-06-24,102.839996,104.809998,102,103.589996,2274300,84.384552
"DLR",2016-06-27,103.349998,104.360001,102.5,104.120003,1455000,84.816277
"DLR",2016-06-28,104.75,107.07,104.510002,106.639999,2277200,86.86908
"DLR",2016-06-29,107.419998,108.290001,107.010002,108.199997,1616400,88.13987
"DLR",2016-06-30,108.510002,109.080002,107.690002,108.989998,1205300,88.783401
"DLR",2016-07-01,109.349998,109.949997,107.860001,109,1237200,88.79155
"DLR",2016-07-05,109.010002,111.25,109.010002,111.230003,1668600,90.608116
"DLR",2016-07-06,111.230003,113.209999,111.07,112.099998,2034200,91.316811
"DLR",2016-07-07,111.889999,112.050003,108.589996,109.040001,2240200,88.824127
"DLR",2016-07-08,109.610001,110.75,109.419998,110.239998,1359000,89.801643
"DLR",2016-07-11,110.32,110.480003,108.669998,109.849998,1194600,89.483955
"DLR",2016-07-12,109.980003,110.169998,108.290001,109.629997,1895900,89.304741
"DLR",2016-07-13,110,110.660004,109,109.82,2028900,89.459518
"DLR",2016-07-14,109.529999,109.959999,106.239998,107.040001,2392900,87.194939
"DLR",2016-07-15,107.029999,107.589996,105.860001,106.559998,2426100,86.803909
"DLR",2016-07-18,106.18,106.720001,105.559998,105.910004,1566100,86.274422
"DLR",2016-07-19,105.220001,106.019997,105.059998,106,1605600,86.34774
"DLR",2016-07-20,106.029999,106.5,103.809998,104.879997,1589500,85.435364
"DLR",2016-07-21,104.800003,104.800003,101.260002,102.059998,3229700,83.138206
"DLR",2016-07-22,102.279999,106.449997,102.059998,105.650002,2431600,86.06263
"DLR",2016-07-25,105.970001,106.550003,104.230003,104.959999,1133900,85.500549
"DLR",2016-07-26,105.120003,105.540001,104.559998,105.160004,924600,85.66349
"DLR",2016-07-27,105.129997,105.940002,104.699997,105.389999,1533800,85.85083
"DLR",2016-07-28,105.589996,108.120003,105.540001,107.690002,1705300,87.724419
"DLR",2016-07-29,105.050003,106,101.360001,104.459999,3325700,85.093254
"DLR",2016-08-01,104.690002,106.68,104.660004,106.68,1561100,86.901665
"DLR",2016-08-02,106.099998,106.68,103.860001,104.620003,1948500,85.223602
"DLR",2016-08-03,104.199997,104.5,101.370003,102.07,2158200,83.146355
"DLR",2016-08-04,102.580002,103.32,101.989998,103.07,1506100,83.960953
"DLR",2016-08-05,103.18,103.18,100.230003,100.949997,1347200,82.234001
"DLR",2016-08-08,100.839996,100.949997,99.580002,100.339996,1488500,81.737083
"DLR",2016-08-09,100.43,101.900002,99.099998,101.900002,1544800,83.007866
"DLR",2016-08-10,101.769997,102.349998,101.300003,101.610001,954500,82.771645
"DLR",2016-08-11,101.669998,102.07,100.360001,101.639999,1012800,82.796074
"DLR",2016-08-12,102.239998,104.550003,101.669998,103.239998,1327600,84.099449
"DLR",2016-08-15,103.129997,103.720001,101.510002,101.800003,986200,82.926414
"DLR",2016-08-16,101.43,101.43,99.849998,100.669998,1146300,82.005905
"DLR",2016-08-17,101,102.129997,100.230003,101.779999,1107000,82.91011
"DLR",2016-08-18,101.959999,102.209999,100.919998,101.220001,982900,82.453957
"DLR",2016-08-19,101.18,101.419998,100.449997,101.019997,1064300,82.291031
"DLR",2016-08-22,101.410004,102.269997,100.870003,101.610001,1415000,82.771645
"DLR",2016-08-23,101.239998,101.57,99.269997,99.650002,1375600,81.175034
"DLR",2016-08-24,99.720001,100.129997,98.309998,98.879997,1232900,80.547775
"DLR",2016-08-25,98.730003,99.690002,98.190002,98.769997,998400,80.458176
"DLR",2016-08-26,98.82,101,98.279999,99.459999,1861500,81.020248
"DLR",2016-08-29,99.75,100.779999,99.669998,100.68,1156800,82.014053
"DLR",2016-08-30,100.760002,100.860001,98.660004,99.019997,1073300,80.661827
"DLR",2016-08-31,98.739998,99.459999,98.169998,99.089996,2359800,80.718842
"DLR",2016-09-01,99,99.519997,98.279999,99.449997,1269500,81.012085
"DLR",2016-09-02,99.809998,102.639999,99.809998,100.099998,1260400,81.54158
"DLR",2016-09-06,100.449997,102.209999,99.099998,101.900002,1576500,83.007866
"DLR",2016-09-07,101.889999,101.989998,100.470001,101.790001,1146600,82.918266
"DLR",2016-09-08,101.279999,101.279999,100.080002,100.459999,1560300,81.834846
"DLR",2016-09-09,99.389999,99.959999,96.269997,96.269997,2175600,78.421669
"DLR",2016-09-12,95.75,96.779999,94.669998,96.099998,2838100,78.283195
"DLR",2016-09-13,94.32,94.709999,92.669998,93.029999,2712000,76.482712
"DLR",2016-09-14,93.43,93.639999,91.699997,92.050003,2475000,75.67704
"DLR",2016-09-15,92.050003,92.830002,91.269997,92.669998,1660700,76.18676
"DLR",2016-09-16,92.370003,92.699997,91.830002,92.599998,2389600,76.129211
"DLR",2016-09-19,93.199997,94.059998,92.419998,93.720001,2042500,77.049995
"DLR",2016-09-20,94.339996,94.639999,93.800003,94.059998,1932900,77.329521
"DLR",2016-09-21,94.040001,95.610001,93.5,95.489998,1796000,78.505157
"DLR",2016-09-22,95.989998,98.940002,95.989998,98.089996,2206200,80.642693
"DLR",2016-09-23,97.610001,98.730003,96.93,97.949997,2209700,80.527588
"DLR",2016-09-26,97.300003,98.139999,96.720001,97.639999,6213100,80.272743
"DLR",2016-09-27,98.150002,98.199997,96.610001,96.839996,1821200,79.615036
"DLR",2016-09-28,99.160004,99.839996,98.610001,99.260002,2878400,81.604599
"DLR",2016-09-29,98.830002,99.139999,97.129997,98,2346900,80.56871
"DLR",2016-09-30,98.5,99.43,96.279999,97.120003,2945800,79.84523
"DLR",2016-10-03,96.760002,96.760002,93.75,94.599998,1594500,77.77346
"DLR",2016-10-04,93.989998,94,91.190002,92.18,2092200,75.78392
"DLR",2016-10-05,92.260002,92.5,89.599998,90.830002,1788000,74.674034
"DLR",2016-10-06,90.129997,91.970001,89.18,90.989998,1800600,74.805588
"DLR",2016-10-07,91.440002,93.769997,90.730003,91.620003,1293600,75.323532
"DLR",2016-10-10,91.660004,93.059998,91.660004,92.5,1146000,76.046997
"DLR",2016-10-11,92.410004,92.730003,91.080002,91.519997,693500,75.241302
"DLR",2016-10-12,91.709999,93.410004,91.209999,93.32,895300,76.721153
"DLR",2016-10-13,93.059998,94.709999,92.449997,94.580002,1221900,77.757027
"DLR",2016-10-14,94.699997,95.699997,93.690002,94.709999,1044100,77.863884
"DLR",2016-10-17,94.760002,95.300003,94.339996,94.940002,714200,78.052986
"DLR",2016-10-18,95.75,97.110001,95.059998,96.57,939700,79.393066
"DLR",2016-10-19,96.75,97.110001,95.43,96.5,795700,79.335518
"DLR",2016-10-20,96.419998,97.18,95.82,96.010002,898600,78.932671
"DLR",2016-10-21,95.269997,96.199997,95.029999,95.68,756700,78.661385
"DLR",2016-10-24,96.410004,97.120003,95.32,95.980003,995000,78.908005
"DLR",2016-10-25,96.169998,97.029999,94.760002,96.900002,929300,79.664368
"DLR",2016-10-26,96.269997,97.169998,95.610001,96.550003,1578900,79.376625
"DLR",2016-10-27,97.660004,97.660004,90.650002,92.019997,2288600,75.652359
