"symbol","date","open","high","low","close","volume","adjusted"
"DRE",2017-07-26,27.76,28.75,27.74,28.42,6476900,24.240959
"DRE",2017-07-27,28.809999,29.190001,28.25,28.75,4092500,24.522438
"DRE",2017-07-28,28.84,28.99,28.780001,28.870001,2712400,24.624788
"DRE",2017-07-31,28.959999,28.969999,28.43,28.59,2441500,24.385962
"DRE",2017-08-01,28.719999,29,28.6,28.889999,2375800,24.641851
"DRE",2017-08-02,28.889999,29,28.75,28.9,1874100,24.650375
"DRE",2017-08-03,28.860001,29.049999,28.68,28.709999,1652200,24.488316
"DRE",2017-08-04,28.74,28.879999,28.57,28.690001,3070500,24.471258
"DRE",2017-08-07,28.629999,28.709999,28.379999,28.42,1754100,24.240959
"DRE",2017-08-08,28.4,28.84,28.25,28.74,3614600,24.513906
"DRE",2017-08-09,28.809999,28.809999,28.43,28.52,2016600,24.326254
"DRE",2017-08-10,28.41,28.530001,28.219999,28.26,1433600,24.104486
"DRE",2017-08-11,28.17,28.33,28.17,28.26,2083500,24.104486
"DRE",2017-08-14,28.309999,28.84,28.27,28.82,1924200,24.748535
"DRE",2017-08-15,28.73,28.879999,28.52,28.860001,1926500,24.782885
"DRE",2017-08-16,28.92,29.17,28.879999,28.9,1864600,24.81723
"DRE",2017-08-17,28.889999,28.969999,28.469999,28.52,2005500,24.490913
"DRE",2017-08-18,28.440001,28.9,28.34,28.860001,3860700,24.782885
"DRE",2017-08-21,28.860001,29.440001,28.809999,29.43,3810800,25.27236
"DRE",2017-08-22,29.48,29.52,29.09,29.18,2571400,25.057678
"DRE",2017-08-23,29.16,29.629999,29.09,29.540001,1908500,25.366823
"DRE",2017-08-24,29.620001,29.719999,29.32,29.33,1852600,25.186481
"DRE",2017-08-25,29.5,29.57,29.309999,29.379999,1945300,25.22942
"DRE",2017-08-28,29.49,29.559999,29.139999,29.299999,1661200,25.160721
"DRE",2017-08-29,29.35,29.530001,29.16,29.41,1708400,25.255184
"DRE",2017-08-30,29.35,29.48,29.16,29.469999,1979300,25.306704
"DRE",2017-08-31,29.57,29.9,29.5,29.719999,2611200,25.521393
"DRE",2017-09-01,29.790001,29.870001,29.52,29.530001,1562200,25.358231
"DRE",2017-09-05,29.559999,29.68,29.41,29.48,3005100,25.315292
"DRE",2017-09-06,29.610001,29.629999,29.42,29.440001,3060900,25.280945
"DRE",2017-09-07,29.5,29.620001,29.379999,29.41,3167900,25.255184
