"symbol","date","open","high","low","close","volume","adjusted"
"DRI",1996-01-02,6.927725,7.076708,6.853233,7.002217,547041,4.16125
"DRI",1996-01-03,6.927725,7.002217,6.853233,6.927725,535798,4.11698
"DRI",1996-01-04,7.002217,7.002217,6.70425,6.853233,1321457,4.07271
"DRI",1996-01-05,6.70425,6.778742,6.70425,6.70425,1090558,3.984172
"DRI",1996-01-08,6.70425,6.778742,6.629758,6.778742,132733,4.028442
"DRI",1996-01-09,6.70425,6.778742,6.480775,6.629758,483276,3.939906
"DRI",1996-01-10,6.555267,6.555267,6.331792,6.480775,667524,3.851369
"DRI",1996-01-11,6.406283,6.70425,6.406283,6.629758,763173,3.939906
"DRI",1996-01-12,6.629758,7.002217,6.629758,7.002217,760488,4.16125
"DRI",1996-01-15,7.002217,7.002217,6.927725,6.927725,322184,4.11698
"DRI",1996-01-16,7.002217,7.002217,6.927725,7.002217,377895,4.16125
"DRI",1996-01-17,6.927725,7.002217,6.927725,6.927725,602081,4.11698
"DRI",1996-01-18,6.927725,7.002217,6.853233,6.853233,551740,4.07271
"DRI",1996-01-19,6.778742,6.927725,6.778742,6.927725,477235,4.11698
"DRI",1996-01-22,6.927725,7.002217,6.927725,7.002217,367826,4.16125
"DRI",1996-01-23,6.927725,7.002217,6.853233,6.927725,445352,4.11698
"DRI",1996-01-24,6.927725,7.076708,6.927725,7.076708,323862,4.205518
"DRI",1996-01-25,7.002217,7.002217,6.927725,7.002217,524388,4.16125
"DRI",1996-01-26,6.927725,7.002217,6.853233,6.927725,467670,4.11698
"DRI",1996-01-29,6.927725,7.002217,6.853233,6.853233,1143249,4.07271
"DRI",1996-01-30,6.927725,6.927725,6.778742,6.853233,1125461,4.07271
"DRI",1996-01-31,6.778742,6.853233,6.778742,6.853233,722228,4.07271
"DRI",1996-02-01,6.778742,6.890479,6.70425,6.853233,816199,4.07271
"DRI",1996-02-02,6.853233,7.076708,6.70425,7.002217,2487527,4.16125
"DRI",1996-02-05,7.002217,7.225692,6.927725,7.1512,1669146,4.249785
"DRI",1996-02-06,7.1512,7.300183,7.1512,7.300183,458776,4.338323
"DRI",1996-02-07,7.225692,7.59815,7.225692,7.59815,1025115,4.515396
"DRI",1996-02-08,7.672642,7.896117,7.449167,7.672642,734982,4.559665
"DRI",1996-02-09,7.672642,7.747133,7.523658,7.59815,546538,4.515396
"DRI",1996-02-12,7.523658,7.672642,7.523658,7.672642,256908,4.559665
"DRI",1996-02-13,7.449167,7.449167,7.300183,7.300183,404240,4.338323
"DRI",1996-02-14,7.300183,7.449167,7.1512,7.449167,369337,4.426861
"DRI",1996-02-15,7.374675,7.523658,7.300183,7.449167,754279,4.426861
"DRI",1996-02-16,7.523658,7.523658,7.374675,7.449167,477570,4.426861
"DRI",1996-02-20,7.300183,7.300183,7.076708,7.225692,621546,4.294054
"DRI",1996-02-21,7.225692,7.523658,7.225692,7.449167,676082,4.426861
"DRI",1996-02-22,7.449167,7.672642,7.449167,7.449167,308592,4.426861
