"symbol","date","open","high","low","close","volume","adjusted"
"DTE",1996-01-02,29.25532,29.787233,29.148935,29.680851,493030,8.841421
"DTE",1996-01-03,29.680851,30,29.680851,29.893618,170963,8.9048
"DTE",1996-01-04,29.787233,30.106382,29.361702,29.468084,648013,8.778043
"DTE",1996-01-05,29.25532,29.893618,29.25532,29.893618,603833,8.9048
"DTE",1996-01-08,29.680851,29.893618,29.574469,29.893618,88713,8.9048
"DTE",1996-01-09,29.787233,30.106382,29.574469,29.893618,258500,8.9048
"DTE",1996-01-10,29.680851,30,29.574469,29.787233,366483,8.873111
"DTE",1996-01-11,29.893618,29.893618,29.361702,29.893618,286230,8.9048
"DTE",1996-01-12,30.106382,30.106382,29.574469,29.680851,227245,8.841421
"DTE",1996-01-15,29.574469,29.787233,29.574469,29.680851,123375,8.841421
"DTE",1996-01-16,29.893618,30.106382,29.787233,30.106382,653300,8.968183
"DTE",1996-01-17,30.106382,30.638298,30.106382,30.319149,398560,9.031562
"DTE",1996-01-18,30.212767,30.212767,30,30.106382,324770,8.968183
"DTE",1996-01-19,29.893618,30.319149,29.893618,30.106382,267665,8.968183
"DTE",1996-01-22,30,30.106382,29.787233,29.893618,260850,8.9048
"DTE",1996-01-23,29.787233,30.212767,29.787233,30.106382,420885,8.968183
"DTE",1996-01-24,30.106382,30.425531,30,30.319149,283058,9.031562
"DTE",1996-01-25,30.319149,30.425531,30.106382,30.425531,374003,9.063252
"DTE",1996-01-26,30.319149,30.531916,30.319149,30.425531,173783,9.063252
"DTE",1996-01-29,30.425531,30.531916,30.319149,30.425531,199045,9.063252
"DTE",1996-01-30,30.425531,30.638298,30.425531,30.531916,492560,9.094941
"DTE",1996-01-31,30.531916,30.74468,30.319149,30.638298,131718,9.126629
"DTE",1996-02-01,30.425531,30.531916,30.212767,30.319149,121025,9.031562
"DTE",1996-02-02,30.212767,30.319149,29.893618,30.106382,123258,8.968183
"DTE",1996-02-05,30,30.106382,29.893618,30.106382,244988,8.968183
"DTE",1996-02-06,30,30.425531,30,30.425531,173665,9.063252
"DTE",1996-02-07,30.319149,30.851065,30.212767,30.851065,397268,9.190007
"DTE",1996-02-08,30.74468,30.74468,30.319149,30.425531,354615,9.063252
"DTE",1996-02-09,30.425531,30.638298,30.319149,30.638298,235118,9.126629
"DTE",1996-02-12,30.851065,31.276596,30.638298,31.170214,299978,9.285076
"DTE",1996-02-13,31.063829,31.702127,31.063829,31.382978,401850,9.348458
"DTE",1996-02-14,31.382978,31.382978,30.851065,30.851065,152045,9.190007
"DTE",1996-02-15,30.957447,30.957447,30.638298,30.74468,217493,9.158317
"DTE",1996-02-16,30.638298,30.74468,30.425531,30.531916,311140,9.094941
"DTE",1996-02-20,30,30.212767,29.680851,29.787233,405493,8.873111
"DTE",1996-02-21,29.893618,30.106382,29.680851,30.106382,790540,8.968183
"DTE",1996-02-22,30.106382,30.319149,30,30.212767,622398,8.999868
"DTE",1996-02-23,30.425531,30.531916,29.787233,29.893618,168848,8.9048
"DTE",1996-02-26,29.787233,30.212767,29.25532,30.212767,1297200,8.999868
"DTE",1996-02-27,30.106382,30.425531,30,30.425531,840595,9.063252
