"symbol","date","open","high","low","close","volume","adjusted"
"DVN",2000-08-30,30.1875,30.5,29.875,30.46875,3368000,21.682631
"DVN",2000-08-31,30.0625,30.21875,29.125,29.289063,1835600,20.843136
"DVN",2000-09-01,29.75,30.375,29.75,29.9375,1722000,21.304583
"DVN",2000-09-05,29.9375,29.96875,29.40625,29.8125,969200,21.215626
"DVN",2000-09-06,29.875,30.34375,29.8125,30.34375,2468400,21.593687
"DVN",2000-09-07,30.375,30.375,29.71875,30.03125,1545000,21.371298
"DVN",2000-09-08,30,30,29.15625,29.28125,1164400,20.837578
"DVN",2000-09-11,29.15625,30.1875,28.875,30.03125,1606200,21.371298
"DVN",2000-09-12,29.625,30.25,29.4375,29.625,1350400,21.082197
"DVN",2000-09-13,29.59375,29.625,28.5,29.09375,1738600,20.721634
"DVN",2000-09-14,28.96875,29.09375,28.75,29.0625,947600,20.699369
"DVN",2000-09-15,29.34375,31.125,29.3125,31,3739800,22.079323
"DVN",2000-09-18,31.1875,31.28125,30.25,30.507813,1661200,21.728785
"DVN",2000-09-19,30.71875,30.71875,29.4375,29.46875,1731000,20.98872
"DVN",2000-09-20,29.6875,30.21875,29.46875,29.75,1663200,21.189032
"DVN",2000-09-21,29.75,29.75,28.4375,28.75,2652800,20.476799
"DVN",2000-09-22,28.6875,28.875,28.03125,28.21875,1209200,20.098423
"DVN",2000-09-25,27.75,28.91,27.42,28.875,2437200,20.565826
"DVN",2000-09-26,29.75,29.75,29.200001,29.5,1881600,21.010973
"DVN",2000-09-27,29.5,30.049999,29.5,30.049999,1839600,21.402702
"DVN",2000-09-28,30.1,30.275,29.725,29.950001,1056200,21.331476
"DVN",2000-09-29,30.25,30.4,30,30.075001,1702000,21.420507
"DVN",2000-10-02,30.08,30.5,30.08,30.35,1363400,21.616371
"DVN",2000-10-03,30.325001,30.5,30.115,30.434999,1130200,21.676916
"DVN",2000-10-04,30.049999,30.055,29.5,29.5,1272400,21.010973
"DVN",2000-10-05,29.325001,29.370001,28.205,28.25,1943000,20.120672
"DVN",2000-10-06,28.25,29.200001,27.93,28.245001,1498400,20.117119
"DVN",2000-10-09,28.5,28.9,28.5,28.875,1011800,20.565826
"DVN",2000-10-10,29.295,30.555,29.25,30.225,1860200,21.527342
"DVN",2000-10-11,30.75,32,30.75,31.450001,2204000,22.399837
"DVN",2000-10-12,31.620001,32.369999,31.59,32,2784400,22.791571
"DVN",2000-10-13,32,32,30.700001,31.035,1801400,22.104259
"DVN",2000-10-16,30.625,30.825001,30.125,30.25,1100400,21.545155
"DVN",2000-10-17,30.25,31.075001,30.25,30.545,1482200,21.755257
"DVN",2000-10-18,30.75,30.905001,30.5,30.5,1295000,21.723207
"DVN",2000-10-19,30.25,30.605,29.6,29.725,1094800,21.17123
"DVN",2000-10-20,29.5,30.125,29.4,30.049999,1286000,21.402702
"DVN",2000-10-23,30,30.030001,29.305,29.434999,725000,20.964676
"DVN",2000-10-24,29.445,29.445,27.950001,28.5,1851000,20.298737
"DVN",2000-10-25,28.75,28.809999,26.23,26.275,2285400,18.714022
"DVN",2000-10-26,25.5,27,25.5,26.625,1736200,18.963295
"DVN",2000-10-27,26.75,26.75,24.719999,25.200001,2225600,17.94836
"DVN",2000-10-30,24.5,25.15,24.25,24.799999,2013000,17.663462
"DVN",2000-10-31,24.875,25.25,24.875,25.200001,2155600,17.94836
"DVN",2000-11-01,25.75,26.745001,25.75,26.549999,1854200,18.909876
"DVN",2000-11-02,26.25,26.299999,25.200001,25.5,1129000,18.162033
"DVN",2000-11-03,25.25,25.6,25.25,25.549999,1456800,18.197643
"DVN",2000-11-06,25.25,25.299999,24.5,25.25,1305600,17.983971
"DVN",2000-11-07,25.200001,25.995001,25.1,25.875,3190000,18.429121
"DVN",2000-11-08,26.75,26.75,25.825001,26.25,2201400,18.696209
"DVN",2000-11-09,26.25,26.35,25.805,26.125,1935000,18.607172
"DVN",2000-11-10,26.125,26.25,25.475,25.85,1745600,18.411316
"DVN",2000-11-13,25.85,26.275,25.125,25.700001,1559800,18.304478
"DVN",2000-11-14,25.375,26.25,25.299999,26.125,1517600,18.607172
"DVN",2000-11-15,26.559999,27.445,26.549999,27.200001,2677000,19.372835
"DVN",2000-11-16,26.905001,27.299999,26.75,27.025,1419800,19.248182
"DVN",2000-11-17,27.15,27.15,25.889999,26.245001,1321600,18.692646
"DVN",2000-11-20,26.495001,26.775,25.51,26.07,1233200,18.56801
"DVN",2000-11-21,26.174999,26.809999,26,26.805,1782800,19.091497
"DVN",2000-11-22,27,27.375,26.735001,27.375,1453800,19.497473
"DVN",2000-11-24,27.184999,27.27,26.799999,27.125,403200,19.31941
"DVN",2000-11-27,27,27.205,26.68,27,1071200,19.230391
"DVN",2000-11-28,27.295,27.295,26.709999,26.959999,1124800,19.201897
"DVN",2000-11-29,26.75,26.799999,25.35,25.85,1498800,18.411316
"DVN",2000-11-30,25.75,26.049999,24,24.625,2501200,17.53883
"DVN",2000-12-01,24.625,25.5,24.625,25.125,1942400,17.894934
"DVN",2000-12-04,26,26.625,25.795,26.165001,1496400,18.635662
