"symbol","date","open","high","low","close","volume","adjusted"
"ED",1996-01-02,32,32.5,31.875,32.5,451200,9.021246
"ED",1996-01-03,32.375,32.5,32.25,32.375,197900,8.986548
"ED",1996-01-04,32,32.375,32,32.25,488700,8.951849
"ED",1996-01-05,32.125,32.75,32.125,32.75,637600,9.09064
"ED",1996-01-08,32.875,32.875,32.75,32.875,100900,9.125335
"ED",1996-01-09,32.875,33.25,32.75,32.96875,624400,9.15136
"ED",1996-01-10,33,33.125,32.625,32.75,703000,9.09064
"ED",1996-01-11,32.875,32.875,32.625,32.625,257000,9.05594
"ED",1996-01-12,32.75,32.875,32.375,32.5,373000,9.021246
"ED",1996-01-15,32.5,33.125,32.5,33.125,709000,9.194734
"ED",1996-01-16,33.375,33.75,33.125,33.75,561000,9.368219
"ED",1996-01-17,33.75,33.875,33.625,33.625,343000,9.33352
"ED",1996-01-18,33.625,33.625,33,33.25,244000,9.229428
"ED",1996-01-19,33.125,33.75,33.125,33.5,580600,9.298821
"ED",1996-01-22,33.5,33.625,33.25,33.25,175200,9.229428
"ED",1996-01-23,33.25,33.625,33.25,33.5,701200,9.298821
"ED",1996-01-24,33.5,34,33.375,34,366800,9.437612
"ED",1996-01-25,33.875,34,33.75,33.875,684800,9.402915
"ED",1996-01-26,33.625,33.75,33.25,33.625,463600,9.33352
"ED",1996-01-29,33.625,33.75,33.5,33.75,104900,9.368219
"ED",1996-01-30,33.75,33.875,33.375,33.5,286600,9.298821
"ED",1996-01-31,33.5,33.75,33.5,33.75,192500,9.368219
"ED",1996-02-01,33.625,33.75,33.25,33.375,284800,9.264127
"ED",1996-02-02,33.25,33.5,33.125,33.375,685500,9.264127
"ED",1996-02-05,33.375,34.25,33.25,34.25,489500,9.507002
"ED",1996-02-06,34,34.125,33.75,34,530700,9.437612
"ED",1996-02-07,33.875,34.25,33.875,34,255400,9.437612
"ED",1996-02-08,34.125,34.25,33.75,34.125,364100,9.47231
"ED",1996-02-09,34.125,34.75,34,34.375,2057300,9.541698
"ED",1996-02-12,33.875,34.125,33.75,34,649800,9.582567
"ED",1996-02-13,33.75,34.625,33.5,34.375,1025400,9.688258
"ED",1996-02-14,34.25,34.25,33.75,33.75,211100,9.512112
"ED",1996-02-15,33.75,33.875,33.375,33.5,287600,9.441649
"ED",1996-02-16,33.375,33.375,33.125,33.125,396000,9.335959
"ED",1996-02-20,32.875,33.125,32.625,32.875,371000,9.265498
"ED",1996-02-21,32.875,33.25,32.75,33.25,443800,9.371191
"ED",1996-02-22,33.25,33.75,33.125,33.75,481000,9.512112
"ED",1996-02-23,33.75,33.875,33.25,33.25,258300,9.371191
