"symbol","date","open","high","low","close","volume","adjusted"
"EOG",2000-11-02,10.5,10.5,10.234375,10.265625,11438400,8.052658
"EOG",2000-11-03,10.265625,10.421875,10.125,10.125,3452400,7.94235
"EOG",2000-11-06,10.140625,10.140625,9.84375,9.96875,3538400,7.81978
"EOG",2000-11-07,10.0625,10.15625,9.859375,9.96875,2476800,7.81978
"EOG",2000-11-08,10.03125,10.296875,10.015625,10.21875,4343600,8.015886
"EOG",2000-11-09,10.21875,10.25,9.859375,9.921875,2184400,7.78301
"EOG",2000-11-10,9.984375,10.03125,9.921875,9.96875,1820000,7.81978
"EOG",2000-11-13,10,10.046875,9.703125,9.734375,2876400,7.635931
"EOG",2000-11-14,9.75,10.125,9.75,10.0625,3869600,7.893322
"EOG",2000-11-15,10.1875,10.984375,10.1875,10.9375,6206800,8.579695
"EOG",2000-11-16,10.9375,11.25,10.75,11.109375,6700000,8.714523
"EOG",2000-11-17,11.046875,11.109375,10.78125,10.90625,3281600,8.555185
"EOG",2000-11-20,10.96875,10.96875,10.5,10.5625,3038000,8.285535
"EOG",2000-11-21,10.453125,11,10.4375,10.984375,6115600,8.616467
"EOG",2000-11-22,10.984375,11.0625,10.71875,11,3240800,8.628723
"EOG",2000-11-24,11.234375,11.40625,11.1875,11.375,2414800,8.922884
"EOG",2000-11-27,11.390625,11.5,11.15625,11.4375,3186800,8.971915
"EOG",2000-11-28,11.4375,11.59375,11.296875,11.3125,3921600,8.873855
"EOG",2000-11-29,11.25,11.265625,10.40625,10.703125,5480400,8.395844
"EOG",2000-11-30,10.703125,11.109375,10.34375,10.609375,8427600,8.322302
"EOG",2000-12-01,10.671875,11.109375,10.625,11.109375,5049600,8.714523
"EOG",2000-12-04,11.171875,11.671875,11.171875,11.5,4766800,9.020936
"EOG",2000-12-05,11.5,11.921875,11.390625,11.515625,7538000,9.033194
"EOG",2000-12-06,11.8125,11.984375,11.65625,11.90625,5345600,9.339617
