"symbol","date","open","high","low","close","volume","adjusted"
"EP",1999-10-27,22.464001,22.464001,20.976,20.976,573,20.976
"EP",1999-10-28,20.976,20.976,20.976,20.976,0,20.976
"EP",1999-10-29,26.976,28.464001,24,28.464001,1981,28.464001
"EP",1999-11-01,28.464001,28.464001,28.464001,28.464001,42,28.464001
"EP",1999-11-02,25.440001,25.440001,24,24,292,24
"EP",1999-11-03,24,24,22.464001,24,3771,24
"EP",1999-11-04,24,24,24,24,0,24
"EP",1999-11-05,24,24,22.464001,24,1519,24
"EP",1999-11-08,24,24,24,24,0,24
"EP",1999-11-09,24,24,24,24,21,24
"EP",1999-11-10,24,24,24,24,0,24
"EP",1999-11-11,24,24,24,24,0,24
"EP",1999-11-12,30,42,24,30,4377,30
"EP",1999-11-15,31.488001,31.488001,26.976,31.488001,1719,31.488001
"EP",1999-11-16,30,30.24,24.48,30,1000,30
"EP",1999-11-17,36,36,30.24,36,219,36
"EP",1999-11-18,30,36,30,30,260,30
"EP",1999-11-19,32.976002,32.976002,32.976002,32.976002,79,32.976002
"EP",1999-11-22,32.976002,32.976002,32.976002,32.976002,0,32.976002
"EP",1999-11-23,25.488001,30,25.488001,30,250,30
"EP",1999-11-24,30,30,30,30,0,30
"EP",1999-11-26,30,30,30,30,0,30
"EP",1999-11-29,30,30,26.976,30,417,30
"EP",1999-11-30,30,30,26.976,30,494,30
"EP",1999-12-01,25.488001,25.488001,25.488001,25.488001,21,25.488001
"EP",1999-12-02,25.488001,25.488001,25.488001,25.488001,0,25.488001
"EP",1999-12-03,25.488001,25.488001,25.488001,25.488001,63,25.488001
"EP",1999-12-06,25.488001,25.488001,25.488001,25.488001,0,25.488001
"EP",1999-12-07,25.488001,25.488001,25.488001,25.488001,0,25.488001
"EP",1999-12-08,25.488001,25.488001,24,24,281,24
"EP",1999-12-09,24,24,24,24,42,24
"EP",1999-12-10,24,26.976,24,24,1613,24
"EP",1999-12-13,25.488001,30,22.464001,22.464001,354,22.464001
"EP",1999-12-14,25.488001,25.488001,25.488001,25.488001,21,25.488001
"EP",1999-12-15,25.488001,25.488001,25.488001,25.488001,2,25.488001
"EP",1999-12-16,25.488001,25.488001,25.488001,25.488001,0,25.488001
"EP",1999-12-17,25.488001,25.488001,25.488001,25.488001,0,25.488001
"EP",1999-12-20,22.464001,22.464001,22.464001,22.464001,125,22.464001
"EP",1999-12-21,22.464001,22.464001,20.976,20.976,313,20.976
"EP",1999-12-22,19.488001,20.976,19.488001,20.976,229,20.976
"EP",1999-12-23,20.976,20.976,20.976,20.976,0,20.976
"EP",1999-12-27,24,24,24,24,104,24
"EP",1999-12-28,19.488001,20.976,19.488001,20.976,1096,20.976
"EP",1999-12-29,19.488001,19.488001,19.488001,19.488001,52,19.488001
"EP",1999-12-30,19.488001,19.488001,19.488001,19.488001,240,19.488001
"EP",1999-12-31,21.6,21.6,21.6,21.6,208,21.6
"EP",2000-01-03,21.6,21.6,21.6,21.6,0,21.6
"EP",2000-01-04,21.6,21.6,21.6,21.6,0,21.6
"EP",2000-01-05,21.6,21.6,21.6,21.6,0,21.6
"EP",2000-01-06,21.6,21.6,21.6,21.6,0,21.6
"EP",2000-01-07,21.6,21.6,21.6,21.6,0,21.6
"EP",2000-01-10,21.6,21.6,21.6,21.6,0,21.6
"EP",2000-01-11,21.6,21.6,21.6,21.6,0,21.6
"EP",2000-01-12,21.6,21.6,21.6,21.6,0,21.6
"EP",2000-01-13,21.6,21.6,21.6,21.6,0,21.6
"EP",2000-01-14,21.6,21.6,21.6,21.6,0,21.6
"EP",2000-01-18,21.6,21.6,21.6,21.6,0,21.6
"EP",2000-01-19,24,24,22.464001,24,313,24
"EP",2000-01-20,24,24,24,24,0,24
"EP",2000-01-21,25.488001,30,22.464001,25.488001,227,25.488001
"EP",2000-01-24,30,36,25.488001,30,1550,30
"EP",2000-01-25,30,36,25.488001,25.488001,729,25.488001
"EP",2000-01-26,25.488001,25.488001,20.976,20.976,785,20.976
"EP",2000-01-27,24,24,24,24,1135,24
"EP",2000-01-28,22.464001,22.464001,22.464001,22.464001,52,22.464001
"EP",2000-01-31,22.464001,22.464001,22.464001,22.464001,625,22.464001
"EP",2000-02-01,26.976,30,26.976,30,167,30
"EP",2000-02-02,24,24,24,24,15,24
"EP",2000-02-03,24,24,24,24,33,24
"EP",2000-02-04,24,24,24,24,208,24
"EP",2000-02-07,24,24,24,24,0,24
"EP",2000-02-08,24,25.92,24,24,958,24
"EP",2000-02-09,24,24,24,24,0,24
"EP",2000-02-10,24,24,24,24,1140,24
"EP",2000-02-11,20.976,24,20.976,20.976,313,20.976
"EP",2000-02-14,20.976,20.976,20.976,20.976,0,20.976
"EP",2000-02-15,22.464001,24,22.464001,22.464001,667,22.464001
"EP",2000-02-16,22.464001,22.464001,22.464001,22.464001,0,22.464001
"EP",2000-02-17,25.488001,25.488001,25.488001,25.488001,327,25.488001
"EP",2000-02-18,25.488001,25.488001,25.488001,25.488001,38,25.488001
"EP",2000-02-22,24,24,24,24,260,24
"EP",2000-02-23,24,24,20.976,20.976,198,20.976
"EP",2000-02-24,20.976,20.976,20.976,20.976,119,20.976
"EP",2000-02-25,25.488001,25.488001,25.488001,25.488001,2,25.488001
"EP",2000-02-28,25.488001,25.488001,25.488001,25.488001,0,25.488001
"EP",2000-02-29,25.488001,25.488001,25.488001,25.488001,0,25.488001
"EP",2000-03-01,25.488001,25.488001,25.488001,25.488001,0,25.488001
"EP",2000-03-02,25.488001,25.488001,25.488001,25.488001,0,25.488001
"EP",2000-03-03,24,24,20.976,20.976,135,20.976
"EP",2000-03-06,20.976,20.976,20.976,20.976,0,20.976
"EP",2000-03-07,18,18,18,18,208,18
"EP",2000-03-08,28.464001,28.464001,28.464001,28.464001,104,28.464001
"EP",2000-03-09,28.464001,28.464001,28.464001,28.464001,0,28.464001
"EP",2000-03-10,19.488001,28.464001,18,19.488001,206,19.488001
"EP",2000-03-13,19.488001,19.488001,19.488001,19.488001,0,19.488001
"EP",2000-03-14,19.488001,19.488001,19.488001,19.488001,0,19.488001
"EP",2000-03-15,28.464001,28.464001,20.976,20.976,63,20.976
"EP",2000-03-16,20.976,20.976,20.976,20.976,0,20.976
"EP",2000-03-17,20.976,20.976,20.976,20.976,0,20.976
"EP",2000-03-20,20.976,20.976,20.976,20.976,0,20.976
"EP",2000-03-21,20.976,20.976,20.976,20.976,0,20.976
