"symbol","date","open","high","low","close","volume","adjusted"
"EXPD",2007-10-10,51.650002,52.27,50.959999,50.959999,5610500,42.316139
"EXPD",2007-10-11,50.189999,51.029999,49.16,49.549999,4061200,41.145317
"EXPD",2007-10-12,49.549999,50.299999,49.16,50.189999,1849200,41.676746
"EXPD",2007-10-15,50.049999,50.220001,49.189999,49.43,2655900,41.045654
"EXPD",2007-10-16,49.470001,49.59,48.720001,48.84,2111800,40.555737
"EXPD",2007-10-17,49.439999,49.900002,48.139999,49.110001,1716100,40.779945
"EXPD",2007-10-18,49,49.799999,48.110001,49.779999,1142100,41.336296
"EXPD",2007-10-19,49.709999,50,47.450001,47.450001,2162800,39.401516
"EXPD",2007-10-22,47.380001,49.119999,47.169998,48.889999,933300,40.59726
"EXPD",2007-10-23,48.369999,49.200001,47.91,48.869999,1100800,40.58065
"EXPD",2007-10-24,48.27,49,47.279999,48.580002,1556300,40.339848
"EXPD",2007-10-25,48.790001,49.560001,47.799999,48.68,1313500,40.422886
"EXPD",2007-10-26,49.470001,49.470001,48,48.950001,731500,40.647083
"EXPD",2007-10-29,49.07,49.740002,48.139999,49.200001,1140600,40.854675
"EXPD",2007-10-30,48.900002,49.639999,48.639999,49.189999,942500,40.846378
"EXPD",2007-10-31,49.450001,51.040001,48.950001,50.650002,1803100,42.058731
"EXPD",2007-11-01,50.389999,50.5,48.700001,48.900002,1430300,40.605564
"EXPD",2007-11-02,49.389999,50.709999,48.59,50.639999,1389400,42.050423
"EXPD",2007-11-05,50,50.5,48.900002,49.93,1500700,41.460857
"EXPD",2007-11-06,51.009998,53.48,50.630001,53.34,3145200,44.292454
"EXPD",2007-11-07,51.290001,51.290001,46.84,46.860001,3869700,38.911583
"EXPD",2007-11-08,47.459999,48.25,46.549999,47.5,2630100,39.443027
"EXPD",2007-11-09,46.650002,47.490002,45.360001,45.360001,1980100,37.666027
"EXPD",2007-11-12,45.41,46.669998,45.130001,45.25,2027000,37.574673
"EXPD",2007-11-13,45.650002,46.650002,44.459999,46.619999,1887100,38.712296
"EXPD",2007-11-14,46.630001,46.630001,45.09,45.330002,1570500,37.641109
"EXPD",2007-11-15,45.080002,46.099998,44.77,45.09,1656700,37.441822
"EXPD",2007-11-16,45.400002,45.5,43.73,44.470001,1927900,36.926994
"EXPD",2007-11-19,44.189999,45.150002,43.59,43.93,1533900,36.47858
"EXPD",2007-11-20,44,45,42.610001,43.580002,1443200,36.187943
"EXPD",2007-11-21,43.310001,44.650002,42.799999,43.490002,1453800,36.113205
"EXPD",2007-11-23,43.610001,43.959999,43.23,43.639999,391800,36.237766
"EXPD",2007-11-26,43.23,44.290001,42.650002,42.720001,1194000,35.47382
"EXPD",2007-11-27,42.580002,44.400002,42.439999,43.709999,2057300,36.295898
"EXPD",2007-11-28,44.41,45.110001,43.369999,45.07,1520900,37.425213
"EXPD",2007-11-29,44.5,45,43.849998,44.619999,1162600,37.166992
"EXPD",2007-11-30,45,46.939999,44.950001,46.919998,1692600,39.082817
"EXPD",2007-12-03,45.549999,47.220001,45.540001,45.970001,1444800,38.291504
"EXPD",2007-12-04,45.459999,46.669998,44.799999,46.209999,991900,38.491409
"EXPD",2007-12-05,46.830002,48,46.209999,47.459999,1420500,39.532619
"EXPD",2007-12-06,47.950001,48.150002,46.09,47.77,1311900,39.790844
"EXPD",2007-12-07,47.77,48.91,47.700001,48.380001,1256300,40.298954
"EXPD",2007-12-10,48.419998,48.689999,47.740002,48.290001,1191100,40.223995
"EXPD",2007-12-11,48.490002,48.860001,46.360001,46.400002,1430100,38.649666
"EXPD",2007-12-12,48,48.360001,46.610001,47.27,1621700,39.374363
"EXPD",2007-12-13,46.169998,47.93,46.169998,46.950001,1378000,39.107807
"EXPD",2007-12-14,46.18,46.77,45.830002,45.849998,1151900,38.191547
"EXPD",2007-12-17,45.669998,46.169998,44.939999,44.990002,1719800,37.475197
"EXPD",2007-12-18,45.470001,45.950001,44.240002,44.790001,1755900,37.308594
"EXPD",2007-12-19,44.790001,45.150002,44.34,44.799999,1047900,37.316917
"EXPD",2007-12-20,45.150002,45.720001,44.360001,45.720001,1085800,38.083248
"EXPD",2007-12-21,46.360001,46.630001,45.880001,46.32,2185300,38.58305
"EXPD",2007-12-24,46.540001,46.630001,46.139999,46.580002,287300,38.799606
"EXPD",2007-12-26,46.16,46.689999,45.720001,46.48,552200,38.716309
"EXPD",2007-12-27,46.470001,46.669998,45.169998,45.189999,798700,37.641777
"EXPD",2007-12-28,45.57,45.970001,45.099998,45.77,821500,38.124912
"EXPD",2007-12-31,45.450001,45.75,44.68,44.68,888900,37.21698
"EXPD",2008-01-02,45.240002,45.240002,43.209999,43.490002,1969900,36.225735
"EXPD",2008-01-03,43.599998,43.970001,42.950001,43.560001,1563100,36.28405
"EXPD",2008-01-04,43.540001,43.740002,41.049999,41.209999,2322000,34.326576
"EXPD",2008-01-07,41.259998,42.029999,40.5,41.450001,2665400,34.526497
"EXPD",2008-01-08,41.68,42.220001,40.490002,40.5,1952800,33.735165
"EXPD",2008-01-09,40.52,40.759998,39.389999,40.5,2332400,33.735165
"EXPD",2008-01-10,39.779999,41.279999,39.360001,40.630001,2004200,33.843445
"EXPD",2008-01-11,41.450001,41.77,40.540001,40.57,2273100,33.793476
"EXPD",2008-01-14,41,42.419998,40.919998,42.27,1972100,35.209515
