"symbol","date","open","high","low","close","volume","adjusted"
"FL",2016-04-04,63.860001,64.440002,63.330002,63.509998,2776300,53.028942
"FL",2016-04-05,63.41,63.59,61.950001,62.799999,3155800,52.436104
"FL",2016-04-06,63.060001,63.290001,62.060001,63.259998,2392900,52.820194
"FL",2016-04-07,62.990002,63.23,61.759998,62.369999,3750800,52.077068
"FL",2016-04-08,61.939999,62.830002,61.490002,61.91,3014500,51.692986
"FL",2016-04-11,61.5,61.790001,59.450001,59.459999,4463400,49.647308
"FL",2016-04-12,59.470001,60.32,58.169998,59.98,3697400,50.081501
"FL",2016-04-13,61.560001,62.32,61.389999,61.970001,3910100,51.981407
"FL",2016-04-14,62.07,62.41,61.32,61.419998,1889000,51.520054
"FL",2016-04-15,59.98,61.5,59.709999,61.400002,4261700,51.503284
"FL",2016-04-18,61.259998,62.580002,61,62.5,3503100,52.425987
"FL",2016-04-19,62.529999,62.529999,61.540001,61.759998,2288800,51.80526
"FL",2016-04-20,62,62.029999,61.18,61.32,2096700,51.43618
"FL",2016-04-21,61.75,61.880001,60.349998,60.459999,2182100,50.714794
"FL",2016-04-22,60.549999,61.049999,60.349998,60.41,2469200,50.672852
"FL",2016-04-25,60.200001,60.400002,59.630001,60.360001,1377900,50.630913
"FL",2016-04-26,60.790001,61.529999,60.720001,61.279999,1409400,51.402618
"FL",2016-04-27,61.200001,62.049999,60.73,61.93,1413500,51.947865
"FL",2016-04-28,61.349998,62.290001,61.290001,61.470001,1306900,51.562008
"FL",2016-04-29,61.209999,61.490002,60.580002,61.439999,1982000,51.536839
"FL",2016-05-02,61.599998,62.189999,61.450001,62.040001,1333300,52.040115
"FL",2016-05-03,61.869999,61.950001,61.060001,61.52,1758200,51.603943
"FL",2016-05-04,61.16,61.950001,60.630001,61.849998,986600,51.880745
"FL",2016-05-05,61.560001,61.799999,60.299999,60.419998,1830200,50.68124
"FL",2016-05-06,60.419998,60.799999,59.75,60.779999,1540600,50.983219
"FL",2016-05-09,60.959999,62.450001,60.849998,62.16,2509200,52.140785
"FL",2016-05-10,62.080002,62.32,60.950001,61.029999,2211800,51.192921
"FL",2016-05-11,60.130001,60.130001,58.509998,58.77,2942900,49.297203
"FL",2016-05-12,58.849998,59.43,58.439999,59.040001,2301200,49.523678
"FL",2016-05-13,58.41,58.41,57.23,57.459999,3619400,48.198349
"FL",2016-05-16,57.5,59.34,57.259998,59.310001,3885500,49.750168
"FL",2016-05-17,59.330002,59.52,57.990002,58.610001,3224600,49.162994
"FL",2016-05-18,57.900002,57.91,56.689999,57.119999,3451700,47.913155
"FL",2016-05-19,56.93,58.990002,56.509998,58.549999,6286100,49.112659
"FL",2016-05-20,55.400002,56.52,53.830002,54.77,12511000,45.941936
"FL",2016-05-23,54.490002,54.919998,53.91,54.080002,5024000,45.363148
"FL",2016-05-24,54.169998,54.560001,53.669998,54.110001,3358500,45.388317
"FL",2016-05-25,54.060001,55.040001,53.91,54.84,3380600,46.000648
"FL",2016-05-26,55.049999,55.41,54.529999,54.709999,2197300,45.891609
"FL",2016-05-27,54.509998,55.09,54.279999,55.049999,1791400,46.176804
"FL",2016-05-31,55.349998,55.98,55.080002,55.919998,5203500,46.906574
"FL",2016-06-01,55.240002,55.68,54.889999,54.900002,3560000,46.050983
"FL",2016-06-02,54.529999,55.400002,54.5,55.080002,2782600,46.201969
"FL",2016-06-03,55.189999,55.279999,54.68,54.849998,1749900,46.009045
"FL",2016-06-06,54.82,54.93,54.150002,54.59,1399600,45.790947
"FL",2016-06-07,54.360001,55.639999,54.240002,55.18,2489700,46.285858
"FL",2016-06-08,55.32,55.57,55.02,55.279999,1485800,46.36974
"FL",2016-06-09,55.07,55.75,55,55.650002,1489500,46.680099
"FL",2016-06-10,55.380001,56.049999,55.09,55.689999,2390000,46.71365
"FL",2016-06-13,55.290001,55.759998,55.009998,55.02,1964100,46.151634
"FL",2016-06-14,54.790001,55.189999,54.349998,54.639999,1494900,45.83289
"FL",2016-06-15,54.84,54.990002,54.16,54.240002,2559400,45.497364
"FL",2016-06-16,54.220001,54.259998,52.860001,53.299999,2718900,44.708866
"FL",2016-06-17,53.23,53.740002,52.700001,53.650002,3420400,45.002464
"FL",2016-06-20,54.240002,54.810001,53.669998,53.720001,1798800,45.061184
"FL",2016-06-21,53.889999,54.310001,53.540001,53.959999,1438500,45.262497
"FL",2016-06-22,54.130001,54.5,53.48,53.549999,1505600,44.918583
"FL",2016-06-23,54.040001,54.119999,52.990002,53.139999,2230900,44.574665
"FL",2016-06-24,51.709999,53.330002,51.450001,53.110001,3193800,44.549503
"FL",2016-06-27,52.5,52.77,50.900002,51.790001,2850500,43.442268
"FL",2016-06-28,52.040001,52.580002,51.790001,52.18,2067800,43.769405
"FL",2016-06-29,52.669998,55.16,52.669998,55.080002,3895500,46.201969
"FL",2016-06-30,55.099998,55.200001,54.720001,54.860001,3926400,46.017437
"FL",2016-07-01,54.779999,55.290001,54.700001,54.919998,1935300,46.067757
"FL",2016-07-05,54.720001,54.970001,53.990002,54.91,2126500,46.059368
"FL",2016-07-06,54.779999,55.889999,54.73,55.849998,3067200,46.847855
"FL",2016-07-07,55.540001,56.139999,55.220001,55.349998,1752500,46.428448
"FL",2016-07-08,56.110001,57.52,55.889999,57.41,2836000,48.15641
"FL",2016-07-11,57.330002,58.290001,57.110001,58.110001,2333000,48.743584
"FL",2016-07-12,58.110001,58.529999,57.970001,58.369999,2201800,48.96167
"FL",2016-07-13,57.709999,58.049999,57.549999,57.959999,1991400,48.847893
"FL",2016-07-14,57.990002,58.34,57.650002,57.720001,1543300,48.64563
"FL",2016-07-15,57.889999,58.380001,57.59,57.650002,1636300,48.586632
"FL",2016-07-18,57.849998,58.84,57.849998,58.810001,1391000,49.564266
"FL",2016-07-19,58.84,59.240002,58.200001,58.439999,2155000,49.252441
"FL",2016-07-20,58.48,58.630001,58.18,58.32,1266800,49.151299
"FL",2016-07-21,58.349998,58.75,58.349998,58.619999,1391300,49.404129
"FL",2016-07-22,58.220001,59.23,57.77,59.18,1644900,49.876099
"FL",2016-07-25,59.240002,59.509998,58.93,59.23,1517800,49.91824
"FL",2016-07-26,59.09,59.880001,59.049999,59.490002,1706100,50.137352
"FL",2016-07-27,59.549999,59.93,59.150002,59.599998,2404800,50.230061
"FL",2016-07-28,59.439999,59.439999,58.509998,59.27,1362200,49.951958
"FL",2016-07-29,59.110001,59.689999,59.07,59.619999,1906600,50.246918
"FL",2016-08-01,59.700001,60.450001,59.52,59.82,1606400,50.415482
"FL",2016-08-02,59.68,59.68,58.209999,58.220001,2197600,49.067024
"FL",2016-08-03,57.57,58.560001,56.799999,58.560001,2419400,49.353561
"FL",2016-08-04,58.619999,59.09,58.16,58.299999,1616000,49.134441
"FL",2016-08-05,58.740002,59.009998,58.299999,58.790001,1924300,49.547413
"FL",2016-08-08,58.98,59.389999,58.5,58.950001,1544300,49.682262
"FL",2016-08-09,58.599998,58.75,57.380001,58.369999,1610100,49.193436
"FL",2016-08-10,58.599998,59.189999,58.220001,58.439999,1194800,49.252441
"FL",2016-08-11,59.580002,60.830002,58.869999,60.349998,2347500,50.862164
"FL",2016-08-12,60.939999,61.959999,60.740002,61.139999,2429000,51.527954
"FL",2016-08-15,61.220001,61.5,60.5,61.18,1758700,51.561672
"FL",2016-08-16,61.5,61.560001,60.57,60.889999,1688200,51.317272
"FL",2016-08-17,60.5,60.82,60.200001,60.400002,1963400,50.904293
"FL",2016-08-18,60.799999,61.759998,60.73,61.68,3124700,51.983063
"FL",2016-08-19,64.580002,69,64.110001,68.489998,11839700,57.722435
"FL",2016-08-22,68.93,69.510002,67.519997,68.25,3449800,57.520161
"FL",2016-08-23,68.650002,68.959999,67.910004,68.440002,2170700,57.68029
"FL",2016-08-24,68.309998,68.760002,68.019997,68.220001,1738100,57.494888
"FL",2016-08-25,68.07,68.260002,66.669998,66.910004,2219000,56.390835
"FL",2016-08-26,66.760002,67.470001,66.190002,66.540001,1952500,56.079002
"FL",2016-08-29,66.690002,66.800003,66.160004,66.440002,1594800,55.994724
"FL",2016-08-30,66.440002,66.440002,65.330002,65.599998,1542700,55.286777
"FL",2016-08-31,65.709999,66.160004,65.470001,65.639999,1387900,55.320499
"FL",2016-09-01,65.800003,65.800003,65.029999,65.529999,1029200,55.227787
"FL",2016-09-02,65.32,66.379997,65.260002,66,1158300,55.623905
"FL",2016-09-06,66.040001,66.360001,65.230003,65.989998,1186600,55.615459
"FL",2016-09-07,65.580002,66.580002,65.129997,66.43,1498700,55.98629
"FL",2016-09-08,66.129997,66.650002,65.839996,65.900002,2049600,55.539619
"FL",2016-09-09,65.690002,65.790001,64.589996,64.589996,1724400,54.435566
"FL",2016-09-12,64.550003,65.559998,64.300003,65.370003,1819800,55.092941
"FL",2016-09-13,64.940002,65.209999,64.57,64.720001,1363100,54.545143
"FL",2016-09-14,65.190002,65.919998,64.860001,65.080002,1379500,54.848545
"FL",2016-09-15,64.82,66.199997,64.5,65.900002,1483700,55.539619
"FL",2016-09-16,65.709999,66.400002,65.300003,66.099998,1741200,55.708179
"FL",2016-09-19,66.050003,66.690002,65.959999,66.620003,1721900,56.146423
"FL",2016-09-20,66.519997,66.519997,65.480003,65.800003,1605900,55.455345
"FL",2016-09-21,66.110001,66.580002,65.339996,66.519997,1156700,56.062138
"FL",2016-09-22,66.620003,67.18,66.620003,67.089996,1432500,56.542519
"FL",2016-09-23,66.690002,67.699997,66.559998,67.07,1409100,56.525681
"FL",2016-09-26,67.07,67.970001,67.050003,67.580002,2543500,56.955513
"FL",2016-09-27,67.599998,68.279999,67.25,68.080002,2150800,57.376907
"FL",2016-09-28,67.82,68.800003,67.290001,67.849998,2323500,57.18306
"FL",2016-09-29,67.580002,67.830002,66.809998,66.830002,1710300,56.323418
"FL",2016-09-30,67.239998,67.860001,66.980003,67.720001,1850000,57.073498
"FL",2016-10-03,67.480003,68.019997,67.410004,67.519997,1158000,56.904938
"FL",2016-10-04,67.580002,67.769997,66.830002,67,1203200,56.466686
"FL",2016-10-05,67.220001,68.330002,67.059998,67.989998,1460500,57.30106
"FL",2016-10-06,67.57,68.040001,67.239998,67.949997,1248200,57.267323
"FL",2016-10-07,68.540001,69.610001,68.360001,69.050003,2590400,58.194408
"FL",2016-10-10,69.389999,69.580002,68.690002,68.870003,1206000,58.04269
"FL",2016-10-11,68.620003,68.75,68.07,68.529999,1406300,57.756142
"FL",2016-10-12,68.290001,69.559998,68.059998,69.230003,1260900,58.581173
"FL",2016-10-13,68.940002,69,68.209999,68.489998,1380200,57.955002
"FL",2016-10-14,68.57,69.120003,68.519997,68.589996,1028400,58.039612
"FL",2016-10-17,68.389999,68.589996,67.809998,67.889999,919000,57.447281
"FL",2016-10-18,68.129997,68.440002,67.809998,67.889999,953800,57.447281
"FL",2016-10-19,68.120003,68.330002,67.279999,68.120003,1200200,57.641914
"FL",2016-10-20,68.139999,68.410004,67.650002,68.019997,854900,57.557281
"FL",2016-10-21,67.43,68.059998,66.760002,67.93,1261600,57.481144
"FL",2016-10-24,68.379997,69.080002,68.330002,68.860001,1143600,58.268078
"FL",2016-10-25,67.599998,68.050003,66.860001,68,2490700,57.540386
"FL",2016-10-26,67.669998,69.400002,67.669998,68.849998,1720700,58.259632
"FL",2016-10-27,68.68,68.860001,66.510002,66.760002,1533600,56.491112
"FL",2016-10-28,66.690002,67.809998,66.650002,67.150002,1220700,56.821133
"FL",2016-10-31,67.220001,67.540001,66.279999,66.769997,1394500,56.49958
"FL",2016-11-01,66.360001,67.330002,65.389999,65.800003,2004100,55.67878
"FL",2016-11-02,65.760002,67.529999,65.57,67.18,1772900,56.846504
"FL",2016-11-03,67.279999,67.300003,65.43,65.620003,1223100,55.526459
"FL",2016-11-04,66.07,66.959999,65.75,66.169998,1120000,55.991863
"FL",2016-11-07,66.93,67.330002,66.639999,67.25,1142200,56.905735
"FL",2016-11-08,67.169998,67.57,66.669998,67.459999,1228800,57.083427
"FL",2016-11-09,66.400002,69.599998,65.760002,69.269997,1916300,58.615021
"FL",2016-11-10,69.57,71.940002,69.57,71.629997,2896100,60.612
"FL",2016-11-11,70.949997,71.739998,69.849998,71.529999,2163000,60.527374
"FL",2016-11-14,71.870003,73.370003,71.440002,71.449997,3062100,60.459698
"FL",2016-11-15,71.730003,72.25,69.940002,70.059998,2988100,59.283524
"FL",2016-11-16,70.099998,70.459999,69.339996,69.720001,3163400,58.995804
"FL",2016-11-17,69.610001,71.449997,69.279999,71.349998,4404700,60.375065
"FL",2016-11-18,69.57,72.599998,68.480003,71.779999,5405700,60.738941
"FL",2016-11-21,71.349998,73.580002,71.18,73.099998,3344500,61.855904
"FL",2016-11-22,73.470001,74.550003,73.160004,73.330002,2687700,62.050533
"FL",2016-11-23,72.800003,74.709999,72.099998,74.190002,1693100,62.77824
"FL",2016-11-25,74.400002,74.739998,73.669998,73.93,546600,62.558239
"FL",2016-11-28,73.769997,73.879997,72.57,73.099998,1402300,61.855904
"FL",2016-11-29,73.209999,73.580002,72.279999,72.440002,1080100,61.297424
"FL",2016-11-30,72.029999,72.839996,71,71.669998,1941100,60.645847
"FL",2016-12-01,71.610001,73.919998,71.239998,73.68,2509300,62.346684
"FL",2016-12-02,73.629997,74.57,73.470001,74.230003,1984600,62.812088
"FL",2016-12-05,74.720001,76.059998,74.459999,76.059998,3380200,64.36058
"FL",2016-12-06,76.699997,76.860001,75.269997,76.82,2892700,65.003677
"FL",2016-12-07,76.690002,78.699997,76.690002,78.529999,1883700,66.450676
"FL",2016-12-08,78.610001,79.43,78.57,79.199997,2098100,67.017601
"FL",2016-12-09,79.07,79.370003,77.699997,78.099998,1572100,66.086815
"FL",2016-12-12,77.620003,77.949997,76.769997,77.589996,1620000,65.655258
"FL",2016-12-13,77.910004,78.18,77.029999,77.059998,1830300,65.206779
"FL",2016-12-14,77.370003,77.830002,76.25,76.339996,1508600,64.597542
"FL",2016-12-15,76.739998,76.779999,76.019997,76.260002,1160700,64.529846
"FL",2016-12-16,76.379997,76.709999,75.169998,75.440002,2185600,63.83596
"FL",2016-12-19,75.650002,76.470001,75.230003,75.330002,2100600,63.742889
"FL",2016-12-20,75.669998,76.360001,75.379997,75.610001,1656300,63.979805
"FL",2016-12-21,74.470001,75.860001,74.199997,75.080002,2136300,63.531353
"FL",2016-12-22,74.75,74.760002,71.989998,72.129997,2302300,61.03511
"FL",2016-12-23,71.970001,72.449997,71.650002,71.75,1159500,60.713547
"FL",2016-12-27,71.989998,72.339996,71.5,71.910004,1264500,60.848938
"FL",2016-12-28,71.870003,72.25,70.889999,71.139999,851700,60.197384
"FL",2016-12-29,71.260002,71.709999,70.660004,70.889999,765500,59.985844
"FL",2016-12-30,70.970001,71.510002,70.559998,70.889999,1050500,59.985844
"FL",2017-01-03,71.440002,72.410004,71.099998,71.730003,2397700,60.696629
"FL",2017-01-04,72.139999,73.580002,71.910004,73,1658300,61.771278
"FL",2017-01-05,71.800003,72.32,70.919998,71.769997,1781700,60.730465
"FL",2017-01-06,71.910004,71.93,70.739998,70.790001,1452100,59.901218
"FL",2017-01-09,70.879997,71.099998,70.529999,70.870003,1012400,59.968906
"FL",2017-01-10,70.730003,71.25,70.529999,70.940002,1694600,60.028149
"FL",2017-01-11,70.910004,71.040001,69.75,70.370003,1405900,59.777561
"FL",2017-01-12,70.379997,70.769997,69.82,70.349998,1079900,59.760559
"FL",2017-01-13,70.18,70.82,70.010002,70.550003,831700,59.93045
"FL",2017-01-17,70.550003,71.849998,69.459999,69.730003,1823900,59.233883
"FL",2017-01-18,69.599998,70.129997,69,69.349998,1773600,58.911079
"FL",2017-01-19,69.349998,69.650002,68.290001,68.550003,1801600,58.23151
"FL",2017-01-20,68.639999,69.480003,68.529999,69.139999,1136300,58.732697
"FL",2017-01-23,68.739998,69.029999,68.269997,68.790001,1647800,58.435394
"FL",2017-01-24,68.419998,69.129997,68.300003,68.860001,1475100,58.494839
"FL",2017-01-25,69.5,69.639999,68.839996,69.199997,1525300,58.783669
"FL",2017-01-26,69.330002,69.849998,69.029999,69.190002,1451000,58.775177
"FL",2017-01-27,69.160004,69.459999,67.93,68.010002,881400,57.772789
"FL",2017-01-30,67.720001,68.029999,66.989998,67.919998,1955500,57.696327
"FL",2017-01-31,66.089996,68.610001,65.879997,68.540001,1790400,58.223011
"FL",2017-02-01,68.650002,68.870003,67.57,68.309998,1950800,58.027634
"FL",2017-02-02,69.419998,69.959999,68.660004,69.279999,1891500,58.851635
"FL",2017-02-03,69.269997,70.150002,69.160004,69.540001,1653700,59.072487
"FL",2017-02-06,69.029999,69.480003,68.489998,68.720001,1450400,58.375916
