"symbol","date","open","high","low","close","volume","adjusted"
"FRC",2019-01-02,86.540001,87.510002,86.150002,87.5,3119500,85.58847
"FRC",2019-01-03,87.769997,88.849998,84.93,85.190002,5090300,83.328934
"FRC",2019-01-04,86.519997,88.150002,85.779999,87.400002,5006600,85.490654
"FRC",2019-01-07,86.970001,88.099998,86.230003,87.459999,2888100,85.549332
"FRC",2019-01-08,87.790001,88.5,85.449997,86.57,2416800,84.678787
"FRC",2019-01-09,86.919998,87.910004,85.849998,87.25,1506700,85.343941
"FRC",2019-01-10,86.110001,86.639999,84.900002,86.050003,1534900,84.170158
"FRC",2019-01-11,85.279999,85.629997,84.269997,84.489998,1806600,82.644218
"FRC",2019-01-14,83.959999,85.199997,83.68,84.339996,2926700,82.49749
"FRC",2019-01-15,91.940002,95.029999,87.919998,94.330002,5032400,92.269272
"FRC",2019-01-16,95.010002,96.25,94.349998,95.599998,2821400,93.511513
"FRC",2019-01-17,95.099998,95.690002,94.610001,95.68,1477300,93.58976
"FRC",2019-01-18,96.139999,97.43,95.199997,96.019997,1150200,93.92234
"FRC",2019-01-22,95.639999,96.379997,94.800003,95.720001,1050900,93.628883
"FRC",2019-01-23,95.75,96.440002,94.790001,95.489998,718600,93.403923
"FRC",2019-01-24,95.089996,96.480003,94.269997,95.339996,1262800,93.257187
"FRC",2019-01-25,96.139999,97.25,95.440002,97.120003,972100,94.998322
"FRC",2019-01-28,96.589996,97.540001,96.239998,97.169998,981100,95.047211
"FRC",2019-01-29,97.019997,97.599998,95.940002,96.059998,856600,93.961472
"FRC",2019-01-30,96.029999,97.330002,95.650002,97.050003,1051000,95.108063
"FRC",2019-01-31,96.349998,97.449997,95.839996,96.629997,1228400,94.696465
"FRC",2019-02-01,96.900002,98.860001,96.650002,98.400002,2330000,96.431038
"FRC",2019-02-04,98.269997,99.290001,97.879997,99.269997,2175700,97.283623
"FRC",2019-02-05,99.620003,99.639999,97.949997,99.360001,1176000,97.371826
"FRC",2019-02-06,99.129997,99.830002,98.82,99.800003,865600,97.803032
"FRC",2019-02-07,100.389999,100.870003,99.360001,100.660004,1151000,98.645828
"FRC",2019-02-08,100.440002,100.779999,99.43,100.529999,1303100,98.518425
"FRC",2019-02-11,100.879997,100.989998,99.830002,100.400002,1113000,98.391022
"FRC",2019-02-12,101.279999,101.589996,100.370003,100.900002,1227600,98.881012
"FRC",2019-02-13,101.040001,101.239998,100.080002,100.400002,1303100,98.391022
"FRC",2019-02-14,99.760002,99.809998,98.379997,99.540001,1159200,97.548233
"FRC",2019-02-15,100.449997,101.82,100.32,101.629997,1227800,99.596405
"FRC",2019-02-19,100.739998,102.290001,99.419998,102,1024200,99.959023
"FRC",2019-02-20,102.169998,103.370003,101.610001,103.190002,824400,101.125198
"FRC",2019-02-21,103.139999,103.43,102.25,103.290001,1172200,101.223198
"FRC",2019-02-22,103.459999,104.059998,103.050003,103.669998,942500,101.595589
"FRC",2019-02-25,104.199997,104.599998,103.190002,103.660004,844200,101.585793
"FRC",2019-02-26,103.349998,104.260002,102.940002,103.279999,1251200,101.213387
"FRC",2019-02-27,103.410004,105.010002,103.029999,104.940002,821800,102.840179
"FRC",2019-02-28,105.080002,106.190002,104.910004,104.980003,1281300,102.879372
"FRC",2019-03-01,104.879997,105.949997,104.18,105.440002,941200,103.330162
"FRC",2019-03-04,105.620003,105.760002,103.480003,104.769997,9e+05,102.673576
"FRC",2019-03-05,104.519997,105.57,103.75,104.959999,669500,102.859802
"FRC",2019-03-06,104.739998,105.239998,102.730003,103.029999,846900,100.968407
"FRC",2019-03-07,102.449997,102.650002,101.120003,101.529999,997100,99.498413
"FRC",2019-03-08,100.800003,101.910004,100.760002,101.720001,594400,99.684608
"FRC",2019-03-11,101.980003,102.910004,101.730003,102.639999,1029000,100.586197
"FRC",2019-03-12,103,103,101.620003,102.480003,974100,100.429398
"FRC",2019-03-13,102.980003,103.209999,102.220001,102.82,1028200,100.762596
"FRC",2019-03-14,102.610001,103.529999,102.43,102.919998,619400,100.860596
"FRC",2019-03-15,102.690002,104.25,102.580002,103.559998,1444300,101.487793
"FRC",2019-03-18,104.010002,105.459999,103.849998,105.419998,1024900,103.310585
"FRC",2019-03-19,105.75,105.910004,103.720001,104,891100,101.918999
"FRC",2019-03-20,103.959999,104.440002,101.739998,101.900002,1010800,99.861015
"FRC",2019-03-21,101.059998,102.82,100.989998,101.540001,1074900,99.508209
"FRC",2019-03-22,100.110001,100.480003,97.089996,98.099998,1636900,96.137054
"FRC",2019-03-25,98.43,99.68,97.980003,99.110001,894100,97.126846
"FRC",2019-03-26,99.650002,100.709999,99.260002,100.629997,842600,98.616425
"FRC",2019-03-27,100.360001,101.010002,99.639999,100.449997,693700,98.440018
"FRC",2019-03-28,100.43,101.220001,99.769997,100.550003,976300,98.538017
"FRC",2019-03-29,101.440002,101.889999,100.339996,100.459999,848400,98.449837
"FRC",2019-04-01,101.760002,102.589996,101.059998,102.510002,1639100,100.458801
"FRC",2019-04-02,102.599998,104.260002,102.330002,103.699997,969800,101.624992
"FRC",2019-04-03,104.559998,104.93,103.779999,104.239998,779800,102.154182
"FRC",2019-04-04,104.029999,104.860001,103.769997,104.599998,858500,102.506973
"FRC",2019-04-05,104.879997,105.25,104.129997,104.769997,828400,102.673576
"FRC",2019-04-08,104.589996,104.989998,103.860001,104.269997,1105300,102.183594
"FRC",2019-04-09,103.910004,104.089996,102.279999,102.690002,1826600,100.635208
"FRC",2019-04-10,103.029999,103.510002,102.230003,103.360001,1888100,101.291809
"FRC",2019-04-11,103.739998,104,102.389999,102.559998,1536600,100.507805
"FRC",2019-04-12,100,102.93,99.400002,101.800003,2953200,99.763016
"FRC",2019-04-15,101.480003,102.089996,100.290001,101.629997,1382400,99.596405
"FRC",2019-04-16,101.879997,103.440002,101.449997,103,1355000,100.939011
"FRC",2019-04-17,103.470001,103.489998,102.309998,103.209999,1136000,101.144798
"FRC",2019-04-18,102.93,104.349998,102.419998,103.620003,996800,101.546593
"FRC",2019-04-22,103.269997,103.870003,102.629997,103.830002,998000,101.752396
"FRC",2019-04-23,103.769997,106.330002,103.639999,106.260002,1246200,104.133766
"FRC",2019-04-24,105.75,106.440002,104.959999,106.269997,951500,104.330109
"FRC",2019-04-25,105.900002,106.989998,105.089996,106.120003,805600,104.182869
"FRC",2019-04-26,106.120003,106.57,105.419998,106.360001,641600,104.41848
"FRC",2019-04-29,106.43,107.75,106.25,106.279999,1018900,104.339935
