"symbol","date","open","high","low","close","volume","adjusted"
"GPS",1996-01-02,6.240741,6.611111,6.222222,6.611111,3338550,4.137625
"GPS",1996-01-03,6.666667,6.759259,6.62963,6.703704,2941650,4.195574
"GPS",1996-01-04,6.87037,7.203704,6.87037,7.037037,9550575,4.404195
"GPS",1996-01-05,7.037037,7.055556,6.944444,6.981481,4794525,4.369425
"GPS",1996-01-08,6.944444,6.944444,6.814815,6.833333,562275,4.276707
"GPS",1996-01-09,6.833333,6.851852,6.666667,6.759259,2653425,4.230345
"GPS",1996-01-10,6.740741,6.796296,6.685185,6.722222,4679775,4.207167
"GPS",1996-01-11,6.722222,6.944444,6.703704,6.925926,5632200,4.334654
"GPS",1996-01-12,6.944444,6.944444,6.740741,6.888889,3233250,4.311475
"GPS",1996-01-15,6.907407,6.907407,6.722222,6.777778,2565000,4.241935
"GPS",1996-01-16,6.814815,6.87037,6.777778,6.814815,3037500,4.265117
"GPS",1996-01-17,6.851852,6.851852,6.5,6.518519,1973700,4.079673
"GPS",1996-01-18,6.518519,6.592593,6.444444,6.5,3431700,4.068086
"GPS",1996-01-19,6.481481,6.592593,6.425926,6.425926,2824200,4.021725
"GPS",1996-01-22,6.462963,6.481481,6.388889,6.425926,2120850,4.021725
"GPS",1996-01-23,6.462963,6.759259,6.444444,6.62963,8031150,4.149216
"GPS",1996-01-24,6.62963,6.796296,6.592593,6.703704,5055075,4.195574
"GPS",1996-01-25,6.703704,6.777778,6.555556,6.555556,4280175,4.102855
"GPS",1996-01-26,6.555556,6.555556,6.425926,6.462963,5233950,4.044907
"GPS",1996-01-29,6.5,6.574074,6.444444,6.462963,3476250,4.044907
"GPS",1996-01-30,6.481481,6.481481,6.351852,6.37037,5749650,3.986954
"GPS",1996-01-31,6.388889,6.981481,6.37037,6.981481,10516500,4.369425
"GPS",1996-02-01,6.944444,7.018519,6.888889,6.981481,5616675,4.369425
"GPS",1996-02-02,6.962963,7.166667,6.87037,7.111111,4729050,4.450557
"GPS",1996-02-05,7.074074,7.222222,7.074074,7.203704,4180275,4.508506
"GPS",1996-02-06,7.185185,7.407407,7.166667,7.351852,6935625,4.601224
"GPS",1996-02-07,7.351852,7.407407,7.222222,7.259259,3740850,4.543274
"GPS",1996-02-08,7.37037,7.592593,7.333333,7.555556,12858075,4.728714
"GPS",1996-02-09,7.518519,7.62963,7.481481,7.611111,11931975,4.763484
"GPS",1996-02-12,7.592593,7.648148,7.333333,7.37037,17014050,4.612813
"GPS",1996-02-13,7.351852,7.444444,7.222222,7.351852,7205625,4.601224
"GPS",1996-02-14,7.314815,7.481481,7.296296,7.444444,9491850,4.659173
"GPS",1996-02-15,7.444444,7.537037,7.314815,7.333333,5974425,4.589635
"GPS",1996-02-16,7.37037,7.37037,7.259259,7.277778,2724300,4.554867
"GPS",1996-02-20,7.222222,7.314815,7.185185,7.314815,3663225,4.578045
