"symbol","date","open","high","low","close","volume","adjusted"
"HD",1996-01-02,10.555556,10.555556,10.361111,10.527778,6835500,6.600314
"HD",1996-01-03,10.333333,10.416667,10.222222,10.333333,11496150,6.478405
"HD",1996-01-04,10.333333,10.416667,10.166667,10.305556,9165150,6.460988
"HD",1996-01-05,10.111111,10.222222,9.972222,10.055556,9049050,6.304257
"HD",1996-01-08,9.888889,9.944444,9.777778,9.777778,4271400,6.130105
"HD",1996-01-09,9.75,9.777778,9.555556,9.666667,8620200,6.060446
"HD",1996-01-10,9.472222,9.777778,9.472222,9.777778,9157950,6.130105
"HD",1996-01-11,9.75,9.75,9.638889,9.722222,9985500,6.095273
"HD",1996-01-12,9.722222,9.75,9.555556,9.666667,8393400,6.060446
"HD",1996-01-15,9.666667,9.722222,9.638889,9.666667,4529700,6.060446
"HD",1996-01-16,9.777778,9.805556,9.555556,9.75,7642800,6.112688
"HD",1996-01-17,9.694444,9.75,9.222222,9.222222,10347300,5.781804
"HD",1996-01-18,9.305556,9.5,9.277778,9.444444,7651800,5.921123
"HD",1996-01-19,9.472222,9.861111,9.444444,9.75,8244000,6.112688
"HD",1996-01-22,9.75,9.916667,9.722222,9.833333,5710500,6.164936
"HD",1996-01-23,9.861111,10.166667,9.805556,10.166667,8209800,6.373914
"HD",1996-01-24,10.166667,10.305556,10.111111,10.194444,6056550,6.391329
"HD",1996-01-25,10.194444,10.194444,10.083333,10.138889,3347100,6.3565
"HD",1996-01-26,10,10.111111,10,10.027778,3405600,6.286842
"HD",1996-01-29,10,10.083333,9.777778,9.777778,5991300,6.130105
"HD",1996-01-30,9.861111,10,9.805556,9.944444,5202900,6.234594
"HD",1996-01-31,9.972222,10.25,9.944444,10.222222,8037450,6.408743
"HD",1996-02-01,10.222222,10.305556,10.111111,10.25,4600800,6.426162
"HD",1996-02-02,10.222222,10.25,10.055556,10.111111,5634000,6.339086
"HD",1996-02-05,10.027778,10.194444,9.944444,10.194444,3236400,6.391329
"HD",1996-02-06,10.194444,10.194444,9.972222,10.027778,5702850,6.286842
"HD",1996-02-07,10.194444,10.25,10.111111,10.166667,4890600,6.373914
"HD",1996-02-08,10.194444,10.333333,10.166667,10.333333,6691500,6.478405
"HD",1996-02-09,10.222222,10.527778,10.222222,10.444444,9994950,6.548061
