"symbol","date","open","high","low","close","volume","adjusted"
"HP",2010-03-01,40.41,40.59,39.84,40.580002,3896000,26.073532
"HP",2010-03-02,40.700001,41.139999,40.549999,40.779999,2809900,26.202034
"HP",2010-03-03,41,41.560001,40.790001,41.220001,1954100,26.484753
"HP",2010-03-04,41.389999,41.5,39.880001,40.130001,2695200,25.784389
"HP",2010-03-05,40.560001,40.720001,40,40.240002,2121600,25.855076
"HP",2010-03-08,40.25,40.380001,39.09,39.599998,3293000,25.443851
"HP",2010-03-09,39.080002,40.18,38.970001,39.900002,2209500,25.636618
"HP",2010-03-10,39.720001,40.889999,39.720001,40.66,1725700,26.124947
"HP",2010-03-11,40.540001,40.759998,40.060001,40.759998,904400,26.189192
"HP",2010-03-12,41.080002,41.290001,40.709999,40.880001,2072900,26.266287
"HP",2010-03-15,40.720001,40.73,39.59,40.400002,1777200,25.957876
"HP",2010-03-16,41.060001,41.25,40.509998,40.880001,2610400,26.266287
"HP",2010-03-17,41.049999,41.529999,40.93,41.07,1787000,26.388378
"HP",2010-03-18,40.810001,41.099998,38.549999,38.880001,4767800,24.981251
"HP",2010-03-19,38.029999,39.16,37.5,38.029999,2863200,24.435099
"HP",2010-03-22,37.57,38.849998,37.25,38.82,2355400,24.942694
"HP",2010-03-23,38.959999,39.029999,38.290001,38.790001,2070800,24.923422
"HP",2010-03-24,38.369999,38.889999,37.830002,38.09,2136200,24.473661
"HP",2010-03-25,38.41,38.639999,36.27,36.400002,2883400,23.387794
"HP",2010-03-26,36.529999,36.720001,36.23,36.5,1924500,23.452045
"HP",2010-03-29,37.119999,37.889999,37.02,37.77,2047900,24.268051
"HP",2010-03-30,37.84,38.029999,36.810001,37.48,2818800,24.081718
"HP",2010-03-31,37.580002,38.389999,37.549999,38.080002,1812300,24.467224
"HP",2010-04-01,38.599998,38.919998,38.310001,38.779999,1548100,24.916985
"HP",2010-04-05,39.310001,39.959999,38.990002,39.900002,1501400,25.636618
"HP",2010-04-06,39.810001,39.880001,39.439999,39.650002,1233600,25.475992
"HP",2010-04-07,39.450001,39.630001,38.75,39.07,1898700,25.103329
"HP",2010-04-08,38.709999,38.849998,38.110001,38.810001,1335200,24.936266
"HP",2010-04-09,38.91,39.049999,38.34,39,1287200,25.058346
"HP",2010-04-12,38.959999,39.259998,38.610001,38.810001,1282400,24.936266
"HP",2010-04-13,38.689999,39.099998,38.27,38.950001,1684900,25.026217
"HP",2010-04-14,39.299999,40.16,39.16,39.950001,1857400,25.668743
"HP",2010-04-15,40.049999,41.200001,39.709999,40.740002,3073900,26.176336
"HP",2010-04-16,40.349998,40.650002,39.299999,39.75,1698900,25.540239
"HP",2010-04-19,39.240002,39.740002,38.75,39.450001,1503300,25.34749
"HP",2010-04-20,39.860001,41.060001,39.77,40.619999,1988200,26.099234
"HP",2010-04-21,40.84,42.48,40.610001,42.040001,3015900,27.011612
"HP",2010-04-22,41.639999,43.189999,41.349998,42.759998,2999900,27.474226
"HP",2010-04-23,42.73,43.34,42.669998,43.209999,2561600,27.763351
"HP",2010-04-26,43.25,43.580002,43.099998,43.299999,1918800,27.821188
"HP",2010-04-27,42.939999,43.27,41.509998,41.700001,2254200,26.793156
"HP",2010-04-28,42.169998,42.759998,41.709999,42.619999,2218300,27.384272
"HP",2010-04-29,43.369999,43.41,40.029999,41.5,4089500,26.66466
"HP",2010-04-30,41.66,41.880001,40.5,40.619999,2465600,26.099234
"HP",2010-05-03,40.900002,41.41,39.52,40.450001,2236800,25.990005
"HP",2010-05-04,39.91,40.049999,39.029999,39.740002,2412500,25.533812
"HP",2010-05-05,39,40.380001,38.630001,39.41,2103800,25.321785
"HP",2010-05-06,39.279999,39.66,34.830002,37.34,3510000,23.991762
"HP",2010-05-07,37.330002,37.68,35.389999,35.669998,3275600,22.918741
"HP",2010-05-10,37.32,37.810001,36.16,36.970001,2222200,23.754034
"HP",2010-05-11,36.459999,37.43,36.459999,36.630001,1757700,23.535564
"HP",2010-05-12,36.880001,37.880001,36.880001,37.779999,1960900,24.307652
"HP",2010-05-13,37.919998,38.919998,37.779999,37.869999,2105500,24.365551
"HP",2010-05-14,37.880001,37.91,36.450001,37.560001,2074400,24.166101
"HP",2010-05-17,37.68,37.790001,35.669998,36.57,2633800,23.52914
"HP",2010-05-18,37.310001,37.5,36.189999,36.400002,2482900,23.419762
"HP",2010-05-19,36.32,36.740002,34.830002,35.630001,2299700,22.924339
"HP",2010-05-20,34.709999,34.709999,33.09,33.419998,3847500,21.502426
"HP",2010-05-21,32.880001,34.720001,32.490002,34.529999,2022600,22.2166
"HP",2010-05-24,34.450001,34.599998,33.52,33.540001,1842700,21.579636
"HP",2010-05-25,32.43,33.950001,32.34,33.849998,2018200,21.779089
"HP",2010-05-26,34.470001,34.66,33.77,33.849998,2563400,21.779089
"HP",2010-05-27,34.799999,36.75,34.799999,36.720001,4228600,23.625645
"HP",2010-05-28,36.540001,38.740002,36.130001,37.68,4810600,24.24332
"HP",2010-06-01,37.169998,37.700001,35.799999,35.860001,3295200,23.072323
"HP",2010-06-02,36.32,38.169998,35.849998,38.09,2669400,24.507107
"HP",2010-06-03,38.23,41.150002,38.23,40.869999,5066100,26.295755
"HP",2010-06-04,40.220001,41.169998,38.200001,38.740002,4704800,24.92532
"HP",2010-06-07,38.990002,40.240002,38.639999,38.73,3002300,24.918873
"HP",2010-06-08,39.07,39.349998,37.540001,39.009998,2079900,25.099028
"HP",2010-06-09,39.560001,41.450001,38.93,39.200001,2873200,25.221281
"HP",2010-06-10,40.349998,42.220001,40.349998,42.16,2018700,27.125744
"HP",2010-06-11,41.450001,42.41,41.189999,41.970001,2109400,27.003496
"HP",2010-06-14,42.490002,42.869999,41.299999,41.389999,1701800,26.630323
