"symbol","date","open","high","low","close","volume","adjusted"
"HPE",2015-11-02,8.712294,8.816911,8.05553,8.42169,70312635,7.040304
"HPE",2015-11-03,8.177583,8.549556,7.948007,8.346133,69176379,6.977141
"HPE",2015-11-04,8.36357,8.433315,7.910228,7.939289,54241942,6.63703
"HPE",2015-11-05,7.927664,8.072966,7.625437,7.71843,38180025,6.452398
"HPE",2015-11-06,7.660309,8.415878,7.642873,8.369382,51702744,6.996576
"HPE",2015-11-09,8.288013,8.415878,8.212456,8.25314,30158099,6.899401
"HPE",2015-11-10,8.212456,8.39263,8.142711,8.375194,25426050,7.001434
"HPE",2015-11-11,8.25314,8.317073,8.189208,8.200832,18942302,6.855674
"HPE",2015-11-12,8.02647,8.032282,7.898604,7.962537,35050675,6.656464
"HPE",2015-11-13,7.910228,7.997409,7.642873,7.782363,25678456,6.505845
"HPE",2015-11-16,7.770738,7.910228,7.637061,7.776551,23712203,6.500984
"HPE",2015-11-17,7.776551,7.840483,7.625437,7.683557,21370697,6.423245
"HPE",2015-11-18,7.834671,7.979973,7.66554,7.927664,22402515,6.627311
"HPE",2015-11-19,7.863732,8.072966,7.85792,8.009033,22662319,6.695333
"HPE",2015-11-20,8.009033,8.503059,7.950913,8.258952,31932509,6.904258
"HPE",2015-11-23,8.235704,8.258952,7.88698,8.049718,26354291,6.729345
"HPE",2015-11-24,7.892792,8.151429,7.846295,7.956725,41484183,6.651605
"HPE",2015-11-25,8.08459,8.636737,8.043906,8.206644,39017248,6.86053
"HPE",2015-11-27,8.206644,8.508871,8.165959,8.340321,10395090,6.97228
"HPE",2015-11-30,8.270577,8.718106,8.241516,8.636737,50075613,7.220077
"HPE",2015-12-01,8.648361,9.229568,8.630925,9.072642,43197341,7.584481
"HPE",2015-12-02,8.933153,9.031958,8.642549,8.689046,21818558,7.263807
"HPE",2015-12-03,8.718106,8.915716,8.473999,8.497247,32527478,7.103467
"HPE",2015-12-04,8.36357,8.889562,8.276389,8.845972,20648579,7.39499
"HPE",2015-12-07,8.718106,8.997085,8.671609,8.979649,16424439,7.533967
"HPE",2015-12-08,8.770415,8.886656,8.497247,8.816911,19988745,7.397429
"HPE",2015-12-09,8.712294,8.944777,8.53212,8.630925,24538415,7.241386
"HPE",2015-12-10,8.596052,8.607677,8.444939,8.555368,19528668,7.177995
"HPE",2015-12-11,8.712294,8.950589,8.218268,8.241516,18265779,6.91467
"HPE",2015-12-14,8.311261,8.427502,8.090402,8.39263,19834755,7.041455
"HPE",2015-12-15,8.433315,8.706482,8.418784,8.462375,22175746,7.099973
"HPE",2015-12-16,8.497247,8.607677,8.456563,8.543744,13490889,7.16824
"HPE",2015-12-17,8.491435,8.555368,8.264764,8.317073,13118732,6.978064
"HPE",2015-12-18,8.293825,8.360664,8.136899,8.229892,33271447,6.904916
"HPE",2015-12-21,8.206644,8.369382,8.061342,8.148523,16970372,6.836649
"HPE",2015-12-22,8.160147,8.218268,8.090402,8.171771,12547163,6.856154
"HPE",2015-12-23,8.247328,8.70067,8.165959,8.665797,19359710,7.270644
"HPE",2015-12-24,8.607677,8.816911,8.596052,8.72973,3748234,7.324283
"HPE",2015-12-28,8.654173,8.880844,8.613489,8.851784,10203937,7.426687
"HPE",2015-12-29,8.886656,8.972093,8.822723,8.834347,10797873,7.41206
"HPE",2015-12-30,8.886656,8.997085,8.805287,8.880844,10796841,7.451068
"HPE",2015-12-31,8.851784,8.89828,8.776227,8.834347,11644903,7.41206
"HPE",2016-01-04,8.70067,8.805287,8.566992,8.793663,25940497,7.377924
"HPE",2016-01-05,8.793663,8.863408,8.683234,8.735542,17770259,7.329161
"HPE",2016-01-06,8.497247,8.718106,8.433315,8.601865,19468277,7.217004
"HPE",2016-01-07,8.427502,8.462375,7.933476,7.968349,34143941,6.685482
"HPE",2016-01-08,8.003221,8.148523,7.735866,7.869544,28272024,6.602585
"HPE",2016-01-11,7.805611,7.968349,7.596376,7.706806,25998996,6.466045
"HPE",2016-01-12,7.759114,7.799799,7.608,7.706806,21435562,6.466045
"HPE",2016-01-13,7.759114,7.759114,7.282525,7.41039,30489650,6.21735
"HPE",2016-01-14,7.41039,7.654497,7.352269,7.555692,22973740,6.339262
"HPE",2016-01-15,7.323209,7.43945,7.259276,7.288337,33945733,6.11495
"HPE",2016-01-19,7.369706,7.427826,7.090726,7.160471,22239750,6.007668
"HPE",2016-01-20,6.974485,7.090726,6.756532,7.009357,28630244,5.880885
"HPE",2016-01-21,6.974485,7.288337,6.869868,7.21278,28784234,6.051556
"HPE",2016-01-22,7.38133,7.805611,7.352269,7.759114,26272736,6.509933
"HPE",2016-01-25,7.724242,7.875356,7.625437,7.753302,19241679,6.505056
"HPE",2016-01-26,7.759114,7.977067,7.759114,7.904416,18454869,6.631842
"HPE",2016-01-27,7.863732,7.910228,7.529538,7.782363,31803640,6.529439
"HPE",2016-01-28,7.817235,7.962537,7.596376,7.666121,16989470,6.431912
"HPE",2016-01-29,7.793987,8.067154,7.759114,7.997409,19548799,6.709863
"HPE",2016-02-01,7.945101,8.067154,7.863732,8.014845,16430633,6.724493
"HPE",2016-02-02,7.962537,8.119463,7.764926,7.817235,16650692,6.558695
"HPE",2016-02-03,7.939289,8.003221,7.619625,7.770738,12995369,6.519686
"HPE",2016-02-04,7.735866,8.072966,7.735866,8.049718,11182073,6.753751
"HPE",2016-02-05,7.956725,7.991597,7.576034,7.671933,22759014,6.436788
"HPE",2016-02-08,7.555692,7.584752,7.189531,7.2709,25491603,6.100319
"HPE",2016-02-09,7.189531,7.474323,7.154659,7.392954,11504506,6.202721
"HPE",2016-02-10,7.422014,7.596376,7.387142,7.474323,10292717,6.270992
"HPE",2016-02-11,7.305773,7.363894,6.983203,7.206968,16920476,6.046679
"HPE",2016-02-12,7.265088,7.433638,7.079102,7.143035,18150846,5.993039
"HPE",2016-02-16,7.21278,7.259276,7.131411,7.166283,20606942,6.012545
"HPE",2016-02-17,7.201156,7.637061,7.189531,7.567316,14910693,6.349013
"HPE",2016-02-18,7.584752,7.962537,7.567316,7.863732,20189190,6.597708
"HPE",2016-02-19,7.852107,7.985785,7.700994,7.945101,16198014,6.665977
"HPE",2016-02-22,7.991597,8.067154,7.88698,8.020657,18505625,6.729368
"HPE",2016-02-23,7.974161,8.032282,7.462699,7.608,25201001,6.383147
"HPE",2016-02-24,7.555692,7.88698,7.451075,7.863732,22757638,6.597708
"HPE",2016-02-25,7.817235,7.968349,7.695182,7.950913,20784159,6.670853
"HPE",2016-02-26,8.009033,8.020657,7.642873,7.811423,18624516,6.55382
"HPE",2016-02-29,7.735866,7.834671,7.671933,7.712618,21932459,6.470922
"HPE",2016-03-01,7.799799,7.828859,7.608,7.71843,14373879,6.4758
"HPE",2016-03-02,7.776551,8.165959,7.759114,8.078778,17234305,6.778132
"HPE",2016-03-03,8.08459,8.107839,7.71843,7.904416,17256500,6.631842
"HPE",2016-03-04,8.659985,9.20632,8.613489,8.973837,57415854,7.529088
"HPE",2016-03-07,8.793663,9.293501,8.752978,9.281877,31792800,7.815377
"HPE",2016-03-08,9.154011,9.17726,8.837253,8.851784,21215331,7.453237
"HPE",2016-03-09,8.915716,9.203414,8.892468,9.002897,19045536,7.580476
"HPE",2016-03-10,9.03777,9.421367,9.020334,9.241192,24578332,7.781119
"HPE",2016-03-11,9.299313,9.555044,9.299313,9.491111,26984531,7.991554
"HPE",2016-03-14,9.415554,9.630601,9.322561,9.537608,16641917,8.030704
"HPE",2016-03-15,9.508548,9.810775,9.444615,9.746842,23974588,8.206882
"HPE",2016-03-16,9.71197,10.014198,9.648037,9.990949,21531053,8.412419
"HPE",2016-03-17,9.956077,10.072318,9.857272,9.973513,18699360,8.397738
"HPE",2016-03-18,9.979325,10.21762,9.927017,10.072318,53273441,8.480933
"HPE",2016-03-21,10.072318,10.426855,10.054882,10.293177,18463127,8.666896
"HPE",2016-03-22,10.118815,10.508224,10.078131,10.176936,19474127,8.569022
"HPE",2016-03-23,10.182748,10.211808,9.932829,10.147875,19674400,8.544553
"HPE",2016-03-24,10.118815,10.252493,9.944453,10.211808,15261342,8.598382
"HPE",2016-03-28,10.159499,10.267023,10.008386,10.176936,9518639,8.569022
"HPE",2016-03-29,10.095567,10.275741,10.008386,10.258305,10197054,8.637535
"HPE",2016-03-30,10.298989,10.412325,10.246681,10.397794,18156352,8.754984
"HPE",2016-03-31,10.368734,10.438479,10.176936,10.304801,17876245,8.676682
"HPE",2016-04-01,10.235056,10.778485,10.205996,10.69421,25550102,9.004567
"HPE",2016-04-04,10.72327,10.72327,10.421043,10.484975,13191512,8.828389
"HPE",2016-04-05,10.38617,10.409419,10.205996,10.235056,14280625,8.617957
"HPE",2016-04-06,10.258305,10.450103,10.147875,10.438479,17879858,8.789243
"HPE",2016-04-07,10.339674,10.484975,10.243775,10.310613,16196809,8.681576
"HPE",2016-04-08,10.374546,10.633183,10.351298,10.397794,12525312,8.754984
