"symbol","date","open","high","low","close","volume","adjusted"
"HUM",1996-01-02,27.25,27.25,26.625,26.875,569400,24.44359
"HUM",1996-01-03,26.75,27.625,26.75,27.5,571300,25.012056
"HUM",1996-01-04,27.875,28.375,27.75,28.25,1450400,25.694204
"HUM",1996-01-05,28,28.125,26.625,26.75,819500,24.329903
"HUM",1996-01-08,26.75,26.75,26.25,26.375,440100,23.988827
"HUM",1996-01-09,26.375,26.5,25.375,25.5,882000,23.192991
"HUM",1996-01-10,25.75,26.25,25.625,26,1353800,23.647757
"HUM",1996-01-11,26.5,26.875,25.75,26.75,1357600,24.329903
"HUM",1996-01-12,26.75,27.25,26.625,26.625,545600,24.216215
"HUM",1996-01-15,26.875,27.875,26.875,27.75,710600,25.239441
"HUM",1996-01-16,28,28,27.375,27.625,883600,25.125744
"HUM",1996-01-17,27.375,27.5,26.875,27.125,320000,24.670977
"HUM",1996-01-18,27.375,27.875,27.25,27.875,710000,25.35313
"HUM",1996-01-19,27.625,27.75,27.375,27.75,520200,25.239441
"HUM",1996-01-22,27.5,27.625,27.25,27.25,352200,24.78467
"HUM",1996-01-23,27.375,27.625,26.875,27.25,544600,24.78467
"HUM",1996-01-24,27.125,27.625,27.125,27.625,529600,25.125744
"HUM",1996-01-25,27.625,28.5,27.5,28,1042500,25.466818
"HUM",1996-01-26,27.5,27.875,27.125,27.875,450600,25.35313
"HUM",1996-01-29,27.625,27.875,27.5,27.625,263700,25.125744
"HUM",1996-01-30,27.5625,27.625,27,27.625,437700,25.125744
"HUM",1996-01-31,27,27.625,27,27.625,662800,25.125744
"HUM",1996-02-01,27.875,28.75,27.75,28.125,907900,25.580507
"HUM",1996-02-02,28.25,28.25,27.5,27.5,427100,25.012056
"HUM",1996-02-05,27.375,27.75,26.625,27,951000,24.557289
"HUM",1996-02-06,26.875,27.375,26.375,27.125,1059800,24.670977
"HUM",1996-02-07,27,27.125,26.75,26.875,619000,24.44359
"HUM",1996-02-08,26.875,27.875,26.75,27.875,617000,25.35313
