"symbol","date","open","high","low","close","volume","adjusted"
"IAC",2006-12-01,6.89501,6.929229,6.805662,6.832277,26649862,6.335737
"IAC",2006-12-04,6.881703,6.990062,6.841782,6.967249,21215945,6.4609
"IAC",2006-12-05,6.952041,7.064201,6.881703,7.033785,17464281,6.5226
"IAC",2006-12-06,7.048993,7.048993,6.906417,6.955843,21133884,6.450323
"IAC",2006-12-07,6.946338,7.014775,6.828475,6.868396,18178633,6.369231
"IAC",2006-12-08,6.796157,6.896911,6.746731,6.803761,16334889,6.309294
"IAC",2006-12-11,6.815167,6.984358,6.779048,6.877901,10999867,6.378045
"IAC",2006-12-12,6.904516,6.953942,6.836079,6.927328,10681091,6.42388
"IAC",2006-12-13,6.980556,7.052795,6.940635,7.012874,16531625,6.50321
"IAC",2006-12-14,7.047092,7.166857,7.04329,7.140242,19649420,6.62132
"IAC",2006-12-15,7.138341,7.311334,7.138341,7.309433,37579240,6.778215
"IAC",2006-12-18,7.311334,7.349355,7.204877,7.223887,25625150,6.698886
"IAC",2006-12-19,7.225788,7.242898,6.893109,6.936833,39506624,6.432694
"IAC",2006-12-20,6.908318,7.020478,6.870297,6.927328,25989691,6.42388
"IAC",2006-12-21,6.938734,7.132638,6.938734,6.990062,26185901,6.482055
"IAC",2006-12-22,6.991963,7.029983,6.959645,6.976754,9363380,6.469714
"IAC",2006-12-26,6.978655,7.064201,6.974853,7.009072,7818422,6.499684
"IAC",2006-12-27,7.056597,7.126935,7.037587,7.087014,8737401,6.57196
"IAC",2006-12-28,7.075608,7.130737,6.999567,7.071806,9706353,6.557858
"IAC",2006-12-29,7.058498,7.183966,7.04329,7.064201,8516993,6.550806
"IAC",2007-01-03,7.081311,7.22959,7.04329,7.138341,19738846,6.619557
"IAC",2007-01-04,7.138341,7.227689,7.075608,7.204877,18225450,6.681257
"IAC",2007-01-05,7.185867,7.202976,7.087014,7.134539,12717889,6.616031
"IAC",2007-01-08,7.119331,7.147846,7.054696,7.109826,12863074,6.593115
"IAC",2007-01-09,7.11743,7.166857,7.009072,7.130737,17561597,6.612506
"IAC",2007-01-10,7.087014,7.362662,7.045191,7.28472,20523161,6.755299
"IAC",2007-01-11,7.298027,7.315136,7.15355,7.193471,25857131,6.67068
"IAC",2007-01-12,7.187768,7.250502,7.144044,7.193471,11663720,6.67068
"IAC",2007-01-16,7.212481,7.239096,7.17256,7.223887,12915152,6.698886
"IAC",2007-01-17,7.221986,7.311334,7.187768,7.261908,11956720,6.734144
"IAC",2007-01-18,7.299928,7.375969,7.258106,7.326543,13776793,6.794083
"IAC",2007-01-19,7.318939,7.438703,7.280918,7.427297,15094504,6.887513
"IAC",2007-01-22,7.425396,7.433,7.355058,7.389276,13746809,6.852255
"IAC",2007-01-23,7.391177,7.490031,7.37787,7.436802,10652159,6.896327
"IAC",2007-01-24,7.465317,7.505239,7.427297,7.448208,11520639,6.906906
"IAC",2007-01-25,7.41399,7.438703,7.223887,7.254304,18422186,6.727092
"IAC",2007-01-26,7.254304,7.267611,7.111727,7.174461,13643707,6.653052
"IAC",2007-01-29,7.121232,7.288522,7.121232,7.227689,9456487,6.702412
"IAC",2007-01-30,7.242898,7.282819,7.161154,7.2467,6230856,6.720042
"IAC",2007-01-31,7.254304,7.379771,7.159253,7.299928,9071432,6.769402
"IAC",2007-02-01,7.292324,7.404485,7.263809,7.286621,8954652,6.757061
"IAC",2007-02-02,7.277116,7.381672,7.277116,7.343652,5188259,6.809946
"IAC",2007-02-05,7.343652,7.509041,7.296126,7.465317,15366463,6.922771
"IAC",2007-02-06,7.280918,7.375969,7.166857,7.360761,24591496,6.825813
"IAC",2007-02-07,7.360761,7.617399,7.355058,7.571775,17135511,7.021491
"IAC",2007-02-08,7.550863,7.628805,7.522348,7.586983,10569046,7.035594
"IAC",2007-02-09,7.60029,7.602191,7.490031,7.531853,9690572,6.984471
"IAC",2007-02-12,7.566072,7.566072,7.433,7.493833,12987218,6.949214
"IAC",2007-02-13,7.505239,7.571775,7.478624,7.554665,9509617,7.005625
"IAC",2007-02-14,7.585082,7.632607,7.533754,7.575577,9642177,7.025016
"IAC",2007-02-15,7.566072,7.596488,7.503338,7.575577,11449625,7.025016
"IAC",2007-02-16,7.592686,7.602191,7.501437,7.571775,9124035,7.021491
"IAC",2007-02-20,7.533754,7.644013,7.47102,7.6193,12853080,7.065562
"IAC",2007-02-21,7.594587,7.682034,7.567973,7.653519,6610651,7.097295
"IAC",2007-02-22,7.647815,7.721955,7.636409,7.708648,8947814,7.148417
"IAC",2007-02-23,7.721955,7.735263,7.647815,7.714351,9515403,7.153706
"IAC",2007-02-26,7.714351,7.792293,7.702945,7.744768,9930443,7.181912
"IAC",2007-02-27,7.676331,7.742867,7.478624,7.522348,17783583,6.975657
"IAC",2007-02-28,7.453911,7.529952,7.398781,7.45201,22382160,6.910431
"IAC",2007-03-01,7.330345,7.412089,7.267611,7.343652,19150216,6.809946
"IAC",2007-03-02,7.290423,7.349355,7.145945,7.202976,19921379,6.679495
"IAC",2007-03-05,7.144044,7.195372,6.988161,7.123133,14378574,6.605455
"IAC",2007-03-06,7.09842,7.19157,7.071806,7.161154,10301822,6.640711
"IAC",2007-03-07,7.128836,7.168758,7.073707,7.134539,10593244,6.616031
"IAC",2007-03-08,7.185867,7.231491,7.119331,7.147846,21292746,6.628372
"IAC",2007-03-09,7.168758,7.201075,7.068003,7.115529,12967229,6.598403
"IAC",2007-03-12,7.109826,7.138341,7.056597,7.100321,18269111,6.584301
"IAC",2007-03-13,7.045191,7.085113,6.942536,6.942536,14267581,6.437983
"IAC",2007-03-14,6.976754,6.982457,6.853188,6.934932,18474790,6.430931
"IAC",2007-03-15,6.95014,7.029983,6.946338,6.963447,9606407,6.457375
