"symbol","date","open","high","low","close","volume","adjusted"
"ITW",1996-01-02,14.625,14.71875,14.53125,14.625,677600,8.746181
"ITW",1996-01-03,14.5625,14.59375,14.375,14.5,827200,8.671425
"ITW",1996-01-04,14.5,14.5625,14.125,14.3125,980800,8.5593
"ITW",1996-01-05,14.25,14.375,14.21875,14.34375,380000,8.577987
"ITW",1996-01-08,14.375,14.375,14.125,14.28125,292800,8.540613
"ITW",1996-01-09,14.34375,14.375,13.84375,13.875,985200,8.297663
"ITW",1996-01-10,13.78125,13.8125,13.3125,13.3125,772800,7.961267
"ITW",1996-01-11,13.34375,13.375,12.96875,13,1276800,7.774388
"ITW",1996-01-12,13.125,13.25,13.09375,13.1875,1936000,7.886514
"ITW",1996-01-15,13.25,13.8125,13.25,13.5,1616000,8.073403
"ITW",1996-01-16,13.5625,13.59375,13.28125,13.4375,1394400,8.036023
"ITW",1996-01-17,13.375,13.75,13.375,13.75,1546400,8.222906
"ITW",1996-01-18,13.75,13.96875,13.75,13.96875,2071200,8.353724
"ITW",1996-01-19,13.96875,14.34375,13.96875,14.34375,1660800,8.577987
"ITW",1996-01-22,14.21875,14.28125,14.09375,14.125,671200,8.447165
"ITW",1996-01-23,14.0625,14.0625,13.96875,14,1414400,8.372414
"ITW",1996-01-24,14.03125,14.375,14.03125,14.1875,447600,8.484543
"ITW",1996-01-25,14.1875,14.21875,13.96875,14.125,891200,8.447165
"ITW",1996-01-26,14,14.3125,14,14.3125,382400,8.5593
"ITW",1996-01-29,14.25,14.8125,14.25,14.5,704000,8.671425
"ITW",1996-01-30,14.53125,14.9375,14.53125,14.71875,698800,8.802247
"ITW",1996-01-31,14.6875,15.34375,14.6875,15.34375,1503200,9.176017
"ITW",1996-02-01,15.3125,15.46875,15.1875,15.40625,1016400,9.213393
"ITW",1996-02-02,15.4375,15.46875,15.09375,15.25,540000,9.119949
"ITW",1996-02-05,15.4375,15.90625,15.4375,15.65625,799600,9.362902
"ITW",1996-02-06,15.625,15.625,15.3125,15.375,745600,9.194707
"ITW",1996-02-07,15.25,15.46875,15.0625,15.125,682000,9.045198
"ITW",1996-02-08,15.15625,15.71875,15.15625,15.71875,1069200,9.400281
"ITW",1996-02-09,15.71875,15.84375,15.6875,15.8125,1084400,9.456344
"ITW",1996-02-12,15.875,16.125,15.875,16.03125,992000,9.587162
"ITW",1996-02-13,16.03125,16.375,16.03125,16.375,772400,9.792733
"ITW",1996-02-14,16.34375,16.34375,15.875,15.90625,484000,9.51241
"ITW",1996-02-15,15.90625,15.96875,15.875,15.96875,826000,9.549784
"ITW",1996-02-16,15.9375,15.9375,15.46875,15.5,530000,9.269453
"ITW",1996-02-20,15.3125,15.65625,15.25,15.59375,323600,9.325521
"ITW",1996-02-21,15.59375,15.78125,15.53125,15.59375,602000,9.325521
"ITW",1996-02-22,15.65625,16.125,15.65625,16.125,638800,9.643229
"ITW",1996-02-23,16,16.09375,15.5625,16.0625,544800,9.605846
"ITW",1996-02-26,16,16.53125,16,16.375,1174000,9.792733
"ITW",1996-02-27,16.375,16.375,16.125,16.28125,1091200,9.736669
"ITW",1996-02-28,16.34375,16.65625,16.34375,16.4375,906400,9.83011
"ITW",1996-02-29,16.34375,16.59375,16.25,16.46875,1310800,9.848797
"ITW",1996-03-01,16.5625,16.59375,16.28125,16.34375,832800,9.774046
"ITW",1996-03-04,16.3125,16.5,16.3125,16.5,847600,9.867487
"ITW",1996-03-05,16.4375,16.5625,16.25,16.5625,420400,9.904868
"ITW",1996-03-06,16.5625,16.765625,16.5,16.5,363600,9.867487
"ITW",1996-03-07,16.46875,16.5,16.25,16.46875,333200,9.848797
"ITW",1996-03-08,16.53125,16.53125,16.125,16.125,820800,9.643229
"ITW",1996-03-11,16,16.4375,15.90625,16.40625,993200,9.811424
"ITW",1996-03-12,16.28125,16.625,16.25,16.53125,845200,9.886177
"ITW",1996-03-13,16.40625,16.5,16.3125,16.5,430000,9.867487
"ITW",1996-03-14,16.59375,16.75,16.5,16.71875,628800,9.998309
"ITW",1996-03-15,16.78125,16.8125,16.65625,16.71875,825200,9.998309
"ITW",1996-03-18,16.84375,17.28125,16.84375,17.15625,581200,10.259946
"ITW",1996-03-19,17.25,17.375,17.0625,17.125,365600,10.241258
"ITW",1996-03-20,17.15625,17.34375,16.96875,17.21875,438400,10.297319
"ITW",1996-03-21,17.21875,17.21875,16.90625,16.96875,283200,10.147809
"ITW",1996-03-22,17.03125,17.09375,16.90625,16.96875,357600,10.147809
"ITW",1996-03-25,17.03125,17.1875,16.9375,17,519200,10.166503
"ITW",1996-03-26,16.875,17.03125,16.8125,16.84375,716400,10.073061
"ITW",1996-03-27,16.90625,16.90625,16.59375,16.625,413200,9.967396
"ITW",1996-03-28,16.5,16.5,16.1875,16.21875,1114800,9.723828
"ITW",1996-03-29,16.21875,16.3125,15.9375,16.15625,1180800,9.686357
"ITW",1996-04-01,16.25,16.3125,16.09375,16.09375,828800,9.648882
"ITW",1996-04-02,16.15625,16.15625,15.9375,16.03125,549200,9.611413
"ITW",1996-04-03,16.03125,16.03125,15.84375,15.96875,372800,9.573943
"ITW",1996-04-04,15.9375,16.3125,15.84375,16.3125,520000,9.780034
"ITW",1996-04-08,16.09375,16.09375,15.90625,16.03125,759600,9.611413
"ITW",1996-04-09,16.0625,16.0625,15.8125,15.875,918800,9.517734
"ITW",1996-04-10,15.8125,15.84375,15.59375,15.78125,1020400,9.461529
"ITW",1996-04-11,15.75,15.78125,15.25,15.5,770000,9.292901
"ITW",1996-04-12,15.5625,15.8125,15.40625,15.5,615600,9.292901
"ITW",1996-04-15,15.4375,15.875,15.40625,15.8125,852800,9.480262
"ITW",1996-04-16,15.84375,15.96875,15.75,15.96875,656800,9.573943
"ITW",1996-04-17,16.3125,16.53125,16.25,16.46875,1409600,9.873709
"ITW",1996-04-18,16.46875,16.59375,16.375,16.59375,824000,9.948656
"ITW",1996-04-19,16.6875,16.96875,16.6875,16.8125,947600,10.079804
"ITW",1996-04-22,16.84375,16.96875,16.84375,16.90625,902800,10.136015
"ITW",1996-04-23,16.90625,16.96875,16.78125,16.9375,636000,10.154744
"ITW",1996-04-24,17,17.09375,16.90625,17.03125,383600,10.210956
