"symbol","date","open","high","low","close","volume","adjusted"
"JWN",1996-01-02,10.0625,10.28125,10,10.28125,1042800,5.800434
"JWN",1996-01-03,10.1875,10.84375,10.1875,10.6875,4909600,6.02963
"JWN",1996-01-04,10.625,10.6875,10.5,10.53125,3590800,5.941476
"JWN",1996-01-05,10.53125,10.625,10.4375,10.5,2769200,5.923846
"JWN",1996-01-08,10.4375,10.53125,10.4375,10.53125,138400,5.941476
"JWN",1996-01-09,10.46875,10.46875,10.1875,10.375,2418800,5.853326
"JWN",1996-01-10,10.34375,10.375,10.21875,10.28125,1407200,5.800434
"JWN",1996-01-11,10.21875,10.375,10.125,10.375,1680800,5.853326
"JWN",1996-01-12,10.3125,10.59375,10.3125,10.5,2883200,5.923846
"JWN",1996-01-15,10.5,10.5625,10.28125,10.28125,1532800,5.800434
"JWN",1996-01-16,10.28125,10.34375,10.21875,10.34375,1204000,5.835694
"JWN",1996-01-17,10.375,10.375,10,10.03125,1176000,5.659389
"JWN",1996-01-18,10,10.03125,9.90625,9.9375,1130400,5.606498
"JWN",1996-01-19,10,10,9.71875,9.78125,2292000,5.518343
"JWN",1996-01-22,9.78125,9.78125,9.5,9.625,3165600,5.430193
"JWN",1996-01-23,9.5625,9.875,9.5,9.875,3768000,5.571238
"JWN",1996-01-24,9.84375,9.9375,9.6875,9.8125,2669200,5.535975
"JWN",1996-01-25,9.6875,9.75,9.625,9.625,1064800,5.430193
"JWN",1996-01-26,9.625,9.6875,9.625,9.6875,1226800,5.465453
"JWN",1996-01-29,9.625,9.75,9.625,9.703125,560800,5.474269
"JWN",1996-01-30,9.65625,9.875,9.65625,9.703125,1400000,5.474269
"JWN",1996-01-31,9.75,9.84375,9.5,9.8125,4355200,5.535975
"JWN",1996-02-01,9.71875,10.0625,9.6875,9.96875,2511200,5.624127
"JWN",1996-02-02,9.875,10,9.8125,9.8125,1394400,5.535975
"JWN",1996-02-05,9.75,9.90625,9.75,9.8125,1015600,5.535975
"JWN",1996-02-06,9.75,10.0625,9.75,9.96875,2108800,5.624127
"JWN",1996-02-07,10,10.5625,10,10.46875,3844400,5.906219
"JWN",1996-02-08,10.4375,10.625,10.4375,10.5,1539200,5.923846
"JWN",1996-02-09,10.5,10.71875,10.5,10.5,2420800,5.923846
"JWN",1996-02-12,10.59375,10.75,10.5,10.71875,2002400,6.04726
"JWN",1996-02-13,10.65625,10.84375,10.5625,10.75,2449200,6.06489
"JWN",1996-02-14,10.78125,10.78125,10.53125,10.59375,1770400,5.976739
"JWN",1996-02-15,10.53125,10.71875,10.53125,10.625,962800,5.994369
"JWN",1996-02-16,10.59375,10.65625,10.5,10.5625,1923600,5.959107
"JWN",1996-02-20,10.515625,10.5625,10.3125,10.46875,2040800,5.906219
"JWN",1996-02-21,10.46875,10.46875,10.15625,10.1875,3020800,5.747542
"JWN",1996-02-22,10.25,10.625,10.21875,10.625,5145200,5.994369
"JWN",1996-02-23,10.5625,10.9375,10.5625,10.84375,4262400,6.117784
"JWN",1996-02-26,10.84375,10.9375,10.53125,10.625,3754400,5.994369
