"symbol","date","open","high","low","close","volume","adjusted"
"LEG",1999-10-18,21.875,22.8125,21.875,22.125,1147300,9.867092
"LEG",1999-10-19,22.125,22.1875,21.8125,21.8125,948300,9.727723
"LEG",1999-10-20,21.8125,22.1875,21.5625,22.125,757500,9.867092
"LEG",1999-10-21,22.0625,22.625,21.5,21.9375,442300,9.783475
"LEG",1999-10-22,21.75,22.5625,21.75,22.25,408500,9.922836
"LEG",1999-10-25,22.3125,22.4375,22,22.0625,567000,9.839219
"LEG",1999-10-26,22.1875,22.25,21.5,21.75,640700,9.699854
"LEG",1999-10-27,21.875,22.0625,21.0625,21.375,469200,9.532618
"LEG",1999-10-28,21.875,22.0625,21.25,21.75,934600,9.699854
"LEG",1999-10-29,21.875,22.4375,21.6875,22.1875,648200,9.894965
"LEG",1999-11-01,22.4375,22.625,22,22.1875,434200,9.894965
"LEG",1999-11-02,22.125,22.5,22.0625,22.0625,360400,9.839219
"LEG",1999-11-03,22.125,22.25,21.8125,21.875,447400,9.755599
"LEG",1999-11-04,22,22.3125,21.8125,21.9375,227900,9.783475
"LEG",1999-11-05,22,22.6875,22,22.6875,359100,10.117947
"LEG",1999-11-08,22.5,23.375,22.4375,23.375,566600,10.424555
"LEG",1999-11-09,23.4375,24,23.1875,23.5625,672800,10.508174
"LEG",1999-11-10,23.5,23.6875,23,23.0625,242400,10.285189
"LEG",1999-11-11,23.125,23.3125,23.0625,23.0625,175400,10.285189
"LEG",1999-11-12,23.0625,23.125,22.5,22.875,198400,10.201568
"LEG",1999-11-15,22.9375,23.75,22.9375,23.6875,316700,10.563921
"LEG",1999-11-16,24.125,24.125,23.5,24,225300,10.703286
"LEG",1999-11-17,23.875,24.1875,23.75,24.125,210800,10.759035
"LEG",1999-11-18,24.125,24.125,23.125,23.25,289200,10.368808
"LEG",1999-11-19,22.5,22.875,22.5,22.875,337700,10.201568
"LEG",1999-11-22,22.75,22.75,22.125,22.375,367000,9.978584
"LEG",1999-11-23,22.375,22.375,22,22.125,279500,9.90694
"LEG",1999-11-24,22.25,22.3125,21.625,21.8125,348700,9.767009
"LEG",1999-11-26,21.9375,21.9375,21.5,21.5625,167900,9.655069
"LEG",1999-11-29,21.6875,21.6875,21.375,21.5625,263100,9.655069
"LEG",1999-11-30,21.375,21.5625,21.3125,21.4375,321500,9.599096
"LEG",1999-12-01,21.25,21.5625,21.25,21.3125,271700,9.543126
"LEG",1999-12-02,21.4375,21.6875,21.0625,21.375,177800,9.571115
"LEG",1999-12-03,21.5,22,21.125,21.5625,319600,9.655069
"LEG",1999-12-06,21.5625,21.5625,21,21.0625,260100,9.431185
"LEG",1999-12-07,20.8125,21.4375,20.625,21,272900,9.403201
"LEG",1999-12-08,21.125,21.1875,20.6875,20.875,293600,9.34723
"LEG",1999-12-09,20.75,21.4375,20.6875,21.3125,341200,9.543126
"LEG",1999-12-10,21.1875,21.25,20.125,20.3125,344300,9.095351
"LEG",1999-12-13,20.25,20.375,19.9375,20,724100,8.955425
"LEG",1999-12-14,20.125,21.125,20.125,20.9375,718100,9.375211
"LEG",1999-12-15,20.6875,20.75,20.25,20.75,339600,9.291252
"LEG",1999-12-16,20.5,21.1875,20.3125,21,357600,9.403201
"LEG",1999-12-17,20.75,21.5,20.625,21.5,647400,9.627084
"LEG",1999-12-20,21.25,21.375,20.375,21.25,345500,9.51514
"LEG",1999-12-21,21.1875,21.75,20.9375,21.375,431200,9.571115
"LEG",1999-12-22,21.4375,21.4375,20.75,21,166000,9.403201
"LEG",1999-12-23,21.25,21.9375,21.1875,21.6875,315800,9.711044
"LEG",1999-12-27,21.625,21.625,20.375,20.5625,479000,9.207299
"LEG",1999-12-28,20.375,21.125,20.375,20.6875,429100,9.263271
"LEG",1999-12-29,20.75,21.4375,20.375,21.4375,348400,9.599096
"LEG",1999-12-30,21.5,21.5625,21.1875,21.5,280600,9.627084
"LEG",1999-12-31,21.375,21.5,21.0625,21.4375,124800,9.599096
"LEG",2000-01-03,21.25,21.375,20.0625,20.5625,361300,9.207299
"LEG",2000-01-04,20.3125,20.3125,19.4375,19.5,560900,8.731544
"LEG",2000-01-05,19.625,19.75,19,19.5,870300,8.731544
"LEG",2000-01-06,19.3125,19.625,19.0625,19.4375,776400,8.703554
"LEG",2000-01-07,19.5,19.75,19.0625,19.75,485400,8.843483
"LEG",2000-01-10,19.875,19.9375,19.0625,19.6875,435400,8.815497
"LEG",2000-01-11,19.5,20.1875,19.5,19.8125,402200,8.871467
"LEG",2000-01-12,19.8125,19.875,19.1875,19.1875,421100,8.591613
"LEG",2000-01-13,19.1875,19.25,18.6875,19.1875,472200,8.591613
"LEG",2000-01-14,19.25,19.4375,18.875,19.3125,341500,8.647586
"LEG",2000-01-18,19.125,19.3125,18.9375,19.3125,368600,8.647586
"LEG",2000-01-19,19.25,19.3125,18.9375,19,332300,8.507652
"LEG",2000-01-20,18.9375,19.0625,18.375,18.5,494300,8.283772
"LEG",2000-01-21,19,19.125,18.5,19.0625,661100,8.535644
"LEG",2000-01-24,19.125,19.3125,18.5,18.6875,293400,8.367726
"LEG",2000-01-25,18.5625,18.6875,17.8125,18.0625,467600,8.087869
"LEG",2000-01-26,18.25,18.4375,17.625,18.1875,528700,8.14384
"LEG",2000-01-27,18,18.5625,17.75,18.125,358100,8.115856
"LEG",2000-01-28,18.125,18.25,17.75,17.9375,355600,8.031898
"LEG",2000-01-31,17.8125,18,17.5625,18,498000,8.059886
"LEG",2000-02-01,17.875,18.5,17.375,18.25,699600,8.171825
"LEG",2000-02-02,18,18,17.5625,17.6875,467900,7.919958
"LEG",2000-02-03,17.75,18.5,17.6875,18.1875,595600,8.14384
"LEG",2000-02-04,17.9375,18.375,17.5625,17.625,582900,7.89197
"LEG",2000-02-07,17.5625,17.625,17,17.3125,520400,7.752041
"LEG",2000-02-08,17.5625,17.75,17.25,17.5,304400,7.835999
"LEG",2000-02-09,17.25,18,17.0625,17.3125,548700,7.752041
"LEG",2000-02-10,17.4375,17.4375,16.9375,17.0625,431800,7.640097
"LEG",2000-02-11,16.9375,17.25,16.6875,16.75,384500,7.500169
"LEG",2000-02-14,17,17.3125,16.6875,16.75,461900,7.500169
"LEG",2000-02-15,16.75,16.8125,16.3125,16.5,907300,7.388228
"LEG",2000-02-16,16.5625,17,16.5625,16.8125,443400,7.528156
"LEG",2000-02-17,16.875,17.0625,16.625,16.8125,312400,7.528156
"LEG",2000-02-18,16.5625,16.8125,16.0625,16.25,551900,7.276285
"LEG",2000-02-22,16.5,16.6875,16.1875,16.3125,335200,7.304271
"LEG",2000-02-23,16.1875,16.4375,16,16.3125,388700,7.349322
"LEG",2000-02-24,16.3125,16.5625,16.0625,16.0625,906800,7.236688
"LEG",2000-02-25,16.125,16.4375,15.9375,16.0625,694800,7.236688
"LEG",2000-02-28,16.3125,16.3125,15.875,16.0625,620400,7.236688
