"symbol","date","open","high","low","close","volume","adjusted"
"LKQ",2016-05-23,31.610001,32.25,31.309999,31.9,3926500,31.437727
"LKQ",2016-05-24,32.009998,32.509998,32.009998,32.259998,2445300,31.792511
"LKQ",2016-05-25,32.259998,33,32.150002,32.93,2597100,32.452801
"LKQ",2016-05-26,31.879999,33.240002,31.879999,32.740002,2363100,32.265556
"LKQ",2016-05-27,32.91,33.189999,32.580002,33.189999,1863400,32.709034
"LKQ",2016-05-31,33.299999,33.48,32.880001,33.07,1500500,32.590771
"LKQ",2016-06-01,32.779999,33.189999,32.470001,32.689999,1559400,32.216274
"LKQ",2016-06-02,32.490002,33.09,32.490002,33.09,1977700,32.610481
"LKQ",2016-06-03,32.849998,32.970001,32.48,32.93,1298300,32.452801
"LKQ",2016-06-06,32.900002,32.900002,32.450001,32.5,2153400,32.029034
"LKQ",2016-06-07,32.470001,33.240002,32.470001,33.049999,2553800,32.571064
"LKQ",2016-06-08,33.009998,33.209999,32.91,33.209999,1660000,32.728741
"LKQ",2016-06-09,33.02,33.32,32.98,33.110001,2161400,32.630196
"LKQ",2016-06-10,32.400002,32.700001,32.16,32.23,1471800,31.762945
"LKQ",2016-06-13,32.220001,32.450001,32,32.139999,1589900,31.67425
"LKQ",2016-06-14,32.049999,32.259998,31.91,32.119999,1349700,31.654539
"LKQ",2016-06-15,32.189999,32.75,32.110001,32.439999,1597100,31.969904
"LKQ",2016-06-16,32.259998,32.75,32.049999,32.52,1264100,32.04874
"LKQ",2016-06-17,32.52,32.759998,32.27,32.580002,1995900,32.107876
"LKQ",2016-06-20,32.91,33.23,32.849998,32.889999,1723900,32.413383
"LKQ",2016-06-21,32.919998,33.23,32.560001,32.77,1448900,32.29512
"LKQ",2016-06-22,32.75,33.23,32.560001,32.84,1644200,32.364105
"LKQ",2016-06-23,33.220001,33.619999,33.049999,33.610001,2146700,33.122948
"LKQ",2016-06-24,32.07,32.259998,31.02,31.040001,5765100,30.590193
"LKQ",2016-06-27,30.879999,30.93,29.370001,29.52,4436600,29.092218
"LKQ",2016-06-28,29.940001,30.68,29.68,30.42,2083700,29.979176
"LKQ",2016-06-29,30.809999,31.549999,30.540001,31.35,2026100,30.8957
"LKQ",2016-06-30,31.52,32.610001,31.190001,31.700001,2499000,31.240625
"LKQ",2016-07-01,31.700001,32.150002,31.49,32.119999,2093900,31.654539
"LKQ",2016-07-05,31.98,32.049999,31.18,31.59,2484000,31.132221
"LKQ",2016-07-06,31.48,31.950001,31.41,31.76,3830700,31.299757
"LKQ",2016-07-07,32,32.029999,31.629999,31.969999,1393200,31.506714
"LKQ",2016-07-08,32.389999,33.16,32.099998,33.09,2379000,32.610481
"LKQ",2016-07-11,33.889999,33.950001,33.419998,33.669998,3117100,33.182076
"LKQ",2016-07-12,33.849998,34.02,33.369999,33.389999,1505300,32.906136
"LKQ",2016-07-13,33.450001,33.639999,33.060001,33.16,1402200,32.67947
"LKQ",2016-07-14,33.48,33.529999,33.200001,33.400002,1517300,32.915993
"LKQ",2016-07-15,33.529999,33.580002,32.990002,33.080002,1488400,32.600632
"LKQ",2016-07-18,33.029999,33.189999,32.639999,32.669998,1911800,32.196568
"LKQ",2016-07-19,32.639999,32.91,32.369999,32.529999,2067200,32.058598
"LKQ",2016-07-20,32.669998,32.939999,32.509998,32.889999,853400,32.413383
"LKQ",2016-07-21,32.889999,33.200001,32.779999,32.98,1852400,32.502075
"LKQ",2016-07-22,33.029999,33.389999,32.990002,33.34,1079100,32.856865
"LKQ",2016-07-25,33.240002,33.740002,33.240002,33.619999,1373400,33.132801
"LKQ",2016-07-26,33.720001,33.880001,33.580002,33.84,1826000,33.349617
"LKQ",2016-07-27,33.91,34.240002,33.84,34.139999,2032200,33.645267
"LKQ",2016-07-28,33.799999,33.900002,32.450001,33.619999,2385600,33.132801
"LKQ",2016-07-29,33.66,34.509998,33.630001,34.389999,2493800,33.891647
"LKQ",2016-08-01,34.400002,34.560001,34.25,34.48,1917300,33.980339
"LKQ",2016-08-02,34.459999,34.650002,34.25,34.5,2853500,34.000053
"LKQ",2016-08-03,34.560001,34.860001,34.419998,34.860001,2007400,34.354836
"LKQ",2016-08-04,34.919998,35.080002,34.59,34.669998,2352900,34.167587
"LKQ",2016-08-05,34.830002,35.290001,34.75,35.189999,1512600,34.680054
"LKQ",2016-08-08,35.330002,35.509998,34.82,34.919998,1613900,34.413963
"LKQ",2016-08-09,34.91,35.119999,34.650002,34.709999,1477000,34.207008
"LKQ",2016-08-10,34.830002,35.009998,34.689999,34.950001,2156700,34.443531
"LKQ",2016-08-11,35.150002,35.41,34.68,34.689999,1137500,34.187294
"LKQ",2016-08-12,34.689999,35.330002,34.450001,34.650002,1255200,34.147881
"LKQ",2016-08-15,34.810001,35.380001,34.810001,35.349998,1471900,34.83773
"LKQ",2016-08-16,35.27,35.459999,35.07,35.169998,1028100,34.660339
"LKQ",2016-08-17,35.049999,35.459999,35.049999,35.400002,1906800,34.887012
"LKQ",2016-08-18,35.330002,35.459999,35.139999,35.459999,1048300,34.946136
"LKQ",2016-08-19,35.389999,35.700001,35.25,35.669998,1288500,35.153091
"LKQ",2016-08-22,35.669998,35.700001,35.389999,35.599998,1268000,35.084106
"LKQ",2016-08-23,35.759998,35.84,35.610001,35.790001,833600,35.271355
"LKQ",2016-08-24,35.810001,35.959999,35.669998,35.880001,1153900,35.360058
"LKQ",2016-08-25,35.77,35.990002,35.650002,35.860001,1019300,35.34034
"LKQ",2016-08-26,35.990002,36.130001,35.48,35.689999,1299800,35.172806
"LKQ",2016-08-29,35.740002,36.139999,35.709999,35.98,1067500,35.458603
"LKQ",2016-08-30,35.950001,36.240002,35.939999,36.23,1220700,35.704983
"LKQ",2016-08-31,36.27,36.349998,35.860001,36.09,1595900,35.567013
"LKQ",2016-09-01,35.900002,36.049999,35.5,35.560001,1805600,35.044689
"LKQ",2016-09-02,35.700001,35.889999,35.5,35.790001,1312000,35.271355
"LKQ",2016-09-06,35.849998,36.07,35.619999,36.040001,1605900,35.517735
"LKQ",2016-09-07,36.060001,36.27,35.98,36.220001,990900,35.695126
"LKQ",2016-09-08,36.18,36.299999,35.73,35.73,1867500,35.212227
"LKQ",2016-09-09,35.380001,35.599998,34.91,34.91,2183500,34.40411
"LKQ",2016-09-12,34.849998,35.470001,34.689999,35.43,1750300,34.916576
"LKQ",2016-09-13,34.990002,35.490002,34.029999,35.18,1951100,34.670197
"LKQ",2016-09-14,35.189999,35.57,35.099998,35.43,1681200,34.916576
"LKQ",2016-09-15,35.349998,35.860001,35.009998,35.689999,1641200,35.172806
"LKQ",2016-09-16,35.240002,35.540001,34.939999,35.459999,2794600,34.946136
"LKQ",2016-09-19,35.540001,35.98,35.509998,35.619999,1741300,35.103821
"LKQ",2016-09-20,35.77,35.91,35.27,35.290001,1828500,34.778606
"LKQ",2016-09-21,35.419998,35.580002,35.040001,35.400002,2155600,34.887012
"LKQ",2016-09-22,35.619999,35.860001,35.349998,35.740002,2363800,35.222084
"LKQ",2016-09-23,35.669998,35.759998,35.439999,35.68,1561300,35.162952
"LKQ",2016-09-26,35.57,35.650002,35.049999,35.299999,1561700,34.78846
"LKQ",2016-09-27,35.25,35.439999,35.07,35.41,1860400,34.896862
"LKQ",2016-09-28,35.52,35.560001,35.240002,35.52,3639300,35.005268
"LKQ",2016-09-29,35.439999,35.700001,35.189999,35.240002,2625000,34.729328
"LKQ",2016-09-30,35.459999,35.599998,35.200001,35.459999,1916400,34.946136
"LKQ",2016-10-03,35.310001,35.580002,35.16,35.209999,1164700,34.69976
"LKQ",2016-10-04,35.169998,35.240002,34.130001,34.189999,3213500,33.694542
"LKQ",2016-10-05,34.5,34.540001,33.529999,33.619999,4852300,33.132801
"LKQ",2016-10-06,33.450001,34.040001,32.82,33.240002,2972000,32.758308
"LKQ",2016-10-07,33.25,33.419998,33.02,33.200001,2151400,32.718891
"LKQ",2016-10-10,33.450001,33.810001,33.450001,33.549999,1985000,33.063816
"LKQ",2016-10-11,33.490002,33.650002,33,33.110001,1543100,32.630196
"LKQ",2016-10-12,33.150002,33.57,32.990002,33.310001,1447600,32.827293
"LKQ",2016-10-13,32.970001,33.139999,32.900002,32.959999,1707900,32.482368
"LKQ",2016-10-14,33.150002,33.349998,32.799999,32.84,1820200,32.364105
