"symbol","date","open","high","low","close","volume","adjusted"
"LLY",1996-01-02,28,28,27.375,27.6875,1704200,13.3592
"LLY",1996-01-03,27.5,27.5625,26.375,26.6875,3180000,12.876702
"LLY",1996-01-04,26.5,27.0625,26.4375,26.75,2503200,12.906858
"LLY",1996-01-05,26.6875,26.875,26.25,26.5625,1766800,12.816386
"LLY",1996-01-08,26.5,27,26.5,26.875,594400,12.967175
"LLY",1996-01-09,27,27,26,26.578125,1963600,12.823931
"LLY",1996-01-10,25.75,25.8125,24.6875,24.75,2316000,11.941859
"LLY",1996-01-11,25.5,25.5625,25,25.5625,1534800,12.333886
"LLY",1996-01-12,25.625,26.0625,25.1875,25.5,1732000,12.303736
"LLY",1996-01-15,25.5,25.75,25.0625,25.1875,755200,12.152958
"LLY",1996-01-16,25.5625,26.4375,25.375,26.125,2410000,12.605297
"LLY",1996-01-17,26.0625,26.625,25.8125,25.875,2148800,12.484674
"LLY",1996-01-18,26.25,26.5625,26.125,26.5,1907200,12.786233
"LLY",1996-01-19,26.4375,26.625,26.3125,26.5625,2001600,12.816386
"LLY",1996-01-22,26.4375,26.5,26.1875,26.3125,1342000,12.695767
"LLY",1996-01-23,26.25,26.6875,25.3125,26.125,2166800,12.605297
"LLY",1996-01-24,26.25,26.5625,26.1875,26.375,2796000,12.725924
"LLY",1996-01-25,26.375,26.625,26,26,1581600,12.544984
"LLY",1996-01-26,25.875,26.4375,25.875,26.4375,2040000,12.75608
"LLY",1996-01-29,26.4375,26.875,26.4375,26.8125,2051000,12.937014
"LLY",1996-01-30,26.6875,28,26.625,27.9375,4652800,13.479829
"LLY",1996-01-31,28.375,29.1875,28,28.625,4084800,13.81155
"LLY",1996-02-01,28.875,29,28.5625,28.875,2395000,13.93217
"LLY",1996-02-02,28.75,29.5,28.75,28.75,2392200,13.871856
"LLY",1996-02-05,28.9375,29,28.6875,29,1535800,13.992479
"LLY",1996-02-06,28,29.1875,28,29,2271000,13.992479
"LLY",1996-02-07,29,29.75,28.8125,29.5625,2530800,14.263891
"LLY",1996-02-08,29.75,30.6875,29.5,30.5,2769000,14.716236
"LLY",1996-02-09,30.375,31.3125,30.125,30.875,2162200,14.89716
"LLY",1996-02-12,31.25,32.0625,31.25,32.0625,2347800,15.470139
"LLY",1996-02-13,31.75,32.1875,31.75,32.0625,2334400,15.553092
"LLY",1996-02-14,31.875,32,31.375,31.9375,3556200,15.492452
"LLY",1996-02-15,31.625,32.5625,31.5625,31.8125,4211200,15.431818
"LLY",1996-02-16,31.5,31.5,30.9375,31.125,2826000,15.098318
"LLY",1996-02-20,30.5,30.875,30.1875,30.25,3094400,14.673864
"LLY",1996-02-21,30.25,31.1875,30.25,31,2771800,15.037679
"LLY",1996-02-22,31.1875,31.8125,31.0625,31.625,3045600,15.340863
"LLY",1996-02-23,32,32.4375,31.875,32.125,4001800,15.583404
"LLY",1996-02-26,31.375,31.875,30.9375,31.125,3369200,15.098318
"LLY",1996-02-27,31,31.1875,30.375,30.5,2269800,14.795146
"LLY",1996-02-28,30.75,31.0625,29.875,30.0625,4668200,14.582915
"LLY",1996-02-29,30.125,31,29.9375,30.3125,3652800,14.704185
"LLY",1996-03-01,30.75,31.125,30.5625,30.8125,2966600,14.946727
"LLY",1996-03-04,31.25,32.1875,31.1875,32.0625,3034600,15.553092
"LLY",1996-03-05,31.75,32.375,31.5625,32.375,1690600,15.704679
