"symbol","date","open","high","low","close","volume","adjusted"
"LUB",1996-01-02,22.25,22.5,22.125,22.375,38000,7.853271
"LUB",1996-01-03,22.375,22.5,22.25,22.375,25800,7.853271
"LUB",1996-01-04,22.5,22.75,22.25,22.375,58100,7.853271
"LUB",1996-01-05,22.25,22.375,22,22.125,25800,7.765525
"LUB",1996-01-08,22.25,22.625,22.125,22.625,42600,7.941016
"LUB",1996-01-09,22.5,22.625,22.25,22.5,24900,7.897145
"LUB",1996-01-10,22.25,22.5,22.125,22.125,95800,7.765525
"LUB",1996-01-11,22.125,22.25,21.75,21.75,38400,7.633907
"LUB",1996-01-12,21.875,21.875,21.625,21.625,38000,7.590034
"LUB",1996-01-15,21.625,21.875,21.625,21.75,11400,7.633907
"LUB",1996-01-16,21.75,21.75,21.625,21.75,28800,7.633907
"LUB",1996-01-17,21.75,21.75,21.5,21.5,42400,7.546163
"LUB",1996-01-18,21.625,21.625,21,21.125,42400,7.414541
"LUB",1996-01-19,21.125,21.5,21,21.5,46600,7.546163
"LUB",1996-01-22,21.375,21.625,21.375,21.625,14600,7.590034
"LUB",1996-01-23,21.625,21.625,21.5,21.5,50400,7.546163
"LUB",1996-01-24,21.5,21.625,21.25,21.375,80100,7.502289
"LUB",1996-01-25,21.375,21.5,21.125,21.25,74600,7.458415
"LUB",1996-01-26,21,21.125,20.75,21,17000,7.37067
"LUB",1996-01-29,21.125,21.25,20.75,21,75200,7.37067
"LUB",1996-01-30,21,21.375,20.875,21.25,24800,7.458415
"LUB",1996-01-31,21.375,21.375,20.875,21,24700,7.37067
"LUB",1996-02-01,20.875,20.875,20.375,20.5,100800,7.195177
"LUB",1996-02-02,20.375,20.625,20.25,20.375,56200,7.151304
"LUB",1996-02-05,20.5,20.75,20.125,20.625,150400,7.23905
"LUB",1996-02-06,20.75,21,20.5,21,53400,7.37067
"LUB",1996-02-07,20.875,21.125,20.875,21.125,70200,7.414541
"LUB",1996-02-08,21.125,21.5,21,21.375,129900,7.502289
"LUB",1996-02-09,21.5,21.5,21.125,21.375,174700,7.502289
"LUB",1996-02-12,21.25,21.5,21.125,21.25,61100,7.458415
"LUB",1996-02-13,21,21.125,20.75,20.875,62100,7.326797
"LUB",1996-02-14,20.75,21,20.625,20.75,64900,7.282922
"LUB",1996-02-15,20.625,21.125,20.625,20.875,106800,7.326797
"LUB",1996-02-16,20.75,20.875,20.75,20.875,72600,7.326797
"LUB",1996-02-20,20.75,21,20.625,20.875,99200,7.326797
"LUB",1996-02-21,20.75,21.25,20.75,20.875,37600,7.326797
"LUB",1996-02-22,21.125,21.375,21,21.25,85400,7.458415
"LUB",1996-02-23,21.375,21.375,20.75,21.125,53200,7.414541
"LUB",1996-02-26,21,21.375,21,21,39800,7.37067
"LUB",1996-02-27,20.875,21,20.75,20.875,28400,7.326797
"LUB",1996-02-28,21,21.25,20.75,20.75,35500,7.282922
"LUB",1996-02-29,20.75,21,20.75,20.75,18700,7.282922
"LUB",1996-03-01,20.75,20.875,20.625,20.875,33400,7.326797
"LUB",1996-03-04,21,21.625,20.875,21.375,57600,7.502289
"LUB",1996-03-05,21.25,21.5,21.125,21.5,23900,7.546163
"LUB",1996-03-06,21.25,21.375,21,21,54400,7.432898
"LUB",1996-03-07,21,21.25,20.875,21,43000,7.432898
"LUB",1996-03-08,21,21,20.453125,20.5,44500,7.255924
"LUB",1996-03-11,20.5,21,20.375,20.75,48200,7.34441
"LUB",1996-03-12,21,21.5,20.875,21.375,83300,7.565627
"LUB",1996-03-13,21.375,21.5,21.25,21.375,57100,7.565627
"LUB",1996-03-14,21.25,22,21.25,21.875,87400,7.7426
"LUB",1996-03-15,21.75,22,21.75,21.875,60300,7.7426
"LUB",1996-03-18,22,22.25,21.875,22.25,107800,7.875334
"LUB",1996-03-19,22.375,22.625,22.25,22.5,110900,7.963818
"LUB",1996-03-20,22.625,22.75,22.25,22.375,149000,7.919575
"LUB",1996-03-21,22.25,22.625,22.25,22.5,34600,7.963818
"LUB",1996-03-22,22.625,22.75,22.625,22.75,52200,8.052306
"LUB",1996-03-25,22.75,22.75,22.625,22.625,20800,8.008061
"LUB",1996-03-26,22.5,22.75,22.5,22.625,52700,8.008061
"LUB",1996-03-27,22.625,22.75,22.375,22.625,61800,8.008061
"LUB",1996-03-28,22.5,22.75,22.375,22.625,59900,8.008061
"LUB",1996-03-29,22.75,23.25,22.625,23.125,133800,8.185037
"LUB",1996-04-01,23,23.125,22.875,23.125,74200,8.185037
"LUB",1996-04-02,23,23.125,23,23.125,37100,8.185037
"LUB",1996-04-03,22.875,23.375,22.875,23.25,71200,8.22928
"LUB",1996-04-04,23.375,23.375,23,23,64900,8.140791
"LUB",1996-04-08,22.75,22.875,22.375,22.75,57700,8.052306
"LUB",1996-04-09,22.75,23,22.75,22.875,97300,8.096549
"LUB",1996-04-10,22.875,23.125,22.75,22.875,38500,8.096549
"LUB",1996-04-11,22.875,22.875,22.5,22.75,39800,8.052306
"LUB",1996-04-12,22.75,23,22.625,22.625,15100,8.008061
"LUB",1996-04-15,22.75,23.25,22.75,23.25,21200,8.22928
"LUB",1996-04-16,23.25,23.375,23.125,23.375,49000,8.273523
"LUB",1996-04-17,23.375,23.5,23.25,23.25,82500,8.22928
"LUB",1996-04-18,23.125,23.375,23.125,23.25,27400,8.22928
"LUB",1996-04-19,23.375,23.375,22.875,23.125,61500,8.185037
"LUB",1996-04-22,23.125,23.25,23,23.125,95500,8.185037
"LUB",1996-04-23,23.25,23.5,23,23.5,90700,8.317765
"LUB",1996-04-24,23.5,23.5,23.25,23.375,57000,8.273523
"LUB",1996-04-25,23.25,23.625,23,23.625,36800,8.362009
"LUB",1996-04-26,23.625,23.625,23.25,23.25,11400,8.22928
"LUB",1996-04-29,23.25,23.5,23.25,23.5,15100,8.317765
"LUB",1996-04-30,23.625,24.125,23.5,24,106000,8.49474
"LUB",1996-05-01,23.875,24.125,23.75,24,62300,8.49474
"LUB",1996-05-02,24,24,23.5,23.625,48700,8.362009
"LUB",1996-05-03,23.75,24.25,23.625,24,91900,8.49474
"LUB",1996-05-06,24.25,24.375,24.125,24.125,13700,8.538983
"LUB",1996-05-07,24.25,24.375,23.875,24,41700,8.49474
"LUB",1996-05-08,24,24.125,23.75,24.125,49200,8.538983
"LUB",1996-05-09,24,24.5,24,24.25,49200,8.583228
"LUB",1996-05-10,24.375,24.625,24.125,24.625,44200,8.715957
"LUB",1996-05-13,24.5,24.75,24.5,24.625,20400,8.715957
"LUB",1996-05-14,24.625,24.625,24.125,24.5,63100,8.671713
"LUB",1996-05-15,24.25,24.5,24.125,24.375,23600,8.627469
"LUB",1996-05-16,24.25,24.375,24.125,24.25,22100,8.583228
"LUB",1996-05-17,24.375,25,24.25,24.75,94300,8.760201
"LUB",1996-05-20,24.875,25.125,24.875,25,30100,8.848689
"LUB",1996-05-21,25,25,24.75,25,36000,8.848689
"LUB",1996-05-22,24.875,25.125,24.75,25.125,26300,8.892931
"LUB",1996-05-23,25.25,25.25,25.125,25.125,24700,8.892931
"LUB",1996-05-24,25.25,25.25,25,25,17800,8.848689
"LUB",1996-05-28,25.125,25.25,24.625,24.75,40600,8.760201
"LUB",1996-05-29,24.625,24.875,24.375,24.625,37100,8.715957
"LUB",1996-05-30,24.5,24.875,24.25,24.75,28600,8.760201
"LUB",1996-05-31,24.75,24.875,24.5,24.625,20600,8.715957
"LUB",1996-06-03,24.5,24.5,24.375,24.375,40900,8.627469
"LUB",1996-06-04,24.5,24.875,24.5,24.75,58100,8.760201
"LUB",1996-06-05,24.875,25,24.75,24.875,37700,8.804443
"LUB",1996-06-06,24.875,25,24.75,24.875,35800,8.804443
"LUB",1996-06-07,24.75,25,24.5,24.75,24700,8.760201
"LUB",1996-06-10,24.875,25,24.75,25,16600,8.848689
"LUB",1996-06-11,25,25.25,24.75,25.25,31400,8.937178
"LUB",1996-06-12,25.125,25.125,24.875,25.125,30600,8.95678
"LUB",1996-06-13,25,25.25,24.875,24.875,20300,8.867659
"LUB",1996-06-14,24.875,25,24.625,24.75,8400,8.823096
"LUB",1996-06-17,24.625,24.875,24.625,24.625,7700,8.778538
"LUB",1996-06-18,24.75,24.875,24.5,24.875,70900,8.867659
"LUB",1996-06-19,24.875,24.875,24.375,24.75,42800,8.823096
"LUB",1996-06-20,24.875,25,24.25,24.25,35700,8.644855
"LUB",1996-06-21,24.375,24.5,24.25,24.375,41100,8.689416
"LUB",1996-06-24,24.5,24.5,24.25,24.25,85500,8.644855
"LUB",1996-06-25,24.375,24.375,24,24,48600,8.555733
"LUB",1996-06-26,24,24,23.625,23.75,28900,8.46661
"LUB",1996-06-27,23.625,23.75,23.5,23.5,34800,8.377489
"LUB",1996-06-28,23.625,23.625,23.5,23.5,27400,8.377489
"LUB",1996-07-01,23.625,23.625,23.375,23.5,26300,8.377489
"LUB",1996-07-02,23.625,23.625,23.5,23.625,17400,8.422048
"LUB",1996-07-03,23.625,23.75,23.5,23.625,7300,8.422048
"LUB",1996-07-05,23.5,23.625,23.5,23.5,16900,8.377489
"LUB",1996-07-08,23.375,23.625,23.125,23.5,36400,8.377489
"LUB",1996-07-09,23.375,23.625,23,23,10900,8.199242
"LUB",1996-07-10,23,23.125,22.75,23,54000,8.199242
"LUB",1996-07-11,23,23.25,23,23.25,28000,8.288364
"LUB",1996-07-12,23.125,23.375,22.875,23,23300,8.199242
"LUB",1996-07-15,22.875,23,22.5,23,49000,8.199242
"LUB",1996-07-16,23,24,23,23.75,81400,8.46661
"LUB",1996-07-17,23.75,23.75,23.125,23.5,68000,8.377489
"LUB",1996-07-18,23.5,23.75,23.5,23.625,31500,8.422048
"LUB",1996-07-19,23.5,23.75,23.5,23.75,26200,8.46661
"LUB",1996-07-22,23.625,23.75,23.5,23.625,94700,8.422048
"LUB",1996-07-23,23.75,25,23.75,24.5,94700,8.733977
"LUB",1996-07-24,24.375,24.5,24.25,24.375,47900,8.689416
"LUB",1996-07-25,24.375,24.5,24,24,34100,8.555733
"LUB",1996-07-26,24.375,24.75,24.375,24.5,67800,8.733977
"LUB",1996-07-29,24.375,24.5,24.125,24.125,25300,8.600294
"LUB",1996-07-30,24.125,24.125,23.75,24,97600,8.555733
"LUB",1996-07-31,24,24.5,24,24.25,81900,8.644855
"LUB",1996-08-01,24,24.625,24,24.5,51500,8.733977
"LUB",1996-08-02,24.625,25,24.25,24.375,97500,8.689416
"LUB",1996-08-05,24.375,24.625,24.125,24.5,62100,8.733977
"LUB",1996-08-06,24.375,24.625,24.375,24.5,24800,8.733977
"LUB",1996-08-07,24.5,24.5,24,24.25,57100,8.644855
"LUB",1996-08-08,24.375,24.375,24.25,24.375,28900,8.689416
"LUB",1996-08-09,24.375,24.375,24.25,24.375,7600,8.689416
"LUB",1996-08-12,24.375,24.5,24.25,24.375,12200,8.689416
"LUB",1996-08-13,24.375,24.5,23.875,24,27400,8.555733
"LUB",1996-08-14,23.875,24.25,23.875,24.25,23400,8.644855
"LUB",1996-08-15,24.125,24.375,24.125,24.125,8400,8.600294
"LUB",1996-08-16,24,24.375,24,24.375,70500,8.689416
"LUB",1996-08-19,24.375,24.625,24.25,24.25,48700,8.644855
"LUB",1996-08-20,24,24.375,23.75,24.125,94600,8.600294
"LUB",1996-08-21,24,24,23.625,23.625,39800,8.422048
"LUB",1996-08-22,23.75,23.875,23.625,23.625,31500,8.422048
"LUB",1996-08-23,23.75,23.75,23.375,23.625,25600,8.422048
"LUB",1996-08-26,23.625,23.625,23.375,23.375,34900,8.332925
"LUB",1996-08-27,23.375,24.125,23.375,24.125,46200,8.600294
"LUB",1996-08-28,24,24.125,23.75,23.75,32000,8.46661
"LUB",1996-08-29,23.75,23.875,23.5,23.5,60900,8.377489
"LUB",1996-08-30,23.625,23.75,23.375,23.625,43800,8.422048
"LUB",1996-09-03,23.5,23.5,23.25,23.375,65100,8.332925
"LUB",1996-09-04,23.375,23.625,23.375,23.375,33500,8.332925
"LUB",1996-09-05,23.25,23.625,23.25,23.375,23500,8.332925
"LUB",1996-09-06,23.5,23.75,23.5,23.625,29300,8.422048
"LUB",1996-09-09,23.75,24.125,23.75,24.125,31000,8.600294
"LUB",1996-09-10,24.125,24.25,24,24.125,24800,8.600294
"LUB",1996-09-11,23.75,24.375,23.75,24.375,27600,8.762054
"LUB",1996-09-12,24.125,24.375,24,24.25,27900,8.717119
"LUB",1996-09-13,24.375,24.375,24,24.125,10400,8.672188
"LUB",1996-09-16,24.25,24.375,23.75,23.875,32400,8.582318
"LUB",1996-09-17,23.875,24.25,23.75,23.875,31400,8.582318
"LUB",1996-09-18,23.75,24.125,23.75,23.875,17900,8.582318
"LUB",1996-09-19,23.875,24,23.625,23.625,71600,8.492451
"LUB",1996-09-20,23.75,24,23.625,23.875,83000,8.582318
"LUB",1996-09-23,23.875,24.125,23.75,23.875,33300,8.582318
"LUB",1996-09-24,23.75,24.125,23.75,24.125,57000,8.672188
"LUB",1996-09-25,24.25,24.375,24.125,24.125,37700,8.672188
"LUB",1996-09-26,24.125,24.375,23.875,24.125,18300,8.672188
"LUB",1996-09-27,24.125,24.25,23.875,24,11000,8.627254
"LUB",1996-09-30,24.125,24.375,24,24,24500,8.627254
"LUB",1996-10-01,24,24.125,23.875,23.875,11100,8.582318
"LUB",1996-10-02,23.875,23.875,23.5,23.5,46700,8.447519
"LUB",1996-10-03,23.625,23.625,23.5,23.5,40900,8.447519
"LUB",1996-10-04,23.5,23.75,23.125,23.625,30200,8.492451
"LUB",1996-10-07,23.75,23.875,23,23,163000,8.267784
"LUB",1996-10-08,23,23.125,23,23,135300,8.267784
"LUB",1996-10-09,23,23,22.75,23,55000,8.267784
"LUB",1996-10-10,22.875,23.125,22.75,23.125,30100,8.312716
"LUB",1996-10-11,23.125,23.25,22.875,22.875,41400,8.222851
"LUB",1996-10-14,22.875,23.25,22.875,23.25,22300,8.357653
"LUB",1996-10-15,23.25,23.375,23.25,23.25,23700,8.357653
"LUB",1996-10-16,23.125,23.25,22.875,22.875,46400,8.222851
"LUB",1996-10-17,22.875,23.25,22.875,23.125,27000,8.312716
