"symbol","date","open","high","low","close","volume","adjusted"
"MAC",2013-05-09,69.800003,70.290001,69.5,69.660004,2207100,41.730846
"MAC",2013-05-10,69.849998,70.470001,69.769997,70.239998,771800,42.078308
"MAC",2013-05-13,70.150002,70.400002,69.769997,70.339996,793700,42.138218
"MAC",2013-05-14,70.459999,70.720001,70.040001,70.339996,1032700,42.138218
"MAC",2013-05-15,70.040001,70.699997,69.709999,70.699997,963000,42.353867
"MAC",2013-05-16,70.459999,70.919998,69.779999,70.050003,593700,41.964489
"MAC",2013-05-17,70.059998,70.599998,69.919998,70.410004,752100,42.180149
"MAC",2013-05-20,70.410004,70.989998,70.400002,70.839996,1088400,42.437748
"MAC",2013-05-21,70.970001,71.120003,70.449997,70.650002,1394300,42.323925
"MAC",2013-05-22,70.650002,71.440002,68.209999,68.629997,1286700,41.113808
"MAC",2013-05-23,68.040001,68.050003,66.900002,67.089996,742800,40.19125
"MAC",2013-05-24,66.760002,67,65.830002,66.860001,760100,40.053467
"MAC",2013-05-28,67.650002,67.739998,66.080002,66.43,1013000,39.795872
"MAC",2013-05-29,65.830002,66.199997,64.360001,65.849998,1203300,39.448414
"MAC",2013-05-30,66.07,66.809998,65.57,65.860001,926200,39.454395
"MAC",2013-05-31,65.470001,66.279999,64.900002,64.910004,1604200,38.885292
"MAC",2013-06-03,64.580002,64.790001,63.669998,63.939999,1088600,38.304195
"MAC",2013-06-04,64.059998,64.32,62.68,62.689999,1634900,37.555374
"MAC",2013-06-05,62.540001,62.98,61.349998,61.610001,1378200,36.908379
"MAC",2013-06-06,61.580002,62.82,61.419998,62.82,2110100,37.633247
"MAC",2013-06-07,63.18,63.34,62.25,62.75,1393100,37.591316
"MAC",2013-06-10,63.209999,63.209999,62.43,62.689999,1089700,37.555374
"MAC",2013-06-11,62.189999,62.459999,61.450001,61.580002,670000,36.890411
"MAC",2013-06-12,61.830002,62.099998,60.650002,60.759998,489800,36.39917
"MAC",2013-06-13,61.139999,62.93,60.849998,62.799999,1020300,37.621265
"MAC",2013-06-14,62.630001,63.290001,61.950001,62.25,1177400,37.291782
"MAC",2013-06-17,62.439999,62.75,62.110001,62.400002,876800,37.381638
"MAC",2013-06-18,62.490002,63.09,61.869999,62.700001,613000,37.561359
"MAC",2013-06-19,62.700001,62.849998,60.580002,60.790001,553200,36.417149
"MAC",2013-06-20,60.189999,60.279999,57.73,57.98,1026200,34.733776
"MAC",2013-06-21,58.43,58.950001,57.380001,58.450001,1329000,35.015339
"MAC",2013-06-24,57.900002,59.169998,56.68,57.84,812900,34.649902
"MAC",2013-06-25,58.459999,59.66,58.16,59.380001,1039200,35.572468
"MAC",2013-06-26,59.869999,60.75,59.830002,60.52,1491300,36.255402
"MAC",2013-06-27,60.720001,61.369999,60.630001,61.009998,758600,36.548939
"MAC",2013-06-28,60.790001,61.34,60.240002,60.970001,1030300,36.524979
"MAC",2013-07-01,61.34,61.57,60.43,60.540001,574800,36.26738
"MAC",2013-07-02,60.540001,61.73,60.540001,61.720001,1141100,36.974277
