"symbol","date","open","high","low","close","volume","adjusted"
"MEDI",2006-09-14,3.82,4.01,3.85,4.01,223700,4.01
"MEDI",2006-09-15,NA,NA,NA,NA,NA,NA
"MEDI",2006-09-18,NA,NA,NA,NA,NA,NA
"MEDI",2006-09-19,4.42,4.64,4.2,4.5,460800,4.5
"MEDI",2006-09-20,4.5,4.65,4.36,4.53,174400,4.53
"MEDI",2006-09-21,4.53,4.75,4.33,4.7,362300,4.7
"MEDI",2006-09-22,NA,NA,NA,NA,NA,NA
"MEDI",2006-09-25,4.81,4.7,4.57,4.57,67600,4.57
"MEDI",2006-09-26,4.57,4.4,4.35,4.35,13400,4.35
"MEDI",2006-09-27,4.35,4.44,4.14,4.24,94200,4.24
"MEDI",2006-09-28,4.24,4.22,4.03,4.08,53600,4.08
"MEDI",2006-09-29,NA,NA,NA,NA,NA,NA
"MEDI",2006-10-02,3.88,3.9,3.69,3.69,90300,3.69
"MEDI",2006-10-03,3.69,3.7,3.51,3.7,18800,3.7
"MEDI",2006-10-04,3.7,3.74,3.56,3.74,19000,3.74
"MEDI",2006-10-05,3.74,3.9,3.56,3.71,30300,3.71
"MEDI",2006-10-06,NA,NA,NA,NA,NA,NA
"MEDI",2006-10-09,NA,NA,NA,NA,NA,NA
"MEDI",2006-10-10,3.75,3.8,3.62,3.74,18400,3.74
"MEDI",2006-10-11,3.74,3.76,3.65,3.71,16900,3.71
"MEDI",2006-10-12,3.71,3.7,3.54,3.64,186900,3.64
"MEDI",2006-10-13,NA,NA,NA,NA,NA,NA
"MEDI",2006-10-16,NA,NA,NA,NA,NA,NA
"MEDI",2006-10-17,3.29,3.45,3.17,3.45,33600,3.45
"MEDI",2006-10-18,3.45,3.62,3.32,3.62,127900,3.62
"MEDI",2006-10-19,3.62,3.8,3.57,3.79,42200,3.79
"MEDI",2006-10-20,NA,NA,NA,NA,NA,NA
"MEDI",2006-10-23,NA,NA,NA,NA,NA,NA
"MEDI",2006-10-24,NA,NA,NA,NA,NA,NA
"MEDI",2006-10-25,NA,NA,NA,NA,NA,NA
"MEDI",2006-10-26,NA,NA,NA,NA,NA,NA
"MEDI",2006-10-27,NA,NA,NA,NA,NA,NA
"MEDI",2006-10-30,NA,NA,NA,NA,NA,NA
"MEDI",2006-10-31,3.36,3.41,3.22,3.31,194400,3.31
"MEDI",2006-11-01,3.31,3.34,3.15,3.15,59200,3.15
"MEDI",2006-11-02,3.15,3.3,3,3.3,32500,3.3
"MEDI",2006-11-03,NA,NA,NA,NA,NA,NA
"MEDI",2006-11-06,NA,NA,NA,NA,NA,NA
"MEDI",2006-11-07,3.58,3.62,3.41,3.41,56500,3.41
"MEDI",2006-11-08,3.41,3.45,3.27,3.45,15700,3.45
