"symbol","date","open","high","low","close","volume","adjusted"
"MOLX",1999-12-01,40.799999,41.299999,40,40.349998,4919750,40.349998
"MOLX",1999-12-02,40.349998,40.900002,40,40.700001,1525000,40.700001
"MOLX",1999-12-03,40.700001,41.5,40.650002,40.849998,1901000,40.849998
"MOLX",1999-12-06,40.799999,41.5,40.474998,40.799999,1467625,40.799999
"MOLX",1999-12-07,40.799999,42.049999,40.400002,41.900002,1679125,41.900002
"MOLX",1999-12-08,41.700001,42.25,40.400002,41,1166500,41
"MOLX",1999-12-09,40.900002,41.349998,40.349998,41.200001,911875,41.200001
"MOLX",1999-12-10,41.700001,42.900002,41.150002,42.900002,472125,42.900002
"MOLX",1999-12-13,42.450001,42.5,41.599998,42.349998,532250,42.349998
"MOLX",1999-12-14,42.5,43,42,42.099998,683625,42.099998
"MOLX",1999-12-15,42.099998,42.099998,40.200001,41.400002,815125,41.400002
"MOLX",1999-12-16,41.450001,41.900002,40.150002,41.900002,728000,41.900002
"MOLX",1999-12-17,42.75,43.299999,42.299999,42.5,1309125,42.5
"MOLX",1999-12-20,42.950001,43,42.450001,42.650002,1046625,42.650002
"MOLX",1999-12-21,42.419998,44.700001,42,44.599998,616000,44.599998
"MOLX",1999-12-22,44.650002,44.799999,43.549999,43.650002,679750,43.650002
"MOLX",1999-12-23,43.650002,44.299999,43.650002,44.200001,484125,44.200001
"MOLX",1999-12-27,44.400002,45.400002,44.400002,45.299999,837125,45.299999
"MOLX",1999-12-28,45.25,45.299999,43.950001,45.150002,243125,45.150002
"MOLX",1999-12-29,44.849998,45.549999,44.799999,45.549999,205500,45.549999
"MOLX",1999-12-30,45.400002,45.599998,45.150002,45.5,657250,45.5
"MOLX",1999-12-31,45.599998,45.599998,45.049999,45.349998,406000,45.349998
"MOLX",2000-01-03,45,45.099998,42.200001,43.150002,972500,43.150002
"MOLX",2000-01-04,42.5,43.099998,40.5,40.75,813000,40.75
"MOLX",2000-01-05,40.700001,40.700001,39.099998,40.049999,1049500,40.049999
"MOLX",2000-01-06,39.849998,40.25,38.700001,39.400002,624000,39.400002
"MOLX",2000-01-07,39.299999,40.200001,38.700001,40.099998,686625,40.099998
"MOLX",2000-01-10,40.400002,40.950001,40,40.799999,813500,40.799999
"MOLX",2000-01-11,40.5,40.700001,38.799999,38.799999,460250,38.799999
"MOLX",2000-01-12,38.75,39.200001,37.299999,39.099998,633500,39.099998
"MOLX",2000-01-13,39.25,40,38.900002,39.75,643000,39.75
"MOLX",2000-01-14,40.150002,42.200001,39.900002,41.549999,634250,41.549999
"MOLX",2000-01-18,41.450001,44.049999,41.400002,43.549999,786875,43.549999
"MOLX",2000-01-19,43.700001,44.099998,42.849998,43.75,368375,43.75
"MOLX",2000-01-20,43.75,45.299999,43.400002,44.625,422000,44.625
"MOLX",2000-01-21,45.700001,46.049999,44.775002,45.25,634250,45.25
"MOLX",2000-01-24,45,45.5,43.200001,43.549999,644250,43.549999
