"symbol","date","open","high","low","close","volume","adjusted"
"MPC",2011-07-01,20.6,23.715,20.5,21.1,8334200,15.047831
"MPC",2011-07-05,21.105,21.5,20.825001,21.105,11823000,15.051393
"MPC",2011-07-06,20.799999,21.125,20.504999,20.945,10983000,14.937287
"MPC",2011-07-07,21.094999,21.629999,20.855,20.889999,16707600,14.898066
"MPC",2011-07-08,20.4,21.299999,20.26,20.705,16417000,14.766123
"MPC",2011-07-11,20.395,20.395,19.754999,20.049999,9495200,14.299
"MPC",2011-07-12,19.93,20.495001,19.719999,20.24,8011200,14.434505
"MPC",2011-07-13,20.26,20.620001,19.620001,19.98,11642800,14.249081
"MPC",2011-07-14,19.985001,20.01,19.105,19.32,11528400,13.778389
"MPC",2011-07-15,19.5,19.735001,19.049999,19.58,9938400,13.963814
"MPC",2011-07-18,19.365,19.795,18.875,19.559999,8311600,13.94955
"MPC",2011-07-19,19.629999,19.969999,19.565001,19.870001,6423000,14.170627
"MPC",2011-07-20,19.895,19.969999,19.700001,19.764999,5449000,14.095745
"MPC",2011-07-21,19.764999,20.120001,19.555,20.049999,7249200,14.299
"MPC",2011-07-22,20.139999,20.41,19.955,20.285,6645600,14.466601
"MPC",2011-07-25,20.625,21.059999,20.325001,20.684999,8898600,14.751863
"MPC",2011-07-26,20.695,21.860001,20.635,21.525,11324200,15.350926
"MPC",2011-07-27,21.51,21.65,20.985001,21.030001,6998400,14.997909
"MPC",2011-07-28,21.215,21.469999,21.094999,21.389999,6654600,15.254647
"MPC",2011-07-29,21.174999,22.305,20.985001,21.895,10709600,15.614799
"MPC",2011-08-01,22.52,22.690001,21.995001,22.485001,11518400,16.035564
"MPC",2011-08-02,22.264999,22.450001,21.125,21.165001,10995600,15.094185
"MPC",2011-08-03,21.639999,22.700001,19.51,20.715,13413800,14.773259
"MPC",2011-08-04,20.355,20.355,18.615,19.209999,15377800,13.699945
"MPC",2011-08-05,19.455,19.610001,16.719999,18.655001,12348600,13.304135
"MPC",2011-08-08,17.620001,18,14.74,16.165001,16543000,11.528346
"MPC",2011-08-09,16.535,18.205,16.209999,18.049999,12054200,12.87267
"MPC",2011-08-10,17.775,18.42,17.059999,17.559999,9682600,12.523218
"MPC",2011-08-11,17.950001,19.299999,17.715,18.67,8756400,13.314835
"MPC",2011-08-12,18.795,19.559999,18.450001,18.705,5906800,13.339794
"MPC",2011-08-15,18.945,19.825001,18.945,19.549999,5365400,14.017362
"MPC",2011-08-16,19.18,19.719999,19.059999,19.43,6532400,13.931316
"MPC",2011-08-17,19.815001,19.98,19.405001,19.549999,5627600,14.017362
"MPC",2011-08-18,19.055,19.254999,17.705,18.305,7501400,13.124693
"MPC",2011-08-19,17.889999,18.334999,17.32,17.495001,9878600,12.543921
"MPC",2011-08-22,17.91,18,16.174999,16.285,10774000,11.676353
"MPC",2011-08-23,16.315001,17.35,16.025,17.125,10360000,12.278629
"MPC",2011-08-24,17.200001,18.014999,16.855,17.915001,6723400,12.84506
"MPC",2011-08-25,18.094999,18.450001,16.959999,17.190001,6376000,12.325238
"MPC",2011-08-26,17.200001,18.379999,17.035,17.434999,5880400,12.500902
"MPC",2011-08-29,17.635,18.18,17.52,18,4175000,12.906008
"MPC",2011-08-30,17.945,18.190001,17.375,18.014999,4385200,12.916763
"MPC",2011-08-31,18.254999,18.725,18.254999,18.530001,5731000,13.286014
"MPC",2011-09-01,18.715,19.110001,18.455,18.504999,4515400,13.26809
"MPC",2011-09-02,17.915001,18.495001,17.559999,17.709999,3594200,12.698079
"MPC",2011-09-06,17.115,17.700001,16.645,17.5,5723400,12.547507
"MPC",2011-09-07,17.790001,18.465,17.625,18.145,5212200,13.009975
"MPC",2011-09-08,18.08,19.075001,17.785,18.865,4086600,13.526216
"MPC",2011-09-09,18.309999,18.889999,17.965,18.174999,5889000,13.031482
"MPC",2011-09-12,17.67,18.440001,17.445,18.33,3919200,13.142617
"MPC",2011-09-13,18.200001,18.315001,17.219999,17.67,7147000,12.669398
"MPC",2011-09-14,17.620001,17.655001,17.23,17.514999,7640600,12.558261
"MPC",2011-09-15,17.940001,18.48,17.615,17.709999,6081400,12.698079
"MPC",2011-09-16,17.764999,17.834999,17.43,17.549999,7195400,12.583356
"MPC",2011-09-19,17.09,17.280001,16.549999,16.775,5096200,12.027684
"MPC",2011-09-20,16.785,17.115,16.75,16.844999,3859200,12.077871
"MPC",2011-09-21,16.674999,17.23,16.17,16.200001,4013000,11.615407
"MPC",2011-09-22,15.58,15.7,14.42,14.735,11073600,10.565001
"MPC",2011-09-23,14.59,15.16,14.53,14.765,6768000,10.586511
"MPC",2011-09-26,14.95,15.18,14.75,15.05,7971000,10.790855
"MPC",2011-09-27,15.415,15.91,14.85,14.915,9412400,10.694061
"MPC",2011-09-28,14.985,15.32,14.46,14.49,8844400,10.389335
"MPC",2011-09-29,14.835,14.925,13.175,13.92,10516800,9.980645
"MPC",2011-09-30,13.685,13.965,13.415,13.53,9626800,9.701015
"MPC",2011-10-03,13.455,13.9,13.305,13.575,8648200,9.733278
"MPC",2011-10-04,13.4,14.405,13.335,14.38,10200000,10.310466
"MPC",2011-10-05,14.535,15.89,14.265,15.74,10463800,11.285586
"MPC",2011-10-06,15.76,16.674999,15.55,16.645,7978400,11.934473
"MPC",2011-10-07,16.860001,16.99,15.625,15.8,8532800,11.328605
"MPC",2011-10-10,16.139999,16.735001,16.040001,16.485001,5005200,11.819752
"MPC",2011-10-11,16.34,16.805,16.215,16.575001,6615000,11.884285
"MPC",2011-10-12,16.709999,17.065001,16.639999,16.785,7544200,12.034856
"MPC",2011-10-13,16.665001,16.945,16.415001,16.885,6341200,12.106553
"MPC",2011-10-14,17.215,18.1,17.174999,18.07,6739600,12.9562
"MPC",2011-10-17,18.02,18.24,17.424999,17.469999,4717600,12.525995
"MPC",2011-10-18,17.375,18.27,17.084999,18.094999,4533600,12.974122
"MPC",2011-10-19,18.094999,18.530001,17.725,17.799999,6033800,12.762607
"MPC",2011-10-20,17.799999,18.33,17.645,18.245001,4675400,13.081675
"MPC",2011-10-21,18.450001,18.84,18.25,18.674999,6436200,13.389982
"MPC",2011-10-24,18.775,19.235001,17.77,17.924999,6574200,12.852233
"MPC",2011-10-25,17.325001,17.325001,15.705,16.485001,18550600,11.819752
"MPC",2011-10-26,16.91,17.475,16.6,17.365,7477000,12.450713
"MPC",2011-10-27,17.635,18.860001,17.635,18.665001,7724200,13.382813
"MPC",2011-10-28,18.59,18.809999,18.129999,18.66,7260000,13.37923
"MPC",2011-10-31,18.504999,18.504999,17.709999,17.950001,6581200,12.870159
"MPC",2011-11-01,17.75,19.059999,17.145,18,13188600,12.906008
"MPC",2011-11-02,18.450001,19.215,18.375,19.165001,9171400,13.741318
"MPC",2011-11-03,19.5,19.775,19.049999,19.334999,7802600,13.8632
"MPC",2011-11-04,19.1,19.360001,18.745001,19.309999,5657600,13.845277
"MPC",2011-11-07,19.065001,19.525,19.065001,19.459999,4111000,13.952826
"MPC",2011-11-08,19.514999,19.719999,18.860001,19.055,5019200,13.662442
"MPC",2011-11-09,18.51,19.495001,18.27,18.51,6974000,13.271675
"MPC",2011-11-10,18.844999,18.945,18,18.85,6920800,13.515454
"MPC",2011-11-11,19.135,19.59,18.82,18.885,8037200,13.54055
"MPC",2011-11-14,18.815001,18.815001,17.684999,18.355,8146400,13.248232
"MPC",2011-11-15,18.254999,18.66,18.120001,18.49,5613800,13.345673
"MPC",2011-11-16,17.370001,17.530001,16.1,16.32,24769400,11.779413
"MPC",2011-11-17,16.360001,16.665001,15.62,15.81,15642000,11.411307
"MPC",2011-11-18,15.925,16.475,15.805,16.41,6335800,11.844375
"MPC",2011-11-21,16.165001,16.655001,15.65,16.42,6564600,11.851594
"MPC",2011-11-22,16.545,16.775,16.115,16.76,6095600,12.096996
"MPC",2011-11-23,16.49,16.715,16.245001,16.415001,8240200,11.847985
"MPC",2011-11-25,16.32,16.360001,16.094999,16.135,2732200,11.645888
"MPC",2011-11-28,16.809999,17.094999,16.334999,16.639999,7631000,12.010381
"MPC",2011-11-29,16.754999,16.805,16.389999,16.584999,7627400,11.970683
"MPC",2011-11-30,17.055,17.264999,16.225,16.695,12317400,12.050082
"MPC",2011-12-01,16.959999,17.165001,16.68,16.975,5997200,12.252177
"MPC",2011-12-02,17.209999,17.385,16.565001,16.655001,7471200,12.021211
"MPC",2011-12-05,17.014999,17.725,16.93,17.200001,9112200,12.414581
"MPC",2011-12-06,17.285,17.389999,17,17.32,5930600,12.501194
"MPC",2011-12-07,17.23,17.299999,16.905001,17.25,8031400,12.450669
"MPC",2011-12-08,17.165001,17.285,16.745001,17.01,9874800,12.277442
"MPC",2011-12-09,17.014999,17.455,16.9,17.440001,6378600,12.587809
"MPC",2011-12-12,17.209999,17.295,16.950001,17.295,10916400,12.483149
"MPC",2011-12-13,17.055,17.445,16.725,16.975,7383400,12.252177
"MPC",2011-12-14,16.834999,16.92,16.014999,16.34,7003800,11.79385
"MPC",2011-12-15,16.504999,16.635,16.165001,16.264999,3495800,11.73972
"MPC",2011-12-16,16.424999,16.625,15.895,15.98,8456800,11.534013
"MPC",2011-12-19,16,16.41,15.86,15.97,6274600,11.526793
"MPC",2011-12-20,16.334999,16.48,15.905,16.1,6291000,11.620625
"MPC",2011-12-21,16.025,16.424999,16,16.334999,4308800,11.790241
"MPC",2011-12-22,16.465,16.705,16.334999,16.655001,3693000,12.021211
"MPC",2011-12-23,16.66,16.790001,16.605,16.764999,1841000,12.100606
"MPC",2011-12-27,16.775,16.99,16.695,16.825001,1539800,12.143914
"MPC",2011-12-28,16.795,16.92,16.370001,16.57,3285000,11.959858
"MPC",2011-12-29,16.674999,16.68,16.43,16.639999,2127000,12.010381
"MPC",2011-12-30,16.665001,16.75,16.504999,16.645,2165600,12.013996
"MPC",2012-01-03,17.275,17.475,16.68,16.705,5043200,12.057302
"MPC",2012-01-04,16.65,16.945,16.605,16.879999,5791400,12.183609
"MPC",2012-01-05,16.530001,16.565001,15.5,15.96,12392000,11.519572
"MPC",2012-01-06,15.985,16.014999,15.565,15.83,7554600,11.425744
"MPC",2012-01-09,15.815,15.85,15.12,15.48,9679000,11.173121
"MPC",2012-01-10,15.755,15.94,15.485,15.915,6008800,11.487095
"MPC",2012-01-11,15.785,16.540001,15.535,16.445,11263400,11.869637
"MPC",2012-01-12,16.475,16.665001,16.25,16.32,5585800,11.779413
"MPC",2012-01-13,16.25,16.65,16.165001,16.514999,6199600,11.92016
"MPC",2012-01-17,16.715,16.975,16.469999,16.77,4440600,12.104215
"MPC",2012-01-18,16.719999,17.924999,16.6,17.73,7981200,12.797119
"MPC",2012-01-19,17.834999,18.045,17.540001,17.924999,6292800,12.937869
"MPC",2012-01-20,18.629999,18.889999,18.379999,18.584999,9676800,13.414237
"MPC",2012-01-23,18.584999,19.004999,18.504999,18.934999,5406600,13.666865
"MPC",2012-01-24,18.74,19.52,18.559999,19.52,7422000,14.089104
