"symbol","date","open","high","low","close","volume","adjusted"
"MUR",2005-08-15,48.229706,48.367874,47.884281,48.186527,1767340,29.720121
"MUR",2005-08-16,48.186527,48.186527,47.210709,47.409325,1951230,29.240761
"MUR",2005-08-17,47.279793,48.00518,46.234886,46.347149,2163955,28.585653
"MUR",2005-08-18,46.070812,46.580311,45.328152,45.915371,1508063,28.319351
"MUR",2005-08-19,46.373058,47.150257,46.234886,46.753021,959866,28.835978
"MUR",2005-08-22,46.865284,47.495682,46.234886,46.588947,852520,28.734785
"MUR",2005-08-23,46.675301,46.96891,45.898102,46.442142,742857,28.64423
"MUR",2005-08-24,46.658031,47.202072,46.217617,46.934368,1150126,28.947828
"MUR",2005-08-25,46.934368,46.934368,46.113991,46.398964,778987,28.617605
"MUR",2005-08-26,46.493954,46.511227,45.561314,45.587219,1115038,28.116934
"MUR",2005-08-29,46.157169,46.191711,44.378239,44.818653,3243790,27.64291
"MUR",2005-08-30,44.861832,45.924007,44.732296,45.656303,1971495,28.159555
"MUR",2005-08-31,45.708118,47.409325,45.595856,47.193436,2637577,29.107613
"MUR",2005-09-01,47.512955,48.272884,47.184799,47.711571,2122961,29.427177
"MUR",2005-09-02,47.150257,47.150257,46.260796,46.355785,1101142,28.590961
"MUR",2005-09-06,46.373058,46.761658,45.83765,46.32988,1335753,28.575001
"MUR",2005-09-07,46.286701,46.338516,45.164078,45.526772,2849954,28.079651
"MUR",2005-09-08,45.682213,45.811745,44.835922,44.991364,2080810,27.749428
"MUR",2005-09-09,45.336788,45.613125,45.155441,45.509499,1872370,28.068996
"MUR",2005-09-12,45.518135,45.518135,44.13644,44.430054,1499957,27.403236
"MUR",2005-09-13,44.481865,44.80138,43.609673,43.626942,1890203,26.907885
"MUR",2005-09-14,43.877377,44.127808,43.290154,43.488773,1428161,26.82268
"MUR",2005-09-15,43.808289,44.110535,43.324699,43.514679,1634401,26.838654
"MUR",2005-09-16,43.333332,43.341969,42.07254,42.487045,4086466,26.204828
"MUR",2005-09-19,43.091537,49.283249,43.091537,43.428326,3148370,26.785402
"MUR",2005-09-20,43.436958,43.462868,42.331608,43.091537,2230540,26.577665
"MUR",2005-09-21,43.609673,44.032814,43.436958,43.972366,2164997,27.120941
"MUR",2005-09-22,44.214161,44.455959,42.36615,43.341969,1967789,26.732136
"MUR",2005-09-23,43.264248,43.350605,42.176167,42.262524,1176528,26.066366
"MUR",2005-09-26,42.227978,43.056995,42.012089,42.65976,1274611,26.311363
"MUR",2005-09-27,42.530224,42.582039,42.012089,42.400692,1053201,26.151569
"MUR",2005-09-28,42.487045,43.644215,42.227978,43.609673,1707587,26.89723
"MUR",2005-09-29,43.782383,43.920551,42.996548,43.739204,1377673,26.977144
"MUR",2005-09-30,43.436958,43.782383,43.065632,43.065632,920031,26.561687
"MUR",2005-10-03,43.177895,43.609673,42.176167,42.400692,1430014,26.151569
"MUR",2005-10-04,41.554405,41.658031,40.29361,40.397236,2123656,24.915903
"MUR",2005-10-05,40.449051,40.587219,38.96373,39.179619,2182367,24.164907
"MUR",2005-10-06,38.747841,38.860104,37.392056,37.987911,2302683,23.429892
"MUR",2005-10-07,38.5924,39.024181,38.100174,38.937824,1509800,24.015778
"MUR",2005-10-10,38.842831,39.110535,37.806564,38.229706,1337837,23.579029
"MUR",2005-10-11,38.566494,39.620033,38.523315,39.507771,1969526,24.367304
"MUR",2005-10-12,39.430054,39.550949,38.013817,38.272884,1455374,23.605665
"MUR",2005-10-13,38.143353,38.151985,36.321243,37.012089,2023373,22.828032
"MUR",2005-10-14,37.012089,38.29879,36.468048,38.29879,2365794,23.621641
"MUR",2005-10-17,38.860104,39.067356,38.255611,38.69603,1985391,23.86665
"MUR",2005-10-18,38.341969,38.488773,37.202072,37.530224,2335686,23.147606
"MUR",2005-10-19,37.92746,37.92746,35.846287,37.262524,2842774,22.982502
"MUR",2005-10-20,37.348877,37.564766,35.811745,36.338516,3640868,22.412598
"MUR",2005-10-21,36.338516,37.262524,35.854923,36.658031,2191978,22.609669
"MUR",2005-10-24,36.666668,38.583763,36.658031,38.2038,2415704,23.563049
"MUR",2005-10-25,39.032814,39.430054,38.212437,39.274612,2274659,24.223499
"MUR",2005-10-26,39.72366,41.30397,39.205528,40.37133,3762226,24.899927
"MUR",2005-10-27,40.803108,40.993092,39.378239,39.576859,2139173,24.409912
"MUR",2005-10-28,39.766838,39.939552,38.350605,39.732296,1849673,24.505787
"MUR",2005-10-31,39.930916,40.699482,39.930916,40.457687,1729473,24.953188
"MUR",2005-11-01,40.457687,41.4076,40.077721,41.070812,1776604,25.331347
"MUR",2005-11-02,41.096718,42.012089,41.018997,41.735752,1477261,25.741459
"MUR",2005-11-03,42.271156,42.875648,41.675301,42.374783,2100380,26.135592
"MUR",2005-11-04,42.383419,42.383419,40.967186,41.32988,1635212,25.491137
"MUR",2005-11-07,41.32988,41.32988,40.008636,40.362694,1912205,24.894604
"MUR",2005-11-08,40.17271,40.811745,39.810017,40.250431,937980,24.885529
"MUR",2005-11-09,40.164078,41.347149,39.507771,40.250431,1499610,24.885529
"MUR",2005-11-10,39.991364,40,38.782383,39.386875,2089379,24.35161
"MUR",2005-11-11,39.473228,39.896374,38.937824,39.715027,1377209,24.554504
"MUR",2005-11-14,40.146805,40.431778,39.654575,40.155441,1105658,24.826796
"MUR",2005-11-15,39.896374,40.941277,39.853195,40.284973,1813196,24.906878
"MUR",2005-11-16,41.105354,42.029362,40.630398,41.666668,2317158,25.761135
"MUR",2005-11-17,42.141624,42.279793,41.191711,41.554405,1197140,25.691723
"MUR",2005-11-18,41.986183,41.986183,40.83765,41.468048,1151747,25.638342
"MUR",2005-11-21,41.554405,42.305698,41.450775,42.253887,1300897,26.124187
"MUR",2005-11-22,42.616581,43.488773,42.331608,43.445595,1417971,26.860985
"MUR",2005-11-23,43.445595,43.825562,42.849743,43.69603,1886035,27.01582
"MUR",2005-11-25,43.851467,43.981003,43.316063,43.436958,603550,26.855646
"MUR",2005-11-28,43.091537,43.151985,42.098446,42.607944,1491967,26.343103
"MUR",2005-11-29,43.12608,43.350605,42.176167,42.46114,1153947,26.252327
"MUR",2005-11-30,42.530224,43.238342,42.521587,42.711571,1826629,26.407156
"MUR",2005-12-01,43.436958,44.248707,43.255611,44.110535,1285959,27.272099
"MUR",2005-12-02,44.119171,44.179619,43.272884,43.808289,989627,27.085226
"MUR",2005-12-05,44.291882,44.550949,43.808289,44.265976,1607420,27.368196
"MUR",2005-12-06,44.473228,44.965458,44.386875,44.913643,1766529,27.768631
"MUR",2005-12-07,45.120899,46.03627,45.120899,45.820381,2609437,28.329231
"MUR",2005-12-08,45.86356,46.053539,45.457687,45.846287,1365282,28.345247
"MUR",2005-12-09,45.742661,45.958549,45.336788,45.889465,1097784,28.371952
"MUR",2005-12-12,46.848015,47.711571,46.588947,47.694302,2326885,29.487816
"MUR",2005-12-13,47.910191,48.436958,47.754749,47.962002,1505400,29.653336
"MUR",2005-12-14,47.962002,48.255611,47.297066,48.177895,1013713,29.786821
"MUR",2005-12-15,48.177895,48.272884,46.882557,47.219345,1482703,29.194178
"MUR",2005-12-16,47.322971,47.348877,46.450775,46.50259,1331237,28.75103
"MUR",2005-12-19,46.50259,46.744389,45.785839,45.967186,1382420,28.420008
"MUR",2005-12-20,46.286701,46.640759,45.768566,46.355785,737299,28.660248
"MUR",2005-12-21,46.4076,46.632126,45.906734,46.070812,967856,28.484077
"MUR",2005-12-22,46.32988,46.692574,45.854923,46.174438,1037221,28.548147
"MUR",2005-12-23,46.044907,46.666668,45.578583,46.493954,627983,28.745682
"MUR",2005-12-27,46.50259,46.50259,45.336788,45.984455,1812502,28.430683
"MUR",2005-12-28,46.200344,46.977547,46.113991,46.692574,668861,28.868504
"MUR",2005-12-29,46.528496,47.098446,46.208981,46.32988,658207,28.644245
"MUR",2005-12-30,46.243523,46.934368,45.880829,46.623489,700243,28.825769
"MUR",2006-01-03,46.934368,48.221069,46.891193,48.134716,1207794,29.760113
"MUR",2006-01-04,47.841106,47.841106,46.735752,47.469776,1587039,29.349003
"MUR",2006-01-05,47.253887,47.36615,46.476685,46.830742,1623632,28.953913
"MUR",2006-01-06,47.322971,48.013817,47.297066,47.530224,819748,29.386374
"MUR",2006-01-09,47.530224,47.823833,47.521587,47.547497,956624,29.397047
"MUR",2006-01-10,47.547497,48.791019,47.495682,48.462868,1099174,29.962996
"MUR",2006-01-11,48.462868,49.283249,47.720207,49.179619,1156379,30.406155
"MUR",2006-01-12,47.92746,49.766838,47.92746,48.756477,3287446,30.144529
"MUR",2006-01-13,48.618305,49.72366,48.57513,49.72366,1601398,30.742514
"MUR",2006-01-17,50.474957,51.208981,48.955093,51.079449,2915033,31.580748
"MUR",2006-01-18,50.889465,50.898102,49.464596,50.051811,1629885,30.945398
"MUR",2006-01-19,50.051811,51.018997,49.766838,50.932644,1245197,31.489979
"MUR",2006-01-20,51.208981,51.96891,50.17271,50.500862,1533539,31.223024
"MUR",2006-01-23,51.226254,51.286701,49.715027,50.181347,1467418,31.025476
"MUR",2006-01-24,49.749569,49.784111,48.471504,48.566494,2649967,30.027069
"MUR",2006-01-25,48.937824,49.179619,46.891193,47.331608,2534051,29.263582
"MUR",2006-01-26,47.504318,47.815201,46.804836,47.547497,1617842,29.397047
"MUR",2006-01-27,47.979275,48.791019,47.936096,48.531952,1332511,30.005718
"MUR",2006-01-30,48.791019,50.233162,48.739204,49.784111,1523812,30.779884
"MUR",2006-01-31,49.568222,49.775475,49.214161,49.222797,1111680,30.432838
"MUR",2006-02-01,49.231434,50.431778,48.834198,49.170982,1580670,30.40081
"MUR",2006-02-02,47.012089,48.039722,45.578583,46.761658,5467729,28.911207
"MUR",2006-02-03,46.632126,47.055267,45.975819,46.096718,3709769,28.500082
"MUR",2006-02-06,46.709846,47.012089,45.509499,45.509499,3250853,28.137032
"MUR",2006-02-07,45.518135,45.518135,43.108807,43.134716,3038939,26.668793
"MUR",2006-02-08,43.264248,43.471504,41.537132,42.07254,3419574,26.012074
"MUR",2006-02-09,42.271156,42.400692,41.070812,41.13126,2199158,25.489225
"MUR",2006-02-10,41.139896,41.364422,38.911919,39.90501,4749421,24.729313
"MUR",2006-02-13,40.19862,40.811745,39.775475,40.207253,2218612,24.916607
"MUR",2006-02-14,40.069084,40.077721,39.006908,39.715027,2551537,24.611582
"MUR",2006-02-15,39.982731,40.509499,39.309155,39.715027,3246453,24.611582
"MUR",2006-02-16,39.956821,40.906734,39.956821,40.708118,1578122,25.227015
"MUR",2006-02-17,41.191711,41.4076,40.673576,41.13126,1415887,25.489225
"MUR",2006-02-21,42.400692,42.443871,41.30397,41.381695,1959452,25.644423
"MUR",2006-02-22,41.364422,41.373058,40.060448,40.716751,1843420,25.232359
"MUR",2006-02-23,40.414509,41.174438,40.069084,40.647667,1329847,25.189545
"MUR",2006-02-24,41.278065,41.649395,41.183075,41.312607,1206057,25.601608
"MUR",2006-02-27,41.278065,41.347149,40.535404,40.544041,1115733,25.125319
"MUR",2006-02-28,40.414509,40.75993,39.913643,40.474957,1597229,25.082512
"MUR",2006-03-01,40.673576,41.148533,40.259068,41.096718,820443,25.467821
"MUR",2006-03-02,41.183075,41.640759,40.725388,41.079449,1337953,25.457125
"MUR",2006-03-03,40.993092,41.30397,40.777203,40.86356,1021819,25.323336
