"symbol","date","open","high","low","close","volume","adjusted"
"NDAQ",2008-10-22,32.18,32.73,29.65,30.709999,6742800,25.909857
"NDAQ",2008-10-23,29.98,31.5,28.41,30.110001,6053700,25.403645
"NDAQ",2008-10-24,27.34,30.25,26.870001,28.49,4211100,24.036856
"NDAQ",2008-10-27,27.51,28.99,26.549999,26.58,4202400,22.4254
"NDAQ",2008-10-28,27.48,29.42,25.450001,29.32,4061500,24.737125
"NDAQ",2008-10-29,29.309999,31.73,28.790001,30.559999,4772600,25.783306
"NDAQ",2008-10-30,31.84,32.200001,30.540001,31.309999,2131600,26.416077
"NDAQ",2008-10-31,30.99,32.759998,30.370001,32.459999,2248500,27.386326
"NDAQ",2008-11-03,32.48,32.639999,30.85,31.370001,1933300,26.466698
"NDAQ",2008-11-04,32.18,33.470001,31.889999,33.290001,3102400,28.086597
"NDAQ",2008-11-05,32.84,33.939999,32.330002,32.41,3667400,27.344135
"NDAQ",2008-11-06,31.940001,32,28.299999,28.559999,3289400,24.095915
"NDAQ",2008-11-07,28.360001,29.200001,26.34,27.34,3150000,23.066616
"NDAQ",2008-11-10,27.879999,28.15,25.610001,26.16,2618600,22.071045
"NDAQ",2008-11-11,26.200001,27.25,24.709999,26.309999,2972200,22.197607
"NDAQ",2008-11-12,25.790001,26.309999,23.41,23.549999,4038600,19.869001
"NDAQ",2008-11-13,23.780001,24.23,19.969999,24.23,8072700,20.442717
"NDAQ",2008-11-14,23.700001,24.540001,21.809999,21.9,4886200,18.476908
"NDAQ",2008-11-17,21.190001,21.93,20.52,20.530001,3737600,17.321054
"NDAQ",2008-11-18,20.32,21.25,19.01,19.65,5431200,16.578604
"NDAQ",2008-11-19,19.219999,19.299999,17.030001,17.040001,6353900,14.376555
"NDAQ",2008-11-20,16.91,18,15.65,15.76,7825400,13.296626
"NDAQ",2008-11-21,16.25,16.92,14.96,16.84,7189900,14.207815
"NDAQ",2008-11-24,16.93,19.1,16.57,18.870001,6188400,15.920516
"NDAQ",2008-11-25,18.610001,19.709999,18.209999,19.120001,6563700,16.131439
"NDAQ",2008-11-26,18.75,21.76,18.33,21.559999,4082200,18.190048
