"symbol","date","open","high","low","close","volume","adjusted"
"NEE",1996-01-02,5.765625,5.796875,5.703125,5.734375,4611200,2.375269
"NEE",1996-01-03,5.71875,5.71875,5.65625,5.6875,3804000,2.355853
"NEE",1996-01-04,5.71875,5.734375,5.640625,5.671875,4264800,2.349381
"NEE",1996-01-05,5.640625,5.703125,5.625,5.703125,4418400,2.362325
"NEE",1996-01-08,5.6875,5.6875,5.65625,5.671875,389600,2.349381
"NEE",1996-01-09,5.671875,5.734375,5.625,5.71875,2684800,2.368798
"NEE",1996-01-10,5.703125,5.75,5.671875,5.6875,2672800,2.355853
"NEE",1996-01-11,5.703125,5.75,5.625,5.734375,5572800,2.375269
"NEE",1996-01-12,5.734375,5.765625,5.640625,5.671875,2497600,2.349381
"NEE",1996-01-15,5.671875,5.734375,5.671875,5.71875,1297600,2.368798
"NEE",1996-01-16,5.75,5.828125,5.734375,5.828125,4030400,2.414103
"NEE",1996-01-17,5.859375,5.875,5.84375,5.859375,3528000,2.427047
"NEE",1996-01-18,5.84375,5.84375,5.78125,5.8125,2180800,2.40763
"NEE",1996-01-19,5.796875,5.84375,5.71875,5.71875,3361600,2.368798
"NEE",1996-01-22,5.75,5.75,5.71875,5.734375,1720000,2.375269
"NEE",1996-01-23,5.734375,5.796875,5.6875,5.78125,2592000,2.394686
"NEE",1996-01-24,5.765625,5.859375,5.765625,5.859375,3903200,2.427047
"NEE",1996-01-25,5.828125,5.84375,5.796875,5.796875,2785600,2.401158
"NEE",1996-01-26,5.78125,5.796875,5.734375,5.78125,1372000,2.394686
"NEE",1996-01-29,5.765625,5.8125,5.765625,5.796875,2444000,2.401158
"NEE",1996-01-30,5.796875,5.8125,5.71875,5.75,1813600,2.381743
"NEE",1996-01-31,5.734375,5.796875,5.734375,5.796875,1352000,2.401158
"NEE",1996-02-01,5.78125,5.8125,5.75,5.78125,1656000,2.394686
"NEE",1996-02-02,5.75,5.765625,5.671875,5.71875,4279200,2.368798
"NEE",1996-02-05,5.703125,5.796875,5.703125,5.796875,1552000,2.401158
"NEE",1996-02-06,5.765625,5.859375,5.75,5.84375,2494400,2.420575
"NEE",1996-02-07,5.875,5.9375,5.875,5.921875,2934400,2.452936
"NEE",1996-02-08,5.921875,5.9375,5.84375,5.90625,1809600,2.446464
"NEE",1996-02-09,5.90625,5.953125,5.890625,5.890625,2304800,2.439991
"NEE",1996-02-12,5.921875,5.96875,5.921875,5.96875,1497600,2.472352
"NEE",1996-02-13,5.953125,6.015625,5.90625,5.9375,2706400,2.459408
"NEE",1996-02-14,5.96875,5.984375,5.9375,5.953125,2890400,2.465879
"NEE",1996-02-15,5.921875,6,5.921875,5.953125,1804800,2.465879
"NEE",1996-02-16,5.953125,5.953125,5.921875,5.9375,2815200,2.459408
"NEE",1996-02-20,5.921875,5.921875,5.8125,5.828125,4818400,2.414103
"NEE",1996-02-21,5.84375,5.84375,5.796875,5.8125,3792000,2.431621
"NEE",1996-02-22,5.84375,5.859375,5.796875,5.8125,4333600,2.431621
"NEE",1996-02-23,5.828125,5.828125,5.734375,5.765625,2560000,2.412012
