"symbol","date","open","high","low","close","volume","adjusted"
"NI",2000-11-02,9.823183,9.896857,9.577603,9.724951,2839457,3.993721
"NI",2000-11-03,9.724951,9.774067,9.602161,9.602161,1866503,3.943295
"NI",2000-11-06,9.651277,9.749509,9.626719,9.700393,2653163,3.983636
"NI",2000-11-07,9.700393,9.700393,9.602161,9.675835,2070358,3.97355
"NI",2000-11-08,9.651277,9.675835,9.553045,9.577603,2342418,3.933212
"NI",2000-11-09,9.602161,9.602161,9.282908,9.430255,20740223,3.8727
"NI",2000-11-10,9.430255,9.553045,9.430255,9.528487,2845565,3.913044
"NI",2000-11-13,9.479371,9.626719,9.479371,9.602161,1980519,3.943295
"NI",2000-11-14,9.724951,9.798625,9.577603,9.749509,3595831,4.003807
"NI",2000-11-15,9.749509,9.823183,9.651277,9.749509,2740711,4.003807
"NI",2000-11-16,9.749509,9.798625,9.700393,9.774067,1721184,4.013891
"NI",2000-11-17,9.774067,9.872299,9.700393,9.724951,3178705,3.993721
"NI",2000-11-20,9.798625,10.21611,9.774067,10.142436,5257970,4.165166
"NI",2000-11-21,9.97053,9.995088,9.700393,9.872299,2859053,4.054232
"NI",2000-11-22,9.896857,9.945972,9.749509,9.823183,2757762,4.034062
"NI",2000-11-24,9.823183,9.896857,9.798625,9.798625,878534,4.023978
"NI",2000-11-27,9.823183,9.823183,9.553045,9.651277,1547106,3.963465
"NI",2000-11-28,9.651277,9.847741,9.651277,9.823183,2502499,4.034062
"NI",2000-11-29,9.823183,10.044204,9.798625,10.019646,2789320,4.114742
"NI",2000-11-30,10.019646,10.191552,9.872299,10.09332,3615682,4.144998
"NI",2000-12-01,10.019646,10.363458,10.019646,10.289784,7782865,4.225679
"NI",2000-12-04,10.21611,10.559921,10.21611,10.412574,2837675,4.276106
"NI",2000-12-05,10.437132,10.559921,10.314342,10.46169,3957221,4.296277
"NI",2000-12-06,10.46169,10.584479,10.46169,10.535363,2453889,4.326531
"NI",2000-12-07,10.559921,10.879175,10.559921,10.830059,3070543,4.447555
"NI",2000-12-08,10.879175,10.903733,10.731827,10.854617,2431493,4.457638
"NI",2000-12-11,10.854617,11.001965,10.633595,10.977407,1511476,4.508064
"NI",2000-12-12,10.952849,11.051081,10.879175,11.001965,1610476,4.518148
