"symbol","date","open","high","low","close","volume","adjusted"
"NUE",1996-01-02,14.15625,14.1875,14.0625,14.1875,740800,7.336648
"NUE",1996-01-03,14.21875,14.890625,14.15625,14.625,2962000,7.562887
"NUE",1996-01-04,14.625,14.65625,13.90625,14.09375,2254000,7.288169
"NUE",1996-01-05,14.09375,14.09375,13.6875,13.75,2446000,7.110404
"NUE",1996-01-08,13.75,13.875,13.71875,13.75,617200,7.110404
"NUE",1996-01-09,13.75,13.875,13.5,13.722656,792800,7.096266
"NUE",1996-01-10,13.625,13.71875,13.21875,13.28125,1102400,6.868002
"NUE",1996-01-11,13.34375,13.34375,13.09375,13.125,978400,6.787204
"NUE",1996-01-12,13.09375,13.09375,12.9375,13.03125,968000,6.738725
"NUE",1996-01-15,13.09375,13.40625,13.09375,13.21875,955200,6.835684
"NUE",1996-01-16,13.25,13.25,12.78125,13,893600,6.722564
"NUE",1996-01-17,13.03125,13.1875,12.90625,12.9375,436800,6.690246
"NUE",1996-01-18,12.90625,12.96875,12.53125,12.65625,480800,6.544805
"NUE",1996-01-19,12.4375,13.3125,12.4375,13.03125,1314400,6.738725
"NUE",1996-01-22,13.0625,13.40625,12.9375,13.40625,1700800,6.932649
"NUE",1996-01-23,13.875,14.0625,13.6875,14.03125,3604000,7.255843
"NUE",1996-01-24,14.03125,14.5,14.03125,14.5,2014000,7.498244
"NUE",1996-01-25,14.46875,14.5,14.0625,14.125,794000,7.304327
"NUE",1996-01-26,14,14.03125,13.71875,13.90625,835200,7.191204
"NUE",1996-01-29,13.9375,14.3125,13.90625,14.15625,1640400,7.320486
"NUE",1996-01-30,14.375,14.71875,14.34375,14.71875,2251200,7.611361
"NUE",1996-01-31,14.6875,14.6875,14.34375,14.53125,1430400,7.514403
"NUE",1996-02-01,14.6875,14.78125,14.59375,14.78125,916400,7.643684
"NUE",1996-02-02,14.78125,14.875,14.625,14.65625,1140000,7.579045
"NUE",1996-02-05,14.65625,14.9375,14.5625,14.625,953600,7.562887
"NUE",1996-02-06,14.65625,14.8125,14.625,14.78125,1092800,7.643684
"NUE",1996-02-07,14.5625,14.8125,14.34375,14.8125,1400400,7.659843
"NUE",1996-02-08,14.8125,15.1875,14.65625,15.09375,2642400,7.805284
"NUE",1996-02-09,15.03125,15.03125,14.5625,14.90625,1167600,7.708328
"NUE",1996-02-12,14.84375,14.875,14.25,14.5,1902400,7.498244
"NUE",1996-02-13,14.34375,14.40625,14.09375,14.21875,1392400,7.352804
"NUE",1996-02-14,14.25,14.25,13.65625,13.78125,1684000,7.126566
"NUE",1996-02-15,13.78125,13.78125,13.40625,13.5625,2080000,7.013444
"NUE",1996-02-16,13.75,13.8125,13.59375,13.71875,1132800,7.094244
"NUE",1996-02-20,13.4375,13.53125,13.1875,13.28125,1356800,6.868002
"NUE",1996-02-21,13.4375,13.84375,13.40625,13.84375,2040400,7.158884
"NUE",1996-02-22,14.09375,14.09375,13.59375,13.78125,1608000,7.126566
"NUE",1996-02-23,13.75,13.9375,13.5,13.84375,906400,7.158884
"NUE",1996-02-26,13.8125,14.09375,13.6875,14,1213600,7.239683
"NUE",1996-02-27,13.96875,14.21875,13.90625,14.21875,1463600,7.352804
"NUE",1996-02-28,14.21875,14.25,13.875,13.875,1046400,7.175047
"NUE",1996-02-29,13.4375,13.6875,13.375,13.46875,1338400,6.964966
"NUE",1996-03-01,13.625,13.78125,13.40625,13.78125,1104800,7.126566
"NUE",1996-03-04,13.84375,14.1875,13.84375,14.09375,1772000,7.288169
"NUE",1996-03-05,14.125,14.15625,13.9375,14.125,1368000,7.304327
"NUE",1996-03-06,14.3125,14.5,14.15625,14.46875,1573600,7.482083
"NUE",1996-03-07,14.5,14.59375,14.25,14.25,2090000,7.368966
"NUE",1996-03-08,14.0625,14.375,14.03125,14.125,2016000,7.304327
"NUE",1996-03-11,14.0625,14.875,14.0625,14.84375,1906800,7.676005
"NUE",1996-03-12,14.78125,14.90625,14.4375,14.90625,1288800,7.708328
"NUE",1996-03-13,15,15.375,15,15.34375,2398800,7.934561
"NUE",1996-03-14,15.5,15.96875,15.5,15.625,3141200,8.080006
"NUE",1996-03-15,15.375,15.5625,15.1875,15.40625,2030400,7.966883
"NUE",1996-03-18,15.59375,15.65625,15.375,15.4375,1395600,7.983046
"NUE",1996-03-19,15.4375,15.5,15.21875,15.34375,731200,7.934561
"NUE",1996-03-20,15.375,15.375,14.84375,14.84375,1136400,7.676005
"NUE",1996-03-21,14.9375,14.96875,14.8125,14.875,1286000,7.692162
"NUE",1996-03-22,14.90625,14.9375,14.71875,14.875,364800,7.692162
"NUE",1996-03-25,14.84375,14.96875,14.625,14.9375,454400,7.724485
"NUE",1996-03-26,14.96875,15.21875,14.96875,15.0625,771600,7.789124
"NUE",1996-03-27,15.15625,15.21875,14.90625,14.96875,380400,7.750935
"NUE",1996-03-28,14.90625,15,14.71875,14.84375,438000,7.686214
"NUE",1996-03-29,14.875,14.96875,14.75,14.78125,1431600,7.653849
"NUE",1996-04-01,14.9375,15,14.75,14.90625,711200,7.718577
"NUE",1996-04-02,14.875,15.0625,14.84375,14.875,926400,7.702394
"NUE",1996-04-03,15,15.09375,14.90625,14.96875,564000,7.750935
"NUE",1996-04-04,14.90625,14.90625,14.625,14.78125,772400,7.653849
"NUE",1996-04-08,14.5,15,14.5,14.9375,962400,7.734754
"NUE",1996-04-09,15.03125,15.3125,15,15.25,1319600,7.896569
"NUE",1996-04-10,15.21875,15.28125,15.125,15.1875,1012800,7.864204
"NUE",1996-04-11,15.125,15.1875,15,15.125,652800,7.831842
"NUE",1996-04-12,15.0625,15.21875,15.0625,15.125,699200,7.831842
"NUE",1996-04-15,15.1875,15.1875,15,15.03125,439600,7.783299
"NUE",1996-04-16,15.03125,15.34375,14.96875,15.28125,999600,7.912753
"NUE",1996-04-17,15.03125,15.21875,14.9375,15.21875,2031600,7.880389
"NUE",1996-04-18,15.34375,15.53125,15.21875,15.53125,1375600,8.042205
"NUE",1996-04-19,15.59375,15.625,15.46875,15.53125,2166400,8.042205
"NUE",1996-04-22,15.53125,15.53125,14.71875,14.78125,1456400,7.653849
"NUE",1996-04-23,14.96875,14.96875,14.4375,14.4375,1108800,7.475847
"NUE",1996-04-24,14.40625,14.40625,13.9375,14,1461200,7.249308
"NUE",1996-04-25,14.03125,14.46875,14,14.25,2301600,7.378764
"NUE",1996-04-26,14.53125,14.65625,14.5,14.5,1053200,7.508213
"NUE",1996-04-29,14.375,14.40625,14.125,14.15625,795200,7.330218
