"symbol","date","open","high","low","close","volume","adjusted"
"ORLY",2009-03-27,35.66,35.66,34.709999,34.779999,2977300,34.779999
"ORLY",2009-03-30,34.700001,35.049999,33.619999,35.049999,2188000,35.049999
"ORLY",2009-03-31,34.810001,35.470001,34.029999,35.009998,2442900,35.009998
"ORLY",2009-04-01,34.400002,35.43,33.689999,35.400002,3310200,35.400002
"ORLY",2009-04-02,35.900002,36.740002,34.919998,36.029999,3896100,36.029999
"ORLY",2009-04-03,35.740002,36.580002,35.259998,36.5,3252800,36.5
"ORLY",2009-04-06,36.23,36.970001,35.57,36.830002,2700000,36.830002
"ORLY",2009-04-07,36.02,36.549999,35.41,35.77,2349300,35.77
"ORLY",2009-04-08,35.48,36.810001,35.48,36.810001,1607200,36.810001
"ORLY",2009-04-09,37.130001,38.119999,36.880001,37.880001,2361300,37.880001
"ORLY",2009-04-13,37.540001,37.75,36.73,36.91,1659000,36.91
"ORLY",2009-04-14,36.889999,37.139999,36.23,36.889999,2382000,36.889999
"ORLY",2009-04-15,36.07,36.84,35.959999,36.66,1534900,36.66
"ORLY",2009-04-16,36.919998,38.279999,36.720001,38.029999,2495100,38.029999
"ORLY",2009-04-17,38.310001,38.900002,37.610001,38.709999,2304400,38.709999
"ORLY",2009-04-20,38.029999,38.529999,37.549999,37.950001,1426500,37.950001
"ORLY",2009-04-21,38.130001,38.580002,37.779999,38.509998,1678700,38.509998
"ORLY",2009-04-22,38.369999,39.400002,38.16,38.450001,2276700,38.450001
"ORLY",2009-04-23,38.639999,39.02,37.700001,38.459999,1470400,38.459999
"ORLY",2009-04-24,38.669998,38.939999,37.549999,37.720001,2112600,37.720001
"ORLY",2009-04-27,36.939999,38.740002,36.939999,38.220001,1767400,38.220001
"ORLY",2009-04-28,37.5,39.060001,37.5,38.639999,1276200,38.639999
"ORLY",2009-04-29,39.459999,39.509998,37.189999,37.240002,3218900,37.240002
"ORLY",2009-04-30,39.419998,40.5,38.040001,38.849998,5731600,38.849998
"ORLY",2009-05-01,38.169998,38.389999,36.810001,37.549999,3051100,37.549999
"ORLY",2009-05-04,37.709999,38.639999,37.68,38.41,2170400,38.41
"ORLY",2009-05-05,38.130001,38.240002,37.549999,37.990002,1660200,37.990002
