"symbol","date","open","high","low","close","volume","adjusted"
"PCG",1996-01-02,28.375,28.375,28.125,28.25,402100,13.502297
"PCG",1996-01-03,28.25,28.375,28.125,28.25,369100,13.502297
"PCG",1996-01-04,28.125,28.25,27.75,28.25,1011400,13.502297
"PCG",1996-01-05,28.25,28.375,28.125,28.25,638400,13.502297
"PCG",1996-01-08,28.25,28.375,28,28.125,153300,13.442558
"PCG",1996-01-09,28.125,28.125,27.625,27.9375,614800,13.352936
"PCG",1996-01-10,27.625,28,27.625,27.75,1181700,13.26332
"PCG",1996-01-11,27.75,27.75,27.25,27.5,1675200,13.14383
"PCG",1996-01-12,27.625,27.625,27.25,27.5,696200,13.14383
"PCG",1996-01-15,27.625,27.75,27.375,27.5,387000,13.14383
"PCG",1996-01-16,27.625,28,27.5,28,857000,13.382807
"PCG",1996-01-17,27.875,28,27.375,27.5,798000,13.14383
"PCG",1996-01-18,27.5,27.75,27.375,27.5,436400,13.14383
"PCG",1996-01-19,27.375,27.625,27.25,27.375,623800,13.084085
"PCG",1996-01-22,27.375,27.625,27.125,27.5,1036400,13.14383
"PCG",1996-01-23,27.375,27.5,27.25,27.25,393000,13.024343
"PCG",1996-01-24,27.375,27.875,27.25,27.75,822900,13.26332
"PCG",1996-01-25,27.75,27.875,27.625,27.625,1068800,13.203582
"PCG",1996-01-26,27.375,27.75,27.375,27.75,692600,13.26332
"PCG",1996-01-29,27.625,27.875,27.375,27.625,258600,13.203582
"PCG",1996-01-30,27.625,27.625,27.375,27.375,259600,13.084085
"PCG",1996-01-31,27.375,27.75,27.25,27.75,635500,13.26332
"PCG",1996-02-01,27.75,27.75,27.25,27.375,411700,13.084085
"PCG",1996-02-02,27.375,27.5,27.125,27.25,311300,13.024343
"PCG",1996-02-05,27,27.375,27,27.375,429100,13.084085
"PCG",1996-02-06,27.125,27.625,27.125,27.625,511800,13.203582
"PCG",1996-02-07,27.625,27.875,27.5,27.625,560400,13.203582
"PCG",1996-02-08,27.5,27.625,27.125,27.375,490600,13.084085
"PCG",1996-02-09,27.375,27.625,27.25,27.375,536800,13.084085
"PCG",1996-02-12,27.5,27.625,27.375,27.375,496800,13.084085
"PCG",1996-02-13,27.5,27.625,26.75,26.75,845000,12.785365
"PCG",1996-02-14,26.875,27.25,26.25,26.5,902400,12.665873
"PCG",1996-02-15,26.5,26.75,26.25,26.75,962500,12.785365
"PCG",1996-02-16,26.625,26.75,26.375,26.625,971100,12.725618
"PCG",1996-02-20,26.375,26.5,26,26,989100,12.426899
"PCG",1996-02-21,26.125,26.5,26,26,1329800,12.426899
"PCG",1996-02-22,26.125,26.25,25.625,25.75,1335700,12.307402
"PCG",1996-02-23,26,26.125,25.625,25.875,598200,12.367157
"PCG",1996-02-26,25.75,25.75,25.25,25.375,650800,12.128169
"PCG",1996-02-27,25.375,25.875,25.375,25.75,1019400,12.307402
"PCG",1996-02-28,25.875,26.25,25.5,25.5,1063300,12.18792
"PCG",1996-02-29,25.5,25.875,24.75,25.625,556200,12.24766
"PCG",1996-03-01,25.75,25.75,25.375,25.625,556000,12.24766
"PCG",1996-03-04,25.625,26.125,25.5,26,534400,12.426899
"PCG",1996-03-05,25.875,26.25,25.875,26.125,1575500,12.486639
"PCG",1996-03-06,26.125,26.25,26,26.125,664300,12.486639
"PCG",1996-03-07,26,26.125,26,26.125,454500,12.486639
"PCG",1996-03-08,26,26,25.625,25.625,488900,12.24766
"PCG",1996-03-11,25.375,25.625,25.125,25.5,657900,12.18792
"PCG",1996-03-12,25.375,25.5,25,25.25,1457200,12.068429
"PCG",1996-03-13,24.875,24.875,24.5,24.625,961200,12.00263
