"symbol","date","open","high","low","close","volume","adjusted"
"PH",1996-01-02,15.111111,15.444444,15.111111,15.444444,286200,9.892797
"PH",1996-01-03,15.5,15.555556,15.166667,15.166667,440325,9.714871
"PH",1996-01-04,15.222222,15.277778,14.833333,15.055556,1238175,9.643699
"PH",1996-01-05,15,15.5,15,15.333333,240525,9.821625
"PH",1996-01-08,15.388889,15.666667,15.388889,15.555556,157050,9.963967
"PH",1996-01-09,15.611111,16.166668,15.555556,16.111111,1253250,10.319822
"PH",1996-01-10,15.944444,16.222221,15.944444,16.111111,830475,10.319822
"PH",1996-01-11,16.111111,16.166668,15.777778,16,750600,10.248653
"PH",1996-01-12,15.944444,16.055555,15.722222,15.944444,570150,10.213065
"PH",1996-01-15,15.888889,15.944444,15.555556,15.777778,441450,10.106311
"PH",1996-01-16,15.944444,16,15.333333,15.444444,678600,9.892797
"PH",1996-01-17,15.333333,15.333333,14.166667,14.666667,3221550,9.394601
"PH",1996-01-18,14.722222,14.944444,14.666667,14.888889,2792700,9.536938
"PH",1996-01-19,14.777778,14.944444,14.777778,14.888889,1183950,9.536938
"PH",1996-01-22,14.888889,15.333333,14.833333,15.333333,1381950,9.821625
"PH",1996-01-23,15.388889,15.388889,14.944444,15.388889,1844100,9.85721
"PH",1996-01-24,15.333333,15.5,15.222222,15.444444,1421325,9.892797
"PH",1996-01-25,15.388889,15.388889,14.888889,15,1505925,9.608114
"PH",1996-01-26,15.111111,15.111111,14.333333,14.388889,1136925,9.216671
"PH",1996-01-29,14.5,15,14.444444,14.722222,2895075,9.430187
"PH",1996-01-30,14.888889,15.5,14.722222,15.5,1507050,9.928384
"PH",1996-01-31,15.333333,15.333333,15.055556,15.222222,891675,9.750456
"PH",1996-02-01,15.166667,15.222222,14.888889,15.222222,690075,9.750456
"PH",1996-02-02,15.111111,15.277778,15.055556,15.166667,1034550,9.714871
"PH",1996-02-05,15.166667,15.166667,14.833333,15.111111,413325,9.679283
"PH",1996-02-06,15.055556,15.444444,15.055556,15.388889,1022625,9.85721
"PH",1996-02-07,15.444444,15.611111,15.277778,15.5,705600,9.928384
"PH",1996-02-08,15.444444,15.722222,15.444444,15.555556,489825,9.963967
"PH",1996-02-09,15.555556,15.777778,15.444444,15.611111,1185525,9.999552
"PH",1996-02-12,16,16.222221,15.888889,16.111111,1094625,10.319822
"PH",1996-02-13,16.055555,16.666668,16.055555,16.388889,1110150,10.497753
"PH",1996-02-14,16.388889,16.444445,16.055555,16.055555,588600,10.284242
"PH",1996-02-15,16.111111,16.166668,15.777778,15.833333,461925,10.141897
"PH",1996-02-16,15.888889,15.888889,15.611111,15.722222,759150,10.070724
"PH",1996-02-20,15.611111,15.833333,15.555556,15.833333,460575,10.193765
"PH",1996-02-21,15.777778,16.055555,15.722222,16.055555,699975,10.336839
"PH",1996-02-22,16.055555,16.333332,16,16.277779,915075,10.479905
"PH",1996-02-23,16.333332,16.333332,15.777778,15.833333,306225,10.193765
"PH",1996-02-26,15.944444,16.055555,15.833333,15.888889,793125,10.229535
"PH",1996-02-27,15.833333,16,15.666667,16,494550,10.301066
"PH",1996-02-28,16.055555,16.166668,15.888889,16,533925,10.301066
"PH",1996-02-29,15.888889,15.944444,15.555556,15.555556,652725,10.014928
"PH",1996-03-01,15.666667,15.722222,15.166667,15.555556,334125,10.014928
"PH",1996-03-04,15.444444,15.944444,15.444444,15.888889,289125,10.229535
"PH",1996-03-05,15.888889,16.111111,15.666667,15.666667,445275,10.086465
"PH",1996-03-06,15.666667,16,15.666667,15.833333,288450,10.193765
"PH",1996-03-07,15.888889,16,15.833333,15.888889,346050,10.229535
"PH",1996-03-08,15.777778,16.444445,15.777778,16,492525,10.301066
"PH",1996-03-11,15.888889,16.222221,15.722222,16.166668,325125,10.408369
"PH",1996-03-12,16.111111,16.833332,16.055555,16.833332,964800,10.837581
"PH",1996-03-13,17,17.666668,16.944445,17.222221,1027800,11.087949
"PH",1996-03-14,17.277779,17.333332,16.944445,16.944445,426600,10.909116
"PH",1996-03-15,16.833332,17,16.722221,16.722221,402300,10.766047
"PH",1996-03-18,17,17.5,17,17.5,1136925,11.266792
"PH",1996-03-19,17.333332,17.388889,17.166668,17.333332,906525,11.159496
"PH",1996-03-20,17.388889,17.444445,17.111111,17.388889,356850,11.195262
"PH",1996-03-21,17.388889,17.388889,17.222221,17.277779,771075,11.123728
"PH",1996-03-22,17.388889,17.388889,17,17.166668,771300,11.052189
"PH",1996-03-25,17.333332,17.333332,17.055555,17.111111,348975,11.016416
"PH",1996-03-26,17.277779,17.277779,17.055555,17.111111,374175,11.016416
"PH",1996-03-27,17.055555,17.222221,16.888889,16.888889,381375,10.87335
"PH",1996-03-28,16.888889,17.277779,16.833332,17.277779,291375,11.123728
"PH",1996-03-29,17.277779,17.277779,16.555555,16.666668,452700,10.730281
"PH",1996-04-01,16.777779,17.055555,16.444445,17,699750,10.944888
"PH",1996-04-02,16.888889,16.944445,16.777779,16.833332,222750,10.837581
"PH",1996-04-03,16.777779,16.833332,16.666668,16.833332,254925,10.837581
"PH",1996-04-04,16.722221,16.888889,16.722221,16.833332,187200,10.837581
"PH",1996-04-08,16.777779,16.777779,16.5,16.611111,533250,10.694512
"PH",1996-04-09,16.611111,16.666668,16.5,16.611111,717750,10.694512
"PH",1996-04-10,16.5,16.777779,16.5,16.666668,683550,10.730281
"PH",1996-04-11,16.666668,16.777779,16.611111,16.611111,480600,10.694512
"PH",1996-04-12,16.666668,16.722221,16.555555,16.611111,308025,10.694512
