"symbol","date","open","high","low","close","volume","adjusted"
"PHM",1996-01-02,4.234375,4.25,4.203125,4.234375,319200,3.443451
"PHM",1996-01-03,4.234375,4.328125,4.234375,4.296875,674400,3.494277
"PHM",1996-01-04,4.28125,4.328125,4.171875,4.234375,1054400,3.443451
"PHM",1996-01-05,4.15625,4.1875,4.140625,4.1875,180000,3.405332
"PHM",1996-01-08,4.203125,4.25,4.203125,4.25,145600,3.456157
"PHM",1996-01-09,4.265625,4.296875,4.21875,4.21875,674400,3.430745
"PHM",1996-01-10,4.1875,4.1875,3.96875,3.96875,402400,3.227441
"PHM",1996-01-11,3.96875,3.984375,3.921875,3.921875,476800,3.189321
"PHM",1996-01-12,3.9375,3.96875,3.921875,3.96875,2e+05,3.227441
"PHM",1996-01-15,3.953125,4,3.953125,3.96875,416000,3.227441
"PHM",1996-01-16,3.984375,3.984375,3.8125,3.859375,433600,3.138496
"PHM",1996-01-17,3.859375,3.9375,3.828125,3.90625,334400,3.176615
"PHM",1996-01-18,3.9375,3.9375,3.84375,3.890625,268800,3.16391
"PHM",1996-01-19,3.875,3.984375,3.875,3.96875,417600,3.227441
"PHM",1996-01-22,3.9375,4.046875,3.9375,4.046875,1052800,3.290973
"PHM",1996-01-23,4.0625,4.078125,4.015625,4.046875,593600,3.290973
"PHM",1996-01-24,4.03125,4.09375,4,4.046875,192000,3.290973
"PHM",1996-01-25,3.984375,4.03125,3.9375,4,474400,3.252854
"PHM",1996-01-26,4.03125,4.046875,3.984375,4,202400,3.252854
"PHM",1996-01-29,4.015625,4.015625,3.953125,3.96875,272000,3.227441
"PHM",1996-01-30,3.96875,4.046875,3.953125,4,817600,3.252854
"PHM",1996-01-31,4.046875,4.125,4.03125,4.125,383200,3.354504
"PHM",1996-02-01,4.15625,4.21875,4.15625,4.171875,292800,3.392625
"PHM",1996-02-02,4.15625,4.1875,4.140625,4.1875,521600,3.405332
"PHM",1996-02-05,4.1875,4.1875,4,4.046875,424000,3.290973
"PHM",1996-02-06,4.0625,4.09375,4.046875,4.078125,380800,3.316387
"PHM",1996-02-07,4.109375,4.125,4.03125,4.03125,1041600,3.278266
"PHM",1996-02-08,4.015625,4.03125,3.953125,4.03125,740000,3.278266
"PHM",1996-02-09,4.0625,4.0625,4.015625,4.046875,956800,3.290973
"PHM",1996-02-12,4.046875,4.046875,4.015625,4.03125,651200,3.278266
"PHM",1996-02-13,4,4.03125,3.9375,4.03125,740000,3.278266
"PHM",1996-02-14,4.03125,4.046875,4,4.015625,330400,3.265561
"PHM",1996-02-15,4.015625,4.015625,3.90625,3.90625,287200,3.176615
"PHM",1996-02-16,3.9375,3.9375,3.84375,3.875,600800,3.151202
"PHM",1996-02-20,3.859375,3.859375,3.625,3.703125,625600,3.011431
"PHM",1996-02-21,3.75,3.78125,3.71875,3.734375,672000,3.036845
"PHM",1996-02-22,3.765625,3.8125,3.75,3.78125,1062400,3.074963
"PHM",1996-02-23,3.796875,3.875,3.75,3.78125,767200,3.074963
"PHM",1996-02-26,3.765625,3.78125,3.703125,3.71875,728000,3.024138
"PHM",1996-02-27,3.75,3.75,3.671875,3.703125,584000,3.011431
"PHM",1996-02-28,3.71875,3.78125,3.640625,3.640625,515200,2.960606
"PHM",1996-02-29,3.71875,3.765625,3.671875,3.734375,464000,3.036845
"PHM",1996-03-01,3.734375,3.765625,3.703125,3.75,571200,3.049551
"PHM",1996-03-04,3.8125,3.859375,3.75,3.75,335200,3.049551
"PHM",1996-03-05,3.78125,3.84375,3.75,3.84375,201600,3.125789
"PHM",1996-03-06,3.84375,3.84375,3.75,3.75,501600,3.049551
"PHM",1996-03-07,3.78125,3.8125,3.734375,3.75,779200,3.049551
"PHM",1996-03-08,3.734375,3.734375,3.5625,3.59375,1054400,2.922486
"PHM",1996-03-11,3.59375,3.65625,3.546875,3.578125,539200,2.909779
"PHM",1996-03-12,3.53125,3.53125,3.40625,3.40625,562400,2.770008
"PHM",1996-03-13,3.4375,3.4375,3.34375,3.359375,835200,2.731889
