"symbol","date","open","high","low","close","volume","adjusted"
"PLD",2003-07-17,27.6,27.65,27.18,27.299999,440600,14.10039
"PLD",2003-07-18,27.450001,27.68,27.32,27.530001,223800,14.219183
"PLD",2003-07-21,27.6,27.700001,27.43,27.459999,275700,14.183037
"PLD",2003-07-22,27.5,27.6,27.440001,27.48,232300,14.193361
"PLD",2003-07-23,27.549999,27.549999,27.1,27.34,347400,14.121047
"PLD",2003-07-24,27.65,27.780001,27.540001,27.629999,224600,14.270835
"PLD",2003-07-25,27.639999,27.879999,27.549999,27.75,512000,14.332818
"PLD",2003-07-28,27.9,28.1,27.24,27.25,212800,14.074563
"PLD",2003-07-29,27.389999,27.950001,27.309999,27.84,391800,14.379313
"PLD",2003-07-30,27.809999,28.379999,27.77,28.379999,306400,14.658203
"PLD",2003-07-31,28.299999,28.35,27.99,28.1,196300,14.513593
"PLD",2003-08-01,28.15,28.200001,27.790001,28,184700,14.461943
"PLD",2003-08-04,27.950001,28.18,27.66,27.75,251000,14.332818
"PLD",2003-08-05,27.93,27.99,27.559999,27.860001,163000,14.389634
"PLD",2003-08-06,27.860001,27.93,27.549999,27.82,156900,14.368975
"PLD",2003-08-07,27.860001,27.950001,27.639999,27.879999,192500,14.399959
"PLD",2003-08-08,27.799999,27.799999,27.5,27.629999,219600,14.270835
"PLD",2003-08-11,27.530001,28,27.41,27.85,207000,14.38447
"PLD",2003-08-12,27.860001,28.129999,27.860001,27.99,148700,14.456779
"PLD",2003-08-13,27.940001,28,27.51,27.83,224600,14.37414
"PLD",2003-08-14,27.860001,27.950001,27.639999,27.860001,270300,14.389634
"PLD",2003-08-15,27.950001,28.049999,27.809999,27.950001,174700,14.436124
"PLD",2003-08-18,28,28.200001,28,28.15,223800,14.539416
"PLD",2003-08-19,28.200001,28.27,28.110001,28.200001,388000,14.565245
"PLD",2003-08-20,28.200001,28.33,27.959999,28.299999,268700,14.616886
"PLD",2003-08-21,28.370001,28.469999,28.23,28.42,346600,14.678873
"PLD",2003-08-22,28.5,28.5,27.92,27.950001,241200,14.436124
"PLD",2003-08-25,27.75,27.889999,27.58,27.719999,198800,14.317321
"PLD",2003-08-26,27.719999,27.85,27.309999,27.77,364800,14.343152
"PLD",2003-08-27,27.870001,28.370001,27.76,28.35,260700,14.642721
"PLD",2003-08-28,28.450001,28.450001,28.129999,28.26,481700,14.596231
"PLD",2003-08-29,28.309999,28.58,28.24,28.5,113800,14.720191
