"symbol","date","open","high","low","close","volume","adjusted"
"PRU",2002-07-22,31.5,31.799999,31.01,31.65,11903000,18.069212
"PRU",2002-07-23,31.84,31.84,28.700001,29.6,7929900,16.898848
"PRU",2002-07-24,28.700001,30.389999,28,30.209999,7633100,17.247099
"PRU",2002-07-25,29.75,30.74,28.469999,29,5167300,16.556305
"PRU",2002-07-26,28.4,30.51,28.4,30.25,5133700,17.269936
"PRU",2002-07-29,30.65,32.450001,30.5,32.200001,3578700,18.383205
"PRU",2002-07-30,31.700001,32.630001,30.700001,32.150002,4284500,18.35467
"PRU",2002-07-31,32.150002,33,32.009998,32.990002,3605100,18.834227
"PRU",2002-08-01,32.599998,32.900002,32.07,32.900002,2783400,18.782846
"PRU",2002-08-02,32.400002,32.41,30.709999,31.290001,3350900,17.863678
"PRU",2002-08-05,30.950001,31.299999,29.83,29.85,2089200,17.041574
"PRU",2002-08-06,30.6,31.209999,30.08,30.379999,3500900,17.344158
"PRU",2002-08-07,30.700001,30.85,29.5,30.6,4185700,17.469753
"PRU",2002-08-08,30.6,32.900002,30.549999,32.150002,3807300,18.35467
"PRU",2002-08-09,31.9,32.959999,31.620001,32.880001,2063500,18.771425
"PRU",2002-08-12,32.450001,32.650002,31.799999,32.299999,1540300,18.440294
"PRU",2002-08-13,32.25,32.790001,31.459999,31.469999,1869700,17.966444
"PRU",2002-08-14,31.5,32.810001,31.280001,32.790001,2225500,18.720045
"PRU",2002-08-15,32.900002,33.549999,32,32.599998,2793000,18.611567
"PRU",2002-08-16,32.59,32.880001,32,32,1343500,18.269026
"PRU",2002-08-19,32,32.75,32,32.439999,2453700,18.520222
"PRU",2002-08-20,32.34,32.880001,31.719999,31.98,1917500,18.257608
"PRU",2002-08-21,31.780001,32.330002,31.26,31.57,2690500,18.023539
"PRU",2002-08-22,31.77,32.540001,31.77,32.290001,2649200,18.434587
"PRU",2002-08-23,32.25,32.290001,31.25,31.42,2001800,17.937901
"PRU",2002-08-26,31.66,31.940001,31.27,31.52,2372900,17.994991
"PRU",2002-08-27,31.950001,32.009998,30.16,30.16,3833900,17.218561
"PRU",2002-08-28,30.190001,30.809999,29.639999,30.07,2798100,17.167173
"PRU",2002-08-29,29.5,30.620001,29.5,30,2441600,17.127218
"PRU",2002-08-30,30,30.780001,29.9,30.200001,1830300,17.241392
"PRU",2002-09-03,29.700001,29.85,28.76,28.76,2877800,16.419291
"PRU",2002-09-04,28.6,29.120001,28.540001,28.799999,4903200,16.442129
"PRU",2002-09-05,28.700001,28.889999,28.299999,28.75,4628500,16.413576
"PRU",2002-09-06,29.1,30.299999,29.049999,29.73,4269500,16.973066
"PRU",2002-09-09,29.719999,30.450001,29.51,30.32,3625200,17.3099
"PRU",2002-09-10,30.32,30.370001,29.870001,30.18,2907500,17.229971
"PRU",2002-09-11,30.99,30.99,30,30.15,1471700,17.212852
"PRU",2002-09-12,29.700001,30,29.51,29.6,1939500,16.898848
"PRU",2002-09-13,29.6,29.9,29.18,29.530001,2294700,16.858885
"PRU",2002-09-16,29.6,29.85,29.15,29.25,1809900,16.699032
"PRU",2002-09-17,29.42,29.66,28.83,28.9,2381500,16.499216
"PRU",2002-09-18,28.65,29.190001,28.610001,28.959999,3304400,16.533472
"PRU",2002-09-19,28.75,28.85,27.74,27.889999,3291600,15.922603
"PRU",2002-09-20,27.870001,28.110001,27.200001,27.51,3646200,15.705659
"PRU",2002-09-23,27.6,28,27.200001,27.9,2744200,15.928314
"PRU",2002-09-24,27.65,28.200001,27.16,27.35,3234800,15.614306
"PRU",2002-09-25,27.85,28.32,27.5,28.110001,2360500,16.048199
"PRU",2002-09-26,28.450001,29.200001,28.299999,28.879999,2757800,16.487797
"PRU",2002-09-27,28.889999,29.200001,28.15,28.24,1863000,16.122414
"PRU",2002-09-30,28.24,28.959999,27.25,28.559999,3030900,16.305111
