"symbol","date","open","high","low","close","volume","adjusted"
"RHI",2000-12-05,31.5625,33,31.5625,31.9375,2614600,23.236609
"RHI",2000-12-06,31.125,31.125,29.375,29.5,1583300,21.463179
"RHI",2000-12-07,29.75,31,29.25,30.625,1161600,22.281685
"RHI",2000-12-08,30.75,32,30.75,31,1155300,22.554523
"RHI",2000-12-11,31,31,30.125,30.25,407400,22.008844
"RHI",2000-12-12,30.5,31.25,29.875,31,702600,22.554523
"RHI",2000-12-13,31,31.125,30.4375,30.5,461100,22.190742
"RHI",2000-12-14,30.75,31.25,30.5625,31.0625,480400,22.599987
"RHI",2000-12-15,33,33,27.5,27.8125,1688900,20.235405
"RHI",2000-12-18,27.8125,28.375,24.0625,26,2585900,18.916695
"RHI",2000-12-19,26,26.3125,25,26,1253400,18.916695
"RHI",2000-12-20,26.25,26.5,24.25,24.5625,967200,17.870821
"RHI",2000-12-21,24.5625,26.875,24.5625,26.0625,648600,18.962172
"RHI",2000-12-22,26.0625,26.6875,25.75,26.1875,697300,19.053116
"RHI",2000-12-26,26.25,26.75,26,26.25,295600,19.098587
"RHI",2000-12-27,26.25,26.5625,25.5,25.8125,402500,18.780275
"RHI",2000-12-28,25.9375,26.9375,24.875,26.75,657400,19.462379
"RHI",2000-12-29,26.75,26.8125,26.25,26.5,640700,19.280479
"RHI",2001-01-02,26.5,26.5,23.8125,23.9375,1117600,17.416088
"RHI",2001-01-03,24.5,27.375,23.6875,27.0625,1342800,19.689739
"RHI",2001-01-04,27.0625,27.625,25.125,26.1875,762700,19.053116
"RHI",2001-01-05,25.625,25.625,21.25,23.0625,2478000,16.779469
"RHI",2001-01-08,22.625,23.125,22.5,22.875,1260700,16.643059
"RHI",2001-01-09,22.875,23,21,21.125,1297100,15.369822
"RHI",2001-01-10,21.3125,22.9375,20.9375,22.75,852400,16.552113
"RHI",2001-01-11,22.25,23.6875,22.25,23.125,982100,16.824945
"RHI",2001-01-12,23,23.4375,22.75,23,1566500,16.734009
"RHI",2001-01-16,22.5,23.375,22.5,22.9375,717500,16.688522
"RHI",2001-01-17,22.9375,23.5,22.9375,23.1875,522600,16.870419
"RHI",2001-01-18,23.0625,23.5625,22.75,23.125,623800,16.824945
"RHI",2001-01-19,22.875,23,22.1875,22.25,906600,16.188326
"RHI",2001-01-22,22.25,22.9375,22.25,22.75,640000,16.552113
"RHI",2001-01-23,22.9375,23.0625,22.5625,22.5625,1514200,16.415697
"RHI",2001-01-24,22.375,25.5,22.375,24.75,3599000,18.007236
"RHI",2001-01-25,24.75,25.25,24.0625,25.0625,1528000,18.2346
"RHI",2001-01-26,25.0625,25.9375,24.9375,25.625,1091800,18.643858
"RHI",2001-01-29,25.620001,26.120001,25.620001,26.040001,1283900,18.945797
"RHI",2001-01-30,27.75,27.75,26.4,27.219999,655400,19.804329
"RHI",2001-01-31,27.219999,27.4,26.75,26.75,870500,19.462379
"RHI",2001-02-01,26.6,26.799999,26.25,26.559999,793500,19.324133
"RHI",2001-02-02,26.5,26.799999,26.059999,26.26,1180000,19.105858
"RHI",2001-02-05,26,26.5,26,26.360001,575400,19.178621
"RHI",2001-02-06,26.549999,27.15,26.5,26.5,692300,19.280479
"RHI",2001-02-07,26.5,26.959999,26.5,26.5,654900,19.280479
"RHI",2001-02-08,26.65,26.93,26.5,26.5,577100,19.280479
"RHI",2001-02-09,26.4,26.57,26.4,26.5,896000,19.280479
"RHI",2001-02-12,26.5,26.879999,26.4,26.51,712700,19.287764
"RHI",2001-02-13,26.51,26.700001,26.5,26.5,491900,19.280479
"RHI",2001-02-14,26.5,26.75,26.299999,26.52,682500,19.295031
"RHI",2001-02-15,26.75,26.799999,26.48,26.6,395100,19.353237
"RHI",2001-02-16,26.5,26.51,25.4,26.01,833500,18.923973
"RHI",2001-02-20,25.799999,26.059999,25.200001,25.26,639300,18.378298
"RHI",2001-02-21,25.450001,26.16,25.120001,25.25,605500,18.371025
"RHI",2001-02-22,25.1,25.67,24.75,25.07,675100,18.240059
"RHI",2001-02-23,25.049999,25.059999,22.549999,23.65,817800,17.206921
"RHI",2001-02-26,24,24.700001,23.940001,24.629999,681300,17.919933
"RHI",2001-02-27,24.370001,24.9,24.1,24.25,629700,17.643452
"RHI",2001-02-28,24.299999,24.469999,24,24.059999,442100,17.505219
"RHI",2001-03-01,24.309999,24.309999,23.870001,24.049999,713800,17.49794
"RHI",2001-03-02,24,24.799999,23.969999,24.76,552300,18.014513
"RHI",2001-03-05,24.16,24.690001,24.049999,24.18,367900,17.592527
"RHI",2001-03-06,24.469999,24.700001,23.950001,24.290001,392400,17.67256
"RHI",2001-03-07,24.5,24.700001,23.99,24.5,361200,17.825352
"RHI",2001-03-08,24.6,24.75,23.92,24.459999,752100,17.796244
"RHI",2001-03-09,24.299999,24.559999,23.99,24.09,561000,17.527044
"RHI",2001-03-12,23.75,24,23.33,23.43,727100,17.046852
"RHI",2001-03-13,23.42,23.42,22.02,22.5,1411800,16.370214
"RHI",2001-03-14,22.5,22.9,22.200001,22.719999,476500,16.530289
"RHI",2001-03-15,22.709999,23.799999,22.709999,22.879999,438900,16.646687
"RHI",2001-03-16,22.200001,23.219999,22.200001,22.709999,806800,16.523005
"RHI",2001-03-19,21.5,23.1,21.049999,22.690001,1266700,16.508455
"RHI",2001-03-20,22.450001,22.799999,22,22,430700,16.006435
"RHI",2001-03-21,22.01,22.18,21.42,21.67,411600,15.766337
"RHI",2001-03-22,21.6,21.790001,21.32,21.68,912900,15.773615
"RHI",2001-03-23,21.549999,22.299999,21.549999,22,804700,16.006435
"RHI",2001-03-26,21.85,22.700001,21.85,22.540001,450200,16.399328
"RHI",2001-03-27,22.65,23,22.200001,22.98,297300,16.719452
"RHI",2001-03-28,22.469999,22.75,21.85,22.5,530900,16.370214
"RHI",2001-03-29,22.5,22.9,22.25,22.67,370000,16.4939
"RHI",2001-03-30,23.049999,23.049999,22.25,22.35,292800,16.261086
"RHI",2001-04-02,22.299999,22.790001,21.57,21.99,401800,15.999164
"RHI",2001-04-03,21.75,21.75,20.299999,20.51,637100,14.922362
"RHI",2001-04-04,20.6,21.6,20.6,21.33,443300,15.518972
"RHI",2001-04-05,21.5,23.01,21.110001,22.92,573900,16.675798
"RHI",2001-04-06,23.07,23.07,21.799999,22.35,628600,16.261086
"RHI",2001-04-09,22.1,22.450001,20.700001,20.99,1294500,15.271595
"RHI",2001-04-10,20.99,21.92,20.9,21.9,802500,15.933686
"RHI",2001-04-11,22,22.440001,21.700001,22.43,861300,16.319296
"RHI",2001-04-12,22.52,22.65,21.950001,22.16,371500,16.122854
"RHI",2001-04-16,22.25,22.35,21.51,21.92,352200,15.948233
"RHI",2001-04-17,22,22.200001,21.59,22.059999,756000,16.050097
"RHI",2001-04-18,24.049999,28,24.049999,25.959999,1686100,18.887598
"RHI",2001-04-19,25.969999,27.5,25.49,27.469999,1138500,19.986214
"RHI",2001-04-20,27.48,27.48,26.51,27.08,723500,19.702471
"RHI",2001-04-23,26.9,26.91,26.25,26.629999,354400,19.375057
"RHI",2001-04-24,26.65,27.18,26.549999,26.780001,427900,19.484203
"RHI",2001-04-25,26.780001,27.85,26.74,27.82,513200,20.240868
"RHI",2001-04-26,27.620001,28,27.25,27.540001,473000,20.037142
"RHI",2001-04-27,27.290001,28.25,27.16,28.059999,501500,20.415482
"RHI",2001-04-30,27.5,28.4,27.450001,27.799999,797300,20.226316
"RHI",2001-05-01,27.809999,28.24,27.799999,28.129999,478200,20.466415
"RHI",2001-05-02,28.299999,30.9,28.299999,29.219999,1039800,21.259468
"RHI",2001-05-03,28.6,28.6,27.77,27.969999,756500,20.349993
"RHI",2001-05-04,27,28.01,26.5,28.01,1207900,20.379103
"RHI",2001-05-07,28.110001,28.91,27.85,28.68,430700,20.866568
"RHI",2001-05-08,28.5,28.5,26.85,27.200001,1102700,19.789776
"RHI",2001-05-09,27.24,28.07,27.1,27.209999,591500,19.797054
"RHI",2001-05-10,27.5,27.85,27.1,27.200001,332700,19.789776
"RHI",2001-05-11,27.23,27.34,27.120001,27.209999,273700,19.797054
"RHI",2001-05-14,28.950001,28.950001,27.35,27.92,538200,20.313618
"RHI",2001-05-15,27.799999,28.82,27.799999,28.58,1001100,20.793818
"RHI",2001-05-16,28.51,30.290001,28.51,30.110001,703200,21.906986
"RHI",2001-05-17,29.200001,30,29.1,29.950001,621500,21.790585
"RHI",2001-05-18,29.75,30.1,29.299999,30.07,347000,21.877888
"RHI",2001-05-21,30.1,30.5,29.799999,30.469999,383700,22.168911
"RHI",2001-05-22,30.299999,30.559999,29.75,30,500100,21.826956
"RHI",2001-05-23,30,30.07,29.1,29.719999,326200,21.623241
"RHI",2001-05-24,29.549999,29.65,28.75,29.049999,496100,21.135777
"RHI",2001-05-25,29.049999,29.35,28.75,29.07,674000,21.150322
"RHI",2001-05-29,29.08,29.15,28.4,28.5,233700,20.735613
"RHI",2001-05-30,28.65,28.93,27.870001,27.940001,264500,20.328169
"RHI",2001-05-31,27.799999,29.200001,27.790001,28.200001,314600,20.517334
"RHI",2001-06-01,27.860001,28.190001,27.6,27.84,417600,20.255411
"RHI",2001-06-04,28,28.5,27.1,28.27,230000,20.568275
"RHI",2001-06-05,28.27,28.690001,27.74,28.610001,280400,20.815636
"RHI",2001-06-06,28.450001,28.700001,28.02,28.32,338400,20.604652
"RHI",2001-06-07,27.98,28.139999,27.5,27.809999,395600,20.233591
"RHI",2001-06-08,27.85,28.200001,27.59,27.91,174200,20.306341
"RHI",2001-06-11,27.9,28.08,27.5,27.51,155600,20.015312
"RHI",2001-06-12,27.200001,28.059999,27.200001,28,482300,20.37182
"RHI",2001-06-13,28,28.200001,27.74,27.99,449900,20.364548
"RHI",2001-06-14,27.99,28.1,26.969999,27,1450900,19.64426
"RHI",2001-06-15,27,27.15,26.620001,26.959999,789300,19.615162
"RHI",2001-06-18,26.950001,27.120001,26.700001,26.790001,425900,19.49147
"RHI",2001-06-19,26.6,26.950001,26.049999,26.370001,619600,19.185894
"RHI",2001-06-20,26.370001,27.15,26.370001,26.75,405500,19.462379
"RHI",2001-06-21,26.4,26.58,25.25,25.43,1037000,18.50198
"RHI",2001-06-22,25.65,25.75,25.120001,25.6,840200,18.625677
"RHI",2001-06-25,25.450001,25.6,24.75,25.02,493900,18.203688
"RHI",2001-06-26,22.6,25.1,22.6,24.799999,2727500,18.043617
"RHI",2001-06-27,24.65,25.5,24.65,25.42,1070900,18.494711
"RHI",2001-06-28,25.51,26,25.110001,25.32,475900,18.421959
"RHI",2001-06-29,25.32,25.49,24.82,24.889999,851700,18.109095
"RHI",2001-07-02,25.18,26.1,24.34,24.35,884700,17.716209
"RHI",2001-07-03,24.360001,26.5,24.35,26.26,783400,19.105858
"RHI",2001-07-05,26.209999,26.4,25.67,25.68,432900,18.683878
"RHI",2001-07-06,25.68,25.68,24.549999,24.870001,372000,18.094553
"RHI",2001-07-09,24.9,25.15,24.17,24.18,367500,17.592527
"RHI",2001-07-10,24.5,24.549999,23,23.209999,639700,16.886797
"RHI",2001-07-11,23.1,24.200001,22.549999,23.75,1536700,17.279675
"RHI",2001-07-12,23.950001,24.799999,23.76,24.530001,569700,17.847168
"RHI",2001-07-13,24.4,25.23,24.26,24.360001,290600,17.723486
"RHI",2001-07-16,24.360001,24.450001,23.99,24.07,213800,17.512495
"RHI",2001-07-17,24.15,25.08,23.549999,24.98,390600,18.17458
"RHI",2001-07-18,24.780001,24.950001,24,24.15,374400,17.570698
"RHI",2001-07-19,24.4,25.389999,24.299999,25.360001,1021700,18.451052
"RHI",2001-07-20,25.4,26.190001,25.25,25.6,458700,18.625677
"RHI",2001-07-23,25.4,25.85,25.299999,25.299999,545100,18.407394
"RHI",2001-07-24,25.25,25.41,25.110001,25.15,619300,18.298267
"RHI",2001-07-25,25.15,25.780001,25.1,25.66,209000,18.669323
"RHI",2001-07-26,25.41,26.15,25.25,26.01,227400,18.923973
"RHI",2001-07-27,26.049999,26.120001,25.75,25.950001,277000,18.880322
"RHI",2001-07-30,25.700001,26.1,25.450001,26.01,255400,18.923973
"RHI",2001-07-31,26,26.129999,25.860001,26.049999,401900,18.953072
"RHI",2001-08-01,26.15,26.41,26.01,26.360001,222500,19.178621
"RHI",2001-08-02,26.370001,26.9,26,26.860001,425200,19.542408
"RHI",2001-08-03,26.85,26.85,26.4,26.700001,345300,19.425993
"RHI",2001-08-06,26.5,26.799999,26.379999,26.700001,251400,19.425993
"RHI",2001-08-07,26.6,27.01,26.6,27.01,323500,19.651541
