"symbol","date","open","high","low","close","volume","adjusted"
"RMD",2017-07-26,77.650002,78.879997,77.389999,77.660004,1680300,73.470001
"RMD",2017-07-27,77.779999,78.190002,77.32,77.459999,872400,73.280785
"RMD",2017-07-28,77.379997,77.690002,76.580002,77.389999,736100,73.214561
"RMD",2017-07-31,77.650002,77.720001,76.830002,77.120003,1269000,72.959137
"RMD",2017-08-01,77.489998,78.370003,77.059998,77.480003,1017600,73.299728
"RMD",2017-08-02,77.480003,77.480003,71.290001,72.510002,4356000,68.597878
"RMD",2017-08-03,72.099998,73.690002,72.099998,73.449997,1243800,69.487137
"RMD",2017-08-04,74.199997,75.440002,74.099998,75.089996,1181400,71.038658
"RMD",2017-08-07,75.160004,75.470001,74.599998,75.050003,572400,71.000816
"RMD",2017-08-08,74.940002,75.269997,74.110001,74.400002,907200,70.38588
"RMD",2017-08-09,74.129997,74.209999,73.510002,74.120003,845400,70.121002
"RMD",2017-08-10,73.830002,73.989998,72.559998,72.620003,693400,68.70192
"RMD",2017-08-11,72.620003,73.269997,72.519997,72.559998,427200,68.645164
"RMD",2017-08-14,73.019997,73.650002,72.959999,73.620003,447000,69.648003
"RMD",2017-08-15,73.300003,73.300003,72.440002,72.440002,506600,68.859016
"RMD",2017-08-16,72.68,72.959999,72.5,72.699997,468000,69.106133
"RMD",2017-08-17,72.940002,73.489998,72.779999,72.790001,460700,69.191696
"RMD",2017-08-18,72.82,73.260002,72.489998,73.07,529500,69.457855
"RMD",2017-08-21,73.059998,73.529999,72.739998,73.440002,310800,69.809563
"RMD",2017-08-22,73.519997,74.849998,73.489998,74.550003,500300,70.864708
"RMD",2017-08-23,74.440002,74.660004,73.75,73.910004,510900,70.25634
"RMD",2017-08-24,73.82,74.160004,73.57,73.900002,439500,70.246841
"RMD",2017-08-25,74.300003,74.410004,73.849998,74.199997,459800,70.53199
"RMD",2017-08-28,74.230003,75.540001,74.230003,75.540001,620600,71.805748
"RMD",2017-08-29,75.040001,75.68,74.870003,74.949997,491800,71.244919
"RMD",2017-08-30,74.949997,75.760002,74.949997,75.580002,439900,71.843765
"RMD",2017-08-31,76,77.68,75.75,77.580002,743000,73.744904
"RMD",2017-09-01,77.559998,77.949997,77.059998,77.589996,424600,73.754425
"RMD",2017-09-05,77.300003,77.5,76.260002,76.599998,850100,72.813339
"RMD",2017-09-06,76.769997,77.779999,76.57,77.660004,397900,73.820961
"RMD",2017-09-07,77.760002,78.860001,77.07,78.82,572700,74.923607
"RMD",2017-09-08,79.010002,80.379997,78.870003,79.839996,557400,75.893188
"RMD",2017-09-11,80.589996,81.870003,80.010002,81.379997,720800,77.357048
"RMD",2017-09-12,81.260002,81.290001,80.559998,80.879997,606000,76.881775
"RMD",2017-09-13,80.790001,80.849998,79.220001,79.610001,672100,75.674576
"RMD",2017-09-14,79.400002,80.610001,79.120003,80.550003,783600,76.568092
"RMD",2017-09-15,80.449997,80.5,79.199997,79.230003,1256600,75.31337
"RMD",2017-09-18,79.639999,79.970001,79.300003,79.529999,439000,75.598511
"RMD",2017-09-19,79.529999,79.639999,78.870003,79.449997,440400,75.522484
"RMD",2017-09-20,79.589996,80.050003,78.959999,79.599998,364900,75.66507
"RMD",2017-09-21,78.5,78.75,77.220001,77.32,768900,73.497765
"RMD",2017-09-22,77.169998,77.599998,77.120003,77.379997,601700,73.554794
"RMD",2017-09-25,77.349998,77.599998,76.620003,77.199997,504100,73.383705
"RMD",2017-09-26,76.760002,76.989998,76.279999,76.300003,445900,72.528175
"RMD",2017-09-27,76.620003,76.800003,75.279999,76.160004,669700,72.395119
"RMD",2017-09-28,76.529999,76.760002,75.830002,76.110001,445600,72.347588
"RMD",2017-09-29,76.010002,77,75.830002,76.959999,423600,73.155563
"RMD",2017-10-02,76.940002,77.440002,76.559998,77.410004,349800,73.583321
"RMD",2017-10-03,77.32,77.800003,76.18,76.529999,528800,72.746803
"RMD",2017-10-04,76.449997,77.379997,76.32,77.269997,508000,73.450218
"RMD",2017-10-05,77.260002,77.650002,76.910004,77.300003,439500,73.478752
"RMD",2017-10-06,76.93,77.360001,76.760002,77.25,352500,73.431221
"RMD",2017-10-09,77.110001,77.230003,75.949997,76.139999,388400,72.376099
"RMD",2017-10-10,76.110001,76.269997,75.620003,76.209999,443300,72.442642
"RMD",2017-10-11,76.410004,76.82,76.019997,76.550003,419600,72.765831
"RMD",2017-10-12,76.900002,77.639999,76.800003,77.589996,546600,73.754425
"RMD",2017-10-13,77.809998,78.059998,77.269997,77.629997,465800,73.792435
"RMD",2017-10-16,77.620003,78.019997,77.330002,77.730003,449600,73.887497
"RMD",2017-10-17,77.75,78.510002,77.510002,78.419998,280700,74.543388
"RMD",2017-10-18,78.879997,79.129997,78.459999,78.870003,422700,74.971153
"RMD",2017-10-19,78.550003,78.870003,77.75,78.790001,337600,74.895088
"RMD",2017-10-20,79.18,79.440002,78.610001,79,462600,75.094727
"RMD",2017-10-23,78.599998,80.599998,78.599998,79.82,652400,75.874176
"RMD",2017-10-24,78.989998,79.279999,78.5,79.050003,677300,75.142258
"RMD",2017-10-25,78.580002,79.910004,77.709999,78.400002,724800,74.524368
"RMD",2017-10-26,78.529999,79.650002,77.870003,78.610001,836700,74.723984
"RMD",2017-10-27,81.879997,87.809998,81.010002,84.419998,1970500,80.24678
"RMD",2017-10-30,84.550003,84.550003,82.739998,82.989998,1142900,78.887482
"RMD",2017-10-31,83.349998,84.32,83.199997,84.18,717200,80.018646
"RMD",2017-11-01,84.68,85.879997,84.5,85.769997,988900,81.530045
"RMD",2017-11-02,84.68,84.889999,82.330002,82.860001,1133400,78.763908
"RMD",2017-11-03,82.089996,83.730003,81.75,83.120003,1129000,79.011047
"RMD",2017-11-06,83.199997,83.93,82.650002,83.239998,450200,79.125107
"RMD",2017-11-07,83.239998,83.379997,82.360001,82.489998,824800,78.412178
"RMD",2017-11-08,82.160004,82.75,81.779999,82.190002,1230800,78.459938
"RMD",2017-11-09,82.050003,82.900002,81.970001,82.720001,598000,78.965858
"RMD",2017-11-10,82.32,83.07,81.519997,83.059998,374900,79.290436
"RMD",2017-11-13,82.389999,84.370003,81.900002,84,918200,80.187767
"RMD",2017-11-14,83.519997,84.25,82.769997,84.220001,668600,80.397789
"RMD",2017-11-15,84,84.440002,83.370003,84.25,497200,80.42643
"RMD",2017-11-16,84.290001,85.199997,84.269997,84.980003,649900,81.123306
"RMD",2017-11-17,84.839996,84.910004,83.650002,84.629997,459000,80.7892
"RMD",2017-11-20,84.599998,84.730003,83.540001,84.709999,422700,80.865532
"RMD",2017-11-21,84.830002,85.690002,84.360001,85.660004,611400,81.772446
"RMD",2017-11-22,85.410004,85.410004,84.769997,85.269997,637400,81.400139
"RMD",2017-11-24,85.269997,85.559998,84.489998,85.110001,153600,81.247406
"RMD",2017-11-27,84.900002,85.010002,84.379997,84.68,506900,80.836906
"RMD",2017-11-28,84.709999,85.5,84.089996,85.190002,521100,81.323792
"RMD",2017-11-29,84.82,85.489998,84.82,85.25,406500,81.381042
"RMD",2017-11-30,85.370003,86.5,85.080002,85.400002,1042300,81.524239
"RMD",2017-12-01,85.360001,85.379997,82.809998,84.25,726100,80.42643
"RMD",2017-12-04,84.309998,84.720001,83.57,83.57,962200,79.777283
"RMD",2017-12-05,83.879997,85.07,83.599998,84.349998,588400,80.521889
"RMD",2017-12-06,84.330002,85.279999,84.040001,85.18,444500,81.314224
"RMD",2017-12-07,85.169998,86.029999,84.93,85.769997,454400,81.877449
"RMD",2017-12-08,85.849998,86.540001,85.529999,86.370003,550100,82.450218
"RMD",2017-12-11,86.300003,86.510002,85.870003,86.440002,426900,82.517044
"RMD",2017-12-12,85.599998,86.699997,85.279999,85.839996,493200,81.944275
