"symbol","date","open","high","low","close","volume","adjusted"
"RX",2006-02-03,6,6.15,3.73,3.9,2188629,3.9
"RX",2006-02-06,NA,NA,NA,NA,NA,NA
"RX",2006-02-07,NA,NA,NA,NA,NA,NA
"RX",2006-02-08,NA,NA,NA,NA,NA,NA
"RX",2006-02-09,4.95,4.97,4.56,4.59,433277,4.59
"RX",2006-02-10,NA,NA,NA,NA,NA,NA
"RX",2006-02-13,NA,NA,NA,NA,NA,NA
"RX",2006-02-14,NA,NA,NA,NA,NA,NA
"RX",2006-02-15,NA,NA,NA,NA,NA,NA
"RX",2006-02-16,NA,NA,NA,NA,NA,NA
"RX",2006-02-17,NA,NA,NA,NA,NA,NA
"RX",2006-02-21,NA,NA,NA,NA,NA,NA
"RX",2006-02-22,NA,NA,NA,NA,NA,NA
"RX",2006-02-23,NA,NA,NA,NA,NA,NA
"RX",2006-02-24,NA,NA,NA,NA,NA,NA
"RX",2006-02-27,NA,NA,NA,NA,NA,NA
"RX",2006-02-28,NA,NA,NA,NA,NA,NA
"RX",2006-03-01,NA,NA,NA,NA,NA,NA
"RX",2006-03-02,NA,NA,NA,NA,NA,NA
"RX",2006-03-03,NA,NA,NA,NA,NA,NA
"RX",2006-03-06,NA,NA,NA,NA,NA,NA
"RX",2006-03-07,NA,NA,NA,NA,NA,NA
"RX",2006-03-08,NA,NA,NA,NA,NA,NA
"RX",2006-03-09,NA,NA,NA,NA,NA,NA
"RX",2006-03-10,NA,NA,NA,NA,NA,NA
"RX",2006-03-13,NA,NA,NA,NA,NA,NA
"RX",2006-03-14,NA,NA,NA,NA,NA,NA
"RX",2006-03-15,NA,NA,NA,NA,NA,NA
"RX",2006-03-16,NA,NA,NA,NA,NA,NA
"RX",2006-03-17,NA,NA,NA,NA,NA,NA
"RX",2006-03-20,NA,NA,NA,NA,NA,NA
"RX",2006-03-21,NA,NA,NA,NA,NA,NA
"RX",2006-03-22,NA,NA,NA,NA,NA,NA
"RX",2006-03-23,NA,NA,NA,NA,NA,NA
"RX",2006-03-24,NA,NA,NA,NA,NA,NA
"RX",2006-03-27,NA,NA,NA,NA,NA,NA
"RX",2006-03-28,NA,NA,NA,NA,NA,NA
"RX",2006-03-29,NA,NA,NA,NA,NA,NA
"RX",2006-03-30,NA,NA,NA,NA,NA,NA
"RX",2006-03-31,NA,NA,NA,NA,NA,NA
"RX",2006-04-03,NA,NA,NA,NA,NA,NA
"RX",2006-04-04,NA,NA,NA,NA,NA,NA
"RX",2006-04-05,NA,NA,NA,NA,NA,NA
"RX",2006-04-06,NA,NA,NA,NA,NA,NA
"RX",2006-04-07,NA,NA,NA,NA,NA,NA
"RX",2006-04-10,NA,NA,NA,NA,NA,NA
"RX",2006-04-11,NA,NA,NA,NA,NA,NA
"RX",2006-04-12,NA,NA,NA,NA,NA,NA
"RX",2006-04-13,NA,NA,NA,NA,NA,NA
"RX",2006-04-17,NA,NA,NA,NA,NA,NA
"RX",2006-04-18,NA,NA,NA,NA,NA,NA
"RX",2006-04-19,NA,NA,NA,NA,NA,NA
"RX",2006-04-20,NA,NA,NA,NA,NA,NA
"RX",2006-04-21,NA,NA,NA,NA,NA,NA
"RX",2006-04-24,NA,NA,NA,NA,NA,NA
"RX",2006-04-25,NA,NA,NA,NA,NA,NA
"RX",2006-04-26,NA,NA,NA,NA,NA,NA
"RX",2006-04-27,NA,NA,NA,NA,NA,NA
"RX",2006-04-28,NA,NA,NA,NA,NA,NA
"RX",2006-05-01,NA,NA,NA,NA,NA,NA
"RX",2006-05-02,NA,NA,NA,NA,NA,NA
"RX",2006-05-03,NA,NA,NA,NA,NA,NA
"RX",2006-05-04,NA,NA,NA,NA,NA,NA
"RX",2006-05-05,NA,NA,NA,NA,NA,NA
"RX",2006-05-08,NA,NA,NA,NA,NA,NA
"RX",2006-05-09,NA,NA,NA,NA,NA,NA
"RX",2006-05-10,NA,NA,NA,NA,NA,NA
"RX",2006-05-11,NA,NA,NA,NA,NA,NA
"RX",2006-05-12,NA,NA,NA,NA,NA,NA
"RX",2006-05-15,NA,NA,NA,NA,NA,NA
"RX",2006-05-16,NA,NA,NA,NA,NA,NA
"RX",2006-05-17,NA,NA,NA,NA,NA,NA
"RX",2006-05-18,9,9.64,8.8,8.88,267671,8.88
"RX",2006-05-19,NA,NA,NA,NA,NA,NA
"RX",2006-05-22,NA,NA,NA,NA,NA,NA
"RX",2006-05-23,NA,NA,NA,NA,NA,NA
"RX",2006-05-24,NA,NA,NA,NA,NA,NA
"RX",2006-05-25,NA,NA,NA,NA,NA,NA
"RX",2006-05-26,NA,NA,NA,NA,NA,NA
"RX",2006-05-30,NA,NA,NA,NA,NA,NA
"RX",2006-05-31,NA,NA,NA,NA,NA,NA
"RX",2006-06-01,NA,NA,NA,NA,NA,NA
"RX",2006-06-02,NA,NA,NA,NA,NA,NA
"RX",2006-06-05,NA,NA,NA,NA,NA,NA
"RX",2006-06-06,NA,NA,NA,NA,NA,NA
"RX",2006-06-07,NA,NA,NA,NA,NA,NA
"RX",2006-06-08,NA,NA,NA,NA,NA,NA
"RX",2006-06-09,NA,NA,NA,NA,NA,NA
"RX",2006-06-12,NA,NA,NA,NA,NA,NA
"RX",2006-06-13,NA,NA,NA,NA,NA,NA
"RX",2006-06-14,NA,NA,NA,NA,NA,NA
"RX",2006-06-15,NA,NA,NA,NA,NA,NA
"RX",2006-06-16,NA,NA,NA,NA,NA,NA
"RX",2006-06-19,NA,NA,NA,NA,NA,NA
"RX",2006-06-20,NA,NA,NA,NA,NA,NA
"RX",2006-06-21,NA,NA,NA,NA,NA,NA
"RX",2006-06-22,NA,NA,NA,NA,NA,NA
"RX",2006-06-23,NA,NA,NA,NA,NA,NA
"RX",2006-06-26,NA,NA,NA,NA,NA,NA
"RX",2006-06-27,NA,NA,NA,NA,NA,NA
"RX",2006-06-28,NA,NA,NA,NA,NA,NA
"RX",2006-06-29,NA,NA,NA,NA,NA,NA
"RX",2006-06-30,NA,NA,NA,NA,NA,NA
"RX",2006-07-03,NA,NA,NA,NA,NA,NA
"RX",2006-07-05,NA,NA,NA,NA,NA,NA
"RX",2006-07-06,NA,NA,NA,NA,NA,NA
"RX",2006-07-07,NA,NA,NA,NA,NA,NA
"RX",2006-07-10,NA,NA,NA,NA,NA,NA
"RX",2006-07-11,NA,NA,NA,NA,NA,NA
"RX",2006-07-12,NA,NA,NA,NA,NA,NA
"RX",2006-07-13,NA,NA,NA,NA,NA,NA
"RX",2006-07-14,NA,NA,NA,NA,NA,NA
"RX",2006-07-17,NA,NA,NA,NA,NA,NA
"RX",2006-07-18,NA,NA,NA,NA,NA,NA
"RX",2006-07-19,NA,NA,NA,NA,NA,NA
"RX",2006-07-20,NA,NA,NA,NA,NA,NA
"RX",2006-07-21,NA,NA,NA,NA,NA,NA
"RX",2006-07-24,NA,NA,NA,NA,NA,NA
"RX",2006-07-25,NA,NA,NA,NA,NA,NA
"RX",2006-07-26,NA,NA,NA,NA,NA,NA
"RX",2006-07-27,NA,NA,NA,NA,NA,NA
"RX",2006-07-28,NA,NA,NA,NA,NA,NA
"RX",2006-07-31,NA,NA,NA,NA,NA,NA
"RX",2006-08-01,NA,NA,NA,NA,NA,NA
"RX",2006-08-02,NA,NA,NA,NA,NA,NA
"RX",2006-08-03,NA,NA,NA,NA,NA,NA
"RX",2006-08-04,NA,NA,NA,NA,NA,NA
"RX",2006-08-07,NA,NA,NA,NA,NA,NA
"RX",2006-08-08,NA,NA,NA,NA,NA,NA
"RX",2006-08-09,NA,NA,NA,NA,NA,NA
"RX",2006-08-10,NA,NA,NA,NA,NA,NA
"RX",2006-08-11,NA,NA,NA,NA,NA,NA
"RX",2006-08-14,NA,NA,NA,NA,NA,NA
"RX",2006-08-15,NA,NA,NA,NA,NA,NA
"RX",2006-08-16,NA,NA,NA,NA,NA,NA
"RX",2006-08-17,NA,NA,NA,NA,NA,NA
"RX",2006-08-18,NA,NA,NA,NA,NA,NA
"RX",2006-08-21,NA,NA,NA,NA,NA,NA
"RX",2006-08-22,NA,NA,NA,NA,NA,NA
"RX",2006-08-23,NA,NA,NA,NA,NA,NA
"RX",2006-08-24,NA,NA,NA,NA,NA,NA
"RX",2006-08-25,NA,NA,NA,NA,NA,NA
"RX",2006-08-28,NA,NA,NA,NA,NA,NA
"RX",2006-08-29,NA,NA,NA,NA,NA,NA
"RX",2006-08-30,NA,NA,NA,NA,NA,NA
"RX",2006-08-31,NA,NA,NA,NA,NA,NA
"RX",2006-09-01,NA,NA,NA,NA,NA,NA
"RX",2006-09-05,NA,NA,NA,NA,NA,NA
"RX",2006-09-06,NA,NA,NA,NA,NA,NA
"RX",2006-09-07,NA,NA,NA,NA,NA,NA
"RX",2006-09-08,NA,NA,NA,NA,NA,NA
"RX",2006-09-11,NA,NA,NA,NA,NA,NA
"RX",2006-09-12,NA,NA,NA,NA,NA,NA
"RX",2006-09-13,NA,NA,NA,NA,NA,NA
"RX",2006-09-14,NA,NA,NA,NA,NA,NA
"RX",2006-09-15,NA,NA,NA,NA,NA,NA
"RX",2006-09-18,NA,NA,NA,NA,NA,NA
"RX",2006-09-19,NA,NA,NA,NA,NA,NA
"RX",2006-09-20,NA,NA,NA,NA,NA,NA
"RX",2006-09-21,NA,NA,NA,NA,NA,NA
"RX",2006-09-22,NA,NA,NA,NA,NA,NA
"RX",2006-09-25,NA,NA,NA,NA,NA,NA
"RX",2006-09-26,NA,NA,NA,NA,NA,NA
"RX",2006-09-27,NA,NA,NA,NA,NA,NA
"RX",2006-09-28,NA,NA,NA,NA,NA,NA
"RX",2006-09-29,NA,NA,NA,NA,NA,NA
"RX",2006-10-02,NA,NA,NA,NA,NA,NA
"RX",2006-10-03,NA,NA,NA,NA,NA,NA
"RX",2006-10-04,NA,NA,NA,NA,NA,NA
"RX",2006-10-05,NA,NA,NA,NA,NA,NA
"RX",2006-10-06,NA,NA,NA,NA,NA,NA
"RX",2006-10-09,NA,NA,NA,NA,NA,NA
"RX",2006-10-10,NA,NA,NA,NA,NA,NA
"RX",2006-10-11,NA,NA,NA,NA,NA,NA
"RX",2006-10-12,NA,NA,NA,NA,NA,NA
"RX",2006-10-13,NA,NA,NA,NA,NA,NA
"RX",2006-10-16,NA,NA,NA,NA,NA,NA
"RX",2006-10-17,NA,NA,NA,NA,NA,NA
"RX",2006-10-18,NA,NA,NA,NA,NA,NA
"RX",2006-10-19,NA,NA,NA,NA,NA,NA
"RX",2006-10-20,NA,NA,NA,NA,NA,NA
"RX",2006-10-23,NA,NA,NA,NA,NA,NA
"RX",2006-10-24,NA,NA,NA,NA,NA,NA
"RX",2006-10-25,NA,NA,NA,NA,NA,NA
"RX",2006-10-26,NA,NA,NA,NA,NA,NA
"RX",2006-10-27,NA,NA,NA,NA,NA,NA
