"symbol","date","open","high","low","close","volume","adjusted"
"SBUX",2000-06-08,4.320313,4.462891,4.3125,4.414063,40236000,3.585812
"SBUX",2000-06-09,4.46875,4.5625,4.375,4.46875,12570400,3.630235
"SBUX",2000-06-12,4.472656,4.476563,4.226563,4.234375,16373600,3.439839
"SBUX",2000-06-13,4.265625,4.601563,4.25,4.492188,13188800,3.649274
"SBUX",2000-06-14,4.5,4.505859,4.304688,4.398438,8879200,3.573117
"SBUX",2000-06-15,4.40625,4.453125,4.304688,4.335938,7989600,3.522343
"SBUX",2000-06-16,4.476563,4.484375,4.34375,4.359375,9588800,3.541384
"SBUX",2000-06-19,4.367188,4.40625,4.320313,4.390625,7847200,3.566769
"SBUX",2000-06-20,4.375,4.46875,4.28125,4.4375,9499200,3.604848
"SBUX",2000-06-21,4.4375,4.59375,4.4375,4.523438,11316800,3.674662
"SBUX",2000-06-22,4.515625,4.609375,4.460938,4.476563,10972800,3.636583
"SBUX",2000-06-23,4.515625,4.53125,4.40625,4.414063,8563200,3.585812
"SBUX",2000-06-26,4.390625,4.53125,4.375,4.53125,8988800,3.681009
"SBUX",2000-06-27,4.5,4.773438,4.484375,4.6875,21997600,3.807939
"SBUX",2000-06-28,4.6875,4.820313,4.664063,4.773438,15008800,3.877752
"SBUX",2000-06-29,4.757813,4.765625,4.671875,4.734375,14005600,3.846018
"SBUX",2000-06-30,4.742188,4.867188,4.736328,4.773438,19087200,3.877752
"SBUX",2000-07-03,4.75,4.851563,4.734375,4.8125,4152800,3.909485
"SBUX",2000-07-05,4.820313,4.875,4.710938,4.789063,9477600,3.890446
"SBUX",2000-07-06,4.820313,4.84375,4.5625,4.757813,24504000,3.865059
"SBUX",2000-07-07,4.867188,5.25,4.84375,5.226563,43858400,4.245853
"SBUX",2000-07-10,5.171875,5.34375,4.96875,4.96875,27056000,4.036416
"SBUX",2000-07-11,4.9375,5.101563,4.929688,4.992188,10144000,4.055457
"SBUX",2000-07-12,4.96875,5.140625,4.96875,5.039063,11012800,4.093535
"SBUX",2000-07-13,5,5.015625,4.9375,5,9336800,4.061802
"SBUX",2000-07-14,4.992188,5.015625,4.953125,5,7544000,4.061802
"SBUX",2000-07-17,4.960938,5.015625,4.953125,4.976563,6392000,4.042762
"SBUX",2000-07-18,4.96875,5.101563,4.953125,4.96875,12171200,4.036416
"SBUX",2000-07-19,4.953125,5.03125,4.953125,4.96875,8169600,4.036416
"SBUX",2000-07-20,4.988281,5.109375,4.984375,5,11516800,4.061802
"SBUX",2000-07-21,4.976563,5.054688,4.96875,4.992188,14138400,4.055457
"SBUX",2000-07-24,5,5.046875,4.921875,4.964844,11320000,4.033244
"SBUX",2000-07-25,4.914063,4.9375,4.632813,4.820313,42159200,3.915833
"SBUX",2000-07-26,4.78125,4.789063,4.679688,4.710938,20628800,3.826978
"SBUX",2000-07-27,4.710938,4.757813,4.492188,4.515625,29740800,3.668315
"SBUX",2000-07-28,4.625,4.984375,4.609375,4.625,21852000,3.757166
"SBUX",2000-07-31,4.640625,4.890625,4.578125,4.6875,11788800,3.807939
"SBUX",2000-08-01,4.683594,4.796875,4.679688,4.742188,9661600,3.852365
"SBUX",2000-08-02,4.75,5.007813,4.742188,4.90625,11322400,3.985643
"SBUX",2000-08-03,4.859375,5.03125,4.835938,5.007813,12997600,4.068149
"SBUX",2000-08-04,5.015625,5.242188,5,5.210938,19534400,4.23316
"SBUX",2000-08-07,5.171875,5.375,5.101563,5.351563,24337600,4.347398
"SBUX",2000-08-08,5.28125,5.414063,5.25,5.359375,17934400,4.353745
"SBUX",2000-08-09,5.335938,5.453125,5.328125,5.375,16178400,4.366438
"SBUX",2000-08-10,5.351563,5.515625,5.328125,5.359375,22708000,4.353745
"SBUX",2000-08-11,5.359375,5.363281,5.195313,5.335938,15380000,4.334704
"SBUX",2000-08-14,5.34375,5.351563,5.148438,5.242188,12744000,4.258545
"SBUX",2000-08-15,5.21875,5.226563,5.0625,5.09375,10412800,4.13796
"SBUX",2000-08-16,5.054688,5.179688,4.828125,5.054688,22195200,4.106229
"SBUX",2000-08-17,4.953125,4.960938,4.71875,4.78125,27787200,3.884099
"SBUX",2000-08-18,4.75,4.753906,4.523438,4.578125,31872000,3.719088
"SBUX",2000-08-21,4.59375,4.703125,4.554688,4.65625,12217600,3.782553
"SBUX",2000-08-22,4.671875,4.804688,4.664063,4.6875,11711200,3.807939
"SBUX",2000-08-23,4.582031,4.585938,4.453125,4.476563,41151200,3.636583
"SBUX",2000-08-24,4.484375,4.515625,4.4375,4.515625,12645600,3.668315
"SBUX",2000-08-25,4.523438,4.632813,4.4375,4.46875,10297600,3.630235
"SBUX",2000-08-28,4.476563,4.5625,4.445313,4.507813,9989600,3.661968
"SBUX",2000-08-29,4.539063,4.546875,4.320313,4.390625,15006400,3.566769
"SBUX",2000-08-30,4.390625,4.671875,4.390625,4.585938,19828000,3.725434
"SBUX",2000-08-31,4.59375,4.695313,4.507813,4.578125,9632000,3.719088
"SBUX",2000-09-01,4.78125,4.9375,4.703125,4.710938,14924000,3.826978
"SBUX",2000-09-05,4.753906,4.851563,4.6875,4.703125,7419200,3.820633
"SBUX",2000-09-06,4.8125,4.8125,4.609375,4.617188,12783200,3.750821
"SBUX",2000-09-07,4.65625,4.71875,4.59375,4.703125,6658400,3.820633
"SBUX",2000-09-08,4.65625,4.671875,4.53125,4.53125,6394400,3.681009
"SBUX",2000-09-11,4.542969,4.648438,4.484375,4.546875,8928000,3.693702
"SBUX",2000-09-12,4.578125,4.71875,4.570313,4.671875,7355200,3.795246
"SBUX",2000-09-13,4.6875,4.921875,4.679688,4.867188,14172800,3.953909
"SBUX",2000-09-14,4.859375,4.859375,4.6875,4.742188,12324000,3.852365
