"symbol","date","open","high","low","close","volume","adjusted"
"SCG",2015-07-16,53.25,54.220001,52.959999,54.130001,816385,47.268806
"SCG",2015-07-17,53.939999,54.189999,53.625,53.66,884286,46.858387
"SCG",2015-07-20,53.529999,53.610001,52.900002,53.139999,732045,46.404297
"SCG",2015-07-21,53.080002,53.209999,52.419998,52.759998,701174,46.07246
"SCG",2015-07-22,52.759998,53.41,52.5812,53.029999,838960,46.308235
"SCG",2015-07-23,52.900002,53,51.98,52.290001,695342,45.662037
"SCG",2015-07-24,52.23,52.709999,52.110001,52.57,554369,45.906544
"SCG",2015-07-27,52.610001,53.489899,52.610001,53.330002,713465,46.570217
"SCG",2015-07-28,53.279999,53.59,53.049999,53.299999,956991,46.544014
"SCG",2015-07-29,53.110001,53.860001,52.790001,53.849998,1022839,47.024303
"SCG",2015-07-30,53.419998,54.43,53.349998,54.080002,740514,47.225155
"SCG",2015-07-31,54.48,55.5,54.48,54.799999,1136808,47.853886
"SCG",2015-08-03,54.869999,55.220001,54.560001,54.779999,721982,47.836418
"SCG",2015-08-04,54.509998,54.59,54.049999,54.16,776231,47.295002
"SCG",2015-08-05,54.325001,54.830002,54.110001,54.599998,551779,47.679241
"SCG",2015-08-06,54.619999,55.360001,54.200001,55.290001,849116,48.281776
"SCG",2015-08-07,55.16,56.23,54.830002,56.040001,595480,48.936714
"SCG",2015-08-10,55.959999,56.240002,55.52,55.709999,866895,48.648537
"SCG",2015-08-11,55.75,56.5,55.540001,56.07,683625,48.962906
"SCG",2015-08-12,55.91,57,55.470001,56.779999,813545,49.582909
"SCG",2015-08-13,56.5,57.240002,56.080002,57.009998,754021,49.783756
"SCG",2015-08-14,56.860001,57.290001,56.610001,57.259998,541439,50.002068
"SCG",2015-08-17,57.290001,57.73,57.139999,57.369999,623637,50.098133
"SCG",2015-08-18,57.23,57.41,56.889999,57.049999,646373,49.818691
"SCG",2015-08-19,56.68,57.18,56.009998,57.029999,661907,49.80122
"SCG",2015-08-20,56.720001,57.389999,56.349998,56.77,737055,49.574173
"SCG",2015-08-21,56.48,57.25,56.200001,56.540001,1227090,49.373329
"SCG",2015-08-24,56.540001,56.540001,53.630001,53.860001,1510858,47.033039
"SCG",2015-08-25,54.32,54.703899,52.150002,52.200001,1106878,45.583447
"SCG",2015-08-26,51.830002,53.610001,51.669998,53.470001,1526574,46.692474
"SCG",2015-08-27,53.599998,54.040001,53.27,54.02,751386,47.17276
"SCG",2015-08-28,54.09,54.189999,53.150002,53.919998,657393,47.085423
"SCG",2015-08-31,53.75,53.810001,52.450001,52.889999,932765,46.185986
"SCG",2015-09-01,52.200001,52.540001,51.209999,51.470001,1037198,44.945969
"SCG",2015-09-02,51.939999,51.965401,51.009998,51.66,917877,45.111893
"SCG",2015-09-03,51.880001,52.130001,51.59,51.82,695281,45.25161
"SCG",2015-09-04,51.459999,51.470001,50.669998,50.869999,741042,44.422024
"SCG",2015-09-08,50.869999,51.389999,50.740002,51.380001,914963,45.353279
"SCG",2015-09-09,51.48,51.630001,50.68,50.779999,759840,44.823654
"SCG",2015-09-10,50.560001,51.139999,50.369999,50.509998,664856,44.585331
"SCG",2015-09-11,50.310001,51.560001,50.169998,51.549999,973905,45.503338
"SCG",2015-09-14,51.639999,52.16,51.48,51.700001,808798,45.63575
"SCG",2015-09-15,51.82,52.34,51.439999,52.139999,679875,46.024136
"SCG",2015-09-16,52.099998,52.68,51.790001,52.330002,1038245,46.191853
"SCG",2015-09-17,52.209999,53.5,52.049999,52.84,698895,46.642025
"SCG",2015-09-18,52.400002,53.060001,52.310001,52.41,1254444,46.262463
"SCG",2015-09-21,52.610001,52.990002,52.400002,52.939999,629626,46.730293
"SCG",2015-09-22,52.610001,52.939999,52.330002,52.450001,549343,46.297771
"SCG",2015-09-23,52.380001,52.895,52.27,52.759998,443378,46.571407
"SCG",2015-09-24,52.540001,53.450001,52.43,53.27,793971,47.021587
"SCG",2015-09-25,53.439999,54.59,53.16,54.09,731974,47.745403
"SCG",2015-09-28,54.060001,54.509998,53.830002,54.040001,795687,47.701263
"SCG",2015-09-29,54.189999,55.130001,54.110001,54.779999,1845083,48.354465
"SCG",2015-09-30,54.939999,56.334999,54.82,56.259998,1473869,49.66087
"SCG",2015-10-01,56.41,56.414001,54.84,55.389999,1317456,48.892918
"SCG",2015-10-02,55.759998,56.119999,55.279999,56.09,1021449,49.510807
"SCG",2015-10-05,56.279999,56.470001,55.669998,56.419998,871252,49.802097
