"symbol","date","open","high","low","close","volume","adjusted"
"SEE",1998-04-01,33.25,33.25,32.125,32.34375,1352000,23.959867
"SEE",1998-04-02,32.46875,32.75,31.5,32.6875,838200,24.214512
"SEE",1998-04-03,32.8125,32.96875,32.59375,32.59375,580400,24.145069
"SEE",1998-04-06,32.71875,32.75,32.0625,32.21875,551000,23.867273
"SEE",1998-04-07,32.34375,32.34375,31.75,32.0625,422000,23.751524
"SEE",1998-04-08,31.9375,32.09375,31.5625,31.71875,914200,23.496872
"SEE",1998-04-09,31.75,31.75,31.34375,31.5,1123000,23.334826
"SEE",1998-04-13,31.625,31.65625,30.90625,31.15625,1228400,23.080183
"SEE",1998-04-14,31.28125,32.0625,31.28125,31.96875,1380600,23.682076
"SEE",1998-04-15,32.09375,32.1875,31.78125,31.78125,1267800,23.543171
"SEE",1998-04-16,31.8125,31.84375,31.21875,31.34375,592400,23.219084
"SEE",1998-04-17,31.3125,31.3125,30.1875,30.9375,1454800,22.918142
"SEE",1998-04-20,30.9375,31.6875,30.9375,31.28125,2093000,23.172777
"SEE",1998-04-21,31.34375,31.5625,31.25,31.4375,1096400,23.28853
"SEE",1998-04-22,31.40625,31.40625,30.65625,30.65625,1398800,22.709795
"SEE",1998-04-23,30.6875,30.75,30.125,30.5625,723000,22.640345
"SEE",1998-04-24,30.53125,30.53125,29.125,29.125,515200,21.57546
"SEE",1998-04-27,28.8125,29.625,28.625,29.375,2014200,21.760653
"SEE",1998-04-28,30.125,30.125,29.78125,29.90625,1639200,22.1542
"SEE",1998-04-29,29.9375,30.9375,29.9375,30.75,1832800,22.779245
"SEE",1998-04-30,30.75,31.5625,30.75,31.34375,1563600,23.219084
"SEE",1998-05-01,31.375,31.6875,31.1875,31.625,799400,23.427431
"SEE",1998-05-04,31.53125,31.96875,31.53125,31.53125,527600,23.357986
"SEE",1998-05-05,31.5,31.6875,31.34375,31.4375,317400,23.28853
"SEE",1998-05-06,27.5,27.625,26.375,27.28125,11532200,20.209625
"SEE",1998-05-07,27.28125,27.6875,27,27.03125,3255400,20.024433
"SEE",1998-05-08,27.0625,27.09375,25.875,26.125,2882600,19.353098
"SEE",1998-05-11,26.375,27.4375,26.25,27.40625,1323600,20.302223
"SEE",1998-05-12,27.375,27.4375,26.96875,27.25,2200800,20.18648
"SEE",1998-05-13,27.28125,27.96875,27.28125,27.65625,1430800,20.487421
"SEE",1998-05-14,27.625,27.6875,27.375,27.46875,864800,20.348526
"SEE",1998-05-15,27.40625,27.59375,27.21875,27.21875,1415000,20.16333
"SEE",1998-05-18,27.21875,27.375,26.90625,27.0625,467400,20.047586
"SEE",1998-05-19,27.1875,27.3125,27.03125,27.25,817600,20.18648
"SEE",1998-05-20,27.625,27.71875,27.25,27.3125,373400,20.232779
"SEE",1998-05-21,27.25,27.34375,26.90625,27.0625,561600,20.047586
"SEE",1998-05-22,27,27.21875,27,27.1875,422200,20.140182
"SEE",1998-05-26,27.1875,27.1875,26.8125,26.8125,437200,19.862381
"SEE",1998-05-27,26.6875,26.6875,26.125,26.375,424400,19.538294
"SEE",1998-05-28,26.5,27.0625,26.5,26.96875,376600,19.978134
"SEE",1998-05-29,27,27.09375,26.6875,26.75,672000,19.816086
"SEE",1998-06-01,26.625,27,26.625,26.8125,606600,19.862381
"SEE",1998-06-02,26.71875,26.8125,26,26.125,1784600,19.353098
"SEE",1998-06-03,26.09375,26.53125,26,26.5,866800,19.630892
"SEE",1998-06-04,26.5,26.53125,26,26.125,1504200,19.353098
"SEE",1998-06-05,26.125,26.15625,25.65625,25.6875,1303400,19.028999
"SEE",1998-06-08,25.75,25.75,25.3125,25.53125,2337600,18.91325
"SEE",1998-06-09,25.625,25.6875,25.375,25.375,1805200,18.797504
"SEE",1998-06-10,25.25,25.4375,25.0625,25.125,1094400,18.612314
"SEE",1998-06-11,25.09375,25.15625,24.625,24.8125,949600,18.380814
"SEE",1998-06-12,24.84375,25.0625,24.40625,24.46875,469000,18.126169
"SEE",1998-06-15,24.125,24.21875,23.875,23.90625,663400,17.709473
"SEE",1998-06-16,23.96875,24.09375,23.34375,23.4375,839200,17.362225
"SEE",1998-06-17,23.875,23.9375,19.8125,20.25,9340200,15.000967
"SEE",1998-06-18,20,20,18.9375,19.125,5971400,14.167576
"SEE",1998-06-19,19.25,19.40625,18.28125,18.75,3654400,13.88978
"SEE",1998-06-22,18.75,18.8125,18.375,18.5,1647000,13.704586
"SEE",1998-06-23,18.625,19.375,18.625,18.96875,1858000,14.051829
"SEE",1998-06-24,19.125,19.1875,18.53125,18.53125,1725000,13.727731
"SEE",1998-06-25,18.53125,18.75,18.3125,18.5,2328000,13.704586
"SEE",1998-06-26,18.5,18.53125,18.125,18.21875,1642400,13.496231
"SEE",1998-06-29,18.34375,19,18.25,18.28125,1810400,13.542533
"SEE",1998-06-30,18.375,18.4375,18.03125,18.375,1078400,13.611982
"SEE",1998-07-01,18.375,18.625,17.875,17.96875,2231000,13.311043
"SEE",1998-07-02,17.875,18.125,17.6875,17.875,1581800,13.241588
"SEE",1998-07-06,17.8125,17.8125,17.5,17.625,2172800,13.056393
"SEE",1998-07-07,17.5,18.34375,17.0625,18.03125,2266400,13.357342
"SEE",1998-07-08,18.3125,18.8125,18.25,18.8125,2782400,13.936084
"SEE",1998-07-09,18.8125,19.25,18.71875,18.875,2635200,13.98238
"SEE",1998-07-10,19,19.875,19,19.875,2156800,14.723163
"SEE",1998-07-13,19.9375,20.25,19.9375,20.0625,1516200,14.862065
"SEE",1998-07-14,20.0625,20.125,19.875,20.03125,491400,14.838917
"SEE",1998-07-15,20,20.5,20,20.375,867600,15.093564
"SEE",1998-07-16,20.25,20.375,19.875,20.34375,665000,15.070413
"SEE",1998-07-17,20.34375,20.375,19.5,19.5,1004000,14.445373
"SEE",1998-07-20,19.5,19.6875,19.3125,19.46875,635600,14.422224
"SEE",1998-07-21,19.46875,19.5,18.8125,18.875,1414800,13.98238
"SEE",1998-07-22,18.90625,18.9375,17.6875,18.9375,2220400,14.028677
"SEE",1998-07-23,18.96875,19.1875,18.25,18.28125,1119800,13.542533
"SEE",1998-07-24,18.3125,18.4375,18,18.4375,1395200,13.658282
"SEE",1998-07-27,18.5,20,18.5,19.96875,1239600,14.792614
"SEE",1998-07-28,19.90625,19.90625,19.125,19.15625,1000800,14.190729
"SEE",1998-07-29,19.25,20.15625,19.25,19.875,2256400,14.723163
"SEE",1998-07-30,19.875,20.6875,19.875,20.5,1070400,15.186158
"SEE",1998-07-31,20.4375,20.5,19.875,20,816600,14.815764
"SEE",1998-08-03,19.9375,20.125,19.6875,19.6875,551200,14.584269
"SEE",1998-08-04,19.75,20.5,19.59375,20.3125,1262600,15.047261
"SEE",1998-08-05,20.3125,20.375,19.8125,20.375,1768000,15.093564
"SEE",1998-08-06,20.25,20.71875,20.125,20.15625,916800,14.931518
"SEE",1998-08-07,20.1875,21.15625,20.0625,21.0625,1009800,15.602853
"SEE",1998-08-10,21.0625,21.5625,20.875,21.21875,381400,15.718594
"SEE",1998-08-11,21.1875,21.1875,20.5,20.59375,1331800,15.255607
"SEE",1998-08-12,20.5625,20.9375,20.5625,20.875,790800,15.463949
"SEE",1998-08-13,20.96875,21.21875,20.671875,20.75,754600,15.371352
"SEE",1998-08-14,20.875,21.1875,20.875,21.125,1769600,15.649148
"SEE",1998-08-17,21.0625,21.21875,20.90625,21.09375,678400,15.626002
"SEE",1998-08-18,21.09375,21.375,21.03125,21.34375,487000,15.811196
"SEE",1998-08-19,21.53125,21.6875,21.5,21.5,1227800,15.92695
