"symbol","date","open","high","low","close","volume","adjusted"
"SLM",1998-07-01,5.837503,5.941744,5.733262,5.897069,16993653,4.524332
"SLM",1998-07-02,5.889624,5.964081,5.852395,5.94919,9564124,4.564321
"SLM",1998-07-06,5.971527,6.075768,5.897069,6.075768,4299407,4.661432
"SLM",1998-07-07,6.068323,6.068323,5.904515,5.904515,10662059,4.530046
"SLM",1998-07-08,5.926853,5.934298,5.882178,5.926853,11023001,4.547182
"SLM",1998-07-09,5.941744,5.94919,5.800274,5.80772,6381958,4.455782
"SLM",1998-07-10,5.956636,6.045985,5.852395,5.934298,12213270,4.552896
"SLM",1998-07-13,5.822611,5.956636,5.792828,5.956636,3852846,4.570033
"SLM",1998-07-14,5.956636,6.105552,5.911961,6.068323,6673230,4.65572
"SLM",1998-07-15,6.075768,6.120443,5.904515,5.919407,5062421,4.541468
"SLM",1998-07-16,5.897069,5.897069,5.80772,5.837503,5710438,4.478633
"SLM",1998-07-17,5.852395,5.852395,5.740708,5.740708,7100485,4.404367
"SLM",1998-07-20,5.740708,5.777937,5.66625,5.673695,2242037,4.352956
"SLM",1998-07-21,5.696033,5.696033,5.584346,5.673695,5911894,4.352956
"SLM",1998-07-22,5.703479,5.710924,5.599238,5.658804,7329641,4.34153
"SLM",1998-07-23,5.643912,5.673695,5.584346,5.584346,5540040,4.284406
"SLM",1998-07-24,5.584346,5.629021,5.52478,5.569454,7258292,4.272982
"SLM",1998-07-27,5.52478,5.658804,5.517334,5.629021,3710987,4.318682
"SLM",1998-07-28,5.614129,5.614129,5.43543,5.532225,2502251,4.244417
"SLM",1998-07-29,5.52478,5.554563,5.465213,5.487551,6447431,4.210141
"SLM",1998-07-30,5.472659,5.509888,5.465213,5.502442,4690567,4.221566
"SLM",1998-07-31,5.502442,5.562009,5.480105,5.509888,4483235,4.227283
"SLM",1998-08-03,5.480105,5.502442,5.442876,5.450322,3662302,4.18158
"SLM",1998-08-04,5.43543,5.450322,5.092924,5.137598,4855090,3.941653
"SLM",1998-08-05,5.197165,5.323743,5.107815,5.182273,2806954,3.975927
"SLM",1998-08-06,5.167381,5.241839,5.15249,5.241839,3254354,4.021628
"SLM",1998-08-07,5.241839,5.29396,5.092924,5.092924,3759673,3.907379
"SLM",1998-08-10,5.092924,5.219502,5.055695,5.219502,2461121,4.004491
"SLM",1998-08-11,5.167381,5.271623,5.078032,5.226948,4983518,4.010203
"SLM",1998-08-12,5.219502,5.390755,5.167381,5.331189,8156450,4.09018
"SLM",1998-08-13,5.316297,5.360972,5.182273,5.182273,3317309,3.975927
"SLM",1998-08-14,5.189719,5.212056,4.958899,4.966345,3203990,3.810264
"SLM",1998-08-17,4.951453,5.234394,4.951453,5.107815,2062406,3.918803
"SLM",1998-08-18,5.107815,5.189719,5.070586,5.115261,4760237,3.924515
"SLM",1998-08-19,5.137598,5.137598,5.01102,5.070586,2902645,3.89024
"SLM",1998-08-20,5.06314,5.212056,5.048249,5.085478,4563818,3.901665
"SLM",1998-08-21,5.06314,5.078032,4.854658,5.003574,3269463,3.838828
"SLM",1998-08-24,5.033357,5.115261,5.025911,5.048249,6178823,3.873103
"SLM",1998-08-25,5.06314,5.078032,4.944008,4.944008,2681883,3.793128
"SLM",1998-08-26,4.914224,4.914224,4.713188,4.735525,3192238,3.633176
"SLM",1998-08-27,4.675959,4.72808,4.586609,4.675959,4557103,3.587476
"SLM",1998-08-28,4.683405,4.720634,4.437694,4.452585,5545916,3.416099
"SLM",1998-08-31,4.482368,4.564272,4.244103,4.273886,8158129,3.278997
"SLM",1998-09-01,4.333452,4.586609,4.333452,4.549381,12303086,3.490363
"SLM",1998-09-02,4.467477,4.571718,4.273886,4.348344,9073075,3.3484
"SLM",1998-09-03,4.169645,4.326007,4.139862,4.236657,5365445,3.262396
"SLM",1998-09-04,4.40791,4.40791,4.065404,4.102633,5976528,3.159192
"SLM",1998-09-08,4.169645,4.348344,4.169645,4.221766,13794700,3.250929
"SLM",1998-09-09,4.21432,4.21432,4.020729,4.028175,11901853,3.101857
"SLM",1998-09-10,3.633548,3.827138,3.55909,3.737789,20315998,2.878247
"SLM",1998-09-11,3.708006,4.020729,3.663331,3.990946,10790487,3.073189
"SLM",1998-09-14,4.020729,4.154753,4.020729,4.139862,8576989,3.18786
"SLM",1998-09-15,4.080295,4.169645,4.080295,4.139862,6981290,3.18786
"SLM",1998-09-16,3.990946,4.050512,3.93138,4.035621,13980207,3.107591
"SLM",1998-09-17,3.961163,3.961163,3.75268,3.782464,9169606,2.912649
"SLM",1998-09-18,3.663331,3.715452,3.566536,3.693114,20842302,2.843846
"SLM",1998-09-21,3.544198,3.626102,3.484632,3.573981,13442991,2.75211
"SLM",1998-09-22,3.573981,3.573981,3.27615,3.335716,14796943,2.568635
"SLM",1998-09-23,3.410174,3.61121,3.402728,3.551644,19963450,2.734908
"SLM",1998-09-24,3.551644,3.804801,3.529307,3.782464,15624592,2.912649
"SLM",1998-09-25,3.782464,4.080295,3.75268,4.065404,12521330,3.130524
"SLM",1998-09-28,3.990946,4.154753,3.9835,4.065404,9470111,3.130524
