"symbol","date","open","high","low","close","volume","adjusted"
"SOV",2004-07-01,31.139999,31.139999,31.139999,31.139999,0,31.139999
"SOV",2004-07-02,32.389999,32.389999,32.389999,32.389999,0,32.389999
"SOV",2004-07-06,32.509998,32.509998,32.509998,32.509998,0,32.509998
"SOV",2004-07-07,32.09,32.09,32.09,32.09,0,32.09
"SOV",2004-07-08,32.290001,32.290001,32.290001,32.290001,0,32.290001
"SOV",2004-07-09,32.25,32.25,32.25,32.25,0,32.25
"SOV",2004-07-12,31.690001,31.690001,31.690001,31.690001,0,31.690001
"SOV",2004-07-13,32.310001,32.310001,32.310001,32.310001,0,32.310001
"SOV",2004-07-14,32.470001,32.470001,32.470001,32.470001,0,32.470001
"SOV",2004-07-15,32.279999,32.279999,32.279999,32.279999,0,32.279999
"SOV",2004-07-16,32.59,32.59,32.59,32.59,0,32.59
"SOV",2004-07-19,32.59,32.59,32.59,32.59,0,32.59
"SOV",2004-07-20,32.509998,32.509998,32.509998,32.509998,0,32.509998
"SOV",2004-07-21,33.18,33.18,33.18,33.18,0,33.18
"SOV",2004-07-22,32.889999,32.889999,32.889999,32.889999,0,32.889999
"SOV",2004-07-23,32.009998,32.009998,32.009998,32.009998,0,32.009998
"SOV",2004-07-26,32.060001,32.060001,32.060001,32.060001,0,32.060001
"SOV",2004-07-27,31.620001,31.620001,31.620001,31.620001,0,31.620001
"SOV",2004-07-28,31.58,31.58,31.58,31.58,0,31.58
"SOV",2004-07-29,31.809999,31.809999,31.809999,31.809999,0,31.809999
"SOV",2004-07-30,31.790001,31.790001,31.790001,31.790001,0,31.790001
"SOV",2004-08-02,31.860001,31.860001,31.860001,31.860001,0,31.860001
"SOV",2004-08-03,32.93,32.93,32.93,32.93,0,32.93
"SOV",2004-08-04,32.689999,32.689999,32.689999,32.689999,0,32.689999
"SOV",2004-08-05,33.119999,33.119999,33.119999,33.119999,0,33.119999
"SOV",2004-08-06,32.259998,32.259998,32.259998,32.259998,0,32.259998
"SOV",2004-08-09,31.440001,31.440001,31.440001,31.440001,0,31.440001
"SOV",2004-08-10,31.139999,31.139999,31.139999,31.139999,0,31.139999
"SOV",2004-08-11,31.34,31.34,31.34,31.34,0,31.34
"SOV",2004-08-12,31.27,31.27,31.27,31.27,0,31.27
"SOV",2004-08-13,31.01,31.01,31.01,31.01,0,31.01
"SOV",2004-08-16,30.540001,30.540001,30.540001,30.540001,0,30.540001
"SOV",2004-08-17,30.860001,30.860001,30.860001,30.860001,0,30.860001
"SOV",2004-08-18,30.93,30.93,30.93,30.93,0,30.93
"SOV",2004-08-19,31.09,31.09,31.09,31.09,0,31.09
"SOV",2004-08-20,30.620001,30.620001,30.620001,30.620001,0,30.620001
"SOV",2004-08-23,31.219999,31.219999,31.219999,31.219999,0,31.219999
"SOV",2004-08-24,31.51,31.51,31.51,31.51,0,31.51
"SOV",2004-08-25,32.41,32.41,32.41,32.41,0,32.41
"SOV",2004-08-26,32.41,32.41,32.41,32.41,0,32.41
"SOV",2004-08-27,32.09,32.09,32.09,32.09,0,32.09
"SOV",2004-08-30,32.380001,32.380001,32.380001,32.380001,0,32.380001
"SOV",2004-08-31,32.450001,32.450001,32.450001,32.450001,0,32.450001
"SOV",2004-09-01,32.32,32.32,32.32,32.32,0,32.32
"SOV",2004-09-02,32.150002,32.150002,32.150002,32.150002,0,32.150002
"SOV",2004-09-03,32.470001,32.470001,32.470001,32.470001,0,32.470001
"SOV",2004-09-07,32.630001,32.630001,32.630001,32.630001,0,32.630001
"SOV",2004-09-08,33.099998,33.099998,33.099998,33.099998,0,33.099998
"SOV",2004-09-09,32.77,32.77,32.77,32.77,0,32.77
"SOV",2004-09-10,32.119999,32.119999,32.119999,32.119999,0,32.119999
"SOV",2004-09-13,32.07,32.07,32.07,32.07,0,32.07
"SOV",2004-09-14,31.84,31.84,31.84,31.84,0,31.84
"SOV",2004-09-15,31.75,31.75,31.75,31.75,0,31.75
"SOV",2004-09-16,32.18,32.18,32.18,32.18,0,32.18
"SOV",2004-09-17,32.18,32.18,32.18,32.18,0,32.18
"SOV",2004-09-20,32.650002,32.650002,32.650002,32.650002,0,32.650002
"SOV",2004-09-21,32.16,32.16,32.16,32.16,0,32.16
"SOV",2004-09-22,31.84,31.84,31.84,31.84,0,31.84
"SOV",2004-09-23,31.540001,31.540001,31.540001,31.540001,0,31.540001
"SOV",2004-09-24,31.549999,31.549999,31.549999,31.549999,0,31.549999
"SOV",2004-09-27,31.25,31.25,31.25,31.25,0,31.25
"SOV",2004-09-28,31.219999,31.219999,31.219999,31.219999,0,31.219999
"SOV",2004-09-29,31.24,31.24,31.24,31.24,0,31.24
"SOV",2004-09-30,31.190001,31.190001,31.190001,31.190001,0,31.190001
"SOV",2004-10-01,31.209999,31.209999,31.209999,31.209999,0,31.209999
"SOV",2004-10-04,31.860001,31.860001,31.860001,31.860001,0,31.860001
"SOV",2004-10-05,32.240002,32.240002,32.240002,32.240002,0,32.240002
"SOV",2004-10-06,32.130001,32.130001,32.130001,32.130001,0,32.130001
"SOV",2004-10-07,31.860001,31.860001,31.860001,31.860001,0,31.860001
"SOV",2004-10-08,31.32,31.32,31.32,31.32,0,31.32
"SOV",2004-10-11,30.91,30.91,30.91,30.91,0,30.91
"SOV",2004-10-12,31.01,31.01,31.01,31.01,0,31.01
"SOV",2004-10-13,31.24,31.24,31.24,31.24,0,31.24
"SOV",2004-10-14,31,31,31,31,0,31
"SOV",2004-10-15,30.940001,30.940001,30.940001,30.940001,0,30.940001
"SOV",2004-10-18,30.98,30.98,30.98,30.98,0,30.98
"SOV",2004-10-19,30.889999,30.889999,30.889999,30.889999,0,30.889999
"SOV",2004-10-20,30.77,30.77,30.77,30.77,0,30.77
"SOV",2004-10-21,30.34,30.34,30.34,30.34,0,30.34
"SOV",2004-10-22,30.34,30.34,30.34,30.34,0,30.34
"SOV",2004-10-25,29.5,29.5,29.5,29.5,0,29.5
"SOV",2004-10-26,29.299999,29.299999,29.299999,29.299999,0,29.299999
"SOV",2004-10-27,29.77,29.77,29.77,29.77,0,29.77
"SOV",2004-10-28,30.35,30.35,30.35,30.35,0,30.35
"SOV",2004-10-29,30.48,30.48,30.48,30.48,0,30.48
"SOV",2004-11-01,30.309999,30.309999,30.309999,30.309999,0,30.309999
"SOV",2004-11-02,30.879999,30.879999,30.879999,30.879999,0,30.879999
"SOV",2004-11-03,30.59,30.59,30.59,30.59,0,30.59
"SOV",2004-11-04,30.68,30.68,30.68,30.68,0,30.68
"SOV",2004-11-05,30.629999,30.629999,30.629999,30.629999,0,30.629999
"SOV",2004-11-08,30.4,30.4,30.4,30.4,0,30.4
"SOV",2004-11-09,30.32,30.32,30.32,30.32,0,30.32
"SOV",2004-11-10,30.549999,30.549999,30.549999,30.549999,0,30.549999
"SOV",2004-11-11,31.040001,31.040001,31.040001,31.040001,0,31.040001
"SOV",2004-11-12,31.440001,31.440001,31.440001,31.440001,0,31.440001
"SOV",2004-11-15,32.02,32.02,32.02,32.02,0,32.02
"SOV",2004-11-16,32.669998,32.669998,32.669998,32.669998,0,32.669998
"SOV",2004-11-17,32.119999,32.119999,32.119999,32.119999,0,32.119999
"SOV",2004-11-18,31.559999,31.559999,31.559999,31.559999,0,31.559999
"SOV",2004-11-19,31.530001,31.530001,31.530001,31.530001,0,31.530001
"SOV",2004-11-22,31.02,31.02,31.02,31.02,0,31.02
"SOV",2004-11-23,31.309999,31.309999,31.309999,31.309999,0,31.309999
"SOV",2004-11-24,31.280001,31.280001,31.280001,31.280001,0,31.280001
"SOV",2004-11-26,31.26,31.26,31.26,31.26,0,31.26
"SOV",2004-11-29,31.26,31.26,31.26,31.26,0,31.26
"SOV",2004-11-30,31.629999,31.629999,31.629999,31.629999,0,31.629999
"SOV",2004-12-01,31.48,31.48,31.48,31.48,0,31.48
"SOV",2004-12-02,31.870001,31.870001,31.870001,31.870001,0,31.870001
"SOV",2004-12-03,31.969999,31.969999,31.969999,31.969999,0,31.969999
"SOV",2004-12-06,31.780001,31.780001,31.780001,31.780001,0,31.780001
"SOV",2004-12-07,31.9,31.9,31.9,31.9,0,31.9
"SOV",2004-12-08,31.77,31.77,31.77,31.77,0,31.77
"SOV",2004-12-09,32.189999,32.189999,32.189999,32.189999,0,32.189999
"SOV",2004-12-10,32.459999,32.459999,32.459999,32.459999,0,32.459999
"SOV",2004-12-13,32.52,32.52,32.52,32.52,0,32.52
"SOV",2004-12-14,32.189999,32.189999,32.189999,32.189999,0,32.189999
"SOV",2004-12-15,31.77,31.77,31.77,31.77,0,31.77
"SOV",2004-12-16,31.66,31.66,31.66,31.66,0,31.66
"SOV",2004-12-17,31.73,31.73,31.73,31.73,0,31.73
"SOV",2004-12-20,32.259998,32.259998,32.259998,32.259998,0,32.259998
"SOV",2004-12-21,31.68,31.68,31.68,31.68,0,31.68
"SOV",2004-12-22,31.879999,31.879999,31.879999,31.879999,0,31.879999
"SOV",2004-12-23,31.879999,31.879999,31.879999,31.879999,0,31.879999
"SOV",2004-12-27,31.129999,31.129999,31.129999,31.129999,0,31.129999
"SOV",2004-12-28,30.77,30.77,30.77,30.77,0,30.77
"SOV",2004-12-29,30.92,30.92,30.92,30.92,0,30.92
"SOV",2004-12-30,31.040001,31.040001,31.040001,31.040001,0,31.040001
"SOV",2004-12-31,5.22354,5.22354,5.22354,5.22354,0,5.22354
"SOV",2005-01-03,30.9,30.9,30.9,30.9,0,30.9
"SOV",2005-01-04,30.58,30.58,30.58,30.58,0,30.58
"SOV",2005-01-05,30.09,30.09,30.09,30.09,0,30.09
"SOV",2005-01-06,29.51,29.51,29.51,29.51,0,29.51
"SOV",2005-01-07,29.360001,29.360001,29.360001,29.360001,0,29.360001
"SOV",2005-01-10,29.67,29.67,29.67,29.67,0,29.67
"SOV",2005-01-11,29.33,29.33,29.33,29.33,0,29.33
"SOV",2005-01-12,29.129999,29.129999,29.129999,29.129999,0,29.129999
"SOV",2005-01-13,28.77,28.77,28.77,28.77,0,28.77
"SOV",2005-01-14,29.110001,29.110001,29.110001,29.110001,0,29.110001
"SOV",2005-01-18,29.709999,29.709999,29.709999,29.709999,0,29.709999
"SOV",2005-01-19,30.15,30.15,30.15,30.15,0,30.15
"SOV",2005-01-20,30.34,30.34,30.34,30.34,0,30.34
"SOV",2005-01-21,30.43,30.43,30.43,30.43,0,30.43
"SOV",2005-01-24,30.33,30.33,30.33,30.33,0,30.33
"SOV",2005-01-25,30.24,30.24,30.24,30.24,0,30.24
"SOV",2005-01-26,30.27,30.27,30.27,30.27,0,30.27
"SOV",2005-01-27,30.16,30.16,30.16,30.16,0,30.16
"SOV",2005-01-28,30.09,30.09,30.09,30.09,0,30.09
"SOV",2005-01-31,30.5,30.5,30.5,30.5,0,30.5
"SOV",2005-02-01,30.360001,30.360001,30.360001,30.360001,0,30.360001
"SOV",2005-02-02,30.629999,30.629999,30.629999,30.629999,0,30.629999
"SOV",2005-02-03,31.290001,31.290001,31.290001,31.290001,0,31.290001
"SOV",2005-02-04,31.620001,31.620001,31.620001,31.620001,0,31.620001
"SOV",2005-02-07,32.029999,32.029999,32.029999,32.029999,0,32.029999
"SOV",2005-02-08,32.52,32.52,32.52,32.52,0,32.52
"SOV",2005-02-09,32.259998,32.259998,32.259998,32.259998,0,32.259998
"SOV",2005-02-10,32.41,32.41,32.41,32.41,0,32.41
"SOV",2005-02-11,32.27,32.27,32.27,32.27,0,32.27
"SOV",2005-02-14,32.060001,32.060001,32.060001,32.060001,0,32.060001
"SOV",2005-02-15,32.150002,32.150002,32.150002,32.150002,0,32.150002
"SOV",2005-02-16,32.150002,32.150002,32.150002,32.150002,0,32.150002
"SOV",2005-02-17,32.220001,32.220001,32.220001,32.220001,0,32.220001
"SOV",2005-02-18,32.119999,32.119999,32.119999,32.119999,0,32.119999
"SOV",2005-02-22,31.57,31.57,31.57,31.57,0,31.57
"SOV",2005-02-23,30.57,30.57,30.57,30.57,0,30.57
"SOV",2005-02-24,30.469999,30.469999,30.469999,30.469999,0,30.469999
"SOV",2005-02-25,30.4,30.4,30.4,30.4,0,30.4
"SOV",2005-02-28,30.74,30.74,30.74,30.74,0,30.74
"SOV",2005-03-01,30.75,30.75,30.75,30.75,0,30.75
"SOV",2005-03-02,31.51,31.51,31.51,31.51,0,31.51
"SOV",2005-03-03,31.379999,31.379999,31.379999,31.379999,0,31.379999
"SOV",2005-03-04,31.85,31.85,31.85,31.85,0,31.85
"SOV",2005-03-07,32.18,32.18,32.18,32.18,0,32.18
"SOV",2005-03-08,32.34,32.34,32.34,32.34,0,32.34
"SOV",2005-03-09,31.73,31.73,31.73,31.73,0,31.73
"SOV",2005-03-10,30.5,30.5,30.5,30.5,0,30.5
"SOV",2005-03-11,30.59,30.59,30.59,30.59,0,30.59
"SOV",2005-03-14,30.620001,30.620001,30.620001,30.620001,0,30.620001
"SOV",2005-03-15,31.219999,31.219999,31.219999,31.219999,0,31.219999
"SOV",2005-03-16,31.15,31.15,31.15,31.15,0,31.15
"SOV",2005-03-17,30.790001,30.790001,30.790001,30.790001,0,30.790001
"SOV",2005-03-18,31.07,31.07,31.07,31.07,0,31.07
"SOV",2005-03-21,31.48,31.48,31.48,31.48,0,31.48
"SOV",2005-03-22,31.23,31.23,31.23,31.23,0,31.23
"SOV",2005-03-23,30.610001,30.610001,30.610001,30.610001,0,30.610001
"SOV",2005-03-24,30.6,30.6,30.6,30.6,0,30.6
"SOV",2005-03-28,6.25039,6.25039,6.25039,6.25039,0,6.25039
"SOV",2005-03-29,30.51,30.51,30.51,30.51,0,30.51
"SOV",2005-03-30,30.120001,30.120001,30.120001,30.120001,0,30.120001
"SOV",2005-03-31,30.450001,30.450001,30.450001,30.450001,0,30.450001
"SOV",2005-04-01,30.25,30.25,30.25,30.25,0,30.25
"SOV",2005-04-04,30.18,30.18,30.18,30.18,0,30.18
"SOV",2005-04-05,30.860001,30.860001,30.860001,30.860001,0,30.860001
"SOV",2005-04-06,31.059999,31.059999,31.059999,31.059999,0,31.059999
"SOV",2005-04-07,30.35,30.35,30.35,30.35,0,30.35
"SOV",2005-04-08,30.85,30.85,30.85,30.85,0,30.85
"SOV",2005-04-11,30.24,30.24,30.24,30.24,0,30.24
"SOV",2005-04-12,29.940001,29.940001,29.940001,29.940001,0,29.940001
"SOV",2005-04-13,30.549999,30.549999,30.549999,30.549999,0,30.549999
"SOV",2005-04-14,30.84,30.84,30.84,30.84,0,30.84
"SOV",2005-04-15,30.67,30.67,30.67,30.67,0,30.67
"SOV",2005-04-18,30.200001,30.200001,30.200001,30.200001,0,30.200001
"SOV",2005-04-19,30.1,30.1,30.1,30.1,0,30.1
"SOV",2005-04-20,30.219999,30.219999,30.219999,30.219999,0,30.219999
"SOV",2005-04-21,30.200001,30.200001,30.200001,30.200001,0,30.200001
"SOV",2005-04-22,30.76,30.76,30.76,30.76,0,30.76
"SOV",2005-04-25,30.879999,30.879999,30.879999,30.879999,0,30.879999
"SOV",2005-04-26,31.65,31.65,31.65,31.65,0,31.65
"SOV",2005-04-27,32.25,32.25,32.25,32.25,0,32.25
"SOV",2005-04-28,32.580002,32.580002,32.580002,32.580002,0,32.580002
"SOV",2005-04-29,32.52,32.52,32.52,32.52,0,32.52
"SOV",2005-05-02,33,33,33,33,0,33
"SOV",2005-05-03,33.34,33.34,33.34,33.34,0,33.34
"SOV",2005-05-04,33.240002,33.240002,33.240002,33.240002,0,33.240002
"SOV",2005-05-05,33.470001,33.470001,33.470001,33.470001,0,33.470001
"SOV",2005-05-06,34.09,34.09,34.09,34.09,0,34.09
"SOV",2005-05-09,34.91,34.91,34.91,34.91,0,34.91
"SOV",2005-05-10,35.240002,35.240002,35.240002,35.240002,0,35.240002
"SOV",2005-05-11,35.279999,35.279999,35.279999,35.279999,0,35.279999
"SOV",2005-05-12,35.630001,35.630001,35.630001,35.630001,0,35.630001
"SOV",2005-05-13,35.84,35.84,35.84,35.84,0,35.84
"SOV",2005-05-16,36.009998,36.009998,36.009998,36.009998,0,36.009998
"SOV",2005-05-17,35.610001,35.610001,35.610001,35.610001,0,35.610001
"SOV",2005-05-18,35.700001,35.700001,35.700001,35.700001,0,35.700001
"SOV",2005-05-19,35.580002,35.580002,35.580002,35.580002,0,35.580002
"SOV",2005-05-20,35.790001,35.790001,35.790001,35.790001,0,35.790001
"SOV",2005-05-23,35.790001,35.790001,35.790001,35.790001,0,35.790001
"SOV",2005-05-24,35.650002,35.650002,35.650002,35.650002,0,35.650002
"SOV",2005-05-25,35.439999,35.439999,35.439999,35.439999,0,35.439999
"SOV",2005-05-26,34.799999,34.799999,34.799999,34.799999,0,34.799999
"SOV",2005-05-27,35.32,35.32,35.32,35.32,0,35.32
"SOV",2005-05-31,35.630001,35.630001,35.630001,35.630001,0,35.630001
"SOV",2005-06-01,35.98,35.98,35.98,35.98,0,35.98
"SOV",2005-06-02,36.830002,36.830002,36.830002,36.830002,0,36.830002
"SOV",2005-06-03,36.450001,36.450001,36.450001,36.450001,0,36.450001
"SOV",2005-06-06,36.209999,36.209999,36.209999,36.209999,0,36.209999
"SOV",2005-06-07,36.73,36.73,36.73,36.73,0,36.73
"SOV",2005-06-08,37.040001,37.040001,37.040001,37.040001,0,37.040001
"SOV",2005-06-09,36.900002,36.900002,36.900002,36.900002,0,36.900002
"SOV",2005-06-10,36.959999,36.959999,36.959999,36.959999,0,36.959999
"SOV",2005-06-13,37.720001,37.720001,37.720001,37.720001,0,37.720001
"SOV",2005-06-14,37.59,37.59,37.59,37.59,0,37.59
"SOV",2005-06-15,38.5,38.5,38.5,38.5,0,38.5
"SOV",2005-06-16,38.389999,38.389999,38.389999,38.389999,0,38.389999
"SOV",2005-06-17,38.029999,38.029999,38.029999,38.029999,0,38.029999
"SOV",2005-06-20,37.98,37.98,37.98,37.98,0,37.98
"SOV",2005-06-21,38.150002,38.150002,38.150002,38.150002,0,38.150002
"SOV",2005-06-22,37.150002,37.150002,37.150002,37.150002,0,37.150002
"SOV",2005-06-23,37.779999,37.779999,37.779999,37.779999,0,37.779999
"SOV",2005-06-24,37.34,37.34,37.34,37.34,0,37.34
"SOV",2005-06-27,36.990002,36.990002,36.990002,36.990002,0,36.990002
"SOV",2005-06-28,36.740002,36.740002,36.740002,36.740002,0,36.740002
"SOV",2005-06-29,37.759998,37.759998,37.759998,37.759998,0,37.759998
"SOV",2005-06-30,37.459999,37.459999,37.459999,37.459999,0,37.459999
"SOV",2005-07-01,37.450001,37.450001,37.450001,37.450001,0,37.450001
"SOV",2005-07-05,38.25,38.25,38.25,38.25,0,38.25
"SOV",2005-07-06,38.099998,38.099998,38.099998,38.099998,0,38.099998
"SOV",2005-07-07,38.57,38.57,38.57,38.57,0,38.57
"SOV",2005-07-08,38.599998,38.599998,38.599998,38.599998,0,38.599998
"SOV",2005-07-11,39,39,39,39,0,39
"SOV",2005-07-12,38.900002,38.900002,38.900002,38.900002,0,38.900002
"SOV",2005-07-13,38.939999,38.939999,38.939999,38.939999,0,38.939999
"SOV",2005-07-14,38.779999,38.779999,38.779999,38.779999,0,38.779999
"SOV",2005-07-15,37.200001,37.200001,37.200001,37.200001,0,37.200001
"SOV",2005-07-18,37.5,37.5,37.5,37.5,0,37.5
"SOV",2005-07-19,37.57,37.57,37.57,37.57,0,37.57
"SOV",2005-07-20,37.669998,37.669998,37.669998,37.669998,0,37.669998
"SOV",2005-07-21,37.66,37.66,37.66,37.66,0,37.66
"SOV",2005-07-22,37.369999,37.369999,37.369999,37.369999,0,37.369999
"SOV",2005-07-25,38.349998,38.349998,38.349998,38.349998,0,38.349998
"SOV",2005-07-26,38.689999,38.689999,38.689999,38.689999,0,38.689999
