"symbol","date","open","high","low","close","volume","adjusted"
"SYY",1996-01-02,8.0625,8.0625,8,8.03125,2590000,4.27588
"SYY",1996-01-03,8.03125,8.03125,7.96875,8,1242000,4.259242
"SYY",1996-01-04,8,8,7.875,7.96875,1397600,4.242605
"SYY",1996-01-05,7.9375,8,7.75,7.8125,851200,4.159419
"SYY",1996-01-08,7.78125,7.875,7.75,7.84375,327200,4.176055
"SYY",1996-01-09,7.90625,7.90625,7.6875,7.6875,1356800,4.092868
"SYY",1996-01-10,7.625,7.6875,7.375,7.40625,2320400,3.943128
"SYY",1996-01-11,7.53125,7.5625,7.46875,7.46875,929600,3.976401
"SYY",1996-01-12,7.59375,7.59375,7.5,7.5625,878400,4.026315
"SYY",1996-01-15,7.53125,7.59375,7.5,7.5625,524800,4.026315
"SYY",1996-01-16,7.5625,7.625,7.40625,7.46875,1251200,3.976401
"SYY",1996-01-17,7.53125,7.8125,7.5,7.75,1813600,4.126141
"SYY",1996-01-18,7.75,7.75,7.625,7.71875,868800,4.109505
"SYY",1996-01-19,7.6875,7.78125,7.6875,7.75,1229600,4.126141
"SYY",1996-01-22,7.75,7.78125,7.6875,7.78125,1363200,4.142779
"SYY",1996-01-23,7.78125,7.90625,7.78125,7.78125,2285600,4.142779
"SYY",1996-01-24,7.78125,7.84375,7.53125,7.75,1141200,4.143447
"SYY",1996-01-25,7.75,7.78125,7.71875,7.75,1268800,4.143447
"SYY",1996-01-26,7.78125,7.90625,7.75,7.875,1815600,4.210278
"SYY",1996-01-29,7.90625,8,7.90625,7.9375,1626400,4.243692
"SYY",1996-01-30,7.96875,8.03125,7.90625,8.03125,1685200,4.293814
"SYY",1996-01-31,8,8.0625,7.9375,8,1809600,4.277106
"SYY",1996-02-01,8,8.03125,7.90625,7.96875,2050000,4.260399
"SYY",1996-02-02,7.96875,7.96875,7.84375,7.875,846800,4.210278
"SYY",1996-02-05,7.84375,7.96875,7.8125,7.9375,1538400,4.243692
"SYY",1996-02-06,7.9375,7.9375,7.84375,7.875,2945600,4.210278
"SYY",1996-02-07,7.9375,8.03125,7.9375,7.9375,3950000,4.243692
"SYY",1996-02-08,7.875,8.125,7.875,8.09375,2342000,4.32723
"SYY",1996-02-09,8.09375,8.25,8.0625,8.1875,2360000,4.377353
"SYY",1996-02-12,8.21875,8.28125,8.21875,8.25,1578800,4.410767
"SYY",1996-02-13,8.1875,8.40625,8.1875,8.375,2178000,4.477598
"SYY",1996-02-14,8.34375,8.34375,8.09375,8.1875,2166400,4.377353
"SYY",1996-02-15,8.15625,8.25,8.09375,8.09375,1556000,4.32723
"SYY",1996-02-16,8.125,8.125,7.90625,8.03125,2122800,4.293814
"SYY",1996-02-20,7.96875,8.125,7.96875,8.09375,1266000,4.32723
"SYY",1996-02-21,8.125,8.21875,8.125,8.15625,1385200,4.360644
"SYY",1996-02-22,8.21875,8.3125,8.21875,8.3125,1312400,4.444181
"SYY",1996-02-23,8.375,8.375,8.21875,8.375,1077600,4.477598
"SYY",1996-02-26,8.28125,8.3125,8.09375,8.125,788800,4.343935
"SYY",1996-02-27,8.1875,8.28125,8.125,8.28125,1120000,4.427474
"SYY",1996-02-28,8.3125,8.40625,8.1875,8.1875,1052800,4.377353
"SYY",1996-02-29,8.15625,8.28125,8.15625,8.21875,1122400,4.394059
"SYY",1996-03-01,8.3125,8.5,8.25,8.5,1218400,4.544428
"SYY",1996-03-04,8.5,8.5,8.40625,8.5,1203200,4.544428
"SYY",1996-03-05,8.5,8.53125,8.46875,8.53125,1039600,4.561132
"SYY",1996-03-06,8.5,8.59375,8.46875,8.5,1128400,4.544428
"SYY",1996-03-07,8.46875,8.53125,8.4375,8.46875,1436400,4.52772
"SYY",1996-03-08,8.4375,8.4375,8.3125,8.375,1061200,4.477598
"SYY",1996-03-11,8.25,8.40625,8.21875,8.40625,1039200,4.494304
"SYY",1996-03-12,8.34375,8.375,8.21875,8.34375,870800,4.460892
"SYY",1996-03-13,8.375,8.40625,8.1875,8.25,1353600,4.410767
"SYY",1996-03-14,8.21875,8.4375,8.21875,8.375,1604800,4.477598
"SYY",1996-03-15,8.40625,8.40625,8.25,8.25,1413600,4.410767
"SYY",1996-03-18,8.25,8.46875,8.21875,8.375,1347200,4.477598
"SYY",1996-03-19,8.375,8.40625,8.125,8.125,1242400,4.343935
"SYY",1996-03-20,8.1875,8.25,8.125,8.21875,1350800,4.394059
"SYY",1996-03-21,8.25,8.375,8.25,8.34375,1173600,4.460892
"SYY",1996-03-22,8.40625,8.59375,8.40625,8.59375,1007600,4.594549
"SYY",1996-03-25,8.625,8.65625,8.4375,8.53125,838000,4.561132
"SYY",1996-03-26,8.5,8.71875,8.46875,8.6875,1000400,4.644673
"SYY",1996-03-27,8.4375,8.46875,8.28125,8.3125,1475200,4.444181
"SYY",1996-03-28,8.25,8.375,8.15625,8.375,874800,4.477598
"SYY",1996-03-29,8.375,8.40625,8.1875,8.21875,1588800,4.394059
"SYY",1996-04-01,8.28125,8.40625,8.25,8.40625,705600,4.494304
"SYY",1996-04-02,8.4375,8.46875,8.34375,8.40625,1406400,4.511748
"SYY",1996-04-03,8.3125,8.34375,8.1875,8.25,745600,4.427885
"SYY",1996-04-04,8.25,8.25,8.15625,8.21875,1048000,4.411114
"SYY",1996-04-08,8.09375,8.15625,8,8.15625,1355200,4.37757
"SYY",1996-04-09,8.15625,8.34375,8.125,8.28125,1623200,4.444659
"SYY",1996-04-10,8.21875,8.28125,8.1875,8.21875,1784000,4.411114
"SYY",1996-04-11,8.1875,8.1875,7.875,8.0625,962400,4.327253
"SYY",1996-04-12,8.09375,8.1875,8.03125,8.125,974400,4.360796
"SYY",1996-04-15,8.1875,8.28125,8.125,8.21875,714400,4.411114
"SYY",1996-04-16,8.25,8.25,8.125,8.125,650400,4.360796
"SYY",1996-04-17,8.0625,8.21875,8.0625,8.125,1328800,4.360796
"SYY",1996-04-18,8.125,8.15625,7.90625,8,1443600,4.293707
"SYY",1996-04-19,8,8.03125,7.875,7.9375,1236000,4.260164
"SYY",1996-04-22,8,8.09375,7.96875,8.03125,1164800,4.31048
"SYY",1996-04-23,8,8.15625,8,8.125,1444400,4.360796
"SYY",1996-04-24,8.15625,8.21875,8.125,8.15625,755200,4.37757
"SYY",1996-04-25,8.15625,8.25,8.0625,8.21875,870000,4.411114
"SYY",1996-04-26,8.1875,8.1875,8.0625,8.0625,743200,4.327253
"SYY",1996-04-29,8.0625,8.125,8.03125,8.125,730000,4.360796
"SYY",1996-04-30,8.0625,8.09375,8,8.03125,910800,4.31048
"SYY",1996-05-01,8,8.03125,7.6875,7.90625,2401200,4.243389
"SYY",1996-05-02,7.875,7.96875,7.78125,7.78125,1298800,4.176301
"SYY",1996-05-03,7.84375,7.96875,7.8125,7.8125,1219600,4.193075
"SYY",1996-05-06,7.8125,7.84375,7.75,7.75,1006800,4.15953
"SYY",1996-05-07,7.78125,7.90625,7.75,7.84375,2269600,4.209845
"SYY",1996-05-08,7.6875,7.875,7.6875,7.84375,1216800,4.209845
"SYY",1996-05-09,7.9375,8.03125,7.875,7.875,3220400,4.226619
"SYY",1996-05-10,7.9375,8.0625,7.9375,8,1654800,4.293707
"SYY",1996-05-13,8.0625,8.15625,8.03125,8.15625,1297600,4.37757
"SYY",1996-05-14,8.15625,8.1875,8.09375,8.15625,1266400,4.37757
"SYY",1996-05-15,8.1875,8.1875,8.125,8.15625,780400,4.37757
"SYY",1996-05-16,8.15625,8.15625,8.0625,8.09375,784800,4.344025
"SYY",1996-05-17,8.09375,8.15625,8.0625,8.125,1100400,4.360796
"SYY",1996-05-20,8.1875,8.21875,8.125,8.15625,788400,4.37757
"SYY",1996-05-21,8.21875,8.3125,8.15625,8.15625,3751600,4.37757
"SYY",1996-05-22,8.125,8.3125,8.09375,8.3125,2307200,4.46143
"SYY",1996-05-23,8.375,8.46875,8.34375,8.375,1972800,4.494974
"SYY",1996-05-24,8.40625,8.8125,8.40625,8.8125,4068800,4.729786
"SYY",1996-05-28,8.8125,8.8125,8.625,8.6875,2682400,4.6627
"SYY",1996-05-29,8.65625,8.71875,8.625,8.65625,2079600,4.645925
"SYY",1996-05-30,8.59375,8.625,8.53125,8.625,925600,4.629154
"SYY",1996-05-31,8.59375,8.625,8.5,8.53125,1545600,4.578836
"SYY",1996-06-03,8.5,8.53125,8.46875,8.5,724800,4.562066
"SYY",1996-06-04,8.46875,8.5625,8.4375,8.46875,1028800,4.545294
"SYY",1996-06-05,8.46875,8.53125,8.4375,8.53125,1247600,4.578836
"SYY",1996-06-06,8.59375,8.59375,8.25,8.28125,1629200,4.444659
"SYY",1996-06-07,8.125,8.4375,8.125,8.4375,1634800,4.52852
"SYY",1996-06-10,8.4375,8.46875,8.375,8.40625,708000,4.511748
"SYY",1996-06-11,8.375,8.46875,8.375,8.375,825200,4.494974
"SYY",1996-06-12,8.40625,8.40625,8.3125,8.375,764800,4.494974
"SYY",1996-06-13,8.40625,8.5,8.375,8.46875,1184800,4.545294
"SYY",1996-06-14,8.4375,8.5,8.375,8.375,1103200,4.494974
"SYY",1996-06-17,8.40625,8.4375,8.34375,8.34375,1030000,4.478205
"SYY",1996-06-18,8.375,8.375,8.25,8.3125,1769600,4.46143
"SYY",1996-06-19,8.28125,8.3125,8.25,8.28125,1062400,4.444659
"SYY",1996-06-20,8.3125,8.40625,8.3125,8.34375,1682000,4.478205
"SYY",1996-06-21,8.40625,8.5,8.375,8.4375,2663200,4.52852
"SYY",1996-06-24,8.4375,8.625,8.34375,8.5625,1701600,4.59561
"SYY",1996-06-25,8.5625,8.59375,8.46875,8.53125,1340400,4.578836
"SYY",1996-06-26,8.5,8.53125,8.46875,8.53125,1464400,4.578836
"SYY",1996-06-27,8.53125,8.578125,8.46875,8.5625,1729200,4.59561
"SYY",1996-06-28,8.59375,8.59375,8.46875,8.5625,1418000,4.59561
"SYY",1996-07-01,8.5625,8.59375,8.53125,8.5625,826800,4.59561
"SYY",1996-07-02,8.53125,8.625,8.53125,8.5625,1290800,4.613119
"SYY",1996-07-03,8.25,8.25,7.9375,7.96875,4286800,4.293231
"SYY",1996-07-05,7.8125,7.875,7.71875,7.71875,1001600,4.158541
"SYY",1996-07-08,7.625,7.6875,7.46875,7.46875,2964400,4.023852
"SYY",1996-07-09,7.5,7.71875,7.5,7.65625,3932400,4.124869
"SYY",1996-07-10,7.625,7.65625,7.53125,7.65625,2457200,4.124869
"SYY",1996-07-11,7.65625,7.65625,7.4375,7.46875,2173200,4.023852
"SYY",1996-07-12,7.53125,7.625,7.40625,7.53125,1363200,4.057525
"SYY",1996-07-15,7.53125,7.59375,7.46875,7.46875,1452400,4.023852
"SYY",1996-07-16,7.40625,7.46875,6.90625,7.46875,1912800,4.023852
"SYY",1996-07-17,7.46875,7.53125,7.25,7.375,1484800,3.973343
"SYY",1996-07-18,7.3125,7.40625,7.28125,7.34375,2890400,3.956506
"SYY",1996-07-19,7.3125,7.34375,7.15625,7.1875,2207600,3.872328
"SYY",1996-07-22,7.15625,7.15625,7.0625,7.125,1878800,3.838653
