"symbol","date","open","high","low","close","volume","adjusted"
"T",1996-01-02,21.714502,22.044941,21.667295,22.044941,1014449,4.119991
"T",1996-01-03,22.139351,22.564199,22.139351,22.375378,2671302,4.181748
"T",1996-01-04,22.46979,22.753021,22.139351,22.328173,3979944,4.172923
"T",1996-01-05,22.092146,22.422583,22.092146,22.280968,3391558,4.164102
"T",1996-01-08,21.997734,22.280968,21.856117,21.903322,447512,4.131724
"T",1996-01-09,21.950529,21.950529,21.572886,21.761707,2241002,4.105011
"T",1996-01-10,21.336859,21.572886,20.817598,20.959215,2722409,3.953634
"T",1996-01-11,21.10083,21.195242,20.723186,21.10083,1968523,3.980347
"T",1996-01-12,21.242447,21.384064,20.770393,21.053625,1734440,3.971443
"T",1996-01-15,21.053625,21.148035,20.817598,20.912008,1294872,3.944726
"T",1996-01-16,21.053625,21.856117,21.00642,21.856117,2529370,4.122822
"T",1996-01-17,21.761707,21.808912,21.336859,21.478474,2754450,4.051584
"T",1996-01-18,21.525681,21.525681,21.289654,21.384064,2345598,4.033773
"T",1996-01-19,21.289654,21.289654,20.864803,21.053625,2757098,3.971443
"T",1996-01-22,21.10083,21.148035,20.723186,20.817598,2258744,3.926919
"T",1996-01-23,20.770393,20.864803,20.628777,20.723186,1555965,3.909107
"T",1996-01-24,20.959215,21.242447,20.817598,21.10083,2324150,3.980347
"T",1996-01-25,21.195242,21.195242,21.00642,21.053625,1481291,3.971443
"T",1996-01-26,20.770393,21.289654,20.770393,21.242447,2005860,4.00706
"T",1996-01-29,21.242447,21.431269,21.10083,21.242447,1117986,4.00706
"T",1996-01-30,21.242447,21.289654,21.053625,21.195242,1374047,3.998154
"T",1996-01-31,21.242447,21.431269,21.053625,21.384064,2242062,4.033773
"T",1996-02-01,21.572886,21.667295,21.384064,21.667295,1463814,4.087199
"T",1996-02-02,21.903322,21.903322,21.62009,21.761707,3091010,4.105011
"T",1996-02-05,21.808912,21.950529,21.62009,21.903322,1625872,4.131724
"T",1996-02-06,21.950529,22.280968,21.856117,22.280968,1883258,4.20296
"T",1996-02-07,22.280968,22.658609,22.280968,22.611404,2261127,4.265293
"T",1996-02-08,22.422583,22.46979,21.997734,22.328173,3368256,4.211865
"T",1996-02-09,22.422583,22.611404,22.186556,22.422583,2676334,4.229675
"T",1996-02-12,22.280968,22.705816,22.280968,22.658609,2235442,4.274197
"T",1996-02-13,22.658609,22.753021,22.422583,22.46979,2208962,4.238579
"T",1996-02-14,22.375378,22.422583,21.667295,21.714502,2230410,4.096105
"T",1996-02-15,21.62009,21.714502,21.10083,21.10083,2293698,3.980347
"T",1996-02-16,21.195242,21.195242,20.864803,21.053625,2989592,3.971443
"T",1996-02-20,20.770393,20.959215,20.48716,20.770393,2399088,3.918014
"T",1996-02-21,20.770393,21.053625,20.770393,20.959215,3213878,3.953634
"T",1996-02-22,21.336859,21.62009,21.289654,21.478474,2501036,4.051584
"T",1996-02-23,21.667295,21.856117,21.10083,21.148035,2248946,3.98925
"T",1996-02-26,21.053625,21.336859,20.864803,20.864803,2150176,3.935821
"T",1996-02-27,20.959215,21.10083,20.581572,20.959215,2438278,3.953634
"T",1996-02-28,21.148035,21.431269,20.581572,20.628777,2570414,3.891298
